horse_id	stallion	生年月日	調教師	馬主	生産者	産地	セリ取引価格	獲得賞金	通算成績	父	母	父父	父母	母父	母母	父父父	父父母	父母父	父母母	母父父	母父母	母母父	母母母	父父父父	父父父母	父父母父	父父母母	父母父父	父母父母	父母母父	父母母母	母父父父	母父父母	母父母父	母父母母	母母父父	母母父母	母母母父	母母母母	父父父父父	父父父父母	父父父母父	父父父母母	父父母父父	父父母父母	父父母母父	父父母母母	父母父父父	父母父父母	父母父母父	父母父母母	父母母父父	父母母父母	父母母母父	父母母母母	母父父父父	母父父父母	母父父母父	母父父母母	母父母父父	母父母父母	母父母母父	母父母母母	母母父父父	母母父父母	母母父母父	母母父母母	母母母父父	母母母父母	母母母母父	母母母母母	race_history
000a009530	False	1948				英	-	0	0-0-0-0	000a000ecf	000a0077df	000a000f8b	000a006cd3	000a001232	000a007e8f	000a001180	000a007899	000a0013f6	000a007ff5	000a001177	000a008470	000a0012ed	000a008c9d	000a001149	000a007ff4	000a0011ef	000a0080df	000a001178	000a008c22	000a0102c0	000a0102c2	000a001178	000a008445	000a001751	000a008c9b	000a001295	000a008b05	000a001a0f	000a008c9c	000a00114a	000a008c8c	000a0011a2	000a00820c	000a00fb6c	000a00989b	000a0012b6	000a008125	000a001150	000a013c49	000a001112	000a008c64	000a001332	000a0102c1	000a0012d9	000a008c7f	000a001150	000a013c49	000a001335	000a014875	000a001131	000a013128	000a00189c	000a0104b8	000a00114b	000a0147a0	000a00114d	000a01480b	000a00115c	000a01571c	000a00114b	000a014e22	
000a002a07	False	1948				仏	-	0	0-0-0-0	000a000fb1	000a0071bd	000a001172	000a0074da	000a0011f8	000a013c16	000a001123	000a00812d	000a00164d	000a008215	000a0011c8	000a008c96	000a0011b7	000a0148ce	000a001124	000a007ffa	000a0012ed	000a0131c3	000a0016c4	000a014870	000a001a1b	000a016097	000a000e5b	000a0080f3	000a0019b8	000a00a94c	000a0011b8	000a008206	000a001691	000a0148cd	000a001125	000a008cbd	000a001620	000a0102f5	000a001295	000a008b05	000a0131c2	000a008420	000a0012e8	000a010492	000a014873	000a01486f	000a001a1a	000a0170bf	000a00115c	000a016096	000a0011cf	000a01029d	000a001150	000a01029e	000a00fb6c	000a0146f3	000a000455	000a00a94b	000a00119d	000a0147ac	000a001158	000a0147aa	000a001121	000a0132cc	000a00fdac	000a0148cc	
000a007ba5	False	1948				英	-	0	0-0-0-0	000a00140e	000a007ba6	000a001197	000a013c14	000a0011b3	000a013c15	000a001149	000a007ff4	000a0011b7	000a018244	000a0011b4	000a00989a	000a014b49	000a00a415	000a00114a	000a008c8c	000a0011a2	000a00820c	000a0011b8	000a008206	000a018246	000a018243	000a001157	000a00a304	000a001d4d	000a015faa	000a0146eb	000a017844	000a0004d2	000a006ef9	000a00114b	000a010497	000a001158	000a010499	000a001121	000a008cbd	000a0012dd	000a014810	000a00119d	000a0147ac	000a001158	000a0147aa	000a00fdac	000a018245	000a018242	000a0165ea	000a001158	000a0104b9	000a001132	000a00a303	000a0012de	000a014d66	000a015fab	000a0154a5	000a001121	000a016d5a	000a017845	000a016a79	000a000fc8	000a007c4e	000a000f7f	000a0083fb	
000a007bf3	False	1948				米	-	0	0-0-0-0	000a00142d	000a00761a	000a001277	000a008b99	000a00117f	000a007e61	000a001278	000a008b96	000a0011d7	000a008aca	000a001149	000a007a1d	000a00110f	000a007ffe	000a0011d9	000a01325b	000a001986	000a014eb9	000a0011d8	000a00988f	000a001194	000a008b98	000a00114a	000a008c8c	000a0011a2	000a007a24	000a001110	000a000438	000a00167d	000a014de9	000a0011da	000a014706	000a001196	000a009be0	000a001985	000a01470d	000a014eb7	000a014eb8	000a0011d9	000a014709	000a001d49	000a01474e	000a001195	000a0132e6	000a001987	000a008b97	000a00114b	000a010497	000a001158	000a010499	000a001121	000a008cbd	000a00164b	000a008124	000a001111	000a013158	000a001d16	000a008c70	000a00119d	000a008c82	000a001122	000a016859	
000a002805	False	1948				青森県	-	0	0-0-0-0	000a0008df	000a0026a7	000a00115f	000a0024a1	000a000359	000a002492	000a001160	000a007ff0	000a0018e7	000a007ff1	000a001138	000a007e62	000a0008b5	000a01b560	000a001161	000a0102a1	000a001157	000a0102a2	000a001897	000a01307a	000a013077	000a013079	000a001139	000a007fff	000a0015dd	000a007ff2	000a0002f9	000a0003b9	000a000872	000a01b55f	000a001162	000a01326a	000a001134	000a0102a0	000a001158	000a0104b9	000a0132af	000a0132ae	000a001896	000a01307b	000a0018b2	000a015e55	000a001121	000a013075	000a0012d9	000a013078	000a00113a	000a0102a4	000a001a5e	000a01048a	000a0019ad	000a01048b	000a001111	000a009c17	000a00110f	000a0078cb	000a0000a3	000a002338	000a001b94	000a002378	000a000873	000a018367	
000a0029f8	False	1948				英	-	0	0-0-0-0	000a000ffa	000a006db6	000a001174	000a007b05	000a001c6e	000a0094ef	000a00114e	000a007ff2	000a0011b4	000a0081f9	000a0011c8	000a00854f	000a001c7f	000a0183bd	000a00114f	000a007ffd	000a001111	000a009c17	000a001157	000a00a304	000a0019d0	000a00a307	000a000e5b	000a0080f3	000a00129c	000a008bba	000a00124d	000a01564b	000a0012b6	000a0183bc	000a001150	000a008cbb	000a001332	000a008cbc	000a001112	000a01048f	000a00187d	000a009c16	000a001158	000a0104b9	000a001132	000a00a303	000a0012d9	000a00a305	000a0019e9	000a00a306	000a0011cf	000a01029d	000a001150	000a01029e	000a001193	000a0148d6	000a001993	000a017de8	000a001195	000a016ed5	000a001128	000a01564a	000a00fdac	000a0102e6	000a0012ce	000a01049f	
000a001060	True	1948				亜	-	0	0-0-0-0	000a001298	000a007c05	000a000f3d	000a019b3d	000a001229	000a007849	000a00114e	000a007a1d	000a001624	000a007ffa	000a00122a	000a00a0e2	000a0012b6	000a008459	000a00114f	000a007ffd	000a0011a2	000a007a24	000a001124	000a008c8c	000a001620	000a0102f5	000a0011b4	000a014cf1	000a001988	000a01822a	000a00fdac	000a0102e6	000a0012db	000a015163	000a001150	000a008cbb	000a001332	000a008cbc	000a001121	000a008cbd	000a00164b	000a008124	000a001125	000a008cbd	000a001158	000a010499	000a0012d9	000a014764	000a001cd9	000a01049d	000a001157	000a00a304	000a001691	000a014cf2	000a00114d	000a014857	000a0168d8	000a018226	000a00fdad	000a0132c7	000a0012f0	000a0132ca	000a001121	000a0104b0	000a0012e8	000a015162	
000a001496	True	1948				伊	-	0	0-0-0-0	000a00121c	000a008bfc	000a000573	000a008bfa	000a0019b2	000a008bfb	000a0011ef	000a008cd3	000a0014a9	000a0094f0	000a0011a7	000a015513	000a001a24	000a015521	000a00fb6c	000a00989b	000a001295	000a01548e	000a0011b4	000a0081a2	000a00110f	000a008446	000a0011a8	000a008ca0	000a013b9b	000a00fdc4	000a001567	000a008cd3	000a0011f2	000a015520	000a001121	000a009892	000a000e5b	000a01480f	000a00114b	000a0147a0	000a00fdac	000a01548d	000a001157	000a00a304	000a0011b8	000a008d5e	000a001110	000a000438	000a001178	000a008a26	000a0011a9	000a01316a	000a001a10	000a013167	000a001139	000a01551b	000a00165b	000a013c24	000a00114a	000a0148b7	000a001295	000a01548e	000a0011f3	000a01875b	000a0012dc	000a00989a	1952A8100500
000a006970	False	1948				米	-	0	0-0-0-0	000a00115d	000a007687	000a00115e	000a0077a7	000a00115f	000a0077c9	000a001123	000a0077be	000a00114e	000a007852	000a001160	000a007ff0	000a0011c8	000a00792a	000a001124	000a007ffa	000a013d3f	000a0098d5	000a00114f	000a007ffd	000a001139	000a00fdc6	000a001161	000a0102a1	000a001157	000a0102a2	000a000e5b	000a0080f3	000a0012b6	000a008420	000a001125	000a008cbd	000a001620	000a0102f5	000a00115c	000a00fd8f	000a00191d	000a0147ba	000a001150	000a008cbb	000a001332	000a008cbc	000a00113a	000a0102a4	000a001111	000a013111	000a001162	000a01326a	000a001134	000a0102a0	000a001158	000a0104b9	000a0132af	000a0132ae	000a0011cf	000a01029d	000a001150	000a01029e	000a00fdac	000a0102e6	000a001121	000a0102e7	
000a002811	False	1948				米	-	0	0-0-0-0	000a00124a	000a007110	000a00124b	000a008939	000a001259	000a0081ac	000a00124c	000a008d8c	000a0017fb	000a008d8d	000a001212	000a008217	000a00115f	000a0081ab	000a00124d	000a0088f2	000a001256	000a0148f6	000a0011d8	000a0132ea	000a001160	000a0102e3	000a0011c8	000a00792a	000a001685	000a008983	000a001160	000a007ff0	000a0011a5	000a0087b1	000a001195	000a016ed5	000a001892	000a018333	000a001134	000a0130f2	000a00125e	000a013c47	000a0011d9	000a014709	000a001a41	000a01609c	000a001161	000a0102a1	000a001121	000a016d74	000a000e5b	000a0080f3	000a0012b6	000a008420	000a001195	000a014e0e	000a001256	000a008a5e	000a001161	000a0102a1	000a001157	000a0102a2	000a00114d	000a013248	000a001947	000a01315a	
000a0072e8	False	1948				米	-	0	0-0-0-0	000a00124f	000a0078b8	000a001190	000a007978	000a001212	000a0095d2	000a001191	000a007445	000a001431	000a007a9b	000a0011c8	000a00792a	000a001b33	000a0095d1	000a001111	000a0102ad	000a013116	000a0104ad	000a001753	000a0098b6	000a00164c	000a009c15	000a000e5b	000a0080f3	000a0012b6	000a008420	000a00119d	000a0102f2	000a001110	000a008c6e	000a001112	000a01048f	000a001332	000a01476a	000a013115	000a014768	000a001332	000a0104ac	000a001334	000a014769	000a0018e6	000a008ab2	000a001139	000a00a30f	000a001157	000a014767	000a0011cf	000a01029d	000a001150	000a01029e	000a00fdac	000a0102e6	000a001121	000a0102e7	000a00119e	000a0104ab	000a00114d	000a01311e	000a001111	000a013158	000a0019e9	000a01476e	
000a006c20	False	1948				英	-	0	0-0-0-0	000a000e97	000a007521	000a0011fb	000a0072f0	000a0011de	000a00905d	000a0011c8	000a007701	000a000f3d	000a0079c5	000a001123	000a007b73	000a0012ed	000a00905c	000a000e5b	000a0080f3	000a0011f2	000a008d55	000a00114e	000a007a1d	000a001124	000a00fdc8	000a001124	000a007ffa	000a0019d6	000a0102e8	000a001295	000a008b05	000a001729	000a0180f0	000a0011cf	000a01029d	000a001150	000a01029e	000a0011f3	000a01875b	000a0012da	000a014dd5	000a00114f	000a007ffd	000a0011a2	000a007a24	000a001125	000a008cbd	000a00119d	000a016eff	000a001125	000a008cbd	000a001620	000a0102f5	000a0018c8	000a014762	000a00189c	000a014760	000a00114b	000a0147a0	000a00114d	000a01480b	000a0012da	000a014c06	000a001157	000a00a304	
000a006d7b	False	1948				英	-	0	0-0-0-0	000a000f9c	000a0076cd	000a000e8e	000a0076d1	000a001264	000a007486	000a001197	000a007559	000a0011b7	000a016e43	000a001148	000a007726	000a001123	000a00fd86	000a001149	000a007ff4	000a00164c	000a00812b	000a0011b8	000a008206	000a001a5f	000a0148fa	000a001149	000a008a85	000a0011a2	000a014e8a	000a001124	000a007ffa	000a001120	000a00fd8f	000a00114a	000a008c8c	000a0011a2	000a00820c	000a001139	000a00a30f	000a00164d	000a00a310	000a00119d	000a0147ac	000a001158	000a0147aa	000a001a5e	000a01489f	000a001126	000a008c82	000a00114a	000a008c8c	000a001919	000a008a84	000a001121	000a008cbd	000a001110	000a008a7e	000a001125	000a008cbd	000a001620	000a0102f5	000a001121	000a0130b3	000a001126	000a014931	
000a0004f7	True	1948				愛	-	0	0-0-0-0	000a000f88	000a0073e6	000a000f8b	000a007851	000a000e92	000a007fcb	000a001180	000a007899	000a00115e	000a007852	000a0011a0	000a00792a	000a0013f6	000a0196c3	000a001149	000a007ff4	000a0011ef	000a0080df	000a001123	000a0077be	000a001139	000a00fdc6	000a0011a1	000a00841f	000a0012b6	000a008420	000a001178	000a008c22	000a001130	000a0180e3	000a00114a	000a008c8c	000a0011a2	000a00820c	000a00fb6c	000a00989b	000a0012b6	000a008125	000a001124	000a007ffa	000a013d3f	000a0098d5	000a00113a	000a0102a4	000a001111	000a013111	000a0011a2	000a0102e5	000a0011e3	000a00818e	000a00fdac	000a0102e6	000a001121	000a0102e7	000a001150	000a013c49	000a001112	000a008c64	000a001131	000a008c90	000a0180e2	000a012b96	
000a0074c7	False	1948				仏	-	0	0-0-0-0	000a000ede	000a007880	000a0011d0	000a00777f	000a001254	000a008196	000a0011a7	000a0074e9	000a0012cd	000a00815d	000a001255	000a012e60	000a001567	000a011eea	000a0011a8	000a008ca0	000a00156d	000a008af9	000a00114f	000a00a30e	000a0011c8	000a008b6d	000a001256	000a014109	000a000e5b	000a0148bb	000a00114a	000a0148b7	000a011eeb	000a011ee9	000a0011a9	000a01316a	000a001a10	000a013167	000a00fb6c	000a013157	000a001946	000a0087b1	000a001150	000a008cbb	000a00119c	000a015456	000a000e5b	000a0080f3	000a00187d	000a01765b	000a001134	000a0130f2	000a001332	000a014108	000a0011cf	000a01029d	000a001126	000a0148b9	000a00114b	000a010497	000a001121	000a0148b6	000a001126	000a011733	000a0018b6	000a011ee8	
000a007208	False	1948				英	-	0	0-0-0-0	000a001181	000a00a1c6	000a000f8b	000a007ac1	000a001657	000a00a1c5	000a001180	000a007899	000a001174	000a007851	000a0012f9	000a0102b3	000a0012ab	000a013c08	000a001149	000a007ff4	000a0011ef	000a0080df	000a00114e	000a007ff2	000a00115e	000a007852	000a001149	000a0102ec	000a001177	000a007b4c	000a0012ac	000a0132b9	000a013c07	000a016cfd	000a00114a	000a008c8c	000a0011a2	000a00820c	000a00fb6c	000a00989b	000a0012b6	000a008125	000a00114f	000a007ffd	000a001111	000a009c17	000a001123	000a0077be	000a001139	000a00fdc6	000a00114a	000a008c8c	000a0011a2	000a0120e4	000a001178	000a008445	000a001691	000a008234	000a0012ad	000a0132b0	000a0132b1	000a0132b8	000a001126	000a015f6a	000a0012e8	000a01655d	
000a000e6d	True	1948				英	-	0	0-0-0-0	000a000fc5	000a0072ce	000a0011a3	000a00740d	000a000f8b	000a007a6e	000a0011a4	000a0076a6	000a0013a4	000a006b33	000a001180	000a007899	000a001174	000a007a22	000a0011a5	000a0081a1	000a0012cd	000a008c6c	000a0011b3	000a0102f4	000a00132e	000a008bd9	000a001149	000a007ff4	000a0011ef	000a0080df	000a00114e	000a007ff2	000a001520	000a008b5e	000a00114d	000a013248	000a0011f3	000a01476d	000a00114f	000a00a30e	000a0018aa	000a01476c	000a0011b4	000a00989a	000a001125	000a015fa7	000a00114b	000a01485b	000a0002de	000a00a94d	000a00114a	000a008c8c	000a0011a2	000a00820c	000a00fb6c	000a00989b	000a0012b6	000a008125	000a00114f	000a007ffd	000a001111	000a009c17	000a001177	000a008440	000a001170	000a01479f	1951A6053005
000a0075c1	False	1948				仏	-	0	0-0-0-0	000a000fc4	000a007558	000a0011a3	000a007354	000a00154d	000a008463	000a0011a4	000a0076a6	000a00122e	000a00844d	000a00120b	000a013b89	000a001138	000a014e6a	000a0011a5	000a0081a1	000a0012cd	000a008c6c	000a001138	000a008c86	000a0019fa	000a008c87	000a001110	000a008c70	000a001261	000a0098b0	000a001139	000a007fff	000a00164a	000a014e69	000a00114d	000a013248	000a0011f3	000a01476d	000a00114f	000a00a30e	000a0018aa	000a01476c	000a001139	000a007fff	000a013d3f	000a018356	000a0011e3	000a007a8b	000a001691	000a0089d2	000a001111	000a013158	000a00114b	000a012b96	000a00114b	000a008cbb	000a001691	000a01475f	000a00113a	000a0102a4	000a001a5e	000a01048a	000a0012d9	000a014e9f	000a001b5e	000a017c3b	
