日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/06/04	晴	11	11	7	9	92.5	10	10	54.0	良	1:31.9	1.0	5-5-5-5	0.0-39.5	39.5	佐賀	202255060411	SAGAリベンジャー	202255060411	05491	田中直人	ダ	1400	432	-4	0.0
2022/05/15	曇	9	11	6	7	180.7	11	9	54.0	不	0:55.4	2.3	9-9	0.0-35.6	36.5	佐賀	202255051509	あやめ特別	202255051509	05601	金山昇馬	ダ	900	436	0	0.0
2022/05/07	曇	8	10	8	10	49.1	6	7	54.0	良	1:32.8	1.4	8-8-8-9	0.0-39.7	39.8	佐賀	202255050708	ほとめきナイター賞	202255050708	05491	田中直人	ダ	1400	436	4	0.0
2022/04/24	曇	9	10	7	8	12.1	4	5	54.0	重	1:32.9	1.1	4-3-2-5	0.0-40.0	40.8	佐賀	202255042409	KYUSHUDREA	202255042409	05548	竹吉徹	ダ	1400	432	-9	3.6
2022/04/10	晴	5	10	6	6	42.7	7	10	54.0	良	2:06.0	5.5	7-6-8-10	0.0-37.7	41.9	佐賀	202255041005	ル・プランタン賞(G)	202255041005	05601	金山昇馬	ダ	1800	441	4	0.0
2022/03/18	曇	10	11	2	2	8.6	3	2	54.0	不	1:32.6	0.0	7-7-7-5	0.0-40.9	39.9	佐賀	202255031810	ブライトスター特選	202255031810	05548	竹吉徹	ダ	1400	437	13	18.0
2022/02/19	雨	3	14	8	13	112.4	10	13	54.0	稍	1:02.0	2.3	12-12	34.7-36.4	37.3	小倉	202210020303	3歳未勝利	202210020303	01015	古川吉洋	ダ	1000	424	0	0.0
2022/01/12	晴	5	10	2	2	6.3	3	2	54.0	良	1:33.4	1.0	4-3-2-2	0.0-40.2	41.1	佐賀	202255011205	JRA交流ミヤマキリ	202255011205	01147	城戸義政	ダ	1400	424	-8	90.0
2021/11/20	晴	4	16	5	10	325.0	14	16	54.0	良	1:12.0	2.4	14-13	34.9-34.7	35.6	福島	202103020504	2歳未勝利	202103020504	01147	城戸義政	芝	1200	432	8	0.0
2021/08/28	晴	9	14	6	10	36.6	6	6	53.0	良	1:10.4	1.1	8-6	34.7-34.6	35.2	小倉	202110040509	ひまわり賞(OP)	202110040509	01147	城戸義政	芝	1200	424	8	0.0
2021/08/14	雨	2	15	2	3	69.4	10	3	54.0	不	1:10.9	0.2	5-5	33.8-36.9	36.5	小倉	202110040102	2歳未勝利	202110040102	01147	城戸義政	芝	1200	416	0	130.0
2021/07/10	小雨	2	16	8	16	15.5	4	10	54.0	良	1:10.9	0.8	5-5	33.5-36.6	37.1	小倉	202110030302	2歳未勝利	202110030302	01147	城戸義政	芝	1200	416	4	0.0
2021/07/03	小雨	5	16	4	7	99.1	13	5	54.0	良	1:11.0	0.9	13-12	34.5-35.6	34.9	小倉	202110030105	2歳新馬	202110030105	01147	城戸義政	芝	1200	412	0	70.0
