rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		プロシージャー	牡5	57.0		澤田龍哉	1:43.4		1-1-1-1	38.2	15.0	7	489	3		矢野義幸		石瀬丈太郎	400.0
2	4	4		ジョーグランツ	牡5	57.0		橋本直哉	1:43.7	1.1/2	6-4-1-2	38.5	2.4	1	476	0		小久保智		上田けい子	160.0
3	8	9		ジオパークボス	牡5	57.0		伊藤裕人	1:44.4	3.0	3-3-1-3	39.2	5.1	3	456	2		藤田輝信		小関勝紀	100.0
4	3	3		ノートゥルレーヴ	牝5	49.0		中島良美	1:44.5	3/4	5-6-7-7	38.6	3.7	2	481	2		出川克己		（有）キャロットフ	60.0
5	8	8		イージーナウ	牝4	55.0		町田直希	1:44.5	ハナ	2-2-4-5	39.3	10.1	4	467	-3		内田勝義		（有）グランド牧場	40.0
6	7	7		ヤマニンウリエル	牡5	56.0		櫻井光輔	1:44.8	1.1/2	7-7-6-6	39.2	10.3	5	508	3		山崎尋美		土井久美子	
7	2	2		バルコラベーロ	牡6	57.0		藤江渉	1:45.0	1.0	4-4-5-4	39.5	14.2	6	477	-3		山田正実		冨田藤男	
8	1	1		ナスノフラッシュ	牡7	57.0		半澤慶実	1:45.4	2.0	9-8-9-9	39.2	142.3	9	519	0		宇野木博		甲原晃	
9	6	6		ウインブルースカイ	牡7	57.0		高橋哲也	1:45.4	クビ	8-9-8-8	39.5	23.8	8	479	-1		河津裕昭		（株）ウイン	
