日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/01/16	晴	11	16	6	12	92.3	13	4	53.0	良	2:12.4	0.7	12-12-12-12	36.0-35.1	34.9	中京	202207010611	日経新春杯(G2)	202207010611	01019	芝	2200	448	0	860.0
2021/11/14	晴	11	16	6	11	31.2	11	5	53.0	良	2:00.1	0.9	11-12-12-9	33.6-37.6	35.4	福島	202103020411	福島記念(G3)	202103020411	01176	芝	2000	448	-2	410.0
2021/09/05	晴	11	17	7	14	41.0	11	8	53.0	良	1:58.9	0.5	14-13	35.3-34.4	34.0	新潟	202104040811	新潟記念(G3)	202104040811	01162	芝	2000	450	0	0.0
2021/07/10	曇	11	13	4	5	7.6	5	1	54.0	稍	2:01.2	-0.1	12-11-13-12	35.7-36.3	34.4	福島	202103010311	阿武隈S(3勝クラス)	202103010311	01075	芝	2000	450	6	1849.4
2021/04/18	晴	12	11	8	11	11.6	6	4	54.0	稍	2:35.7	0.3	9-9-10-5	29.8-36.8	36.2	中山	202106030812	サンシャインS(3勝クラス)	202106030812	01095	芝	2500	444	-4	270.0
2021/03/07	曇	9	13	6	8	17.3	7	9	57.0	良	2:16.5	0.8	12-12-8-7	37.9-34.7	34.9	中山	202106020409	湾岸S(3勝クラス)	202106020409	05203	芝	2200	448	-2	0.0
2021/01/09	晴	12	12	5	6	6.5	4	1	57.0	良	2:15.2	-0.1	7-7-7-5	37.0-35.0	34.1	中山	202106010212	4歳以上2勝クラス	202106010212	01075	芝	2200	450	6	1100.0
2020/12/20	晴	12	11	6	7	3.0	1	4	57.0	良	2:17.2	2.1	5-6-6-5	36.3-36.7	34.8	中京	202007030612	尾張特別(2勝クラス)	202007030612	01095	芝	2200	444	2	230.0
2020/11/07	曇	12	16	5	9	3.6	2	2	56.0	良	2:44.0	0.2	9-9-9-8	39.8-35.5	35.1	福島	202003030312	土湯温泉特別(2勝クラス)	202003030312	01144	芝	2600	442	0	610.0
2020/09/26	小雨	10	12	6	7	5.4	4	3	57.0	稍	2:35.1	0.1	5-5-6-3	30.9-37.4	36.6	中山	202006040610	九十九里特別(2勝クラス)	202006040610	01075	芝	2500	442	0	383.7
2020/07/19	晴	9	16	2	4	2.6	1	2	56.0	良	2:40.9	0.3	6-6-5-3	36.4-37.2	36.6	福島	202003020609	信夫山特別(2勝クラス)	202003020609	01075	芝	2600	442	2	609.6
2020/05/31	曇	8	12	7	9	3.8	2	3	57.0	良	2:25.0	0.4	7-8-8-6	36.9-35.3	34.9	東京	202005021208	青嵐賞(2勝クラス)	202005021208	05339	芝	2400	440	-4	383.7
2020/04/04	晴	9	11	4	4	6.3	4	4	57.0	良	2:34.0	0.4	2-2-2-1	30.4-35.8	36.2	中山	202006030309	安房特別(2勝クラス)	202006030309	01096	芝	2500	444	8	230.0
2019/09/21	曇	9	11	2	2	6.3	2	3	54.0	良	2:35.1	0.0	5-5-8-7	31.8-34.8	34.2	中山	201906040609	九十九里特別(2勝クラス)	201906040609	01096	芝	2500	436	0	383.6
2019/08/10	晴	7	8	2	2	2.3	1	1	54.0	良	2:28.6	0.0	3-3-3-3	37.2-34.3	34.2	新潟	201904020507	3歳以上1勝クラス	201904020507	01075	芝	2400	436	-2	750.0
2019/07/14	小雨	9	14	8	13	4.3	2	2	54.0	重	2:42.9	0.1	7-7-5-4	36.4-37.8	37.3	福島	201903020609	開成山特別(1勝クラス)	201903020609	05386	芝	2600	438	2	429.2
2019/05/11	晴	6	11	2	2	4.4	3	1	56.0	良	2:32.0	-0.1	5-5-5-5	37.4-34.8	34.4	新潟	201904010506	3歳未勝利	201904010506	01095	芝	2400	436	-6	500.0
2019/03/24	晴	4	15	4	7	5.5	3	5	56.0	良	2:15.8	0.4	8-7-7-3	37.1-37.0	36.8	中山	201906030204	3歳未勝利	201906030204	00663	芝	2200	442	-4	50.0
2019/02/11	曇	5	14	5	8	28.2	7	4	56.0	良	2:30.0	0.5	11-12-11-9	37.7-34.1	33.7	東京	201905010505	3歳未勝利	201905010505	01075	芝	2400	446	0	75.0
2018/11/25	晴	4	11	4	4	43.0	9	9	55.0	良	1:51.2	1.6	8-8-8	37.7-33.5	34.2	東京	201805050804	2歳新馬	201805050804	01075	芝	1800	446	0	0.0
