waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017103761	ソレユケタケコ			a0036	吉本隆記	a01e2	頼本盛行	474	11
2	2	2016104954	ドリームリッチ			a0201	岩永千明	05690	松島壽	453	-1
3	3	2014101535	アクラー			00409	鮫島克也	05059	大島静夫	473	7
4	4	2016102299	シゲルアメジスト			05501	山下裕貴	05005	九日俊光	498	2
5	5	2015102488	ノーモアサイレンス			00418	兒島真二	a01eb	井樋明正	424	2
6	6	2016104406	エイシントルーパー			05147	長田進仁	a00f6	中野博	453	14
7	7	2017105678	マウンテンアリス			a042c	飛田愛斗	05106	真島元徳	461	-4
7	8	2016104445	ビップナディア			05601	金山昇馬	05333	矢野久美	420	4
8	9	2015109033	マロンスライム			05491	田中直人	a01eb	井樋明正	457	16
8	10	2015110058	マーベラステソーロ			05587	小松丈二	05601	東眞市	467	-1
