rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		マイネルイヴィンス	セ4	56.0		吉村智洋	2:04.9		4-3-1-1	40.0	1.0	1	500	3		坂本和也		岡田壮史	70.0
2	4	4		ミッキーガーデン	牡5	56.0		田中学	2:06.6	大	9-9-4-3	40.8	32.7	5	464	7		岡田利一		野田みづき	19.6
3	6	7		モツ	牝4	54.0		下原理	2:06.8	1.0	1-1-2-2	42.0	9.9	2	446	4		新子雅司		山下良子	9.8
4	2	2		ビップヴァリアント	牡5	56.0		永井孝典	2:07.2	2.1/2	5-5-3-4	41.9	70.3	9	504	0		田村彰啓		伊勢光	7.0
5	6	6		ウインディシティー	牡5	56.0		廣瀬航	2:07.4	1.1/2	6-6-4-5	42.0	40.9	6	462	5		高馬元紘		沖田方子	5.6
6	8	11		エイシンフォーラン	牡4	56.0		川原正一	2:07.9	3.0	7-7-6-6	42.0	17.7	3	506	7		森澤友貴		平井克彦	
7	5	5		グランプリシップ	牡6	56.0		小谷周平	2:08.0	クビ	11-11-11-9	40.5	26.5	4	481	-2		稻田彰宏		組）オールザベスト組	
8	8	10		カフジマーキュリー	牡4	56.0		板野央	2:08.7	4.0	10-10-10-8	42.1	59.2	8	479	5		黒田隆男		（株）ファーストビ	
9	3	3		ハドロサウルス	牡6	56.0		松木大地	2:08.9	3/4	8-8-7-7	43.0	54.7	7	430	3		稻田彰宏		角山喜信	
10	7	8		オースミヌーベル	牡4	56.0		山田雄大	2:09.9	6.0	2-2-8-10	44.3	118.9	11	480	1		新井隆太		（株）さくらコーポ	
11	7	9		サンチャールストン	牡6	56.0		杉浦健太	2:11.3	8.0	3-4-9-11	45.5	94.8	10	470	5		山口益巳		谷謙介	
