waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016101605	メイショウフクイク	牝5	55.0	01034	酒井	01041	藤沢則	492	0
1	2	2018105828	ナオミゴゼン	牝3	52.0	01115	浜中	01158	寺島	478	2
2	3	2017106714	サンマルキャンディ	牝4	55.0	01125	国分優	01032	大根田	516	-8
2	4	2018106157	タイセイヴィーナス	牝3	52.0	01019	秋山真	01065	大橋	456	-1
3	5	2016102443	ルンルンキャット	牝5	55.0	05525	藤井勘	01159	高柳大	460	12
3	6	2018105276	リアンクール	牝3	52.0	01014	福永	00438	安田隆	484	2
4	7	2017106788	アイアイテーラー	牝4	55.0	01099	鮫島良	01050	飯田雄	460	0
4	8	2018104416	クラーロイメル	牝3	52.0	01138	藤懸	01129	高橋忠	436	4
5	9	2018104966	ギブミーラブ	牝3	52.0	01126	松山	01062	藤岡	488	2
5	10	2018105325	ダノンシュネラ	牝3	52.0	01174	岩田望	01071	池江	504	12
6	11	2018105304	グッドインパクト	牝3	52.0	01116	藤岡康	01018	宮	432	-6
6	12	2018102454	ラグラスドシエル	牝3	52.0	01157	鮫島駿	00411	浅見	428	2
7	13	2018106508	メイショウハナモモ	牝3	51.0	01168	富田	01083	松永昌	454	-6
7	14	2017102196	タマモパッション	牝4	55.0	00732	幸	01065	大橋	504	16
8	15	2018106569	エナジーロッソ	牝3	52.0	01154	松若	01159	高柳大	470	-4
8	16	2018102071	キオネヴェリテ	牝3	51.0	01178	斎藤	01039	中竹	532	14
