rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	3	3		キクノゼファー	牡5	56.0		戸部尚実	1:43.1		1-1-1	38.3	1.2	1	476	-6		川西毅		菊池靖二	50.0
2	1	1		トリマゴラッキ	牝4	54.0		岡部誠	1:44.2	5.0	6-6-2	39.0	5.2	2	424	4		竹下直人		森哲	16.0
3	5	5		ペイシャゲラン	牝6	54.0		加藤聡一	1:44.9	3.0	3-3-2	39.9	15.5	5	462	2		今津博之		林由真	9.0
4	4	4		ヤコウレッシャ	牡6	56.0		大畑雅章	1:45.2	1.1/2	2-2-4	40.3	13.6	3	498	2		今津博之		道地房男	6.0
5	2	2		ウォーターレラ	牝5	54.0		友森翔太	1:46.1	4.0	4-3-5	41.1	35.0	6	483	0		塚田隆男		山岡良一	4.0
6	7	7		マイネルカピターノ	牡4	54.0		木之前葵	1:46.5	2.0	5-5-6	41.4	14.2	4	497	-1		錦見勇夫		錦見日出雄	
7	6	6		アイファーハート	牝8	54.0		横井将人	1:47.9	7.0	7-7-7	42.2	93.0	7	449	2		宇都英樹		（有）ミドルアイラ	
