rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		グリトニル	牡6	56.0		石川倭	1:32.2		2-2-2-1	39.0	1.2	1	445	-5		手島勝利		谷謙介	27.0
2	3	3		ニットウシェリー	牝5	54.0		倉富隆一	1:33.3	6.0	1-1-1-2	40.1	21.6	4	458	2		山田徹		倉重博文	8.1
3	1	1		ラシックアンレーヴ	牝3	54.0		竹吉徹	1:33.8	2.1/2	7-7-7-5	39.7	6.2	2	479	1		山田義人		瀬戸竜男	4.3
4	2	2		フラワーカントリー	牝3	54.0		吉田順治	1:35.0	6.0	3-3-3-4	41.3	127.1	9	413	-4		柳井宏之		谷脇智恵子	2.2
5	5	5		アルティフェクス	牡3	54.0		金山昇馬	1:35.0	クビ	6-6-4-3	41.1	181.6	10	539	9		矢野久美		（同）ＪＰＮ技研	1.6
6	4	4		ゴルディロックス	牝4	54.0		田中直人	1:35.1	1/2	10-10-10-10	39.5	25.8	5	409	-6		井樋明正		小橋亮太	
7	7	8		ハローサンキュー	牝3	54.0		長田進仁	1:35.2	1/2	9-9-9-9	40.1	111.3	8	456	0		矢野久美		矢野龍一	
8	8	9		ジヴァ	牝4	54.0		石川慎将	1:35.2	ハナ	5-5-6-8	41.3	9.6	3	412	0		石川浩文		原大栄	
9	6	6		メイショウヒノヤマ	牡3	53.0		飛田愛斗	1:35.4	1.1/4	8-8-8-6	40.8	63.0	7	477	-4		松島壽		組）ＦｏｒｃｅＥｑ	
10	7	7		アーティクル	牝4	54.0		村松翔太	1:35.6	1.0	4-4-5-7	41.8	26.7	6	442	-5		西久保政		小橋亮太	
