rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	12		マロンスター	牝6	54.0		高橋哲也	1:31.9		4-3-2-2	40.9	4.1	2	450	2		横山保		子安一光	80.0
2	8	11		アゲマキ	牝6	54.0		山林堂信	1:31.9	アタマ	1-1-1-1	41.2	5.1	4	435	-5		加藤誠一		田中良輝	28.0
3	3	3		ピースオブホホエミ	牝6	54.0		笠野雄大	1:32.7	4.0	2-2-4-3	41.5	8.2	5	417	0		矢内博		石井智	16.0
4	6	7		ワンダーバイック	牡6	56.0		橋本直哉	1:33.7	5.0	9-9-9-9	40.9	29.7	8	440	-6		鈴木勝文		山本能成	12.0
5	5	6		ケイエムキング	牡6	56.0		内田利雄	1:33.8	3/4	11-10-10-10	40.4	17.6	7	426	-5		宮下靖旨		平井頼行	8.4
6	1	1		アマリアローズ	牝7	54.0		半澤慶実	1:33.9	クビ	8-8-8-7	41.3	107.6	9	480	-1		牛房栄吉		荻田常人	
7	4	4		ヴィクトリーノース	牝7	54.0		本田紀忠	1:34.0	クビ	7-6-5-4	42.2	14.8	6	481	-7		田島寿一		組）ゴッテスフルス	
8	7	10		サカジロマリン	牝9	54.0		山中悠希	1:34.1	3/4	3-4-6-6	42.5	169.3	11	456	2		玉井勝		廣川正之	
9	6	8		ルドベキア	牝5	54.0		秋元耕成	1:34.3	3/4	10-11-11-11	40.9	237.4	12	472	-1		冨田敏男		冨田藤男	
10	7	9		ハニープレッツェル	牝7	54.0		見越彬央	1:34.3	クビ	6-7-7-8	42.1	4.6	3	444	11		酒井一則		（株）ボンズ	
11	5	5		ポッドタイム	牡8	56.0		国分祐仁	1:34.8	2.1/2	12-12-12-12	41.0	150.4	10	470	1		吉田正美		冨田藤男	
12	2	2		ナインハーモニー	牡4	56.0		山口達弥	1:35.6	4.0	5-5-3-5	44.4	3.4	1	471	2		林正人		西森功	
