	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201755071702	ダ	右	1300	曇	良	12:25	2歳ー2組		2017-7-17	8	佐賀	2	(馬齢)		1.0	120.0	1.0	1.0	100.0	1.0	3.0	120.0	2.0	9.0	190.0	4.0	1-3	250.0	1.0	1-3	130.0	1.0	1-9	170	2.0	3-9	1,120	13.0	1=>3	320.0	1.0	1-3-9	750.0	3.0	1=>3=>9	1560.0	4.0	267591843.0	276951843.0	279168354.0	139247685.0			1-3	240.0	1.0
201755071703	ダ	右	1300	曇	良	12:55	チャレンジシリーズ		2017-7-17	8	佐賀	2	(馬齢)		6.0	3370.0	7.0	6.0	760.0	7.0	4.0	820.0	8.0	8.0	190.0	3.0	4-6	19490.0	30.0	4-6	4,030	29.0	6-8	2,450	20.0	4-8	2,580	21.0	6=>4	48580.0	56.0	4-6-8	32100.0	56.0	6=>4=>8	708260.0	416.0	462859173.0	462859173.0	462589173.0	462958137.0			4-6	10750.0	19.0
201755071704	ダ	右	1400	曇	良	13:25	マリンフラワー賞		2017-7-17	8	佐賀	2	(馬齢)		6.0	430.0	2.0	6.0	130.0	2.0	7.0	440.0	7.0	4.0	120.0	1.0	6-7	6970.0	17.0	6-7	1,140	12.0	4-6	160	1.0	4-7	1,370	14.0	6=>7	9700.0	22.0	4-6-7	4120.0	15.0	6=>7=>4	43080.0	99.0	34675218.0	34657218.0	34652718.0	76432518.0					
201755071705	ダ	右	1400	晴	良	13:55	マリンブルー賞		2017-7-17	8	佐賀	2	(馬齢)		1.0	380.0	2.0	1.0	230.0	5.0	3.0	230.0	4.0	10.0	1,100	7.0	1-3	1010.0	6.0	1-3	530	9.0	1-10	2,350	19.0	3-10	2,970	26.0	1=>3	2110.0	10.0	1-3-10	14750.0	41.0	1=>3=>10	48750.0	117.0	37106412895.0	37106418259.0	37110268459.0	31107284569.0			1-3	900.0	5.0
201755071706	ダ	右	1400	晴	良	14:25	JRA認定2歳ー1組		2017-7-17	8	佐賀	2	(馬齢)		6.0	250.0	2.0	6.0	120.0	2.0	1.0	110.0	1.0				1-6	190.0	1.0	1-6	130	1.0	4-6	270	4.0	1-4	250	3.0	6=>1	600.0	2.0	1-4-6	400.0	2.0	6=>1=>4	1870.0	6.0	1246573.0	1246537.0	1246573.0	6142735.0					
201755092301	ダ	右	1300	曇	良	11:45	2歳ー4組		2017-9-23	11	佐賀	1	(馬齢)		7.0	360.0	2.0	7.0	100.0	2.0	6.0	100.0	1.0				6-7	150.0	1.0	6-7	130	1.0	2-7	600	9.0	2-6	230	3.0	7=>6	420.0	2.0	2-6-7	610.0	2.0	7=>6=>2	4480.0	18.0	1465723.0	4165723.0	6417523.0	6741253.0					
201755100701	ダ	右	1300	曇	重	11:15	2歳ー4組		2017-10-7	12	佐賀	1	(馬齢)		3.0	140.0	1.0	3.0	110.0	1.0	5.0	190.0	4.0	4.0	180	3.0	3-5	1110.0	3.0	3-5	320	3.0	3-4	300	2.0	4-5	2,430	23.0	3=>5	840.0	4.0	3-4-5	2590.0	8.0	3=>5=>4	7360.0	25.0	69723510148.0	69732510148.0	96732514108.0	93524711068.0			3-5	1400.0	6.0
201755102101	ダ	右	1300	曇	良	11:15	2歳ー4組		2017-10-21	13	佐賀	1	(馬齢)		4.0	13760.0	10.0	4.0	3,680	11.0	3.0	870.0	9.0	7.0	230	4.0	3-4	69900.0	53.0	3-4	17,910	56.0	4-7	7,710	37.0	3-7	3,760	30.0	4=>3	227060.0	123.0	3-4-7	181080.0	158.0	特	70.0		493126187105112.0	491231768521110.0	491231756211810.0	412397152116810.0			3-4	43420.0	29.0
201755110401	ダ	右	1300	晴	良	11:00	C2ー27組		2017-11-4	14	佐賀	1	(馬齢)		10.0	230.0	2.0	10.0	120	2.0	9.0	110.0	1.0	5.0	130	3.0	9-10	110.0	1.0	9-10	110	1.0	5-10	900	11.0	5-9	900	10.0	10=>9	240.0	1.0	5-9-10	1210.0	5.0	10=>9=>5	2820.0	9.0	10965284713.0	10965284173.0	10956284713.0	10956824713.0			8-8	110.0	1.0
201755110402	ダ	右	1300	晴	良	11:30	C2ー25組		2017-11-4	14	佐賀	1	(馬齢)		9.0	100.0	1.0	9.0	110	1.0	5.0	300.0	6.0	8.0	400	9.0	5-9	750.0	2.0	5-9	280	2.0	8-9	610	7.0	5-8	2,980	27.0	9=>5	640.0	2.0	5-8-9	3110.0	14.0	9=>5=>8	5050.0	20.0	5961017411823.0	5910164117823.0	5910611148723.0	9561011842173.0			5-7	510.0	3.0
