	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201747020705	ダ	右	1400	晴	稍重	13:50	サラ系C20組		2017-2-7	19	笠松	2	(馬齢)		1	120	1	1.0	100	1.0	3.0	100	2.0	7.0	110	3.0	1-3	210	1	1-3	110	1.0	1-7	150	2.0	3-7	330	5.0	1=>3	200	1	1-3-7	310.0	2.0	1=>3=>7	560.0	1.0		34127685	3,1,4,7,2,8,6-5	13748265					
201747020706	ダ	右	1400	曇	良	14:25	サラ系C16・19組		2017-2-7	19	笠松	2	(馬齢)		6	380	2	6.0	120	2.0	5.0	110	1.0	4.0	430	6.0	5-6	160	1	5-6	110	1.0	4-6	1,380	14.0	4-5	820	9.0	6=>5	840	3	4-5-6	2030.0	5.0	6=>5=>4	5680.0	14.0		16284537	6,1,(8,5),4,2,3,7	65184237					
201747022101	ダ	右	1400	晴	重	11:30	サラ系C21組		2017-2-21	20	笠松	2	(馬齢)		8	150	1	8.0	100	1.0	2.0	100	2.0	3.0	100	3.0	2-8	180	1	2-8	100	1.0	3-8	120	2.0	2-3	140	3.0	8=>2	310	1	2-3-8	130.0	1.0	8=>2=>3	470.0	1.0		2,8,5,1,3,7,4-6	2,8,5,3,1,4,7-6	2,8,5,3-1-4,7-6					
201747022102	ダ	右	1400	晴	重	12:05	サラ系C17・20組		2017-2-21	20	笠松	2	(馬齢)		2	110	1	2.0	100	1.0	3.0	120	2.0	7.0	280	6.0	2-3	190	1	2-3	120	1.0	2-7	620	8.0	3-7	1,350	12.0	2=>3	210	1	2-3-7	1440.0	5.0	2=>3=>7	3110.0	10.0		234758169	237458961	2,3,(4,7),5-8,9,6,1			2-3	290.0	2.0
201747022103	ダ	右	1400	晴	重	12:35	サラ系C16組		2017-2-21	20	笠松	2	(馬齢)		4	150	1	4.0	100	2.0	7.0	100	1.0	6.0	600	8.0	4-7	120	1	4-7	110	1.0	4-6	1,090	10.0	6-7	1,160	11.0	4=>7	320	2	4-6-7	1760.0	5.0	4=>7=>6	4010.0	12.0		4,5,7,2,6,(1,9),3,8	4,7-2,5,6,9,1,3,8	4,7-6,2,5,1,9,3,8			4-7	100.0	1.0
201747030901	ダ	右	1400	晴	良	10:50	サラ系3歳7組		2017-3-9	21	笠松	2	(馬齢)		10	240	1	10.0	130	1.0	3.0	250	5.0	2.0	170	4.0	3-10	870	3	3-10	440	6.0	2-10	330	2.0	2-3	920	14.0	10=>3	1270	4	2-3-10	1600.0	4.0	10=>3=>2	6100.0	20.0		31019784265.0	31029781456.0	10329874156.0			3-8	860.0	4.0
201747030902	ダ	右	1400	晴	良	11:20	サラ系3歳6組		2017-3-9	21	笠松	2	(馬齢)		5	1120	4	5.0	260	4.0	4.0	120	2.0	7.0	180	3.0	4-5	500	3	4-5	220	3.0	5-7	470	6.0	4-7	180	2.0	5=>4	1530	5	4-5-7	610.0	3.0	5=>4=>7	4120.0	15.0		25106473819	25104176389	(2,5),4,10,7,1,6,3,9,8			4-5	490.0	3.0
201747030903	ダ	右	1400	晴	良	11:55	サラ系3歳5組		2017-3-9	21	笠松	2	(馬齢)		4	120	1	4.0	100	1.0	3.0	130	2.0	8.0	160	4.0	3-4	190	1	3-4	130	1.0	4-8	170	2.0	3-8	240	3.0	4=>3	260	1	3-4-8	280.0	1.0	4=>3=>8	600.0	1.0		2,3,4,8-7-10,6,1,5-9	2,3,4-8-7-6,10,1-5-9	3,4,2,8=7,(6,1)-10,5,9			3-4	190.0	1.0
201747030904	ダ	右	1400	晴	良	12:30	サラ系C16組		2017-3-9	21	笠松	2	(馬齢)		6	150	1	6.0	100	1.0	9.0	100	2.0	3.0	120	3.0	6-9	170	1	6-9	110	1.0	3-6	160	2.0	3-9	190	3.0	6=>9	210	1	3-6-9	240.0	1.0	6=>9=>3	520.0	1.0		237981654	2,3,7,9,6,8,1,5-4	(2,3),9,6,7,8,1,5-4			6-8	180.0	1.0
201747030905	ダ	右	1400	晴	良	13:00	新井貢生誕30周年記		2017-3-9	21	笠松	2	(馬齢)		6	370	2	6.0	140	2.0	2.0	540	7.0	7.0	110	1.0	2-6	14120	18	2-6	2,330	16.0	6-7	130	1.0	2-7	1,130	12.0	6=>2	21910	27	2-6-7	2580.0	8.0	6=>2=>7	55580.0	99.0		5,7,3,10,2,6,9,1,4=8	(5,7),10,3,9,2,6,1=8,4	7,5,(2,10,6),3,9,1=8,4			2-6	22030.0	20.0
201747030906	ダ	右	1400	晴	良	13:30	サラ系C11・14組		2017-3-9	21	笠松	2	(馬齢)		2	140	1	2.0	100	2.0	1.0	100	3.0	5.0	100	1.0	1-2	190	1	1-2	120	1.0	2-5	130	2.0	1-5	130	3.0	2=>1	300	1	1-2-5	150.0	1.0	2=>1=>5	390.0	1.0		12435810679	12453108679	(1,2),4,5,3,10,8,(6,7),9			1-2	160.0	1.0
201747030907	ダ	右	1600	晴	良	14:00	サラ系C10組		2017-3-9	21	笠松	2	(馬齢)		6	400	3	6.0	120	3.0	3.0	100	1.0	5.0	160	4.0	3-6	210	1	3-6	120	1.0	5-6	320	5.0	3-5	270	4.0	6=>3	860	3	3-5-6	540.0	2.0	6=>3=>5	3310.0	10.0		13275698104	3,1,6,5,7,2,9,10,8-4	3,6,1,5,7,9,2,10,8-4			3-6	190.0	1.0
201747081601	ダ	右	1400	曇	不良	11:30	サラ系2歳1組		2017-8-16	8	笠松	3	(馬齢)		5	130	1	5.0	100	1.0	4.0	160	3.0				4-5	320	2	4-5	150	2.0	3-5	130	1.0	3-4	190	3.0	5=>4	500	2	3-4-5	270.0	1.0	5=>4=>3	930.0	3.0		5267314	5,6,2,7,4,3-1	5,4,7,3,(2,6)-1					
201747083101	ダ	右	1400	晴	良	11:30	サラ系3歳11組		2017-8-31	9	笠松	3	(馬齢)		4	1060	5	4.0	230	6.0	8.0	110	1.0	9.0	140	2.0	4-8	1010	4	4-8	410	6.0	4-9	610	10.0	8-9	220	1.0	4=>8	3010	12	4-8-9	1270.0	5.0	4=>8=>9	9650.0	33.0		1,5,8,9,4,3,(2,7),6	4,(5,8),(1,9)-3,7,2,6	4,8,5,9-1-7,(2,6),3			4-8	680.0	4.0
201747083102	ダ	右	1400	晴	良	12:05	サラ系3歳10組		2017-8-31	9	笠松	3	(馬齢)		1	180	1	1.0	110	1.0	5.0	120	2.0				1-5	130	1	1-5	100	1.0	1-2	210	3.0	2-5	170	2.0	1=>5	230	1	1-2-5	210.0	1.0	1=>5=>2	480.0	1.0		2,1,5,7,(3,4),8	2,1,5-(4,7),8,3	2,1,5-7,4,8,3					
201747083103	ダ	右	1400	晴	良	12:40	サラ系3歳9組		2017-8-31	9	笠松	3	(馬齢)		4	1190	4	4.0	130	3.0	7.0	110	2.0	6.0	100	1.0	4-7	2020	7	4-7	350	6.0	4-6	230	3.0	6-7	140	1.0	4=>7	4920	13	4-6-7	420.0	1.0	4=>7=>6	7460.0	26.0		74516823	7,4,6,5,1,8,2-3	7,4,6,5,8,1,2-3					
201747083104	ダ	右	1400	晴	良	13:15	サラ系3歳8組		2017-8-31	9	笠松	3	(馬齢)		7	200	2	7.0	100	1.0	3.0	100	2.0	4.0	110	3.0	3-7	120	1	3-7	110	1.0	4-7	290	4.0	3-4	350	5.0	7=>3	260	2	3-4-7	460.0	2.0	7=>3=>4	1070.0	3.0		957483612	9,4,7,5,3,8,6,1-2	4,(9,7,3),5,8,6,1-2			3-7	110.0	1.0
201747083105	ダ	右	1400	晴	良	13:50	かさオク・サンクス賞		2017-8-31	9	笠松	3	(馬齢)		7	240	2	7.0	110	2.0	6.0	100	1.0	8.0	480	6.0	6-7	190	1	6-7	150	1.0	7-8	870	11.0	6-8	770	10.0	7=>6	350	2	6-7-8	1060.0	5.0	7=>6=>8	2660.0	9.0		1,7,4,8,9,6,(2,5),3	176845923	7,6,1,8,(4,5),2,(9,3)			6-7	190.0	1.0
201747083106	ダ	右	1400	晴	良	14:25	サラ系C6組		2017-8-31	9	笠松	3	(馬齢)		3	610	3	3.0	190	4.0	5.0	210	5.0	6.0	110	1.0	3-5	3150	10	3-5	590	10.0	3-6	190	2.0	5-6	200	4.0	3=>5	5680	14	3-5-6	760.0	5.0	3=>5=>6	10520.0	33.0		673952841	6,7,(3,9),5,2,8,1,4	635279184			3-5	2910.0	10.0
201747083107	ダ	右	1400	晴	良	15:00	サラ系B6組		2017-8-31	9	笠松	3	(馬齢)		4	100	1	4.0	100	1.0	7.0	110	2.0	1.0	150	4.0	4-7	190	1	4-7	120	1.0	1-4	180	3.0	1-7	300	6.0	4=>7	230	1	1-4-7	400.0	2.0	4=>7=>1	880.0	2.0		46712385	47618325	(4,7),1,6,8,3-2,5					
201747083108	ダ	右	1400	晴	良	15:35	サラ系B5組		2017-8-31	9	笠松	3	(馬齢)		3	180	1	3.0	130	2.0	2.0	130	3.0	1.0	170	4.0	2-3	230	1	2-3	180	2.0	1-3	240	4.0	1-2	400	5.0	3=>2	390	1	1-2-3	640.0	2.0	3=>2=>1	1460.0	3.0		23165874.0	23615874.0	23615784.0					
201747083109	ダ	右	1400	晴	良	16:10	秋風ジュニア 		2017-8-31	9	笠松	3	(別定)		2	300	2	2.0	110	1.0	10.0	670	7.0	4.0	210	4.0	2-10	4330	11	2-10	880	11.0	2-4	380	5.0	4-10	1,860	21.0	2=>10	5750	20	2-4-10	4450.0	16.0	2=>10=>4	28800.0	89.0		4,5,9,10,6,2,(3,7),8-1	4,5,9,10,2-6,3,7,8=1	4,(10,5,2),9-(6,3),7,8=1			2-8	720.0	3.0
201747083110	ダ	右	1400	晴	良	16:45	がんばれ!2歳優駿		2017-8-31	9	笠松	3	(馬齢)		7	150	1	7.0	100	1.0	8.0	140	3.0	2.0	160	4.0	7-8	380	2	7-8	160	2.0	2-7	210	3.0	2-8	430	6.0	7=>8	430	2	2-7-8	910.0	3.0	7=>8=>2	1870.0	4.0		72851093146	7,8,2,5-1,9,4,10,6,3	7,8,2,5-1,4,9,6,10,3			7-7	330.0	2.0
201747091501	ダ	右	800	晴	良	11:30	サラ系2歳3組		2017-9-15	10	笠松	4	(馬齢)		3	570	3	3.0	150	4.0	7.0	140	2.0	4.0	110	1.0	3-7	1520	7	3-7	310	5.0	3-4	160	1.0	4-7	180	2.0	3=>7	3220	12	3-4-7	680.0	2.0	3=>7=>4	6320.0	23.0				37461528.0					
201747091502	ダ	右	1400	晴	良	12:00	サラ系C5組		2017-9-15	10	笠松	4	(馬齢)		9	110	1	9.0	100	1.0	7.0	190	4.0	8.0	260	6.0	7-9	500	2	7-9	230	2.0	8-9	340	5.0	7-8	1,500	15.0	9=>7	470	2	7-8-9	1080.0	5.0	9=>7=>8	2730.0	10.0		927618345	9,7,2,8,6,1,3,(4,5)	9,7,2,(1,8),3,6,4,5			7-8	450.0	2.0
201747091503	ダ	右	1400	晴	良	12:30	サラ系C4組		2017-9-15	10	笠松	4	(馬齢)		4	170	1	4.0	110	1.0	6.0	120	3.0	7.0	120	2.0	4-6	480	2	4-6	170	2.0	4-7	120	1.0	6-7	200	4.0	4=>6	740	2	4-6-7	360.0	1.0	4=>6=>7	1100.0	2.0		241763985	247139658	(2,4),7,1,3,6,8,9,5			4-6	450.0	2.0
201747091504	ダ	右	1400	曇	良	13:00	サラ系B10・C3組		2017-9-15	10	笠松	4	(馬齢)		2	2270	5	2.0	230	5.0	8.0	150	3.0	7.0	100	1.0	2-8	4260	9	2-8	490	8.0	2-7	280	5.0	7-8	130	1.0	2=>8	20590	23	2-7-8	1020.0	5.0	2=>8=>7	30090.0	51.0		132758469	1,3,7,8,2,5,4,(6,9)	378215469			2-8	3540.0	9.0
201747091505	ダ	右	1600	曇	良	13:30	好きです!笠松競馬		2017-9-15	10	笠松	4	(馬齢)		4	930	5	4.0	210	5.0	5.0	150	3.0	2.0	170	4.0	4-5	1120	7	4-5	430	7.0	2-4	700	9.0	2-5	240	2.0	4=>5	2590	12	2-4-5	1300.0	5.0	4=>5=>2	8350.0	31.0		124598763	124598673	1,2,(5,4),9,8,6,7,3			4-5	770.0	4.0
201747091506	ダ	右	1400	曇	良	14:00	がんばれ!2歳優駿		2017-9-15	10	笠松	4	(馬齢)		3	270	2	3.0	110	2.0	4.0	140	4.0	8.0	110	1.0	3-4	710	3	3-4	210	4.0	3-8	110	1.0	4-8	210	3.0	3=>4	1020	4	3-4-8	430.0	1.0	3=>4=>8	2760.0	8.0		1,2,8,7,3,5,4-6	3,8,1,2,4,7,5-6	38412756					
201747091507	ダ	右	1400	曇	良	14:30	乙女座特別 		2017-9-15	10	笠松	4	(馬齢)		5	560	4	5.0	140	4.0	4.0	110	2.0	6.0	100	1.0	4-5	450	2	4-5	190	2.0	5-6	250	4.0	4-6	130	1.0	5=>4	1400	6	4-5-6	420.0	1.0	5=>4=>6	4990.0	17.0		4,7,(1,5),6-8,2,3	4,7,5,6-1,(2,3),8	4,5,7,6-2,1,3,8					
201747092801	ダ	右	800	曇	重	11:30	サラ系2歳3組		2017-9-28	11	笠松	3	(馬齢)		6	1120	4	6.0	120	3.0	3.0	100	1.0	2.0	100	2.0	3-6	510	3	3-6	200	3.0	2-6	290	6.0	2-3	130	1.0	6=>3	1780	7	2-3-6	470.0	2.0	6=>3=>2	5970.0	19.0				3,6,2,7,8,1,9,5-4			3-6	590.0	3.0
201747092802	ダ	右	1400	曇	重	12:00	サラ系3歳14組		2017-9-28	11	笠松	3	(馬齢)		8	180	1	8.0	120	1.0	6.0	300	5.0	1.0	320	6.0	6-8	910	2	6-8	380	3.0	1-8	610	8.0	1-6	990	13.0	8=>6	1490	4	1-6-8	3110.0	13.0	8=>6=>1	7910.0	21.0		3,5,6,1,4,9,2,(7,8)	3,5,6,8,1,7,4,9-2	6,(5,8),3,1,7,9,4=2			6-8	580.0	2.0
201747092803	ダ	右	1400	曇	重	12:30	サラ系3歳13組		2017-9-28	11	笠松	3	(馬齢)		7	280	2	7.0	100	2.0	3.0	100	1.0	4.0	110	3.0	3-7	170	1	3-7	110	1.0	4-7	120	2.0	3-4	150	3.0	7=>3	400	2	3-4-7	160.0	1.0	7=>3=>4	900.0	3.0		53724681	53742681	(5,3,7),4=(6,8),1,2					
201747092804	ダ	右	1400	曇	重	13:00	サラ系3歳12組		2017-9-28	11	笠松	3	(馬齢)		4	140	1	4.0	110	1.0	6.0	150	2.0	9.0	740	7.0	4-6	280	1	4-6	190	1.0	4-9	820	12.0	6-9	1,560	17.0	4=>6	390	1	4-6-9	2930.0	11.0	4=>6=>9	6450.0	26.0		694231578	6,9,4,3,2,5,7,1-8	6,9,4,3,2,7,5,1-8			4-6	230.0	1.0
201747092805	ダ	右	1400	曇	重	13:30	好きです!笠松競馬		2017-9-28	11	笠松	3	(馬齢)		6	610	4	6.0	150	3.0	4.0	140	2.0	8.0	120	1.0	4-6	1120	6	4-6	420	8.0	6-8	430	10.0	4-8	220	2.0	6=>4	2130	11	4-6-8	1020.0	3.0	6=>4=>8	8130.0	37.0		(3,4),7,9,2,1,8,6,5	347961825	(3,4),6,7,1,9,8,2,5			4-6	1360.0	7.0
201747092806	ダ	右	1400	曇	重	14:00	サラ系C15組		2017-9-28	11	笠松	3	(馬齢)		7	100	1	7.0	100	1.0	9.0	140	4.0	1.0	140	3.0	7-9	240	1	7-9	130	2.0	1-7	130	1.0	1-9	340	6.0	7=>9	330	2	1-7-9	230.0	1.0	7=>9=>1	560.0	1.0		671924835	796184253	7,9,1,8,4,6,2,5-3			7-8	180.0	1.0
201747092807	ダ	右	1400	曇	重	14:30	笠松園田誘導馬カレン		2017-9-28	11	笠松	3	(馬齢)		4	280	1	4.0	120	1.0	7.0	150	3.0	6.0	470	6.0	4-7	300	1	4-7	160	1.0	4-6	1,160	12.0	6-7	1,360	13.0	4=>7	480	1	4-6-7	3510.0	10.0	4=>7=>6	7230.0	26.0		9,7,(3,8),4,6,1,2,5	7,8,4,6,2,9,3,1-5	4,7,8,2,6-9,3,1=5			4-7	280.0	1.0
201747092808	ダ	右	1400	曇	重	15:00	サラ系C11組		2017-9-28	11	笠松	3	(馬齢)		4	220	1	4.0	130	3.0	9.0	120	1.0	8.0	150	4.0	4-9	810	4	4-9	290	4.0	4-8	160	1.0	8-9	230	3.0	4=>9	1070	3	4-8-9	460.0	1.0	4=>9=>8	2330.0	3.0		798645231	9,8,(7,4),6,5,(2,1),3	9,(8,4),6,7,5,2,1,3			4-8	220.0	1.0
201747092809	ダ	右	1600	曇	重	15:35	雷鳥賞		2017-9-28	11	笠松	3	(馬齢)		6	340	2	6.0	110	1.0	2.0	300	4.0	3.0	810	8.0	2-6	2270	4	2-6	500	4.0	3-6	1,250	11.0	2-3	3,010	19.0	6=>2	3080	6	2-3-6	15450.0	24.0	6=>2=>3	30250.0	50.0		5,8,9,6,7-2,1,4,3	5,8,6,9,7,2-4,3=1	8,5,6,9,7,2,4,3=1			2-6	2110.0	4.0
201747092810	ダ	右	1400	曇	重	16:10	ジュニアクラウン 		2017-9-28	11	笠松	3	(別定)		2	180	1	2.0	110	1.0	10.0	190	4.0	9.0	500	6.0	2-10	870	3	2-10	330	3.0	2-9	990	11.0	9-10	2,820	21.0	2=>10	850	4	2-9-10	4580.0	13.0	2=>10=>9	12790.0	37.0		5101382497	1251087934	(1,2),10,5,8,9,7,4,3			2-8	760.0	4.0
201747101301	ダ	右	1400	雨	稍重	11:00	サラ系3歳3組		2017-10-13	12	笠松	3	(馬齢)		3	100	1	3.0	110	2.0	5.0	780	8.0	6.0	100	1.0	3-5	8000	10	3-5	780	9.0	3-6	130	1.0	5-6	2,630	17.0	3=>5	8740	13	3-5-6	2910.0	8.0	3=>5=>6	22630.0	39.0		85910326417	8,5,9,3,10,(2,6),4,7,1	85391062471			3-5	5090.0	8.0
201747101302	ダ	右	1400	雨	稍重	11:30	好きです!笠松競馬		2017-10-13	12	笠松	3	(馬齢)		5	130	1	5.0	100	1.0	3.0	110	2.0	8.0	120	3.0	3-5	290	2	3-5	160	1.0	5-8	160	2.0	3-8	210	4.0	5=>3	370	1	3-5-8	310.0	1.0	5=>3=>8	710.0	2.0		10,4,2,6,7,3,8,5,(1,9)	(10,5),6,4,8,3,7,2,1,9	5,10,8,(6,3),4,1,7,2,9			3-5	340.0	2.0
201747101303	ダ	右	1400	曇	稍重	12:00	笠松競馬を応援します		2017-10-13	12	笠松	3	(馬齢)		6	1880	5	6.0	330	6.0	7.0	190	3.0	4.0	150	2.0	6-7	2850	12	6-7	930	11.0	4-6	990	12.0	4-7	380	5.0	6=>7	6870	25	4-6-7	4030.0	15.0	6=>7=>4	44620.0	128.0		2,3,7,6,10,5,8,(1,9),4	3,2,7,(6,10),8,5,9,4,1	3,7,6,10,8,(2,5),4,9,1			6-7	2250.0	8.0
201747101304	ダ	右	1400	曇	稍重	12:30	サラ系2歳2組特選		2017-10-13	12	笠松	3	(馬齢)		8	16950	9	8.0	2,130	9.0	4.0	200	4.0	7.0	190	3.0	4-8	15310	25	4-8	4,560	25.0	7-8	4,560	25.0	4-7	290	2.0	8=>4	97500	60	4-7-8	11090.0	27.0	8=>4=>7	157490.0	239.0		4,7,1,9,10,6,(3,8),2	4,7,9,10,6,1,(3,8),2	(4,7),(9,6),10,8,1,2,3			4-7	810.0	3.0
201747101305	ダ	右	1400	曇	稍重	13:05	ザク笠松出陣		2017-10-13	12	笠松	3	(馬齢)		8	110	1	8.0	110	1.0	3.0	190	5.0	1.0	180	4.0	3-8	630	4	3-8	240	3.0	1-8	160	2.0	1-3	480	9.0	8=>3	810	4	1-3-8	640.0	2.0	8=>3=>1	2000.0	8.0		12683571049.0	12873510469.0	18351097426.0			3-7	550.0	3.0
201747101306	ダ	右	1400	曇	稍重	13:35	笠松競馬秋まつりまで		2017-10-13	12	笠松	3	(馬齢)		8	240	2	8.0	110	1.0	5.0	250	5.0	3.0	170	3.0	5-8	2460	8	5-8	600	6.0	3-8	330	2.0	3-5	1,540	17.0	8=>5	3650	12	3-5-8	3420.0	11.0	8=>5=>3	17950.0	54.0		28110369475.0	28101369475.0	82103179654.0			5-7	2010.0	6.0
201747101307	ダ	右	1400	曇	稍重	14:05	サラ系2歳1組特別 		2017-10-13	12	笠松	3	(馬齢)		6	770	4	6.0	140	3.0	7.0	160	4.0	9.0	100	1.0	6-7	1350	6	6-7	360	5.0	6-9	270	3.0	7-9	190	2.0	6=>7	2910	12	6-7-9	690.0	3.0	6=>7=>9	7690.0	28.0		3671410895.0	3671984105.0	3671981054.0			6-7	1240.0	5.0
