rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	14		ロンギングエーオ	牡3	56.0		石橋脩	2:15.0		8-8-3-3	35.8	22.1	5	486	-2		奥村武		坂本浩一	520.0
2	1	2		キントリヒ	牡3	56.0		横山武史	2:15.1	3/4	8-8-10-9	35.4	1.7	1	462	4		矢野英一		Ｇリビエール・レーシング	210.0
3	8	15		サンドレス	牝3	54.0		ルメール	2:15.2	1/2	2-2-2-2	36.2	4.8	2	504	8		大竹正博		シルクレーシング	130.0
4	3	5		フィレンツェ	牡3	56.0		田辺裕信	2:15.6	2.1/2	15-15-14-13	35.4	98.2	12	446	-6		加藤士津		田畑利彦	78.0
5	6	12		タフトテソーロ	牡3	56.0		菅原明良	2:15.7	1/2	11-11-8-6	36.1	59.7	9	460	-2		高木登		了徳寺健二ホールディングス	52.0
6	7	13		ハコダテジョー	牡3	56.0		石川裕紀	2:16.0	1.1/2	1-1-1-1	37.1	36.4	7	464	-6		相沢郁		河内孝夫	
7	1	1		アシタカ	牡3	56.0		岩田康誠	2:16.2	1.1/4	13-13-14-13	36.0	27.9	6	516	2		矢作芳人		広尾レース	
8	2	3		ウェルシュゴールド	牝3	54.0		勝浦正樹	2:16.4	1.1/4	14-13-12-11	36.5	230.8	14	468	-4		粕谷昌央		ヒダカ・ブリーダーズ・ユニオン	
9	6	11		ナンヨーアゼリア	牝3	54.0		戸崎圭太	2:16.4	クビ	6-6-7-6	36.9	9.9	4	420	-2		手塚貴久		中村徳也	
10	5	10		アスクレッドスター	牡3	56.0		内田博幸	2:16.5	3/4	16-16-16-16	36.1	40.7	8	474	-4		田村康仁		廣崎利洋ＨＤ	
11	2	4		ダビド	牡3	53.0		佐々木大	2:16.7	1.1/4	11-11-10-11	37.0	350.0	17	422	-4		菊川正達		八嶋長久	
12	5	9		エーデルフォルム	牡3	56.0		Ｍ．デム	2:16.8	1/2	3-3-3-4	37.6	6.0	3	488	-2		堀宣行		吉田照哉	
13	4	8		ルージュレイア	牝3	54.0		北村宏司	2:17.4	3.1/2	3-3-6-6	38.1	102.3	13	446	0		尾関知人		東京ホースレーシング	
14	3	6		マリノフォルテシモ	牝3	54.0		丸田恭介	2:17.5	1/2	6-6-8-9	37.9	78.7	10	488	-10		松永康利		クラウン	
15	4	7		サクソフォン	牡3	56.0		津村明秀	2:17.7	1.1/2	8-10-13-15	37.6	344.6	16	412	-2		田村康仁		広尾レース	
16	8	16		メノーグラジオラス	牡3	56.0		吉田豊	2:17.7	ハナ	5-5-3-4	38.5	316.5	15	480	-2		戸田博文		清進電設	
17	8	17		ハイエンド	牡3	56.0		坂井瑠星	2:17.8	クビ	17-16-16-17	37.3	96.3	11	520	0		清水久詞		石川達絵	
