	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200835060206	ダ	左	1400	晴	良	13:40	C2一組		2008-6-2	1	盛岡	3			7	350	2	7	120	2	2	110	1	8.0	190	5.0				2-7	190	1	2-7	120	1	7-8	610	11	2-8	390	5	7=>2	820	2	2-7-8	740	3			(1,2),4,5,7,8,6,3	27485613			7=>2=>8	4390.0	13.0
200835060207	ダ	左	1400	晴	良	14:15	3歳C1二組		2008-6-2	1	盛岡	3			5	160	1	5	100	1	8	110	2	3.0	180	5.0	5-7	370.0	2.0	5-8	380	1	5-8	190	1	3-5	280	3	3-8	430	6	5=>8	510	1	3-5-8	730	2			57108329461.0	58710329461.0			5=>8=>3	2560.0	4.0
200835060208	ダ	左	1600	晴	良	14:50	アメジスト賞 		2008-6-2	1	盛岡	3			3	3640	7	3	1,320	11	5	170	3	11.0	110	1.0	3-5	10250.0	21.0	3-5	16700	28	3-5	2,070	20	3-11	1,540	16	5-11	240	2	3=>5	63160	67	3-5-11	6100	16			128115103712469	(1,2),11,3,8,5,7-12,10,6,9,4			3=>5=>11	126160.0	202.0
200835060901	ダ	左	1200	晴	良	11:45	3歳C2三組		2008-6-9	1	盛岡	6			5	720	4	5	420	5	2	860	7	4.0	150	2.0				2-5	4030	14	2-5	800	12	4-5	510	7	2-4	620	9	5=>2	10350	30	2-4-5	4060	14			56724138.0	56274138.0					
200835060902	ダ	左	1200	晴	良	12:20	C2九組		2008-6-9	1	盛岡	6			1	240	1	1	240	3	10	330	5	6.0	600	6.0	1-8	490.0	2.0	1-10	2100	9	1-10	630	6	1-6	1,340	16	6-10	9,030	41	1=>10	3260	13	1-6-10	27180	57			91021386574.0	91021368574.0					
200835060903	ダ	左	1200	晴	良	12:55	C2八組		2008-6-9	1	盛岡	6			6	510	3	6	120	2	5	100	1	2.0	140	3.0	5-6	800.0	5.0	5-6	630	2	5-6	220	2	2-6	390	7	2-5	190	1	6=>5	1610	6	2-5-6	780	1			10648597123	(10,6),4,5,8,2,1,7,9,3					
200835060904	ダ	左	1400	晴	良	13:30	C2三組		2008-6-9	1	盛岡	6			8	710	3	8	480	6	6	110	1	9.0	200	4.0	6-8	430.0	2.0	6-8	2140	10	6-8	790	10	8-9	1,500	19	6-9	300	2	8=>6	8080	25	6-8-9	3690	15			869271543.0	869271354.0					
200835060905	ダ	左	1400	晴	良	14:05	C2二組		2008-6-9	1	盛岡	6			9	3030	7	9	520	8	7	120	2	1.0	100	1.0	7-8	1080.0	4.0	7-9	8590	19	7-9	1,290	15	1-9	1,200	13	1-7	360	3	9=>7	27150	44	1-7-9	4680	16			17921045683.0	17941052683.0			9=>7=>1	81120.0	167.0
200835060906	ダ	左	1400	晴	良	14:40	C2一組		2008-6-9	1	盛岡	6			5	760	4	5	220	5	6	200	4	9.0	190	3.0	5-6	1920.0	9.0	5-6	1520	9	5-6	340	4	5-9	570	9	6-9	630	10	5=>6	2520	13	5-6-9	2990	11			5,4,8,2,10,3,(6,9),1,7	54892671031			5=>6=>9	15400.0	52.0
200835061401	ダ	左	1200	曇	良	10:45	C2十三組		2008-6-14	2	盛岡	1			9	240	2	9	150	3	7	100	1	1.0	420	5.0	7-8	150.0	1.0	7-9	250	1	7-9	130	1	1-9	720	9	1-7	610	7	9=>7	640	3	1-7-9	1140	4			92110785463	9,2,10,1,7,8,5,4-3,6					
200835061402	ダ	左	1200	曇	良	11:20	C2十二組		2008-6-14	2	盛岡	1			2	440	2	2	120	1	1	130	2	10.0	480	9.0	1-2	310.0	1.0	1-2	330	1	1-2	220	1	2-10	1,720	26	1-10	2,630	34	2=>1	680	2	1-2-10	8810	27			15642937108	1,(5,6),2,4,7,9,10,3,8					
200835061403	ダ	左	1200	曇	良	11:55	C2十一組		2008-6-14	2	盛岡	1			5	120	1	5	100	1	10	710	10	9.0	200	3.0	5-8	420.0	3.0	5-10	1020	5	5-10	520	5	5-9	390	4	9-10	1,440	15	5=>10	1100	5	5-9-10	2390	12			5,8,9,10,6,7,(1,2),3,4	5,(8,9),10,6,2,3,1,7,4					
200835061404	ダ	左	1400	曇	良	12:30	C2六組		2008-6-14	2	盛岡	1			6	480	3	6	180	2	7	240	5	1.0	210	4.0	6-7	630.0	3.0	6-7	1610	9	6-7	790	9	1-6	1,140	15	1-7	2,780	27	6=>7	6150	26	1-6-7	9880	33			71048613952.0	71086431952.0					
200835061405	ダ	左	1400	曇	良	13:05	C2五組		2008-6-14	2	盛岡	1			2	520	2	2	170	3	9	530	8	4.0	120	1.0	2-8	1060.0	5.0	2-9	6510	21	2-9	1,060	18	2-4	340	2	4-9	860	11	2=>9	12230	38	2-4-9	5300	20			10347812965.0	10342987561.0			2=>9=>4	37280.0	124.0
200835061406	ダ	左	1400	曇	良	13:40	3歳B2二組		2008-6-14	2	盛岡	1			6	1280	5	6	130	3	4	110	1	7.0	130	2.0	4-6	1160.0	5.0	4-6	830	3	4-6	210	3	6-7	400	5	4-7	170	1	6=>4	2970	11	4-6-7	930	2			487196325.0	478619532.0			6=>4=>7	10260.0	29.0
