	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200851061908	ダ	右	1400	曇	稍重	15:15	C3　4歳以上		2008-6-19	1	姫路	3	(馬齢)		5	540	4	5	210	5	2	160	3	2-5	1920	9	2-5	520	7	1-5	380	5	1-2	640	9	5=>2	3780	16	1-2-5	2710	10	5,7,2,9,8,1,10,4,3-6	5,7,2,9,8,(1,10),4,3-6	5,7,2,8,3,1,9,4,10=6	5,7,2,3,8,1,4,9,10=6			1.0	140	2.0	2-5	2160.0	13.0	5=>2=>1	13330.0	49.0
200851061909	ダ	右	1500	雨	稍重	15:50	東芝ライテック賞 		2008-6-19	1	姫路	3	(馬齢)		3	410	2	3	150	2	4	120	1	3-4	460	1	3-4	210	1	3-10	350	5	4-10	230	2	3=>4	920	2	3-4-10	750	1	7,8,9,6,(2,4),1,3,10-5	7,8,9,6,4,2,1,3,10-5	79846311025	4,3,(7,9),6,10,8,1,2,5			10.0	180	4.0	3-4	460.0	2.0	3=>4=>10	3360.0	5.0
200851062401	ダ	右	1400	曇	稍重	11:10	D3三　4歳以上		2008-6-24	1	姫路	4	(馬齢)		8	270	1	8	140	2	2	410	8	2-8	1450	6	2-8	620	9	6-8	280	2	2-6	1,090	18	8=>2	2270	10	2-6-8	3110	11	98271643	9,8,2,(6,7),1,3,4	98264371	98264731			6.0	220	4.0	2-8	660.0	3.0			
200851062402	ダ	右	1400	曇	稍重	11:40	D3二　4歳以上		2008-6-24	1	姫路	4	(馬齢)		7	120	1	7	100	1	5	110	2	5-7	340	1	5-7	240	2	4-7	130	1	4-5	270	3	7=>5	600	2	4-5-7	380	1	478351629	478351269	475381269	475318269			4.0	110	3.0	5-7	490.0	3.0			
200851062403	ダ	右	1400	曇	稍重	12:10	D3一　4歳以上		2008-6-24	1	姫路	4	(馬齢)		7	190	1	7	100	1	8	110	2	7-8	160	1	7-8	110	1	7-9	410	6	8-9	520	7	7=>8	320	1	7-8-9	550	2	7,8,3,9,5,(2,6),4,1	783956241	7,8,9,3,5,(2,6),4,1	789352164			9.0	200	5.0	7-8	150.0	1.0			
200851062404	ダ	右	1400	曇	稍重	12:40	F3三　3歳		2008-6-24	1	姫路	4	(馬齢)		5	200	1	5	110	1	7	120	2	5-7	270	1	5-7	150	1	1-5	360	5	1-7	310	3	5=>7	540	1	1-5-7	600	1	578149263	578149263	571842936	5,7,1,(2,4),8,3,9,6			1.0	120	3.0	5-7	280.0	1.0			
200851062405	ダ	右	1400	曇	稍重	13:15	F3二　3歳		2008-6-24	1	姫路	4	(馬齢)		2	240	1	2	140	1	7	190	4	2-7	1450	8	2-7	400	5	2-3	470	6	3-7	620	8	2=>7	1840	6	2-3-7	1880	8	7,9,4,3,6,8,(2,5),1	793462851	749326581	724396581			3.0	220	6.0	2-7	1340.0	7.0			
200851062406	ダ	右	1400	曇	良	13:50	F3一　3歳		2008-6-24	1	姫路	4	(馬齢)		1	1210	6	1	230	3	9	920	9	1-9	30520	36	1-9	3,220	32	1-4	1,080	12	4-9	2,020	26	1=>9	34910	68	1-4-9	22630	63	892437156	892437156	8,9,4,2,(3,7),1,5,6	894213576			4.0	250	4.0	1-8	3650.0	17.0			
200851062407	ダ	右	1400	曇	良	14:25	C4二　4歳以上		2008-6-24	1	姫路	4	(馬齢)		10	240	1	10	120	1	3	760	9	3-10	4190	13	3-10	1,480	14	4-10	1,130	10	3-4	3,440	27	10=>3	7450	25	3-4-10	18410	48	94102783561	49102738561	(4,9),10,2,3,(5,7),8,6,1	9,4,10,2,3,5,6,(7,8),1			4.0	550	7.0	3-8	1960.0	8.0	10=>3=>4	103420.0	240.0
200851062408	ダ	右	1400	曇	良	15:00	C4一　4歳以上		2008-6-24	1	姫路	4	(馬齢)		4	390	2	4	130	2	8	120	1	4-8	600	1	4-8	180	1	3-4	520	7	3-8	440	6	4=>8	1010	2	3-4-8	1800	5	79386412105	79386412105	97834621051	97834261015			3.0	290	6.0	4-7	520.0	1.0	4=>8=>3	6300.0	16.0
