	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200842012111	ダ	左	1500	曇	良	16:25	福寿草特別 		2008-1-21	10	浦和	1			1	500	3	1.0	140	3.0	10.0	120	1.0	9.0	340.0	6.0	1-10	550	2	1-10	270	2.0	1-9	1,640	19.0	9-10	760	12.0	1=>10	1670	6	1-9-10	3090.0	11.0	1=>10=>9	15980	47	610312198112457	(3,6,10),(12,1),(8,9),11,2,4,5,7	(10,1),(3,6),12,9,2,11,8,4,7,5	(10,1),3,12,6,2,9,11,7,8,4,5	7.6 - 11.3 - 12.3 - 12.9 - 13.1 - 12.1 - 14.7 - 12.9	7.6 - 18.9 - 31.2 - 44.1 - 57.2 - 69.3 - 84.0 - 96.9 (31.2-39.7)	1-7	560.0	2.0	1=>7	1370.0	5.0
200842012201	ダ	左	1400	晴	良	10:50	4歳二		2008-1-22	10	浦和	2	153万円以上176万円未満		9	120	1	9.0	110	1.0	7.0	180	4.0	3.0	140.0	3.0	7-9	590	3	7-9	230	2.0	3-9	180	1.0	3-7	390	7.0	9=>7	780	3	3-7-9	580.0	1.0	9=>7=>3	2770	5	9,4,(3,8),7,(1,5,6),2	943718562	(9,7),4,3,5,1,6,8,2	973451862	12.6 - 12.5 - 12.7 - 13.3 - 12.1 - 14.4 - 12.4	12.6 - 25.1 - 37.8 - 51.1 - 63.2 - 77.6 - 90.0 (37.8-38.9)	7-8	490.0	2.0	8=>7	910.0	4.0
200842012202	ダ	左	1400	晴	良	11:20	3歳四　五		2008-1-22	10	浦和	2	36万円以上110万円未満		11	170	1	11.0	100	1.0	3.0	150	3.0	1.0	140.0	2.0	3-11	690	2	3-11	320	3.0	1-11	200	1.0	1-3	450	7.0	11=>3	1200	4	1-3-11	950.0	1.0	11=>3=>1	3520	2	8,11,(5,6),(3,12),4,1,10,(2,7),9	811635112421079	(11,6),3,8,1,12,5,9,2,4,(10,7)	113618122975410	12.6 - 12.7 - 13.2 - 14.5 - 12.3 - 14.7 - 12.4	12.6 - 25.3 - 38.5 - 53.0 - 65.3 - 80.0 - 92.4 (38.5-39.4)	3-8	670.0	3.0	8=>3	1000.0	4.0
200842012203	ダ	左	1400	晴	良	11:50	3歳四　五		2008-1-22	10	浦和	2	36万円以上110万円未満		8	710	4	8.0	380	6.0	3.0	900	10.0	12.0	230.0	3.0	3-8	18060	45	3-8	3,970	43.0	8-12	1,240	15.0	3-12	2,570	31.0	8=>3	49810	104	3-8-12	16240.0	53.0	8=>3=>12	181170	478	1,(2,6,9),8,4,7,10,12,5,11,3	1,(2,6,9),8,4,7,(10,12),5,(3,11)	1,(6,9,8),4,12,(2,7,11),(3,10),5	183412691171052	12.3 - 11.8 - 12.6 - 13.7 - 13.1 - 15.3 - 13.0	12.3 - 24.1 - 36.7 - 50.4 - 63.5 - 78.8 - 91.8 (36.7-41.4)	3-6	13550.0	30.0	6=>3	12660.0	43.0
200842012204	ダ	左	1300	曇	良	12:20	C3九　十		2008-1-22	10	浦和	2			9	340	2	9.0	150	2.0	1.0	360	5.0	2.0	150.0	3.0	1-9	2370	9	1-9	640	9.0	2-9	260	2.0	1-2	620	8.0	9=>1	3110	13	1-2-9	1560.0	5.0	9=>1=>2	9970	33	1,2,5,3,7,4,8,(6,9)	125374869	129735864	(1,9),2,3,5,7,8,6,4	6.5 - 12.5 - 13.4 - 13.3 - 12.0 - 14.3 - 13.0	6.5 - 19.0 - 32.4 - 45.7 - 57.7 - 72.0 - 85.0 (32.4-39.3)	1-8	1890.0	8.0	8=>1	1820.0	11.0
200842012205	ダ	左	1300	曇	良	12:55	C3九　十		2008-1-22	10	浦和	2			5	450	2	5.0	100	2.0	8.0	100	1.0	4.0	400.0	8.0	5-8	250	1	5-8	150	1.0	4-5	1,010	17.0	4-8	720	9.0	5=>8	1120	4	4-5-8	1650.0	5.0	5=>8=>4	13080	38	(3,5),(4,8),9,1,2,6,7	3,5,(4,8),(2,9),6,1,7	853462917	583462197	6.7 - 12.7 - 12.7 - 13.0 - 11.9 - 14.3 - 12.8	6.7 - 19.4 - 32.1 - 45.1 - 57.0 - 71.3 - 84.1 (32.1-39.0)	5-8	240.0	1.0	5=>8	1100.0	4.0
200842012206	ダ	左	1400	曇	良	13:30	C2七		2008-1-22	10	浦和	2			6	7660	9	6.0	340	7.0	10.0	110	1.0	2.0	120.0	2.0	6-10	3630	11	6-10	800	11.0	2-6	1,330	18.0	2-10	160	1.0	6=>10	17530	31	2-6-10	3360.0	11.0	6=>10=>2	77620	158	10,6,(7,8),2,4,1,5,9,3	6,10,8,2,7,1,(4,9),5,3	(6,10),8,2,9,7,(5,1),3,4	61029873514	12.5 - 12.3 - 13.1 - 13.5 - 11.7 - 14.3 - 13.0	12.5 - 24.8 - 37.9 - 51.4 - 63.1 - 77.4 - 90.4 (37.9-39.0)	6-8	2300.0	7.0	6=>8	8950.0	18.0
200842012207	ダ	左	1500	曇	良	14:05	C2六		2008-1-22	10	浦和	2			3	1050	5	3.0	240	6.0	9.0	180	4.0	7.0	120.0	1.0	3-9	2600	12	3-9	790	12.0	3-7	430	5.0	7-9	360	3.0	3=>9	6120	27	3-7-9	1870.0	4.0	3=>9=>7	20040	67	9211710638415	2911710634815	9241137106815	9237411106158	7.2 - 11.5 - 12.9 - 13.3 - 13.1 - 11.7 - 14.2 - 13.6	7.2 - 18.7 - 31.6 - 44.9 - 58.0 - 69.7 - 83.9 - 97.5 (31.6-39.5)	3-7	2340.0	12.0	3=>7	4220.0	21.0
200842012208	ダ	左	1400	曇	良	14:40	ツインエース特別 		2008-1-22	10	浦和	2	(別定)		7	170	1	7.0	120	1.0	6.0	150	3.0	2.0	390.0	7.0	6-7	330	1	6-7	190	1.0	2-7	760	9.0	2-6	820	11.0	7=>6	530	1	2-6-7	1980.0	4.0	7=>6=>2	4480	8	4710311625189	4,7,10,3,6,2,11,5,8,1-9	7,(4,6),10,3,2,5,11,8,1-9	7610432511819	12.4 - 12.1 - 13.1 - 13.1 - 11.7 - 14.9 - 12.9	12.4 - 24.5 - 37.6 - 50.7 - 62.4 - 77.3 - 90.2 (37.6-39.5)	6-6	330.0	1.0	6=>6	340.0	1.0
200842012301	ダ	左	1300	雪	稍重	10:50	C3七　八		2008-1-23	10	浦和	3			6	680	2	6.0	240	5.0	7.0	100	1.0	2.0	150.0	3.0	6-7	740	4	6-7	300	4.0	2-6	930	11.0	2-7	200	2.0	6=>7	2720	9	2-6-7	710.0	3.0	6=>7=>2	8710	30	75421683	75246183	75246183	75268134	6.4 - 12.5 - 12.4 - 13.0 - 12.2 - 15.0 - 13.5	6.4 - 18.9 - 31.3 - 44.3 - 56.5 - 71.5 - 85.0 (31.3-40.7)						
