	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200836010604	ダ	右	1400	曇	不良	12:15	C3一組		2008-1-6	12	水沢	5			5	580	3	5	200	4	9	140	2	3.0	290.0	5.0	5-8	310.0	2.0	5-9	750	3	5-9	310	3	3-5	430	6	3-9	360	5	5=>9	1870	7	3-5-9	1500	6	3,9,10,5,(1,2),8,4,(6,7)	3,9,10,1,5,2-8,4,7,6	(3,9),10,5,1,7,2,8,6,4	(3,9),5,10,8,7,1,2,6,4					
200836010605	ダ	右	1300	晴	不良	12:50	C1六組		2008-1-6	12	水沢	5			10	180	1	10	120	3	4	110	1	5.0	380.0	6.0	4-8	240.0	1.0	4-10	250	1	4-10	170	1	5-10	680	8	4-5	520	6	10=>4	330	1	4-5-10	1400	4	64253110897	64235110879	3,4,6,10,5,(2,8),1,7,9	41063582197			10=>4=>5	3280.0	7.0
200836011201	ダ	右	1300	曇	不良	10:45	C3六組		2008-1-12	13	水沢	1			2	820	5	2	300	7	4	190	4	1.0	110.0	1.0	2-4	5660.0	16.0	2-4	4070	13	2-4	1,100	15	1-2	550	8	1-4	270	3	2=>4	10640	28	1-2-4	1920	9	23610189745	23641107895	2,3,6,4,(1,10),7,8,9,5	2,4,1,(7,3,10),8,6,9,5					
200836011202	ダ	右	1300	曇	不良	11:15	C3五組		2008-1-12	13	水沢	1			10	120	1	10	110	1	8	170	3	2.0	190.0	5.0	7-8	510.0	3.0	8-10	910	4	8-10	380	4	2-10	250	2	2-8	700	10	10=>8	950	4	2-8-10	1370	6	81091476325	81019476325	(8,10),9,1,7,(2,4),3,6,5	81012974365					
200836011301	ダ	右	1300	曇	不良	10:45	C3四組		2008-1-13	13	水沢	2			3	290	2	3	120	1	9	140	3	5.0	270.0	6.0	3-8	580.0	3.0	3-9	550	2	3-9	260	2	3-5	830	10	5-9	1,650	15	3=>9	820	3	3-5-9	2890	11	96231510478	9,6,2,3,1-4,5,7,8,10	9,6,3,1,2,5,4-8,7=10	3,9,6,1,5,4-2,8,7=10					
200836011302	ダ	右	1400	曇	不良	11:15	C3三組		2008-1-13	13	水沢	2			10	300	2	10	110	2	1	100	1	4.0	140.0	3.0	1-8	130.0	1.0	1-10	140	1	1-10	100	1	4-10	180	3	1-4	180	2	10=>1	390	2	1-4-10	300	1	31015428976	31051429876	31059142867	31015942687					
200836011401	ダ	右	1300	晴	不良	10:45	3歳C3		2008-1-14	13	水沢	3			2	160	1	2	100	1	5	150	4	8.0	120.0	2.0	2-5	670.0	4.0	2-5	700	3	2-5	320	4	2-8	230	2	5-8	670	9	2=>5	920	3	2-5-8	850	3	(3,5),7,8,1,9,2,6,4	357812964	(3,5),(2,7),8,9,6,1,4	5,3,7,2,8,9,(6,4),1					
200836011402	ダ	右	1300	晴	不良	11:15	3歳C2		2008-1-14	13	水沢	3			2	140	1	2	100	1	6	120	2	5.0	200.0	5.0	2-6	210.0	1.0	2-6	210	1	2-6	150	1	2-5	1,100	15	5-6	780	12	2=>6	250	1	2-5-6	1170	5	245813769	245183796	254817936	257183469					
200836011403	ダ	右	1400	晴	不良	11:45	C3二組		2008-1-14	13	水沢	3			3	160	1	3	100	1	4	100	2	10.0	120.0	3.0	3-4	220.0	1.0	3-4	190	1	3-4	140	1	3-10	250	3	4-10	240	2	3=>4	310	1	3-4-10	440	1	4,(8,10),7,1,(3,5),2,6,9	48107513296	4,10,8,3,7,(1,5),(2,6),9	41038157629					
200836011404	ダ	右	1400	晴	不良	12:15	C3一組		2008-1-14	13	水沢	3			9	170	1	9	120	2	10	100	1	3.0	430.0	9.0	8-8	490.0	2.0	9-10	480	2	9-10	240	1	3-9	750	8	3-10	1,470	20	9=>10	610	2	3-9-10	2400	10	49107136528	4,9,10,(1,7),3,2,6,5,8	(9,10),4,(7,3),1,2,6,5,8	9,10,(7,3),4,8,(1,6),2,5					
200836011405	ダ	右	1300	晴	不良	12:50	C2四組		2008-1-14	13	水沢	3			6	150	1	6	120	1	3	180	3	5.0	500.0	9.0	3-6	820.0	2.0	3-6	790	2	3-6	360	3	5-6	470	4	3-5	1,380	14	6=>3	900	3	3-5-6	3280	9	10,3,4,6,9,(7,8),1,(2,5)	10364971825	10364975812	(3,6),10-4,(9,5),(7,8),2,1			6=>3=>5	9290.0	24.0
200836011406	ダ	右	1400	晴	不良	13:25	C1四組		2008-1-14	13	水沢	3			3	150	1	3	110	2	8	110	1	6.0	280.0	6.0	3-7	220.0	1.0	3-8	240	1	3-8	160	1	3-6	790	10	6-8	1,000	14	3=>8	370	1	3-6-8	1860	6	43891067251	(3,4),8,9,6,10,7,2,5,1	3,4,8,9,6,(7,10),1,5,2	3,8,9,4,6,(7,10),1,5,2			3=>8=>6	4130.0	13.0
200836032001	ダ	右	1300	曇	稍重	10:45	水沢JCがんばれ岩手		2008-3-20	14	水沢	1			6	140	1	6	100	1	9	450	8	4.0	150.0	2.0	6-8	700.0	4.0	6-9	1860	6	6-9	900	11	4-6	270	3	4-9	1,900	19	6=>9	2310	9	4-6-9	2090	9	462517983	462157983	4,6-5,(2,1),7,9,8,3	(4,6)-2,5,1,7,9,8=3					
200836032002	ダ	右	1300	曇	稍重	11:25	せんやのおせんべい杯		2008-3-20	14	水沢	1			6	200	1	6	110	1	1	590	9	5.0	340.0	5.0	1-6	2050.0	7.0	1-6	1890	7	1-6	730	9	5-6	360	3	1-5	1,030	14	6=>1	2350	9	1-5-6	3630	12	5,6,9,1,(3,4),2,7,8	569134287	5,6,9,1,(2,3),4,8,7	561932847					
200836032003	ダ	右	1300	曇	稍重	12:05	銘菓処高千代杯C2十		2008-3-20	14	水沢	1			4	190	1	4	110	1	7	130	2	3.0	140.0	3.0	4-7	1010.0	4.0	4-7	1170	5	4-7	520	6	3-4	250	1	3-7	630	9	4=>7	1630	6	3-4-7	1400	4	784632591	786432519	783645219	734862519					
200836032004	ダ	右	1300	曇	稍重	12:45	菊ヤ商事カップC2十		2008-3-20	14	水沢	1			5	180	1	5	110	2	9	100	1	1.0	340.0	7.0	5-8	230.0	1.0	5-9	320	1	5-9	190	1	1-5	390	6	1-9	500	7	5=>9	650	2	1-5-9	980	3	5,9,7,1,(2,6),4,3,8	597216438	592174638	592187346					
200836032005	ダ	右	1600	曇	稍重	13:25	ロイズカップ3歳B1		2008-3-20	14	水沢	1			3	140	1	3	110	1	5	190	4	8.0	320.0	5.0				3-5	320	2	3-5	200	2	3-8	620	7	5-8	1,130	13	3=>5	430	2	3-5-8	1780	7	56783421	56738241	(5,6,7,3),8,1,4,2	5,(6,3),8,7,1,2,4			3=>5=>8	2830.0	11.0
200836032006	ダ	右	1600	曇	稍重	14:05	青森県畜産協会会長杯		2008-3-20	14	水沢	1			7	120	1	7	100	1	2	140	3	5.0	110.0	2.0				2-7	270	1	2-7	140	1	5-7	140	2	2-5	230	4	7=>2	280	1	2-5-7	310	1	25674831	25674831	2,7,5,8,(4,6),3,1	(2,7),5,8,4,1,6,3			7=>2=>5	810.0	1.0
200836032007	ダ	右	1600	曇	稍重	14:45	岩手県畜産協会会長杯		2008-3-20	14	水沢	1			1	450	3	1	270	5	6	180	3	5.0	170.0	2.0	1-6	1170.0	5.0	1-6	1210	4	1-6	260	2	1-5	440	7	5-6	340	4	1=>6	2950	13	1-5-6	1280	4	1,6,7,3,8,(5,9),(2,4)	1,6,(3,7),8,5,9,2,4	1,6,(7,8),5,3,(2,9,4)	167853294			1=>6=>5	12000.0	44.0
200836032008	ダ	右	1600	曇	稍重	15:25	水沢青年会議所未来創		2008-3-20	14	水沢	1			1	2260	6	1	560	7	8	140	1	3.0	670.0	9.0	1-8	2270.0	8.0	1-8	3200	10	1-8	880	9	1-3	2,740	26	3-8	1,400	19	1=>8	9070	27	1-3-8	16170	47	184925736	1,8,4,(2,9),5,(3,7),6	1,8,4,9,(2,6),5,(3,7)	184592637			1=>8=>3	199490.0	334.0
200836032009	ダ	右	1600	曇	稍重	16:10	社団法人水沢青年会議		2008-3-20	14	水沢	1			3	400	2	3	190	4	7	140	1	10.0	840.0	10.0	3-7	250.0	1.0	3-7	260	1	3-7	190	1	3-10	1,550	16	7-10	860	11	3=>7	700	3	3-7-10	3200	9	10317429865	10371429856	(10,3),7,2,4,1,(9,5),8,6	(10,3),7,2,4,5,1,9,8,6			3=>7=>10	15860.0	41.0
200836032010	ダ	右	1600	曇	稍重	16:50	アクア・glory梨		2008-3-20	14	水沢	1			3	290	1	3	220	6	2	160	1	7.0	390.0	7.0	2-3	1540.0	8.0	2-3	1870	10	2-3	690	13	3-7	560	9	2-7	1,110	17	3=>2	2790	9	2-3-7	3760	14	892614375	892163475	892436715	892347615			3=>2=>7	10970.0	34.0
200836032101	ダ	右	1300	晴	良	10:45	C2十三組		2008-3-21	14	水沢	2			3	2350	5	3	190	5	1	110	2	7.0	100.0	1.0	1-3	3160.0	14.0	1-3	3310	15	1-3	1,210	13	3-7	970	12	1-7	240	2	3=>1	5320	24	1-3-7	3450	13	631792854	367192854	3,7,6,(1,9),2,(5,8),4	371562894					
200836032102	ダ	右	1300	晴	良	11:25	C2十二組		2008-3-21	14	水沢	2			2	120	1	2	110	1	5	180	5	1.0	130.0	2.0	2-5	510.0	3.0	2-5	420	2	2-5	210	3	1-2	140	1	1-5	410	5	2=>5	630	3	1-2-5	600	2	(2,5),9,8,6,(1,4),3,7	2,5,9,1,8,(4,6),3,7	259184637	251948376					
200836032103	ダ	右	1300	晴	良	12:05	C2十一組		2008-3-21	14	水沢	2			1	110	1	1	110	1	8	160	4	3.0	120.0	2.0	1-8	500.0	2.0	1-8	550	2	1-8	190	2	1-3	200	3	3-8	240	4	1=>8	750	2	1-3-8	460	1	(3,4),8,7,1,6,9,5,2	3,4,8,1,(6,7),2,9,5	3,(4,8),1,9,7,(2,5),6	3,8,1,2,(4,9),7,5,6					
200836032104	ダ	右	1300	晴	良	12:45	C2十組		2008-3-21	14	水沢	2			9	1730	8	9	180	2	8	270	6	6.0	380.0	8.0	7-8	970.0	3.0	8-9	4340	17	8-9	1,430	21	6-9	1,540	22	6-8	1,370	19	9=>8	11230	36	6-8-9	14470	47	17261049538	1,7,(2,6),10,5,9,4,3,8	1,6,(7,9,10),2,5,(4,8),3	1,6,9,8,(2,5),10,4,7,3					
200836032105	ダ	右	1400	晴	良	13:25	3歳B2二組		2008-3-21	14	水沢	2			5	1000	3	5	270	5	1	260	4							1-5	1580	10	1-5	800	10	5-7	1,370	17	1-7	830	11	5=>1	2800	18	1-5-7	6740	27	4156783	4156783	(4,1),5,6,8,7,3	1567834			5=>1=>7	30810.0	91.0
200836032106	ダ	右	1400	晴	良	14:05	3歳B2一組		2008-3-21	14	水沢	2			6	120	1	6	100	1	5	280	5	4.0	240.0	3.0				5-6	700	3	5-6	400	5	4-6	180	2	4-5	630	8	6=>5	890	3	4-5-6	870	4	45687312	45687312	45687312	(4,5),6-8,3,7,2,1			6=>5=>4	2990.0	11.0
200836032107	ダ	右	1400	晴	良	14:45	B2七組		2008-3-21	14	水沢	2			6	1120	5	6	350	7	4	150	2	7.0	340.0	6.0	4-6	3590.0	22.0	4-6	2390	11	4-6	930	16	6-7	880	13	4-7	910	15	6=>4	5890	26	4-6-7	8780	44	697238415	697283145	674932815	647921358			6=>4=>7	59260.0	242.0
200836032108	ダ	右	1400	晴	良	15:25	秋田県農業公社理事長		2008-3-21	14	水沢	2			10	1070	3	10	140	2	3	230	6	9.0	120.0	1.0	3-8	500.0	3.0	3-10	3810	11	3-10	710	11	9-10	290	2	3-9	410	4	10=>3	6380	16	3-9-10	1190	3	10579381246	10579318246	10,(7,9),3,5,1,2,4,8,6	10739125486			10=>3=>9	18910.0	53.0
200836032109	ダ	右	1800	晴	良	16:10	宮城県畜産協会会長杯		2008-3-21	14	水沢	2			4	200	1	4	190	2	8	560	6	5.0	220.0	3.0				4-8	3100	10	4-8	1,120	12	4-5	410	6	5-8	1,160	13	4=>8	5270	17	4-5-8	4600	14	83741526	83714526	8,7,3,4,1,5,2-6	8,7,4,3,1,5,2=6			4=>8=>5	33950.0	85.0
200836032110	ダ	右	1800	晴	良	16:50	B2二組		2008-3-21	14	水沢	2			3	200	1	3	100	1	1	140	3	7.0	170.0	4.0				1-3	510	2	1-3	250	3	3-7	230	2	1-7	640	9	3=>1	670	2	1-3-7	930	3	(4,5),8,(6,7),2,1,3	45672813	6,(5,7),4,8,3,1,2	(5,6),7,3,(1,8),4,2			3=>1=>7	2850.0	5.0
200836032401	ダ	右	1400	曇	良	10:45	C2四組		2008-3-24	14	水沢	5			2	600	4	2	150	3	3	150	4	1.0	140.0	1.0	2-3	1260.0	7.0	2-3	1440	8	2-3	380	4	1-2	230	1	1-3	860	13	2=>3	2100	13	1-2-3	2320	8	248173659	248136759	2,(4,8,6),1,3,7,9,5	2,(1,8,6),3,9,(4,7),5					
200836032402	ダ	右	1400	曇	良	11:25	C2三組		2008-3-24	14	水沢	5			2	280	2	2	120	2	8	170	5	5.0	110.0	1.0	2-8	480.0	3.0	2-8	660	3	2-8	250	3	2-5	150	2	5-8	130	1	2=>8	1150	6	2-5-8	290	1	(2,4),8,9,1,3,5-6,7	248319567	(2,8),4,5,9,3,1,6,7	2,8,5,4-9,3,6,7,1					
