	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200850031210	ダ	右	1400	晴	良	15:55	MBSラジオ1179 		2008-3-12	25	園田	2	(馬齢)		10	160	1	10	100	1	11	110	2	10-11	150	1	10-11	100	1	8-10	180	3	8-11	130	2	10=>11	290	1	8-10-11	220	1	8101112475693	8101112476593	10,11,8,1,(2,6),4,(5,7),3,9	10,11-8,1,6,2,4,5,3,9,7			8.0	150	4.0	8-8	140.0	1.0	10=>11=>8	620.0	1.0
200850031301	ダ	右	1400	曇	良	11:10	D4三　4歳以上		2008-3-13	25	園田	3	(馬齢)		2	120	1	2	120	2	7	150	3	2-7	320	2	2-7	170	1	2-5	530	8	5-7	770	12	2=>7	350	1	2-5-7	1010	4	76285341	7,6,2,8,5,(3,4),1	72684531	(2,7)-5,6,8,4,3,1			5.0	390	6.0						
200850031401	ダ	右	1400	曇	稍重	11:10	D3四　4歳以上		2008-3-14	25	園田	4	(馬齢)		2	610	2	2	120	3	7	110	1	2-7	490	2	2-7	210	2	1-2	520	7	1-7	270	3	2=>7	980	4	1-2-7	770	3	2,3,7,1,6,8,(4,5)	23176854	21768354	2,(1,7),8,6,3,5,4			1.0	190	4.0						
200850031402	ダ	右	1400	雨	稍重	11:35	D3三　4歳以上		2008-3-14	25	園田	4	(馬齢)		8	940	3	8	250	5	5	130	2	5-8	820	3	5-8	410	3	7-8	1,250	9	5-7	530	6	8=>5	3250	9	5-7-8	1870	5	85271643	85726143	85721364	85271346			7.0	200	4.0						
200850031403	ダ	右	1400	雨	稍重	12:05	D3二　4歳以上		2008-3-14	25	園田	4	(馬齢)		5	1450	2	5	110	2	1	100	1	1-5	360	2	1-5	150	1	5-7	420	7	1-7	170	2	5=>1	1930	7	1-5-7	590	2	57893412	5,7,9,8,3,4,(1,2)	5,7,(1,9),3,8,4,2	57913284			7.0	200	5.0	1-5	320.0	2.0			
200850031404	ダ	右	1400	雨	重	12:35	F2三　3歳		2008-3-14	25	園田	4	(馬齢)		9	330	1	9	140	2	6	190	3	6-9	700	2	6-9	280	2	5-9	460	5	5-6	1,130	17	9=>6	1490	4	5-6-9	2170	6	29105861437	29105861437	29561108347	92561810347			5.0	320	6.0	6-8	500.0	1.0			
200850031405	ダ	右	1400	雨	重	13:05	F2二　3歳		2008-3-14	25	園田	4	(馬齢)		11	190	1	11	100	1	3	130	3	3-11	360	1	3-11	190	1	8-11	320	4	3-8	390	7	11=>3	610	1	3-8-11	1140	6	8,9,(3,11),(1,6,7),10,2,5,4	8,9,11,3,(1,6),7,10,2,5,4	8,11,9,7,3,6,10,4,(1,2),5	8,11,9,3,7,6,(4,10),2,1,5			8.0	290	5.0	3-8	330.0	1.0			
200850031406	ダ	右	1400	雨	不良	13:35	F2一　3歳		2008-3-14	25	園田	4	(馬齢)		11	440	3	11	160	2	6	240	3	6-11	1050	4	6-11	430	2	8-11	1,940	27	6-8	3,400	33	11=>6	1980	4	6-8-11	6590	27	9,11,4,1,8,6,3,(5,10),2	911148610352	(9,11),8,4,1,3,10,6,5,2	(9,11),8,4,1,6,10,3,(2,5)			8.0	1,540	9.0	6-8	1080.0	4.0			
200850031407	ダ	右	1230	雨	不良	14:05	D3一　4歳以上		2008-3-14	25	園田	4	(馬齢)		4	120	1	4	100	1	7	160	4	4-7	340	2	4-7	310	3	4-11	240	2	7-11	480	7	4=>7	470	2	4-7-11	700	3	4,11,8,7,(5,12),9,(6,10),1,3,2	4,11,7,8,(5,12),10,9,6,1,3,2	411712810952163	4,11,7,12,8,9,(2,5),10,3,1,6			11.0	150	3.0	4-6	450.0	2.0			
200850031408	ダ	右	1400	雨	不良	14:35	C4二　4歳以上		2008-3-14	25	園田	4	(馬齢)		6	1720	8	6	390	8	9	190	2	6-9	3300	17	6-9	1,100	17	4-6	1,360	24	4-9	480	3	6=>9	9100	43	4-6-9	6050	27	984317256	9,8,4,(1,3),7,2,5,6	984371625	984736125			4.0	230	3.0	6-8	2840.0	13.0	6=>9=>4	49260.0	194.0
200850031409	ダ	右	1400	雨	不良	15:10	C4一　4歳以上		2008-3-14	25	園田	4	(馬齢)		4	4860	7	4	500	8	5	120	2	4-5	14830	24	4-5	1,920	16	1-4	860	10	1-5	180	1	4=>5	23600	41	1-4-5	3980	11	31087256194	3,10,8,7,(2,5),1,6,9,4	3,10,8,(5,7),1,2,6,9,4	3,10,(1,5),7,8,2,6,9,4			1.0	110	1.0	4-5	14750.0	21.0	4=>5=>1	48040.0	104.0
200850031410	ダ	右	1700	雨	不良	15:50	日刊ゲンダイ杯 		2008-3-14	25	園田	4	(馬齢)		5	260	2	5	100	1	1	140	3	1-5	1060	5	1-5	210	2	4-5	130	1	1-4	270	7	5=>1	2430	6	1-4-5	310	1	583496172	583496172	5,4,8,3,1,6,9,7-2	548139762			4.0	100	2.0	1-5	1380.0	4.0	5=>1=>4	4810.0	12.0
200850031411	ダ	右	1400	雨	不良	16:20	A3二　4歳以上 		2008-3-14	25	園田	4	(馬齢)		11	160	1	11	100	1	9	110	2	9-11	420	2	9-11	130	1	3-11	170	2	3-9	330	5	11=>9	620	2	3-9-11	410	1	10,11,(3,9),(5,8),1,7,2,4,6	10,11,(3,9),(5,8),(1,7),2,4,6	(9,11),8,3,(7,10),6,1,(4,5),2	1191038716452			3.0	120	3.0	7-8	410.0	2.0	11=>9=>3	1690.0	2.0
200850031901	ダ	右	1400	雨	稍重	11:10	C6四　4歳以上		2008-3-19	25	園田	6	(馬齢)		5	110	1	5	110	1	4	160	2	4-5	260	1	4-5	190	2	1-5	830	10	1-4	2,360	16	5=>4	330	1	1-4-5	3400	11	6,5,4,(1,2),7,3	6,5,4,(1,2),7,3	(5,6),4,1,2,7,3	5641237											
200850031902	ダ	右	1400	雨	稍重	11:40	C6三　4歳以上		2008-3-19	25	園田	6	(馬齢)		3	360	2	3	100	2	2	240	6	2-3	1390	5	2-3	600	5	3-6	180	2	2-6	510	4	3=>2	2710	9	2-3-6	750	2	6,3,2,8,5,4,7-1	63285471	6,3,2,7,5,4,(1,8)	63245718			6.0	100	1.0						
200850031903	ダ	右	1400	雨	重	12:10	C6二　4歳以上		2008-3-19	25	園田	6	(馬齢)		7	160	1	7	110	1	1	280	6	1-7	1910	5	1-7	810	9	7-8	270	2	1-8	1,290	14	7=>1	2540	8	1-7-8	1570	7	13564827	1,3,(5,6),4,8,2,7	78136542	78136542			8.0	170	3.0						
200850031904	ダ	右	1400	雨	重	12:40	F1二　3歳		2008-3-19	25	園田	6	(馬齢)		9	120	1	9	120	2	7	100	1	7-9	430	2	7-9	180	1	4-9	190	2	4-7	380	6	9=>7	510	2	4-7-9	430	1	497683251	4,9,(6,7),8,3,2,5,1	9,7,(4,8),6,5,1,2,3	9,(4,7),8,6,5,2,1,3			4.0	220	4.0	7-8	290.0	1.0			
200850031905	ダ	右	1400	雨	重	13:10	F1一　3歳		2008-3-19	25	園田	6	(馬齢)		5	140	1	5	110	2	7	110	1	5-7	330	1	5-7	190	1	5-8	670	10	7-8	640	9	5=>7	490	1	5-7-8	1340	4	4,10,1,5,9,7,3,(2,6),8	4,1,10,5,9,3,7,(2,6),8	4,1,5,7,10,(3,6,8),2,9	4,5,(7,8),1,2,10,3,6,9			8.0	230	5.0	5-7	230.0	1.0			
200850031906	ダ	右	1230	雨	重	13:40	A1二　4歳以上 		2008-3-19	25	園田	6	(馬齢)		7	190	1	7	260	2	2	280	3	2-7	1180	4	2-7	260	4	1-7	120	1	1-2	190	2	7=>2	1810	7	1-2-7	310	1	1724365	1724365	1724365	1724356											
200850031907	ダ	右	1700	雨	重	14:10	A1一　4歳以上 		2008-3-19	25	園田	6	(馬齢)		5	130	1	5	130	1	3	910	7	3-5	1560	6	3-5	400	5	1-5	200	2	1-3	890	14	5=>3	1770	7	1-3-5	1640	7	7,(5,6),3,4,2,1	7563421	5763124	5376124											
200850031908	ダ	右	1400	雨	重	14:40	リミテッド競走		2008-3-19	25	園田	6	(見込)		9	710	4	9	210	5	11	250	6	9-11	3090	13	9-11	910	13	4-9	1,890	21	4-11	1,420	18	9=>11	6060	25	4-9-11	15010	49	1091117358246	10,9,(1,11),3,7,5,4,2,8,6	1091147183526	1091147183625			4.0	170	2.0	7-8	970.0	4.0	9=>11=>4	95800.0	254.0
200850031909	ダ	右	1700	雨	重	15:15	T1　3歳 		2008-3-19	25	園田	6	(馬齢)		3	1130	3	3	210	5	8	120	1	3-8	570	3	3-8	270	2	2-3	1,350	18	2-8	480	4	3=>8	3250	10	2-3-8	2480	8	68310742915	68310742915	81063742915	81036724915			2.0	190	4.0	3-7	650.0	3.0	3=>8=>2	20290.0	59.0
200850032001	ダ	右	1400	雨	不良	10:55	D7三　4歳以上		2008-3-20	26	園田	1	(馬齢)		6	410	3	6	200	3	5	730	5	5-6	4920	12	5-6	900	9	3-6	9,890	33	3-5	9,890	33	6=>5	10340	21	3-5-6	260640	75	179385624	1,7,9,3,8,(5,6),2,4	1,7,6,3,9,(2,5),4,8	1,6,7,3,5,9,2,4-8			3.0	1,620	9.0	5-6	6670.0	13.0			
200850032002	ダ	右	1400	雨	不良	11:20	D6四　4歳以上		2008-3-20	26	園田	1	(馬齢)		8	790	5	8	210	4	5	130	2	5-8	980	4	5-8	330	5	4-8	440	9	4-5	340	7	8=>5	2700	16	4-5-8	1860	8	81645237	81645237	8,6,1,(4,5),2,3,7	86145237			4.0	180	3.0						
200850032003	ダ	右	1400	雨	不良	11:50	D6三　4歳以上		2008-3-20	26	園田	1	(馬齢)		9	120	1	9	100	1	3	160	3	3-9	460	2	3-9	260	3	2-9	360	5	2-3	1,350	13	9=>3	620	3	2-3-9	1550	6	2,8,9,(3,6),4,5,1	2,8,9,3,6,(4,5),1	92853641	92385461			2.0	250	6.0	3-8	400.0	2.0			
200850032004	ダ	右	1400	雨	不良	12:20	D6二　4歳以上		2008-3-20	26	園田	1	(馬齢)		5	300	2	5	120	2	6	110	1	5-6	360	1	5-6	210	1	5-7	480	9	6-7	260	3	5=>6	720	2	5-6-7	1200	3	5,6,(1,9),2,7,8,4,3	5,6,(1,9),2,(7,8),4,3	5,6,7,9,1,(2,3),8,4	5,6,7,(1,9),3,8,2,4			7.0	240	6.0	5-6	550.0	2.0			
200850032005	ダ	右	1400	曇	不良	12:50	D7二　4歳以上		2008-3-20	26	園田	1	(馬齢)		5	330	3	5	100	1	10	120	3	5-10	700	3	5-10	250	3	5-6	130	1	6-10	230	2	5=>10	1250	6	5-6-10	390	1	10856479213	10856479123	10,8,5,6,2,4,3,9,(1,7)	10856423917			6.0	110	2.0	5-8	650.0	3.0			
200850032006	ダ	右	1400	曇	不良	13:20	D7一　4歳以上		2008-3-20	26	園田	1	(馬齢)		10	160	1	10	110	1	3	170	4	3-10	480	3	3-10	210	3	7-10	170	1	3-7	230	4	10=>3	550	2	3-7-10	380	1	39107182645	39107182645	10,3,9,7,8,(1,2),6,4,5	10371982645			7.0	130	3.0	3-8	400.0	2.0			
200850032007	ダ	右	1230	曇	不良	13:50	D6一　4歳以上		2008-3-20	26	園田	1	(馬齢)		10	1390	7	10	240	7	8	120	1	8-10	1460	6	8-10	560	9	7-10	860	14	7-8	190	1	10=>8	4610	20	7-8-10	2220	6	10897162453	10,8,9,(1,7),6,2,4,5,3	10891762345	10871296354			7.0	130	2.0	7-8	400.0	2.0			
200850032008	ダ	右	1400	曇	不良	14:25	C1二　4歳以上		2008-3-20	26	園田	1	(馬齢)		8	810	3	8	190	3	11	120	1	8-11	590	2	8-11	370	3	3-8	1,850	20	3-11	870	9	8=>11	2510	8	3-8-11	5050	14	8,11,7,1,10,(3,9),6,5,4,2	8111731095642	8,11,7,1,(6,10),3,9,2,4,5	8,11,1,7,3,(6,10),2,5,(4,9)			3.0	640	9.0	7-8	520.0	2.0	8=>11=>3	26650.0	75.0
200850032009	ダ	右	1400	曇	不良	15:00	C1一　4歳以上		2008-3-20	26	園田	1	(馬齢)		1	1210	4	1	300	5	7	170	4	1-7	4730	11	1-7	1,280	11	1-5	560	5	5-7	650	9	1=>7	10960	27	1-5-7	4410	12	5,10,(7,11),8,1,9,4,6,2,3	5101178914623	5410711189623	5,7,4,1,10,8,11,6,9,2-3			5.0	150	3.0	1-6	4720.0	12.0	1=>7=>5	47710.0	99.0
200850032010	ダ	右	1400	曇	不良	15:35	もうすぐ開幕!「姫路 		2008-3-20	26	園田	1	(馬齢)		4	740	4	4	350	6	2	280	4	2-4	3660	13	2-4	1,340	15	4-10	2,790	28	2-10	4,120	33	4=>2	6570	22	2-4-10	49320	77	9,10,8,6,4,2,1,3,5-7	9,10,8,6,4,2,1,3,5=7	(2,9),10,4,(6,8),3,1,5-7	92104863157			10.0	880	9.0	2-4	4330.0	15.0	4=>2=>10	108950.0	265.0
200850032011	ダ	右	1700	曇	不良	16:30	B3二　4歳以上 		2008-3-20	26	園田	1	(馬齢)		1	7470	10	1	1,540	10	3	150	1	1-3	11590	29	1-3	1,980	24	1-7	6,170	35	3-7	410	3	1=>3	42500	67	1-3-7	23600	53	16753428910	1,6,7,5,3,4,2,(8,9),10	1,7,5,3,9,(2,8),6,4,10	17359284610			7.0	260	5.0	1-3	10090.0	20.0	1=>3=>7	144800.0	296.0
200850032101	ダ	右	1400	晴	不良	10:55	F4三　3歳		2008-3-21	26	園田	2	(馬齢)		10	150	1	10	100	1	9	110	2	9-10	370	1	9-10	180	1	5-10	810	11	5-9	3,170	31	10=>9	590	1	5-9-10	3770	14	4103952718	4103952718	4,10,9,5,3,2,8,(1,7)	1094538217			5.0	420	9.0	8-8	440.0	1.0			
200850032102	ダ	右	1400	晴	不良	11:20	F4二　3歳		2008-3-21	26	園田	2	(馬齢)		7	200	1	7	100	2	5	100	1	5-7	330	1	5-7	240	2	1-7	770	11	1-5	1,800	22	7=>5	500	1	1-5-7	4200	13	85106743192	85610743192	8,5,7,10,3,6,1,4,(2,9)	7,8,5,3,(6,10),1,9,2,4			1.0	250	6.0	5-7	430.0	1.0			
200850032103	ダ	右	1400	晴	不良	11:50	F4一　3歳		2008-3-21	26	園田	2	(馬齢)		11	120	1	11	110	1	6	460	7	6-11	1280	6	6-11	640	9	4-11	300	4	4-6	1,580	20	11=>6	1570	6	4-6-11	2850	14	11,6,(4,8),2,5,3,9,10,7,1	1164825397101	11,6,4,5,8,(3,9),2,7,10,1	1164538927101			4.0	200	4.0	6-8	670.0	5.0			
200850032104	ダ	右	1400	晴	不良	12:20	D5二　4歳以上		2008-3-21	26	園田	2	(馬齢)		7	160	1	7	100	1	4	150	3	4-7	450	2	4-7	210	2	5-7	300	4	4-5	520	10	7=>4	730	2	4-5-7	1140	5	7,2,4,6,5,8,(1,9)	72465891	72485691	7,4,5,2,8,9,(1,6)			5.0	260	5.0	4-7	590.0	2.0			
200850032105	ダ	右	1400	晴	重	12:50	D5一　4歳以上		2008-3-21	26	園田	2	(馬齢)		6	140	1	6	100	1	8	140	3	6-8	420	2	6-8	260	3	6-10	240	2	8-10	970	11	6=>8	530	2	6-8-10	850	3	67821094315	6,7,8,2,10,4,(3,9),(1,5)	6,8,(2,7,10),9,3,4,5,1	6,8,10,2,9,7,3,4,5-1			10.0	130	2.0	6-7	340.0	2.0			
200850032106	ダ	右	1400	晴	重	13:20	D4三　4歳以上		2008-3-21	26	園田	2	(馬齢)		2	130	1	2	100	1	3	100	2	2-3	260	2	2-3	140	3	2-9	120	1	3-9	130	2	2=>3	330	2	2-3-9	180	1	238915467	238915467	2,3,9,8,5,1,4-7,6	2,(3,9),8,5,4,1-7,6			9.0	130	3.0	2-3	280.0	2.0			
200850032107	ダ	右	1400	晴	重	13:50	D4二　4歳以上		2008-3-21	26	園田	2	(馬齢)		9	1430	6	9	240	6	4	170	4	4-9	3270	12	4-9	660	8	5-9	390	4	4-5	200	2	9=>4	9870	26	4-5-9	1390	5	594627318	594627138	5,9,4,2,7,(1,6),8,3	5,9,4,2,7,1,6,8-3			5.0	120	1.0	4-8	1960.0	9.0			
200850032108	ダ	右	1700	晴	重	14:20	B2一　4歳以上 		2008-3-21	26	園田	2	(馬齢)		5	540	3	5	140	2	6	150	3	5-6	540	2	5-6	150	3	1-5	150	2	1-6	130	1	5=>6	1650	7	1-5-6	190	1	5,6,1-2,7,3	5,6,1-2,7,3	5,6,1-2,7,3	5,6,1-2,7,3											
200850032109	ダ	右	1400	晴	重	14:50	D4一　4歳以上		2008-3-21	26	園田	2	(馬齢)		9	210	2	9	130	2	7	110	1	7-9	140	1	7-9	120	1	1-9	870	11	1-7	750	8	9=>7	400	2	1-7-9	1730	5	794236581	794326518	7,9,4,6,1,3,2,(5,8)	794613825			1.0	500	7.0	7-8	160.0	1.0	9=>7=>1	5360.0	17.0
200850032110	ダ	右	1400	晴	重	15:20	C2二　4歳以上		2008-3-21	26	園田	2	(馬齢)		7	290	2	7	130	2	6	500	6	6-7	11930	17	6-7	1,110	13	7-8	140	1	6-8	1,430	17	7=>6	12040	22	6-7-8	3200	10	945128763	9,4,1,5,(2,8),7,6,3	948751326	974851362			8.0	100	1.0	6-7	8430.0	14.0	7=>6=>8	33800.0	81.0
200850032111	ダ	右	1230	晴	重	15:55	ラジオ関西558賞 		2008-3-21	26	園田	2	(馬齢)		11	180	1	11	100	1	5	130	3	5-11	310	2	5-11	170	2	4-11	460	4	4-5	540	6	11=>5	430	2	4-5-11	1250	3	5101114823976	5101114283796	5111047318296	1151047381296			4.0	160	4.0	5-8	330.0	2.0	11=>5=>4	2640.0	8.0
200850032501	ダ	右	1400	晴	重	10:55	F3三　3歳		2008-3-25	26	園田	3	(馬齢)		5	110	1	5	100	1	2	110	2	2-5	300	2	2-5	190	2	5-8	2,260	17	2-8	5,960	35	5=>2	310	1	2-5-8	10490	20	56924738101	56924378101	59264837101	5,2,9,(4,8),3,6,7,1,10			8.0	1,350	10.0	2-5	290.0	1.0			
200850032502	ダ	右	1400	晴	重	11:20	F3二　3歳		2008-3-25	26	園田	3	(馬齢)		10	300	1	10	160	2	9	550	8	9-10	2630	13	9-10	1,040	13	5-10	1,600	18	5-9	4,950	40	10=>9	5270	26	5-9-10	35150	84	68911043527	6,8,9,1,10,4,3,(2,5),7	6,9,8,10,1,4,5,3,(2,7)	10968154372			5.0	1,320	10.0	8-8	3440.0	15.0			
200850032503	ダ	右	1400	晴	重	11:50	F3一　3歳		2008-3-25	26	園田	3	(馬齢)		5	660	4	5	290	4	10	220	3	5-10	2030	9	5-10	440	4	5-7	700	7	7-10	480	5	5=>10	2890	12	5-7-10	2310	7	35101498672	35101498627	51039176842	5,10,9,(1,7),3,6,4,8,2			7.0	180	2.0	5-8	790.0	3.0			
200850032504	ダ	右	1400	晴	重	12:20	D3二　4歳以上		2008-3-25	26	園田	3	(馬齢)		6	510	3	6	190	5	10	130	2	6-10	1170	6	6-10	290	5	6-8	220	1	8-10	230	2	6=>10	2240	10	6-8-10	710	3	7,5,6,3,10,1,(2,8),9,4	75631810294	75861034192	75861034192			8.0	120	1.0	6-8	1000.0	5.0			
200850032505	ダ	右	1400	晴	重	12:50	D3一　4歳以上		2008-3-25	26	園田	3	(馬齢)		9	270	2	9	120	2	2	140	4	2-9	1430	7	2-9	590	8	4-9	190	2	2-4	290	4	9=>2	2530	12	2-4-9	840	3	8,2,5,7,(3,4),1,9,6	827543196	287439561	284739651			4.0	100	1.0	2-8	570.0	2.0			
200850032506	ダ	右	1700	晴	重	13:20	B1一　4歳以上 		2008-3-25	26	園田	3	(馬齢)		4	1440	4	4	460	5	6	110	1	4-6	1070	4	4-6	310	4	3-4	370	5	3-6	150	2	4=>6	5040	13	3-4-6	520	2	152364	152364	652314	652341											
200850032507	ダ	右	1400	晴	重	13:50	C3二　4歳以上		2008-3-25	26	園田	3	(馬齢)		2	230	1	2	120	1	8	130	2	2-8	390	1	2-8	210	2	2-7	860	10	7-8	1,540	18	2=>8	630	2	2-7-8	3290	12	1,7,2,(4,8),3,5,6	1,7,2,4,8,(3,5),6	1,2,7,8,3,(5,6),4	(1,2),7,8,3,5,6,4			7.0	370	7.0						
200850032508	ダ	右	1400	晴	重	14:20	C3一　4歳以上		2008-3-25	26	園田	3	(馬齢)		8	330	2	8	140	2	7	400	6	7-8	2390	10	7-8	1,040	13	5-8	1,640	16	5-7	1,940	19	8=>7	4360	20	5-7-8	10570	30	85273146	85273146	85723461	85734261			5.0	420	7.0						
200850032509	ダ	右	1400	晴	重	14:50	D2三　4歳以上		2008-3-25	26	園田	3	(馬齢)		2	410	3	2	240	5	5	150	2	2-5	1180	6	2-5	530	8	2-9	380	5	5-9	380	4	2=>5	2700	14	2-5-9	1440	6	56891072413	56891072413	5,6,8,9,2,3,(7,10),4,1	56928710341			9.0	180	4.0	2-5	1590.0	7.0	2=>5=>9	9900.0	46.0
200850032510	ダ	右	1400	晴	重	15:20	D2二　4歳以上		2008-3-25	26	園田	3	(馬齢)		5	160	1	5	100	1	4	130	2	4-5	160	1	4-5	110	1	5-9	270	2	4-9	320	4	5=>4	220	1	4-5-9	430	1	9,5,1,(6,11),10,(4,7),8,2,3	9,5,1,(6,11),10,4,7,8,2,3	9,(4,5),11,1,6,7,10,3,8,2	9451116710238			9.0	240	5.0	4-5	190.0	1.0	5=>4=>9	780.0	1.0
200850032511	ダ	右	1400	晴	重	15:55	ハッピー241賞 		2008-3-25	26	園田	3	(馬齢)		7	290	1	7	120	1	2	220	5	2-7	1260	4	2-7	340	4	3-7	250	2	2-3	710	8	7=>2	1610	7	2-3-7	1370	2	71026591483	7,10,2,6,5,(1,9),4,8,3	7,10,2,9,(5,6),3,1,4,8	72109351648			3.0	130	2.0	2-7	1570.0	7.0	7=>2=>3	6020.0	9.0
200850032601	ダ	右	1400	晴	重	10:55	F2三　3歳		2008-3-26	26	園田	4	(馬齢)		5	3770	6	5	730	7	4	360	5	4-5	12550	15	4-5	1,500	15	5-6	990	11	4-6	400	4	5=>4	25020	36	4-5-6	4720	14	58163724	5,8,(1,6),7,2,3,4	58461372	5,4,8,(1,6),7,3,2			6.0	170	2.0						
200850032602	ダ	右	1400	晴	重	11:20	F2二　3歳		2008-3-26	26	園田	4	(馬齢)		8	120	1	8	120	1	4	130	2	4-8	270	1	4-8	170	2	7-8	1,600	17	4-7	2,240	19	8=>4	360	1	4-7-8	6910	17	87216345	8,7,1,2,(4,6),3,5	87413625	84713625			7.0	550	8.0						
200850032603	ダ	右	1400	晴	重	11:50	F2一　3歳		2008-3-26	26	園田	4	(馬齢)		2	130	1	2	100	1	7	120	3	2-7	400	2	2-7	180	2	2-3	160	1	3-7	420	6	2=>7	490	2	2-3-7	450	1	12463758	1,2,4,(3,6),7,5,8	7,2,(1,4),3,6,5,8	27364518			3.0	100	2.0						
200850032604	ダ	右	1400	晴	重	12:20	D1四　4歳以上		2008-3-26	26	園田	4	(馬齢)		9	130	1	9	120	2	10	290	5	9-10	1060	4	9-10	370	4	6-9	480	5	6-10	1,010	12	9=>10	1120	4	6-9-10	3130	12	97310562184	97310562184	97103652184	9,(7,10),6,3,5,2,1,4,8			6.0	270	4.0	8-8	860.0	3.0			
200850032605	ダ	右	1400	晴	重	12:50	D1三　4歳以上		2008-3-26	26	園田	4	(馬齢)		1	180	1	1	110	1	3	270	6	1-3	2120	7	1-3	580	8	1-6	170	1	3-6	600	9	1=>3	2180	9	1-3-6	1110	3	21046917583	21046915783	10,2,(4,6),1,9,5,3,8,7	10,2,(4,6),1,(3,5),8,7,9			6.0	120	2.0	1-3	2040.0	7.0			
200850032606	ダ	右	1400	晴	重	13:20	D1二　4歳以上		2008-3-26	26	園田	4	(馬齢)		7	430	3	7	200	3	8	460	7	7-8	5390	14	7-8	1,270	14	7-10	380	4	8-10	1,370	15	7=>8	9460	21	7-8-10	9120	21	37210869145	3,7,8,(2,10),6,9,1,4,5	73681091245	73861019245			10.0	170	2.0	7-7	6470.0	10.0			
200850032607	ダ	右	1400	晴	重	13:50	リミテッド競走		2008-3-26	26	園田	4	(馬齢)		10	890	5	10	230	5	3	110	1	3-10	1010	5	3-10	360	5	1-10	840	10	1-3	290	3	10=>3	3800	12	1-3-10	1430	6	10738452196	10,7,(3,8),4,5,2,1,9,6	10,7,5,(3,8),4,1,2,6,9	10,(3,7),5,8,4,1,(2,9),6			1.0	180	4.0	3-8	860.0	4.0			
200850032608	ダ	右	1700	晴	稍重	14:20	A3二　4歳以上 		2008-3-26	26	園田	4	(馬齢)		7	800	4	7	130	2	6	100	1	6-7	1020	4	6-7	400	5	3-7	1,210	13	3-6	940	11	7=>6	2950	12	3-6-7	5620	20	73625841	73265841	7,6,2,(3,5),4,1,8	7,6,2,5,1,3,4-8			3.0	220	6.0						
200850032609	ダ	右	1400	晴	稍重	14:50	C4二　4歳以上		2008-3-26	26	園田	4	(馬齢)		8	170	1	8	110	2	11	100	1	8-11	140	1	8-11	140	1	6-8	290	4	6-11	280	3	8=>11	290	1	6-8-11	680	4	1,5,11,(2,6),9,8,4,7,3	1,5,11,2,6,9,8,4,(3,7)	11158962437	81119652437			6.0	290	6.0	7-8	150.0	1.0	8=>11=>6	1870.0	8.0
200850032610	ダ	右	1400	晴	稍重	15:20	書写山特別 		2008-3-26	26	園田	4	(馬齢)		10	170	1	10	130	1	6	870	8	6-10	2060	8	6-10	910	10	8-10	550	4	6-8	3,390	30	10=>6	2210	7	6-8-10	10330	29	6751181109432	6751181104932	6,7,5,10,8,11,9,(2,3),1,4	6107589321114			8.0	410	5.0	6-8	580.0	3.0	10=>6=>8	44200.0	116.0
200850032611	ダ	右	1230	晴	稍重	15:55	サンテレビ賞 		2008-3-26	26	園田	4	(馬齢)		1	160	1	1	100	1	3	170	4	1-3	1870	4	1-3	470	6	1-8	160	1	3-8	450	5	1=>3	2670	8	1-3-8	1330	2	13847256	13847256	1,3,8,7,5,(2,4),6	13875246			8.0	120	2.0				1=>3=>8	7580.0	23.0
200850032612	ダ	右	1400	晴	稍重	16:30	C4一　4歳以上		2008-3-26	26	園田	4	(馬齢)		8	280	2	8	150	2	7	170	3	7-8	1250	5	7-8	360	4	5-8	1,590	15	5-7	1,840	19	8=>7	1770	6	5-7-8	8550	27	2391185741610	2,3,9,11,5,8,7,4,(1,6),10	2839115710164	8,2,9,3,5,7,(10,11),1,6,4			5.0	390	6.0	6-7	810.0	3.0	8=>7=>5	29880.0	92.0
200850040201	ダ	右	1400	晴	稍重	11:10	F5二　3歳		2008-4-2	1	園田	1	(馬齢)		4	810	4	4	200	5	2	120	1	2-4	720	3	2-4	360	4	1-4	640	8	1-2	270	2	4=>2	2710	9	1-2-4	1030	4	452386179	452386179	4,2,1,7,3,(5,8),9,6	4,2,1,3,8,7,5,9-6			1.0	140	3.0	2-4	1000.0	4.0			
200850040202	ダ	右	1400	晴	稍重	11:40	F5一　3歳		2008-4-2	1	園田	1	(馬齢)		9	1640	7	9	370	5	10	240	4	9-10	6860	23	9-10	1,170	15	1-9	4,430	30	1-10	1,840	22	9=>10	8860	33	1-9-10	32980	65	91038765241	9,10,3,8,7,6,5,(2,4),1	91065318742	91056318724			1.0	800	8.0	8-8	4540.0	16.0			
