	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200858042901	ダ	右	1000	晴	良	11:00	3歳　条件		2008-4-29	1	札幌(地)	1	(規定)		6	630	3	6	160	2	9	180	4	11.0	430	8.0	5-7	810.0	3.0	6-9	1240	5	6=>9	3150	14	6-9-11	9910	36	6=>9=>11	53070	155			6,11,4,(7,9),5,3,8,1,(2,12),10	6,11,(4,9),(3,5,7),1,(2,8),12,10		
200858042902	ダ	右	1700	晴	良	11:30	3歳　条件		2008-4-29	1	札幌(地)	1	(規定)		9	6270	9	9	520	6	7	160	2	1.0	690	8.0	6-7	2320.0	7.0	7-9	5260	14	9=>7	16920	39	1-7-9	76750	100	9=>7=>1	391590	467	(5,9),10,3,6,1,7,4,2,11,8	5,9,10,(1,3),6,(2,7),4-(8,11)	(5,9),10,1,(7,4),3,6,2-(8,11)	(5,9),10,1,7,4,(3,6),2,(8,11)		
200858042903	ダ	右	1000	晴	良	12:05	D3　ー2組		2008-4-29	1	札幌(地)	1	40万円以下	(規定)	6	170	1	6	110	1	8	180	3	5.0	210	5.0	5-6	600.0	2.0	6-8	810	3	6=>8	800	2	5-6-8	1960	6	6=>8=>5	6490	17			4,6,(5,10),8,(3,9),12,(2,1),7,11	(4,6),5,10,(3,8),12,9,(2,1),7,11		
200858042904	ダ	右	1000	晴	良	12:40	D3　ー1組		2008-4-29	1	札幌(地)	1	40万円以下	(規定)	3	660	3	3	250	4	5	160	2	7.0	310	5.0	3-5	430.0	1.0	3-5	620	2	3=>5	1680	6	3-5-7	4050	13	3=>5=>7	19560	55			3,7,6,(5,8),9,11,10,12,(1,2)-4	3,(6,7),5,8,(10,9,11),(1,2,12)-4		
200858042905	ダ	右	1000	曇	良	13:15	フレッシュチャレンジ		2008-4-29	1	札幌(地)	1	(規定)		3	1430	5	3	440	7	7	210	4	10.0	340	5.0	3-7	2460.0	9.0	3-7	3570	13	3=>7	9150	29	3-7-10	19100	52	3=>7=>10	88460	223			(3,10),(9,7),(2,5,4),8,6,1	3,10,(9,7),4,2,(8,5),6,1		
200858042906	ダ	右	1700	曇	良	13:50	室蘭カレーラーメン賞		2008-4-29	1	札幌(地)	1	80万円以下	(規定)	12	240	2	12	120	1	8	180	3	5.0	310	5.0	6-8	220.0	1.0	8-12	800	2	12=>8	1180	3	5-8-12	10290	32	12=>8=>5	31320	91	(2,7),(4,10),6,(8,12),9,(1,11),3,5	2,7,10,4,(6,8,12),9,1,11-3-5	(7,10),2,(8,6),12,1,(9,11),4,5,3	(7,10,8),2,12,1,(11,6),5,(9,4),3		
200858042907	ダ	右	1000	曇	良	14:25	京極町名水の郷賞		2008-4-29	1	札幌(地)	1	100万円以下	(規定)	5	350	1	5	150	1	10	210	4	4.0	410	6.0	5-7	410.0	1.0	5-10	950	4	5=>10	1570	5	4-5-10	4960	17	5=>10=>4	19770	66			5,(4,10),11,3,(2,9),12,6,7,8,1	5,10,4,11,(2,3),(6,9,12),1,(7,8)		
200858042908	ダ	右	1700	曇	良	15:00	JA門別馬舞米特別 		2008-4-29	1	札幌(地)	1	(別定)		2	570	4	2	140	4	5	120	2	3.0	120	1.0				2-5	540	2	2=>5	1180	5	2-3-5	500	1	2=>5=>3	2600	6	4,5,(2,6,7),3,1,8	4,5,6,(2,3,7),1,8	(4,5),6,2,7,3,1,8	(4,5),(2,6),8,3,7,1		
200858042909	ダ	右	1700	曇	良	15:35	リーディングジョッキ 		2008-4-29	1	札幌(地)	1	130万円以下	(規定)	11	510	2	11	200	2	7	1,260	11	12.0	1,230	10.0	5-7	400.0	1.0	7-11	10300	29	11=>7	48230	98	7-11-12	123890	194	11=>7=>12	754580	1063	(6,7),10,8,(2,13),(3,5,12),(9,11),(1,4)	6,7,10,2,(8,13),5,3,12,(9,11),4,1	(6,7),10,(2,8),(5,13),11,3,(9,12,4)-1	(6,7),(2,10,8),(5,11),9,12,13,4,3,1		
200858042910	ダ	右	1700	曇	良	16:15	日高建設協会特別 		2008-4-29	1	札幌(地)	1	160万円以下	(規定)	8	750	5	8	190	3	3	270	5	10.0	150	2.0	3-7	970.0	5.0	3-8	1790	7	8=>3	5420	23	3-8-10	5020	18	8=>3=>10	41530	120	8,3,1,6,(5,11),9,10,2,(4,7)	8,3,1,10,(6,11),5,9,2,4,7	8,3,1,10,5,9,6,(11,4),2,7	8,3,10,(1,5),9,(6,4),(2,11),7		
200858051401	ダ	右	1000	曇	良	10:45	D3　ー2組		2008-5-14	2	札幌(地)	1	40万円以下	(規定)	1	230	1	1	100	1	3	490	8	6.0	150	3.0				1-3	4270	12	1=>3	6920	20	1-3-6	6750	17	1=>3=>6	20460	58			1,(2,6),3,4,(5,7),8	(1,6),(3,2),4,(5,7,8)		
200858051402	ダ	右	1000	曇	良	11:20	3歳　条件		2008-5-14	2	札幌(地)	1	(規定)		2	210	1	2	100	1	8	110	2	12.0	120	3.0	2-6	350.0	2.0	2-8	600	3	2=>8	930	4	2-8-12	550	2	2=>8=>12	2220	6			(2,8),12,5,7,1,6,3,(4,11,10),9	2,8-12,5,(1,7),(3,6),(4,11),10,9		
