	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200834052801	ダ	右	1000	晴	稍重	14:30	2歳　未勝利		2008-5-28	1	旭川	1	(規定)		4	100	1	4	110	1	2	110	2	2-4	190	1	4=>2	240	1	2-4-7	270	1	4=>2=>7	390	1			4,2,7,5,3,(1,6)	4275136								
200834052802	ダ	右	1000	曇	稍重	15:05	3歳　条件		2008-5-28	1	旭川	1	(規定)		4	760	5	4	290	5	7	210	4	4-7	2960	10	4=>7	4330	20	4-5-7	2390	10	4=>7=>5	24690	80			4,5,(3,7),8,(1,2,6)	4,(3,5),7,1,(2,6),8			5.0	140.0	2.0			
200834052803	ダ	右	1500	曇	稍重	15:40	D3　ー2組		2008-5-28	1	旭川	1	40万円以下	(規定)	1	350	2	1	180	2	5	210	3	1-5	650	3	1=>5	1500	6	1-5-6	150	1	1=>5=>6	1360	6	1,5,6,7-2,3,4	1,(5,6),7-2,3,4	1,5,6-7,2,3,4	1,5,6-7,2,3,4								
200834052804	ダ	右	1000	曇	稍重	16:15	フレッシュチャレンジ		2008-5-28	1	旭川	1	(規定)		6	840	5	6	250	5	4	170	2	4-6	830	6	6=>4	2500	14	1-4-6	5380	20	6=>4=>1	17560	68			(1,2,8,4),6,3,7,5	1,(2,8,4,6),3,(5,7)			1.0	430.0	7.0			
200834052805	ダ	右	1000	曇	稍重	16:50	D2　ー2組		2008-5-28	1	旭川	1	60万円以下	(規定)	8	190	1	8	100	1	2	130	3	2-8	630	2	8=>2	1030	3	2-8-9	1270	4	8=>2=>9	5920	16			1,8,9,(2,5),7,(3,4,6)	(1,8),(9,5),2,(3,6),(7,4)			9.0	130.0	2.0	2-8	370.0	2.0
200834052806	ダ	右	1500	曇	稍重	17:25	D2　ー2組		2008-5-28	1	旭川	1	60万円以下	(規定)	1	270	1	1	100	1	8	110	2	1-8	390	1	1=>8	670	1	1-6-8	480	1	1=>8=>6	1900	2	(1,8),3,5,4,(2,6),7	1,8-3,5,6,(2,4),7	1,8-3-(5,4,6),7,2	1,8,3,5,(4,6),7,2			6.0	130.0	4.0			
200834052807	ダ	右	1000	曇	稍重	18:05	ルーキーチャレンジ競		2008-5-28	1	旭川	1	(規定)		4	760	3	4	160	2	7	320	4	4-7	3150	8	4=>7	6150	14	4-5-7	19750	33	4=>7=>5	98180	133			(1,2),4,7,8,6,3-5	(1,2),4,7,8,(3,5),6			5.0	440.0	6.0			
200834052808	ダ	右	1600	曇	稍重	18:40	JA富川雷峰いちご特 		2008-5-28	1	旭川	1	130万円以下	(規定)	7	190	1	7	100	1	8	110	2	7-8	390	1	7=>8	640	2	4-7-8	910	3	7=>8=>4	3130	8	1,5,(2,4),(3,7),6,8	1,5,2,4,(3,7),(6,8)	4,(1,7),5,3,2,8,6	4,7,3,8,(1,5),2,6			4.0	180.0	5.0			
200834052809	ダ	右	1000	曇	稍重	19:15	アルキバ特別 		2008-5-28	1	旭川	1	150万円以下	(馬齢)	10	160	1	10	110	1	9	120	2	9-10	170	1	10=>9	250	1	9-10-13	950	4	10=>9=>13	1800	3			10,(11,9),(12,13),(4,7),8,(1,5),2,3,6	10,9,(11,13),12,4,(1,7,8),(2,5),3,6			13.0	300.0	6.0	6-7	190.0	1.0
200834052810	ダ	右	1600	曇	稍重	19:55	ローエングリン賞 		2008-5-28	1	旭川	1	130万円以下	(規定)	13	260	1	13	120	1	4	140	2	4-13	500	1	13=>4	700	1	4-6-13	820	1	13=>4=>6	2170	1	13,7,8,(5,14),(4,9),6,1,(11,12),10,2,3	13,7,8,(5,14),4,(6,9),1,11,12,(10,2),3	13,7,8,(5,14),4,1,6,9,2,11,10,12,3	13,5,8,(7,14),4,(1,6),2,9,11,10,3,12			6.0	150.0	3.0	3-8	390.0	1.0
