waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017104379	トーセンポエム			a0041	西川敏弘	a004f	大関吉明	490	-4
2	2	2017100095	ブラックヴァローナ			a022d	石本純也	a0232	田中伸一	425	1
3	3	2017104077	バッファローボム			05572	佐原秀泰	a01c8	国澤輝幸	544	5
4	4	2017103390	ウインアポロン			a02da	妹尾浩一	a02b0	打越勇児	556	26
5	5	2014104273	プラチナムバレット			05536	永森大智	a0043	雑賀正光	496	-10
5	6	2012100322	マタタビニャンニャ			05496	郷間勇太	a0041	平和人	431	3
6	7	2017106452	メイショウサソリザ			05564	木村直輝	a0049	宗石大	387	-2
6	8	2017102641	シベーレス			a01bb	畑中信司	a02f3	宮川浩一	411	9
7	9	2014101704	アペリラルビー			05074	赤岡修次	a02e3	工藤真司	524	3
7	10	2016105865	ミッキーフォンテン			05481	倉兼育康	a003f	宮路洋一	410	-3
8	11	2017102928	ゴーゴーワイザー			a0256	西森将司	a030b	西山裕貴	412	0
8	12	2013104007	ミュートエアー			a03e1	妹尾将充	a0050	東原己俊	465	-7
