rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	7		ビスバルト	牡4	56.0		吉村智洋	1:32.0		2-2-2-1	40.4	1.3	1	473	0		保利良平		（株）ＹＧＧホース	60.0
2	3	3		ドンナラボリオーザ	牝4	54.0		廣瀬航	1:32.2	1.1/2	3-3-3-3	40.6	4.3	2	475	7		碇清次郎		小濱正智	24.0
3	2	2		メイプルエルガー	牡4	56.0		永井孝典	1:32.2	アタマ	5-5-4-4	40.2	13.7	4	451	0		大山寿文		節英司	15.0
4	6	6		ピエナペリー	牝6	54.0		田野豊三	1:32.4	3/4	10-10-7-6	39.9	49.5	7	452	3		溝橋利喜		組）オールザベスト組	9.0
5	4	4		メイショウアカイシ	牝5	54.0		笹田知宏	1:32.7	1.3/4	8-7-5-5	40.5	17.9	5	473	3		新子雅司		松本好雄	6.0
6	8	10		ラブカレン	牝5	54.0		大山真吾	1:33.1	2.1/2	1-1-1-1	41.7	10.8	3	489	-1		茂崎正善		増田陽一	
7	8	9		ヒナハナ	牝6	54.0		長谷部駿	1:33.9	5.0	4-4-6-7	41.8	89.6	8	452	6		徳本慶一		荒川三代子	
8	7	8		バジガクハート	牝5	51.0		青海大樹	1:34.5	3.1/2	9-9-9-9	41.6	38.1	6	434	-3		田村彰啓		（株）馬事学院	
9	5	5		アイビーグラチア	牝8	54.0		松本幸祐	1:34.6	3/4	6-6-8-8	42.2	128.3	9	425	4		小村正也		下田政一	
10	1	1		フロストフラワー	牝4	54.0		板野央	1:35.2	3.1/2	7-8-9-9	42.3	148.2	10	461	8		西村守幸		インターフェース（	
