	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200507010111	芝	左	1800	晴	良	15:30	中京スポーツ杯 		2005-3-5	1	中京	1	4歳以上1000万下	(混)[指](ハンデ)	8	1490	8	8	460	9	7	200	2	11	360	5	4-4	3390	16	7-8	3500	12	7-8	1,280	14	8-11	2,900	43	7-11	1,100	10	8=>7	7090	25	7-8-11	13670	49	13-10(6,12)14(8,11)16(5,7)3,2(1,15)9,4	13,10(12,14)(6,8)11(7,16)5(2,3)(1,15)9,4	13,14(6,10,11)(8,12)(5,7,16)(1,2,3)15(4,9)	(*13,11)(6,14,10,7)(8,12,16)(5,1,2,3)(4,9,15)	12.2 - 10.6 - 12.9 - 12.3 - 11.6 - 11.8 - 12.3 - 12.1 - 12.2	12.2 - 22.8 - 35.7 - 48.0 - 59.6 - 71.4 - 83.7 - 95.8 - 108.0 (35.7-36.6)	8=>7=>11	105740.0	385.0
200507010112	芝	左	1200	晴	良	16:10	鞍ケ池特別 		2005-3-5	1	中京	1	4歳以上500万下	(混)[指](別定)	1	690	5	1	200	3	2	530	8	13	180	2	1-1	6080	21	1-2	6030	18	1-2	1,420	16	1-13	740	9	2-13	2,060	21	1=>2	11200	36	1-2-13	11110	31			1,3,5(2,13)12(10,14)15,16(6,11)4(9,8,7)	1,3,5(2,13)(12,14)(10,15)-16,11(4,6,7)(9,8)	12.0 - 10.5 - 11.1 - 11.7 - 11.9 - 12.3	12.0 - 22.5 - 33.6 - 45.3 - 57.2 - 69.5 (33.6-35.9)	1=>2=>13	84830.0	235.0
200507010201	ダ	左	1000	晴	良	09:55	3歳未勝利		2005-3-6	1	中京	2	3歳未勝利	(馬齢)	8	290	1	8	130	1	7	140	2	9	230	5	6-6	480	2	7-8	490	1	7-8	210	1	8-9	590	7	7-9	700	8	8=>7	1080	3	7-8-9	1630	5			(6,*12)8-10(1,7,9)(3,5)-(4,2)11	(*6,12)8-(1,7)9,10(3,5)-(4,2)-11	12.6 - 11.1 - 12.4 - 12.8 - 12.5	12.6 - 23.7 - 36.1 - 48.9 - 61.4 (36.1-37.7)			
200507010202	ダ	左	1700	晴	良	10:25	3歳未勝利		2005-3-6	1	中京	2	3歳未勝利	(混)(馬齢)	5	1190	5	5	350	6	4	370	7	3	160	2	4-5	11190	23	4-5	11310	27	4-5	2,420	24	3-5	760	9	3-4	1,070	13	5=>4	22770	51	3-4-5	10130	32	3(1,8)(9,11)-5(2,7)6,4,10	3(1,8)-9,11-5-7,2,6-4-10	3,8,1=9-5(7,11)-4,6=10-2	3,8-(1,9)-5-(7,4)-11-6-10=2	7.1 - 11.0 - 11.6 - 13.0 - 12.6 - 12.8 - 13.8 - 13.9 - 13.7	7.1 - 18.1 - 29.7 - 42.7 - 55.3 - 68.1 - 81.9 - 95.8 - 109.5 (29.7-41.4)			
200507010203	芝	左	1200	晴	良	10:55	3歳未勝利		2005-3-6	1	中京	2	3歳未勝利	(馬齢)	6	530	3	6	180	3	11	220	4	4	150	1	4-6	1290	6	6-11	1500	4	6-11	850	10	4-6	380	2	4-11	520	4	6=>11	5010	16	4-6-11	3150	6			10,6(4,7)11(2,8,13)(1,3,15)(5,9,12)14	10,6(4,7)11(2,8,13)(1,15)(5,3,9)12,14	12.1 - 10.5 - 11.4 - 12.0 - 12.2 - 12.3	12.1 - 22.6 - 34.0 - 46.0 - 58.2 - 70.5 (34.0-36.5)			
200507010204	芝	左	1800	晴	良	11:25	3歳未勝利		2005-3-6	1	中京	2	3歳未勝利	(馬齢)	7	1910	7	7	610	10	6	160	2	2	150	1	3-4	1340	7	6-7	6740	23	6-7	2,220	25	2-7	2,280	27	2-6	320	1	7=>6	14530	47	2-6-7	8510	26	(*7,8)(14,16)-(1,2)(4,5,9)12,6,15(10,13)11-3	(*7,8)(14,16)(1,2)(4,5,9)(6,12)15(10,13)-11-3	7(8,16,2)-(14,12)-(5,6)1(9,15)(4,13)-(10,11,3)	7(8,16,2)-14(6,12)15(5,4,13)1,3(10,9)11	12.3 - 10.8 - 12.3 - 12.6 - 12.2 - 12.2 - 12.3 - 12.5 - 12.6	12.3 - 23.1 - 35.4 - 48.0 - 60.2 - 72.4 - 84.7 - 97.2 - 109.8 (35.4-37.4)			
200507010205	ダ	左	1700	晴	良	11:55	4歳以上500万下		2005-3-6	1	中京	2	4歳以上500万下	牝(別定)	9	920	4	9	220	4	16	590	9	10	130	1	5-8	760	4	9-16	12880	41	9-16	4,120	47	9-10	340	1	10-16	1,430	18	9=>16	21340	71	9-10-16	8280	26	1,12(4,16)(10,14)(8,11)9(2,5,15)(13,7)6,3	1,12(4,16)(10,14)8(9,11)(2,5)15(13,7)(6,3)	1,12(8,16,14)4(9,10,11,3)(2,5,15)7=13-6	1,12(8,16,14)(9,10)(4,3)(5,15,11)(2,7)-(6,13)	7.2 - 11.2 - 11.8 - 13.3 - 13.1 - 13.1 - 13.4 - 13.3 - 13.0	7.2 - 18.4 - 30.2 - 43.5 - 56.6 - 69.7 - 83.1 - 96.4 - 109.4 (30.2-39.7)			
200507010206	ダ	左	1000	晴	良	12:45	4歳以上500万下		2005-3-6	1	中京	2	4歳以上500万下	(混)(別定)	2	1030	5	2	220	5	10	120	1	6	150	2	2-6	750	3	2-10	1190	4	2-10	470	5	2-6	720	8	6-10	290	2	2=>10	3210	11	2-6-10	1650	4			15(2,9,14)(10,12)8(6,13)-(3,7)(4,5)-(1,11)	15,2(10,9,14)12,6(8,13)(3,7)(4,5)-(1,11)	12.5 - 10.9 - 12.1 - 12.2 - 12.3	12.5 - 23.4 - 35.5 - 47.7 - 60.0 (35.5-36.6)			
200507010207	芝	左	2000	晴	良	13:15	4歳以上500万下		2005-3-6	1	中京	2	4歳以上500万下	(別定)	13	1560	5	13	350	5	15	200	3	8	180	2	7-8	1290	5	13-15	3400	9	13-15	1,190	12	8-13	990	7	8-15	480	3	13=>15	7780	29	8-13-15	5040	10	15,11(8,12)(13,16)(2,7,9)(3,6,5,10)14,4-1	15-11(8,12)16,13,7(2,6,9)(3,5,10)(4,14)1	15,11(8,12)13,16,6(7,9,10)(3,5)(2,4,14)1	15(8,11,12)13,6(7,16)9(3,5,10)(4,14)1,2	12.2 - 10.8 - 11.6 - 12.8 - 12.3 - 11.9 - 12.1 - 12.5 - 12.2 - 12.6	12.2 - 23.0 - 34.6 - 47.4 - 59.7 - 71.6 - 83.7 - 96.2 - 108.4 - 121.0 (34.6-37.3)			
200507010208	ダ	左	1700	晴	良	13:45	4歳以上500万下		2005-3-6	1	中京	2	4歳以上500万下	(混)(別定)	11	780	5	11	370	5	10	1,280	9	7	1,320	10	5-6	1780	9	10-11	9470	28	10-11	3,850	35	7-11	8,970	61	7-10	14,060	76	11=>10	15880	46	7-10-11	233570	267	16,10(2,11)3(5,7,13)(6,9)14,4,1-8,12-15	16,10(2,11)3(5,7,13)(6,9,14)(1,4)(8,12)-15	(*16,10)2(3,11)-(5,7)(9,14,13)6,4,1(8,12)-15	(*16,10)(3,11,2)-(5,7)(9,14)-(6,1,13)4(8,12)-15	7.2 - 10.9 - 12.4 - 13.9 - 13.1 - 12.8 - 12.7 - 12.6 - 12.6	7.2 - 18.1 - 30.5 - 44.4 - 57.5 - 70.3 - 83.0 - 95.6 - 108.2 (30.5-37.9)			
