	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200503010111	芝	右	2000	晴	良	15:30	吾妻小富士賞 		2005-4-2	1	福島	1	4歳以上1000万下	(混)[指](ハンデ)	7	620	3	7	170	1	14	210	4	1	250	6	4-8	1210.0	4.0	7-14	1300	1	7-14	630	3	1-7	760	11	1-14	700	6	7=>14	2790	5	1-7-14	2670	4	4(2,3,7)(5,14)(1,6,12)(11,15)-13(8,9,10)	4-(3,7)(5,14)2(1,6)(11,15)(13,10)-8,9 12	(*4,7,14)(3,6)5(2,1)(13,11,15)(8,10)9 12	7,14(4,3,1)(2,6)(5,11)13,8(15,10)9 12	12.4 - 11.4 - 11.2 - 12.8 - 12.4 - 12.4 - 11.8 - 11.7 - 11.5 - 12.3	12.4 - 23.8 - 35.0 - 47.8 - 60.2 - 72.6 - 84.4 - 96.1 - 107.6 - 119.9 (35.0-35.5)	7=>14=>1	15610.0	25.0
200503010112	芝	右	1200	晴	良	16:10	4歳以上500万下		2005-4-2	1	福島	1	4歳以上500万下	[指](別定)	6	340	2	6	150	1	12	160	2	8	510	9	3-6	410.0	1.0	6-12	530	1	6-12	240	1	6-8	1,370	17	8-12	1,470	20	6=>12	1100	2	6-8-12	4580	9			(1,*6,12)(14,15)2(3,11,9)(4,8,10)5(7,16,13)	(1,*6,12)(14,15)(3,9)2(4,11,8)(5,7,10,13)16	12.4 - 10.7 - 10.8 - 11.1 - 11.6 - 12.5	12.4 - 23.1 - 33.9 - 45.0 - 56.6 - 69.1 (33.9-35.2)	6=>12=>8	19110.0	39.0
200503010201	ダ	右	1000	曇	良	09:55	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	(馬齢)	3	150	1	3	100	1	11	160	2	1	250	6	3-8	440.0	1.0	3-11	480	1	3-11	170	1	1-3	350	4	1-11	870	10	3=>11	640	1	1-3-11	1380	4			5,3,1(2,11)-4(8,10)12,7,9-6	(*5,3)1,11-2-4,8-(7,10)-12(6,9)	12.4 - 10.9 - 12.1 - 12.3 - 13.2	12.4 - 23.3 - 35.4 - 47.7 - 60.9 (35.4-37.6)			
200503010202	ダ	右	1700	曇	良	10:25	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	(馬齢)	8	200	1	8	140	1	4	230	4	5	1,540	8	4-6	1350.0	8.0	4-8	900	3	4-8	430	3	5-8	3,260	23	4-5	10,000	46	8=>4	1430	4	4-5-8	26740	57	8,12(4,9)5(3,6,11)-10-2=1-7	8(4,12)-(5,9)(3,11)6-10-2-1=7	8(4,12)(5,9,11)3-(6,10)=(2,1)=7	8-4-(5,12,11)3-(9,10)6-1-2=7	7.2 - 11.7 - 12.1 - 12.8 - 13.1 - 12.5 - 12.5 - 12.7 - 13.0	7.2 - 18.9 - 31.0 - 43.8 - 56.9 - 69.4 - 81.9 - 94.6 - 107.6 (31.0-38.2)			
200503010203	ダ	右	1150	曇	良	10:55	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	牝(馬齢)	9	390	3	9	160	3	8	150	1	7	650	8	5-5	690.0	3.0	8-9	680	3	8-9	290	2	7-9	2,080	25	7-8	1,920	22	9=>8	1490	6	7-8-9	6650	20			(*8,2,7)(14,15)(5,9,12)-11,4,1(6,13)3-10	8,7(2,9,14)15,5-12-11,6(1,3)-(4,13)-10	9.6 - 11.2 - 11.5 - 12.1 - 13.1 - 13.3	9.6 - 20.8 - 32.3 - 44.4 - 57.5 - 70.8 (32.3-38.5)			
200503010204	ダ	右	1700	晴	良	11:25	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	(馬齢)	4	240	1	4	120	1	14	160	3	9	130	2	3-8	530.0	2.0	4-14	710	2	4-14	260	2	4-9	200	1	9-14	270	3	4=>14	1050	2	4-9-14	770	1	(*1,4)(6,14)-(5,13)-(9,10)(7,12)(2,8,11)3	1(4,6)14-(5,13)-9(7,10)12(2,11)(8,3)	(*1,4,6)(5,14)(9,11)(13,10,3)(7,12)2-8	(1,*4,6,14)5(9,11)(7,10)3-13(12,2)-8	7.1 - 11.3 - 11.5 - 13.2 - 13.7 - 13.3 - 13.3 - 13.0 - 13.4	7.1 - 18.4 - 29.9 - 43.1 - 56.8 - 70.1 - 83.4 - 96.4 - 109.8 (29.9-39.7)			
200503010205	芝	右	1800	晴	良	11:55	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	(混)(馬齢)	4	610	3	4	230	3	14	620	7	11	340	5	2-7	1050.0	5.0	4-14	5320	16	4-14	1,670	14	4-11	1,670	13	11-14	4,870	48	4=>14	12500	38	4-11-14	35150	91	14,15,5,8(2,12)(4,11)(6,7,10)3,13,1-16=9	14(5,15)(8,12)(2,4,11)(7,10)13,3,6,1,16=9	(*14,15,12,13)(5,8,4,11,10)7(2,3,16)1-9-6	14(12,13)(4,11,10)15,8(5,7,3)(2,1,16)-(6,9)	12.9 - 11.2 - 13.2 - 13.5 - 13.2 - 12.4 - 12.3 - 11.8 - 12.4	12.9 - 24.1 - 37.3 - 50.8 - 64.0 - 76.4 - 88.7 - 100.5 - 112.9 (37.3-36.5)			
200503010206	芝	右	1200	晴	良	12:45	3歳未勝利		2005-4-3	1	福島	2	3歳未勝利	(馬齢)	7	1260	7	7	380	8	9	150	1	6	170	2	4-5	700.0	2.0	7-9	2410	10	7-9	770	9	6-7	1,360	18	6-9	460	2	7=>9	6800	31	6-7-9	5740	18			(*5,6)(8,10)(9,16)(1,2,4)-(7,11)14(15,13)=12,3	(*5,6)(8,10)9(2,16)(1,7)14(4,11)15-13-(3,12)	12.3 - 10.7 - 10.9 - 11.5 - 11.9 - 12.6	12.3 - 23.0 - 33.9 - 45.4 - 57.3 - 69.9 (33.9-36.0)			
200503010207	ダ	右	1150	晴	良	13:15	4歳以上500万下		2005-4-3	1	福島	2	4歳以上500万下	牝(別定)	5	840	4	5	210	2	13	130	1	9	1,280	13	3-7	650.0	2.0	5-13	900	2	5-13	320	2	5-9	5,350	49	9-13	3,460	36	5=>13	2410	7	5-9-13	18790	59			(*3,14)13,10(9,15)6,11(1,5)(4,8,12)(2,7)	(*3,14,13)9,10,5(6,15)11(1,4)(8,12)(2,7)	9.6 - 10.8 - 11.4 - 12.2 - 12.6 - 13.2	9.6 - 20.4 - 31.8 - 44.0 - 56.6 - 69.8 (31.8-38.0)			
200503010208	芝	右	2000	曇	良	13:45	4歳以上500万下		2005-4-3	1	福島	2	4歳以上500万下	(別定)	13	330	2	13	160	1	5	290	4	6	400	5	3-7	930.0	2.0	5-13	2040	7	5-13	730	5	6-13	820	7	5-6	1,620	18	13=>5	3340	7	5-6-13	6290	14	5,4(13,16)14(2,8,9)12(1,10)15(3,11)6,7	5,4(13,16)14,2(8,9)12,1(3,10,15)-(6,11)7	5(4,16)13(2,1)(8,14,15)(6,12)10(3,11)(7,9)	5,16,13(2,4,1)(6,8,15)10,11(7,14)(3,12)-9	12.5 - 11.4 - 11.6 - 12.6 - 12.4 - 12.5 - 11.8 - 11.7 - 11.7 - 12.0	12.5 - 23.9 - 35.5 - 48.1 - 60.5 - 73.0 - 84.8 - 96.5 - 108.2 - 120.2 (35.5-35.4)			
200503010209	ダ	右	1700	曇	良	14:20	4歳以上500万下		2005-4-3	1	福島	2	4歳以上500万下	(別定)	12	580	3	12	220	3	5	1,350	10	8	310	5	3-7	400.0	1.0	5-12	21740	40	5-12	8,520	53	8-12	1,010	12	5-8	8,960	58	12=>5	50650	87	5-8-12	68870	125	1(3,4)10,13,5-7(2,14)8,12-(6,11)-(9,15)	1(3,4,10)13,5,7(2,14)12,8,6,11-(9,15)	(*1,3,4,12)13(5,10)(6,7,2)(8,14)11-15-9	(1,*4,12)3(5,13)-6(8,7,2)(14,11)10(15,9)	7.1 - 11.2 - 11.8 - 12.8 - 13.0 - 12.9 - 12.8 - 12.6 - 13.4	7.1 - 18.3 - 30.1 - 42.9 - 55.9 - 68.8 - 81.6 - 94.2 - 107.6 (30.1-38.8)	12=>5=>8	507890.0	788.0
200503010210	芝	右	1800	曇	良	14:55	飯盛山特別 		2005-4-3	1	福島	2	4歳以上500万下	(混)(別定)	11	490	2	11	220	2	2	720	10	12	470	7	1-6	2370.0	10.0	2-11	7370	29	2-11	2,320	31	11-12	1,300	12	2-12	4,810	53	11=>2	11920	45	2-11-12	31190	99	3,16,9(2,4,10)-6(1,8,7)11-(5,12)15,14,13	3,16,9(4,10)2-(6,7)(1,8,11)-12,5(14,15)-13	3(16,10)(9,4)2(7,11)(1,6)(8,12)-15(5,14)-13	(*16,10)(9,4,7,11)3(2,12)(6,14)(1,8)(5,15)=13	12.7 - 10.7 - 12.1 - 12.2 - 12.1 - 11.9 - 12.1 - 11.8 - 12.6	12.7 - 23.4 - 35.5 - 47.7 - 59.8 - 71.7 - 83.8 - 95.6 - 108.2 (35.5-36.5)	11=>2=>12	200410.0	576.0
200503010211	芝	右	1200	曇	良	15:30	福島中央テレビ杯 		2005-4-3	1	福島	2	4歳以上1000万下	(別定)	1	450	2	1	160	2	5	140	1	6	220	4	1-4	390.0	1.0	1-5	660	1	1-5	310	1	1-6	570	4	5-6	480	3	1=>5	1330	2	1-5-6	1350	1			(*13,4)(1,5,12)(3,6,8)(9,11)(2,7,10)14	(*4,5,12)(13,1)(6,8)(3,7,11)2-(10,9)14	12.1 - 10.5 - 11.1 - 11.2 - 11.6 - 12.2	12.1 - 22.6 - 33.7 - 44.9 - 56.5 - 68.7 (33.7-35.0)	1=>5=>6	4760.0	1.0
200503010212	芝	右	1200	曇	良	16:10	喜多方特別 		2005-4-3	1	福島	2	4歳以上500万下	(混)(別定)	15	930	5	15	310	4	2	160	1	13	320	5	1-8	700.0	2.0	2-15	1770	5	2-15	770	4	13-15	1,540	15	2-13	800	6	15=>2	4100	11	2-13-15	5650	16			(1,4,*13)-(2,14)10(3,15)16(5,6)9,11(7,8,12)	13-(1,2)14,4,10(3,15)(5,6,16)(7,9)(11,8)12	11.9 - 10.4 - 10.7 - 11.2 - 11.9 - 12.7	11.9 - 22.3 - 33.0 - 44.2 - 56.1 - 68.8 (33.0-35.8)	15=>2=>13	43140.0	115.0
200503010301	ダ	右	1700	晴	良	09:55	3歳未勝利		2005-4-9	1	福島	3	3歳未勝利	(馬齢)	11	980	6	11	220	5	8	210	4	7	150	1	6-7	2430.0	10.0	8-11	4130	20	8-11	710	10	7-11	560	5	7-8	750	12	11=>8	6640	32	7-8-11	4470	17	9,2-11,7(1,10)-5(4,3,13)6-8-12	9,2,11(7,10)(1,13)(5,3)4-(8,6)=12	9(2,11)(13,8)(7,10)-(1,5,3)4,6-12	9(2,11)8(7,10,13)-(1,5)3-4-(12,6)	7.1 - 11.2 - 11.9 - 13.3 - 13.7 - 13.4 - 12.7 - 13.1 - 13.7	7.1 - 18.3 - 30.2 - 43.5 - 57.2 - 70.6 - 83.3 - 96.4 - 110.1 (30.2-39.5)			
200503010302	ダ	右	1700	晴	良	10:25	3歳未勝利		2005-4-9	1	福島	3	3歳未勝利	(馬齢)	11	140	1	11	100	1	10	160	2	3	640	8	6-7	230.0	1.0	10-11	340	1	10-11	190	1	3-11	1,020	11	3-10	2,590	27	11=>10	400	1	3-10-11	3750	10	11(3,9)(5,10)14,7,8,12(1,13)-(2,6)-4	11(3,9,10)(5,14)7(1,8)(13,12)(2,6)4	11(9,10)3-7(14,8)5-13,1-(2,12)6-4	11(3,9,10)-(7,8)-5-(13,14)-1(2,12)4-6	7.0 - 11.7 - 12.7 - 13.3 - 12.7 - 12.6 - 12.7 - 13.3 - 13.2	7.0 - 18.7 - 31.4 - 44.7 - 57.4 - 70.0 - 82.7 - 96.0 - 109.2 (31.4-39.2)			
