rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		アンクレットハート	牝3	54.0		石川慎将	1:23.9		5-5-3-3	37.7	4.4	2	444	-7		石川浩文		藤木隆之	25.0
2	4	4		エンゼルサンライズ	牝3	54.0		倉富隆一	1:23.9	アタマ	1-1-1-2	38.1	1.3	1	434	-7		川田孝好		松岡隆雄	7.5
3	7	8		ヴィジョニア	牝3	54.0		田中純	1:24.2	1.1/2	2-2-2-1	38.3	9.8	4	410	-4		平山宏秀		小橋亮太	2.5
4	3	3		フットルース	牡3	56.0		竹吉徹	1:26.3	大	4-4-5-4	39.6	9.7	3	501	-7		山田徹		原久美子	1.5
5	5	5		レアローズ	牝3	54.0		村松翔太	1:26.3	クビ	3-3-4-5	40.0	121.2	10	360	2		柳井宏之		藤原良通	1.0
6	1	1		カシノグルー	牡3	56.0		川島拓	1:27.1	4.0	6-6-6-6	40.0	53.2	5	476	5		山下定文		柏木務	
7	8	11		トゥザムーン	牝3	53.0		出水拓人	1:28.0	5.0	8-8-8-7	39.8	96.5	9	461	0		中川竜馬		豊島愛子	
8	6	7		レディミリオネア	牝3	54.0		山下裕貴	1:28.4	2.0	9-9-10-8	40.1	75.9	7	402	0		池田忠好		蔵内優子	
9	2	2		コンビビアリテ	牝3	54.0		兒島真二	1:28.4	アタマ	10-10-9-10	40.2	196.5	11	458	-2		中川竜馬		（有）門脇	
10	6	6		トワイライトサナー	牡3	56.0		小松丈二	1:28.9	2.1/2	7-7-7-9	40.8	53.7	6	458	2		池田忠好		吉野政敏	
11	7	9		エスペランサ	牝3	54.0		南谷圭哉	1:32.5	大	11-11-11-11	42.9	91.9	8	396	-3		大垣敏夫		野口幸八	
