waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018106233	レイドフルール			a029e	笹田知宏	a03c4	西川進也	470	0
2	2	2018101597	バケル			05364	大山真吾	a02be	飯田良弘	517	-3
3	3	2017102474	エムザックベルガー			05581	松木大地	05266	田中道夫	466	1
4	4	2018106496	メイショウケンジャ			05589	木本直	05567	森澤友貴	496	-2
5	5	2018100755	ポンフー			05390	吉村智洋	a02be	飯田良弘	507	-6
5	6	2018104678	フレーズバニーユ			05580	長谷部駿	05715	北野真弘	464	-4
6	7	2018106896	ワンダードゥヴァン			a0326	田村直也	05291	西村守幸	430	0
6	8	2018104596	ブーケドフルール			05217	田中学	a02ee	松浦聡志	440	18
7	9	2018104328	ネッダ			a0488	大山龍太	a03a3	大山寿文	412	-18
7	10	2018106518	スマートブリーズ			05328	下原理	a03c3	永島太郎	526	-2
8	11	2018110039	ネオアスペクト			05530	杉浦健太	a02be	飯田良弘	497	-3
8	12	2018102955	ワンダーピュルテ			a0489	佐々木世	a03c4	西川進也	506	-2
