waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017103279	トレベーラ	牝4	57.0	01149	伴	01094	水野	482	0
2	2	2014102973	メイショウギガース	牡7	60.0	01101	中村	01066	岡田	486	-2
3	3	2016104257	サトノファイター	牡5	60.0	01072	黒岩	01136	高橋亮	482	0
3	4	2016102184	オノーレペスカ	牝5	58.0	01120	大江原	01005	小桧山	428	4
4	5	2017101558	ダウラギリ	牡4	59.0	01089	高野	01077	加藤和	492	-14
4	6	2016104963	フィードバック	牡5	60.0	01113	草野	01026	鈴木伸	494	-4
5	7	2017101471	ブックウエスト	牝4	57.0	01105	田村	01178	杉山佳	436	8
5	8	2016101938	テイエムクロムシャ	牡5	60.0	00727	植野	01111	鈴木孝	484	8
6	9	2016104252	ニューツーリズム	セ5	60.0	01123	小野寺	01133	黒岩	488	-28
6	10	2016101717	ノーリミッツ	牡5	60.0	00691	北沢	01033	木原	440	-14
7	11	2017104755	パルディエス	セ4	59.0	01087	上野	01162	田中博	462	10
7	12	2016104289	ショウナンタイガ	牡5	60.0	01035	白浜	01021	池添兼	488	-4
8	13	2013103569	リッジマン	牡8	60.0	01139	森一	01087	庄野	464	2
8	14	2017104782	テランガ	牡4	59.0	01005	西谷誠	01160	武幸	446	-8
