	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200753081404	ダ	右	1250	晴	良	12:35	C23		2007-8-14	8	福山	2	(馬齢)		4	120	1	4	110	1	5	120	2	8.0	420	6.0	4-5	910	4	4=>5	670	3	4=>5=>8	12180	32	452869371	452863971	458261379	458261739		
200753081405	ダ	右	1250	晴	良	13:10	C24		2007-8-14	8	福山	2	(馬齢)		5	290	2	5	110	1	7	400	8	6.0	190	4.0	5-7	4420	12	5=>7	5430	21	5=>7=>6	28840	87	3,(4,6),1,2,8,5,7	3,(4,6),1,2,8,5,7	(3,6),4,1,2,5,7,8	(3,6),4,5,1,2,7,8		
200753081406	ダ	右	1250	晴	良	13:45	C23		2007-8-14	8	福山	2	(馬齢)		4	270	2	4	120	2	6	160	4	7.0	110	1.0	4-6	490	2	4=>6	940	3	4=>6=>7	2570	3	48536712	48536712	48536712	43586712		
200753081407	ダ	右	1600	晴	良	14:20	C22		2007-8-14	8	福山	2	(馬齢)		6	3430	6	6	310	6	7	210	5	3.0	130	1.0	6-7	5250	16	6=>7	17390	37	6=>7=>3	45540	130	14825736	1,4,(2,8),5,7,3,6	48127653	48617235		
200753081408	ダ	右	1600	晴	良	15:00	C21		2007-8-14	8	福山	2	(馬齢)		5	140	1	5	100	2	9	100	1	6.0	630	8.0	5-9	240	1	5=>9	320	1	5=>9=>6	3700	10	369285174	3,6,(2,9),8,7,5,1,4	695321784	6,9,5-1,3,4,7,8,2		
200753081409	ダ	右	1600	晴	良	15:40	芙蓉特別 		2007-8-14	8	福山	2	(規定)		4	400	3	4	110	2	10	110	1	5.0	140	3.0	4-10	930	4	4=>10	1730	7	4=>10=>5	5610	14	5,8,2-10,4,9,6,3-1,7	5,8,2-10,4,6,9,3-7,1	5,8,2,4,10,6,3,9-1,7	5,4,8,10,2,6,3,9,1-7		
200753082601	ダ	右	1250	晴	良	10:50	混合		2007-8-26	9	福山	1	(馬齢)		5	400	2	5	150	1	3	180	3				3-5	750	3	5=>3	1300	5	5=>3=>6	2750	8	5374612	5376421	5367421	5,3-7,6,4,2-1		
200753082602	ダ	右	1250	晴	良	11:20	混合		2007-8-26	9	福山	1	(馬齢)		3	160	1	3	140	1	6	220	4				3-6	480	1	3=>6	750	1	3=>6=>7	2350	5	6734152	6731452	6731425	6,(7,3),2,1,4,5		
200753082603	ダ	右	1250	晴	良	11:50	C26		2007-8-26	9	福山	1	(馬齢)		7	190	1	7	100	1	4	230	4	3.0	690	6.0	4-7	740	2	7=>4	1300	3	7=>4=>3	22370	53	57286341	57268341	57682431	7,5,(2,6),8,4,3,1		
200753082604	ダ	右	1250	晴	良	12:20	C25		2007-8-26	9	福山	1	(馬齢)		7	500	3	7	130	2	3	100	1	8.0	160	4.0	3-7	960	4	7=>3	2000	7	7=>3=>8	7510	25	789154263	789154263	789512436	879512346		
200753082605	ダ	右	1250	晴	良	12:55	C24		2007-8-26	9	福山	1	(馬齢)		1	670	4	1	130	2	4	130	1	5.0	190	6.0	1-4	630	2	1=>4	1900	9	1=>4=>5	4110	10	479165238	471965238	4,7,(1,9),5,6,2-8,3	4,1,7,5,9,6,2-8,3		
200753082606	ダ	右	1250	晴	良	13:30	C23		2007-8-26	9	福山	1	(馬齢)		9	410	2	9	120	2	2	150	4	3.0	100	1.0	2-9	1480	7	9=>2	2780	12	9=>2=>3	7320	23	829563417	892563147	892531467	982315476		
200753082607	ダ	右	1600	晴	良	14:05	3歳2　条件		2007-8-26	9	福山	1	(馬齢)		2	130	1	2	140	1	3	190	4	6.0	230	5.0	2-3	530	2	2=>3	760	2	2=>3=>6	2550	5	37824615	3,7,8,2,4,(1,6),5	3,4,8,(2,7,6),1,5	3,(2,4),6,8,1,7,5		
200753082608	ダ	右	1600	晴	良	14:40	仲良し信繁・ちえ・貴		2007-8-26	9	福山	1	(馬齢)		7	720	3	7	200	4	6	100	1	8.0	150	3.0	6-7	530	2	7=>6	1250	4	7=>6=>8	3800	7	23748651	23748651	23748651	27348651		
200753082609	ダ	右	1600	晴	良	15:15	開設記念横山フルーツ 		2007-8-26	9	福山	1	(見込)		3	250	1	3	150	2	4	290	5	1.0	180	3.0	3-4	1920	7	3=>4	3570	12	3=>4=>1	24650	66	35718491062	35741981062	3,6,4,7,5,1,9,8,(2,10)	36419725810		
200753082610	ダ	右	1800	晴	良	16:20	金木犀特別 		2007-8-26	9	福山	1	(規定)		4	130	1	4	100	1	6	140	3	8.0	110	2.0	4-6	610	2	4=>6	780	3	4=>6=>8	1980	3	6,8,1,7,(4,5),3,2	68174532	64857123	64857213		
200753092301	ダ	右	1250	曇	良	10:50	混合		2007-9-23	10	福山	1	(馬齢)		8	6200	7	8	1,050	8	3	110	1	6.0	200	5.0	3-8	5150	15	8=>3	16090	35	8=>3=>6	101480	152	48231765	4,8,2,3,1,(7,6),5	48213675	4,8,3,1,(2,6),7,5		
200753092302	ダ	右	1250	曇	良	11:20	混合		2007-9-23	10	福山	1	(馬齢)		6	830	4	6	150	4	7	130	2	2.0	100	1.0	6-7	4070	12	6=>7	8480	22	6=>7=>2	30780	95	237689514	236798514	237968154	273691584		
200753092303	ダ	右	1250	晴	良	11:50	C26		2007-9-23	10	福山	1	(馬齢)		6	810	5	6	560	7	7	370	6	3.0	300	4.0	6-7	3580	20	6=>7	7600	37	6=>7=>3	39210	187	17283645	17283645	17628345	17634825		
200753092304	ダ	右	1250	晴	良	12:20	C25		2007-9-23	10	福山	1	(馬齢)		8	410	3	8	130	3	4	110	1	7.0	150	4.0	4-8	340	2	8=>4	740	3	8=>4=>7	1680	4	786243951	786243951	7,8,(4,6),2,3,5,9,1	784623519		
200753092305	ダ	右	1250	晴	良	12:55	C24		2007-9-23	10	福山	1	(馬齢)		2	430	2	2	110	2	5	110	1	8.0	160	4.0	2-5	420	1	2=>5	850	2	2=>5=>8	3500	6	(4,7),8,6,5,3,2,1	47865231	4,8,6,(7,5)-2,(3,1)	8,(4,6,5),2,7,1,3		
200753092306	ダ	右	1250	晴	良	13:30	C23		2007-9-23	10	福山	1	(馬齢)		4	770	3	4	100	1	6	120	3	2.0	100	2.0	4-6	740	3	4=>6	1270	5	4=>6=>2	3230	10	261894375	2,6,1,8,4,9,3,(5,7)	(2,6),8,4,1,9,3,5,7	264819357		
200753092307	ダ	右	1600	曇	良	14:05	3歳2　条件		2007-9-23	10	福山	1	(馬齢)		8	430	3	8	420	6	5	340	4	3.0	240	3.0	5-8	3530	14	8=>5	9220	33	8=>5=>3	27790	101	17283645	17286345	(1,7,8),2,3,6,5,4	(1,8),3,7,2,6,5,4		
200753092308	ダ	右	1600	曇	良	14:40	3歳1　条件		2007-9-23	10	福山	1	(馬齢)		1	180	1	1	100	1	2	120	2	5.0	140	3.0	1-2	260	1	1=>2	350	1	1=>2=>5	1940	4	54237816	54273816	5,2,1,(3,8,7),6,4	5,2,1,8,3,7,6-4		
200753092309	ダ	右	1600	曇	良	15:15	秋分の日特別 		2007-9-23	10	福山	1	(馬齢)		3	770	3	3	230	4	2	140	2	9.0	240	5.0	2-3	560	2	3=>2	1150	5	3=>2=>9	5970	20	3810946275	3,8,(4,10),9,(2,6),7,5	3,8,10,(4,9),2,6,5,7	3102948576		
200753092310	ダ	右	1800	曇	良	15:50	開設記念サンケイスポ 		2007-9-23	10	福山	1	(規定)		6	210	1	6	160	1	8	240	4	1.0	460	9.0	6-8	850	4	6=>8	1220	3	6=>8=>1	24070	61	5,8,6,2,10,3,7,1,(4,9)	58263101794	58673210149	58637141029		
200753102001	ダ	右	1250	晴	良	10:50	3歳7　条件		2007-10-20	11	福山	2	(馬齢)		5	840	3	5	300	3	7	190	2				5-7	710	2	5=>7	2170	8	5=>7=>6	3530	13	5613742	5,6,(1,3),7,4,2	5631742	5,6,(1,3),7,4,2		
200753102002	ダ	右	1250	晴	良	11:25	3歳6　条件		2007-10-20	11	福山	2	(馬齢)		7	640	3	7	530	4	6	260	3				6-7	2660	11	7=>6	7400	23	7=>6=>2	29690	86	6724351	6724351	6,7,4,(3,2),5,1	7643251		
200753102003	ダ	右	1250	曇	良	12:00	3歳5　条件		2007-10-20	11	福山	2	(馬齢)		3	340	2	3	160	2	1	160	3				1-3	600	3	3=>1	980	4	3=>1=>7	14050	58	2761345	2,7,(1,6),3,5,4	(2,7),6,1,3,4,5	2,7,(1,6,3),4,5		
200753102004	ダ	右	1250	曇	良	12:35	3歳4　条件		2007-10-20	11	福山	2	(馬齢)		6	260	2	6	170	2	7	240	4				6-7	930	5	6=>7	1550	8	6=>7=>5	4730	18	1,6,4,7,(5,3),2	1647532	(6,7),3,5,1,4,2	6753142		
200753102005	ダ	右	1250	曇	良	13:10	混合		2007-10-20	11	福山	2	(馬齢)		8	300	3	8	110	3	7	100	2	5.0	100	1.0	7-8	280	1	8=>7	770	3	8=>7=>5	1640	3	5,7,1,8,(2,6),3,4	5,7-1,8,2,6,3-4	7,5-8,1,2,6,3,4	7-5,8-6,2,3,1,4		
200753102006	ダ	右	1250	曇	良	13:45	混合		2007-10-20	11	福山	2	(馬齢)		4	310	1	4	110	2	2	100	1	7.0	130	3.0	2-4	520	1	4=>2	1100	3	4=>2=>7	2880	6	41527386	4,1,2,(3,5),8,7,6	41283756	42138765		
200753102007	ダ	右	1250	曇	良	14:20	混合		2007-10-20	11	福山	2	(馬齢)		5	230	1	5	100	1	7	100	2	2.0	150	3.0	5-7	340	1	5=>7	590	1	5=>7=>2	1380	1	345981672	345819672	358947162	5,(8,7),3,9,1,2,4,6		
200753102008	ダ	右	1250	晴	良	14:55	特命係長課長昇進記念		2007-10-20	11	福山	2	(馬齢)		5	3130	8	5	380	8	4	100	1	6.0	110	2.0	4-5	5400	19	5=>4	22720	42	5=>4=>6	52460	129	87231456	8,(2,7),3,1,4,5,6	87426315	47658213		
200753102009	ダ	右	1250	晴	良	15:30	シクラメン特別 		2007-10-20	11	福山	2	(見込)		4	150	1	4	110	1	7	120	2	1.0	140	4.0	4-7	310	1	4=>7	430	1	4=>7=>1	2550	8	471396258	417936258	471953268	471592368		
200753102010	ダ	右	1800	晴	良	16:05	おみなえし特別 		2007-10-20	11	福山	2	(規定)		8	260	2	8	210	3	5	940	8	7.0	370	4.0	5-8	4440	12	8=>5	6320	13	8=>5=>7	34780	79	67815432910	67815432910	68571423910	85672191034		
200753110402	ダ	右	1250	晴	良	11:20	C27		2007-11-4	12	福山	2	(馬齢)		5	170	1	5	120	2	1	140	3	4.0	110	1.0	1-5	1680	6	5=>1	3570	16	5=>1=>4	6360	22	154982367	159482367	154982367	1,5,(4,9),8,2,6,3,7		
200753110403	ダ	右	1250	晴	良	11:50	C27		2007-11-4	12	福山	2	(馬齢)		8	450	3	8	190	3	3	140	2	5.0	230	6.0	3-8	430	2	8=>3	1210	4	8=>3=>5	4530	16	(2,7),8,3,6,4,5,1	27836415	27836451	7,(2,8),(6,3),(4,5),1		
200753110404	ダ	右	1250	晴	良	12:20	C26		2007-11-4	12	福山	2	(馬齢)		3	300	1	3	150	3	1	130	2	2.0	260	5.0	1-3	360	1	3=>1	580	1	3=>1=>2	2870	7	368172495	361872945	361827945	316287495		
200753110405	ダ	右	1250	晴	良	12:55	C25		2007-11-4	12	福山	2	(馬齢)		2	260	2	2	110	2	6	100	1	9.0	430	7.0	2-6	320	1	2=>6	570	2	2=>6=>9	4000	13	368214957	368214957	362814957	(2,3),6,8,1,4,9,5,7		
200753110406	ダ	右	1250	曇	良	13:30	C24		2007-11-4	12	福山	2	(馬齢)		3	240	2	3	100	2	5	100	1	1.0	320	5.0	3-5	170	1	3=>5	370	2	3=>5=>1	2080	6	34517689102	35416781092	35164879102	35168492107		
200753110407	ダ	右	1600	曇	良	14:05	3歳2　条件		2007-11-4	12	福山	2	(馬齢)		7	200	1	7	110	1	3	180	5	1.0	180	4.0	3-7	830	3	7=>3	1010	4	7=>3=>1	10990	36	56871324	5,2,(6,8),1,7,3,4	7,5,2,8,1,(6,3,4)	7-5,2,1,8,3,4,6		
200753110408	ダ	右	1600	曇	良	14:40	3歳1　条件		2007-11-4	12	福山	2	(馬齢)		7	1840	4	7	370	4	6	530	7	9.0	120	2.0	6-7	8850	18	7=>6	48580	45	7=>6=>9	49670	92	54927186	54927186	(5,4,9),2,7,1,6,8	94761258		
200753110409	ダ	右	1600	曇	良	15:15	山陽新聞販売賞 		2007-11-4	12	福山	2	(見込)		10	520	3	10	200	4	2	220	5	8.0	170	2.0	2-10	2670	9	10=>2	4380	17	10=>2=>8	12210	44	75101829364	75101289364	57108216934	51072861493		
200753110410	ダ	右	1800	曇	良	15:50	南関東騎手交流ファン 		2007-11-4	12	福山	2	(規定)		6	150	1	6	120	1	2	180	3	4.0	210	5.0	2-6	330	1	6=>2	410	1	6=>2=>4	2210	5	2,3,1,6,9,10,(4,7),(5,8)	23619104785	26379101458	26374910158		
200753010701	ダ	右	1250	雨	稍重	10:50	3歳6　		2007-1-7	15	福山	4	(馬齢)		7	230	1	7	100	1	6	250	4	8.0	150	3.0	6-7	640	3	7=>6	760	2	7=>6=>8	2090	2	26371845	26378145	(6,7),2,8,3,1,4,5	7,6-(2,8),3,1,4,5		
200753010702	ダ	右	1250	雨	稍重	11:25	3歳5　		2007-1-7	15	福山	4	(馬齢)		3	250	1	3	140	2	9	490	7	5.0	180	3.0	3-9	1530	6	3=>9	2330	9	3=>9=>5	15340	50	5,(7,8),6,9,3,2,4,1	587963241	5,(8,9),3,6,7,2,4,1	593862174		
200753010703	ダ	右	1600	雨	稍重	12:00	3歳3　		2007-1-7	15	福山	4	(馬齢)		7	2900	6	7	180	4	4	100	2	2.0	100	1.0	4-7	1450	7	7=>4	4760	16	7=>4=>2	9430	34	23768451	23768451	23764815	27341685		
200753010704	ダ	右	1250	雨	重	12:35	C26		2007-1-7	15	福山	4	(馬齢)		2	320	2	2	190	3	8	300	4	3.0	370	5.0	2-8	1380	5	2=>8	1660	7	2=>8=>3	13450	48	24617538	24615738	2,(4,6,7,3),1,5,8	2,(7,3),(4,6),(5,8),1		
200753010705	ダ	右	1250	雨	不良	13:10	C25		2007-1-7	15	福山	4	(馬齢)		6	550	3	6	220	4	4	630	6	5.0	150	2.0	4-6	2770	12	6=>4	5410	23	6=>4=>5	15770	56	7,(5,8),2,6,3,1,4	87526314	(8,5),6,4,7,1,2,3	(6,4),5,8,1,7,2,3		
200753010706	ダ	右	1250	曇	不良	13:45	一般オープン		2007-1-7	15	福山	4	(規定)		9	220	1	9	120	1	4	150	3	10.0	340	6.0	4-9	360	1	9=>4	590	1	9=>4=>10	2960	5	93528107461	(5,9,8),3,2,10,7,4,6,1	98210574361	98102475163		
200753010707	ダ	右	1600	曇	不良	14:20	千両特別 		2007-1-7	15	福山	4	(馬齢)		3	460	3	3	120	1	5	140	3	7	190	4	3-5	570	1	3=>5	1090	1	3=>5=>7	3220	4	34210915786	34210915768	34210579618	3,4,2,5,(9,10,6,7),8,1		
