	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200753011409	ダ	右	1600	晴	稍重	15:15	寒菊特別 		2007-1-14	16	福山	1	(馬齢)		3	160	1	3	120	2	6	200	5	2.0	100.0	1.0	3-6	1390	6	3=>6	1760	9	3=>6=>2	5460	15	10,2,1,3,9,(4,5),8,6,7	10,2,1,3-4,9,8,5,6,7	2,10,3,1-6,4,8,7,5,9	2,10,3,(1,6),4,8,7,5,9		
200753020401	ダ	右	1250	晴	良	10:50	3歳7　条件		2007-2-4	17	福山	1	(馬齢)		6	1170	7	6	280	6	4	240	5	8.0	110.0	1.0	4-6	5280	18	6=>4	15450	36	6=>4=>8	61680	148	1,6,4,8,2,3,(7,5)	1,6,4,8,2,3,(7,5)	16482537	6,4,1,8,(2,3,5),7		
200753020402	ダ	右	1250	晴	良	11:20	3歳6　条件		2007-2-4	17	福山	1	(馬齢)		1	200	1	1	120	1	4	140	2	7.0	160.0	4.0	1-4	560	1	1=>4	850	1	1=>4=>7	3130	2	4,1,7,(6,8),3,5,2,9	416783529	(1,4),6,7,8,3,5,2,9	(4,1),6,7,3,8,2,5,9		
200753020403	ダ	右	1250	晴	良	11:50	3歳5　条件		2007-2-4	17	福山	1	(馬齢)		7	200	1	7	130	1	4	150	3	1.0	310.0	7.0	4-7	390	1	7=>4	700	2	7=>4=>1	8590	25	71845632	71854632	17845362	7,1,4,8,(5,3),6,2		
200753020404	ダ	右	1250	晴	良	12:20	3歳4　条件		2007-2-4	17	福山	1	(馬齢)		7	220	1	7	110	1	8	110	2	4.0	210.0	5.0	7-8	380	1	7=>8	730	2	7=>8=>4	2630	2	7,5,3,8,(1,9),4,6,2	735819462	738541962	738456129		
200753020405	ダ	右	1250	晴	良	12:55	C25		2007-2-4	17	福山	1	(馬齢)		8	150	1	8	100	2	5	100	1	2.0	170.0	4.0	5-8	120	1	8=>5	150	1	8=>5=>2	340	1	38451762	3,8,4,5,1,(2,7),6	38451267	8,3,4,5,2,1,(6,7)		
200753020406	ダ	右	1250	晴	良	13:30	C24		2007-2-4	17	福山	1	(馬齢)		8	650	3	8	210	2	4	230	3	6.0	300.0	5.0	4-8	2170	10	8=>4	4000	14	8=>4=>6	25510	76	6,9,3,5,8,1,4,(2,7)	693581427	695384127	6,5,9,8,4,3,(1,2),7		
200753020407	ダ	右	1250	晴	良	14:05	C23		2007-2-4	17	福山	1	(馬齢)		4	230	1	4	110	1	6	280	6	2.0	170.0	3.0	4-6	1030	4	4=>6	1660	7	4=>6=>2	8960	29	391257684	391256748	932165478	9,2,(4,1,5),3,6,7,8		
200753020408	ダ	右	1250	晴	良	14:40	C22		2007-2-4	17	福山	1	(馬齢)		8	3030	8	8	420	7	7	190	2	9.0	360.0	6.0	7-8	6280	16	8=>7	25440	39	8=>7=>9	93040	153	6,(7,9),3,8,(1,2,4),5	697384125	697384125	697834152		
200753020409	ダ	右	1250	晴	良	15:15	C21		2007-2-4	17	福山	1	(馬齢)		8	270	1	8	120	1	1	230	4	3.0	130.0	3.0	1-8	1270	5	8=>1	2700	9	8=>1=>3	9420	30	7,(1,5,6),3,2,8,4,9	716532489	(7,1),3,6,2,8,5,4,9	1,(7,3),8,(6,4,9),2,5		
200753022401	ダ	右	1250	晴	重	10:50	3歳2　条件		2007-2-24	18	福山	1	(馬齢)		7	170	1	7	110	1	3	140	2				3-7	310	1	7=>3	560	1	7=>3=>2	1080	1	1,4,7,(2,3,5),6	1,4,7,(2,3,5),6	1725346	1723546		
200753022402	ダ	右	1250	晴	重	11:20	3歳1　条件		2007-2-24	18	福山	1	(馬齢)		6	200	1	6	100	1	5	180	3				5-6	550	2	6=>5	740	3	6=>5=>1	1740	4	762531	762531	(6,5),7,2,1,3	651723		
200753022403	ダ	右	1250	晴	重	11:55	C25		2007-2-24	18	福山	1	(馬齢)		6	120	1	6	100	1	1	350	4	4.0	540.0	6.0	1-6	410	2	6=>1	580	2	6=>1=>4	2810	6	186349572	183649572	1,8,6,3,(4,9),5,7,2	(1,6),8,3,4,5,9,(2,7)		
200753022404	ダ	右	1250	晴	重	12:30	C24		2007-2-24	18	福山	1	(馬齢)		4	350	2	4	100	1	5	300	8	9.0	160.0	3.0	4-5	1910	8	4=>5	2680	12	4=>5=>9	14850	48	3,7,(2,8),9,5,4,6	3,7,(2,8),9,5,4,6	78359246	7,(5,8),9,3,4,2,6		
200753022405	ダ	右	1250	晴	重	13:05	C23		2007-2-24	18	福山	1	(馬齢)		7	940	5	7	320	3	5	210	2	3.0	1,240	8.0	5-7	990	4	7=>5	2830	13	7=>5=>3	50680	122	93842675	93468725	36794825	37645928		
200753022406	ダ	右	1250	晴	重	13:40	C22		2007-2-24	18	福山	1	(馬齢)		4	290	1	4	120	1	8	180	4	2.0	190	5.0	4-8	600	2	4=>8	950	2	4=>8=>2	2440	3	394186572	394186572	(3,9),4,8,1,2,7,5,6	493821756		
200753071501	ダ	右	1250	曇	重	10:50	C210		2007-7-15	6	福山	3	(馬齢)		1	1420	6	1	330	7	8	150	3	5.0	140	2.0	1-8	2760	10	1=>8	5550	21	1=>8=>5	63760	170	13682574	1,3,2,(6,8),5,7,4	1,(3,8),(2,5),(6,7)-4	18325764		
200753071502	ダ	右	1250	曇	重	11:20	C29		2007-7-15	6	福山	3	(馬齢)		7	1380	7	7	560	6	8	270	3	4.0	440	5.0	7-8	3760	18	7=>8	12220	46	7=>8=>4	75350	231	48267135	4,8,2,6,7,3,(1,5)	48273615	48273615		
200753071503	ダ	右	800	曇	重	11:50	2歳1　新馬		2007-7-15	6	福山	3	(馬齢)		1	140	1	1	100	1	7	190	3				1-7	380	2	1=>7	410	2	1=>7=>6	730	2			1765324.0	1763542.0		
200753071504	ダ	右	800	曇	重	12:25	JRA認定新馬戦エリ		2007-7-15	6	福山	3	(馬齢)		9	220	1	9	130	1	5	130	2	3.0	260	6.0	5-9	210	1	9=>5	340	1	9=>5=>3	2970	10			9,5,7,8,4,(3,6),1=2	9,5,4,(3,7),6,8,1=2		
200753081601	ダ	右	1250	晴	良	10:50	C29		2007-8-16	8	福山	4	(馬齢)		5	110	1	5	100	1	2	110	3	3.0	100	2.0	2-5	250	1	5=>2	340	2	5=>2=>3	570	2	26481573	26418537	2,(4,6,1),8,3,5,7	2,6,4,1,8,(3,5),7		
200753081602	ダ	右	1250	晴	良	11:20	C28		2007-8-16	8	福山	4	(馬齢)		1	130	1	1	100	1	5	110	3	8.0	110	2.0	1-5	330	2	1=>5	400	2	1=>5=>8	700	2	13567842	13567842	13578462	15387462		
200753081603	ダ	右	1250	晴	良	11:50	3歳7　条件		2007-8-16	8	福山	4	(馬齢)		2	180	1	2	130	2	3	280	5	7.0	500	7.0	2-3	1100	4	2=>3	1160	3	2=>3=>7	11530	41	8,2,9-7,5,3,4,1,6	8,2,9-7,3,4,5,1,6	289743165	2-8,9,4,7,3,1,6=5		
200753081604	ダ	右	1250	晴	良	12:25	3歳6　条件		2007-8-16	8	福山	4	(馬齢)		9	160	1	9	100	1	2	280	6	5.0	130	2.0	2-9	1100	4	9=>2	1440	4	9=>2=>5	7480	19	914657238	916547238	9,(1,6,7),5,8,4,2,3	967158234		
200753081605	ダ	右	1250	晴	良	13:00	3歳5　条件		2007-8-16	8	福山	4	(馬齢)		8	490	3	8	590	4	1	210	2	2.0	250	3.0	1-8	850	5	8=>1	2490	12	8=>1=>2	4420	15	487126359	487126539	487162539	841762539		
200753081606	ダ	右	1250	晴	良	13:35	C211		2007-8-16	8	福山	4	(馬齢)		4	150	1	4	100	1	2	800	5	6.0	1,000	7.0	2-4	1340	5	4=>2	1370	5	4=>2=>6	15740	35	481695273	418962537	4,1,(6,9),5,8,2,7,3	4-1,9,5,6,2,8,7,3		
200753081607	ダ	右	1250	晴	良	14:10	C210		2007-8-16	8	福山	4	(馬齢)		5	1020	5	5	200	5	4	180	3	8.0	200	4.0	4-5	1450	11	5=>4	3300	24	5=>4=>8	16250	92	5,4,8,3,9,6,1,2-7	5,4,8,9,3,6,(1,2)-7	5,8,4,9,3,2,1,6-7	5,(4,8),9,3,2,1,6,7		
