	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200746010701	ダ	右	1300	雨	不良	10:50	C39		2007-1-7	21	金沢	4	(馬齢)		10.0	240.0	1.0	10.0	100	1.0	2.0	170	3.0	6.0	110.0	2.0	2-7	560.0	3.0	2-10	490.0	3.0	2-10	130	2.0	6-10	110	1.0	2-6	340	5.0	7=>2	990.0	4.0	10=>2	790.0	4.0	2-6-10	270.0	1.0	10=>2=>6	2200.0	7.0	9,10,6,2,12,8,7,5,3,(1,4,11)	9,10,2,6,(8,12),7,5,(1,3,4),11	(9,10)-(2,6),12,7,8,5,4,11-3,1	10,9,2,6,12,7,8,(5,11),4,3-1		
200746010702	ダ	右	1400	雨	不良	11:25	C38		2007-1-7	21	金沢	4	(馬齢)		7.0	150.0	1.0	7.0	110	1.0	4.0	130	2.0	1.0	380.0	6.0	4-6	170.0	1.0	4-7	150.0	1.0	4-7	110	1.0	1-7	900	9.0	1-4	680	8.0	6=>4	230.0	1.0	7=>4	250.0	1.0	1-4-7	990.0	3.0	7=>4=>1	1650.0	6.0	4,5,7,12,11,1,8,2,9,3,10-6	4,5,7,12,11-1,(2,8,9),3,10-6	4,7,12,5,11,1-(2,9),8,10,3-6	4,7-12,5,1,11,2,9,8,(3,10)-6		
200746010703	ダ	右	1400	雨	不良	12:00	3歳3		2007-1-7	21	金沢	4	(馬齢)		7.0	160.0	1.0	7.0	120	1.0	6.0	390	5.0	8.0	200.0	4.0	6-7	720.0	3.0	6-7	530.0	2.0	6-7	400	3.0	7-8	490	5.0	6-8	2,190	17.0	7=>6	1010.0	4.0	7=>6	800.0	3.0	6-7-8	1520.0	7.0	7=>6=>8	3830.0	13.0	34681729	3,4,6,(8,7),1,2-9	(6,7),8,(3,1),4,9,2	(6,7),(1,8),3,9,2,4		
200746010704	ダ	右	1400	雨	不良	12:35	3歳2		2007-1-7	21	金沢	4	(馬齢)		7.0	150.0	1.0	7.0	100	1.0	8.0	100	2.0	2.0	220.0	5.0				7-8	110.0	1.0	7-8	110	1.0	2-7	300	4.0	2-8	340	6.0				7=>8	190.0	1.0	2-7-8	460.0	3.0	7=>8=>2	960.0	4.0	23467185	2,(3,4),6,7,1,8,5	78246351	(7,8),2,4,5,(3,6),1		
200746010705	ダ	右	1400	雨	不良	13:10	B34		2007-1-7	21	金沢	4	(馬齢)		12.0	1350.0	5.0	12.0	240	3.0	7.0	150	2.0	5.0	310.0	4.0	6-8	630.0	3.0	7-12	760.0	3.0	7-12	420	4.0	5-12	1,520	13.0	5-7	1,270	9.0	8=>6	1210.0	6.0	12=>7	1350.0	5.0	5-7-12	3300.0	9.0	12=>7=>5	20570.0	54.0	3,4,7,12,9,(5,10),6,11,2,(1,8)	3,4,7,12,5,6,(2,9),11,10,1,8	7,(3,12),4,5,2,6,11,9,1,10,8	7,3,12,(2,4,5),6,1,11,8,9,10		
200746010801	ダ	右	1400	雨	不良	10:50	C49		2007-1-8	21	金沢	5	(馬齢)		7.0	160.0	1.0	7.0	110	1.0	8.0	150	2.0	1.0	340.0	8.0	6-7	200.0	1.0	7-8	280.0	1.0	7-8	180	1.0	1-7	310	3.0	1-8	310	3.0	6=>7	300.0	1.0	7=>8	510.0	1.0	1-7-8	640.0	2.0	7=>8=>1	1450.0	1.0	4,8,(1,6,7,9),11,5,10,3,2	4,(1,8),7,6,(5,9),11,10,3,2	4,8,(1,7),11,6,9,5,10,3,2	4,8,(1,7),11,6,9,5,10,3,2		
200746040801	ダ	右	1300	晴	良	10:50	C35		2007-4-8	1	金沢	3	(馬齢)		2.0	160.0	1.0	2.0	100	1.0	1.0	130	2.0	5.0	340.0	7.0	1-2	180.0	1.0	1-2	190.0	1.0	1-2	140	1.0	2-5	1,360	13.0	1-5	1,360	13.0	2=>1	350.0	1.0	2=>1	360.0	1.0	1-2-5	1610.0	4.0	2=>1=>5	3100.0	8.0	1,(2,5),10,3,12,6,9,(4,7),11,8	125103126794811	1,2,5,10,12,3,7,(6,9),11,8,4	1,2,5,10,12,3,7,(8,6,9,11),4		
200746040802	ダ	右	1300	晴	良	11:15	3歳B　4		2007-4-8	1	金沢	3	(馬齢)		5.0	120.0	1.0	5.0	110	1.0	7.0	170	5.0	2.0	120.0	2.0	5-7	670.0	3.0	5-7	610.0	2.0	5-7	190	2.0	2-5	150	1.0	2-7	740	7.0	5=>7	1030.0	4.0	5=>7	920.0	4.0	2-5-7	750.0	1.0	5=>7=>2	3730.0	6.0	5,(7,8,9),3,1,4,2,6	5,(7,8),9,3,1,4,2,6	573829416	573284916		
200746040803	ダ	右	1300	晴	良	11:45	3歳B　3		2007-4-8	1	金沢	3	(馬齢)		2.0	340.0	3.0	2.0	140	3.0	7.0	100	1.0	9.0	100.0	2.0	2-7	270.0	2.0	2-7	320.0	2.0	2-7	170	2.0	2-9	240	5.0	7-9	150	1.0	2=>7	850.0	3.0	2=>7	840.0	4.0	2-7-9	290.0	1.0	2=>7=>9	1900.0	4.0	2,9,10,7,(3,4),1,8,5,6	2,9,10,3,7,4,8,1-5,6	2,9,7,10,3,4,8,1-6,5	29731048165		
200746040804	ダ	右	1400	晴	良	12:15	C14		2007-4-8	1	金沢	3	(馬齢)		6.0	2120.0	5.0	6.0	470	8.0	9.0	100	1.0	8.0	160.0	3.0	6-8	1110.0	5.0	6-9	1480.0	6.0	6-9	200	3.0	6-8	1,010	12.0	8-9	170	1.0	6=>8	5800.0	15.0	6=>9	4310.0	12.0	6-8-9	1650.0	7.0	6=>9=>8	16510.0	51.0	(1,9),8,6,(2,7),3,4,5,10	1,9,8,(2,6),(3,7),4,10,5	(1,9,8),4,2,6,5,7,3,10	9,8,1,4,6,2-(7,5),(3,10)		
200746040805	ダ	右	1400	晴	良	12:50	C13		2007-4-8	1	金沢	3	(馬齢)		5.0	400.0	2.0	5.0	140	3.0	8.0	220	4.0	7.0	120.0	1.0	5-7	210.0	1.0	5-8	2590.0	8.0	5-8	900	9.0	5-7	140	1.0	7-8	390	6.0	5=>7	480.0	2.0	5=>8	3150.0	10.0	5-7-8	1100.0	3.0	5=>8=>7	8740.0	30.0	5,7,1,8,3,6,(2,9),(4,10)	5,7,(1,8),(3,9),6,2,10,4	(5,7),8,1,9,3,10,6,2,4	57813109624		
200746040806	ダ	右	1400	晴	良	13:25	C12		2007-4-8	1	金沢	3	(馬齢)		1.0	200.0	1.0	1.0	120	1.0	3.0	130	4.0	2.0	130.0	2.0	1-3	620.0	2.0	1-3	560.0	2.0	1-3	230	2.0	1-2	290	3.0	2-3	360	5.0	1=>3	1050.0	3.0	1=>3	920.0	2.0	1-2-3	610.0	2.0	1=>3=>2	2950.0	8.0	3,(1,4),5,(2,10),(9,8),7,6	1,3,(2,4),5,10,(9,8),7,6	1,3,4,2,10,8,5,6-(9,7)	13241065879		
200746040901	ダ	右	1300	曇	良	10:50	C48		2007-4-9	1	金沢	4	(馬齢)		5.0	240.0	2.0	5.0	110	1.0	1.0	130	3.0	2.0	120.0	2.0	1-5	260.0	1.0	1-5	310.0	1.0	1-5	160	1.0	2-5	410	5.0	1-2	540	8.0	5=>1	530.0	1.0	5=>1	500.0	1.0	1-2-5	550.0	3.0	5=>1=>2	1530.0	3.0	5,(7,10),4,(1,6,9),8,3,2	5,7,(1,4),(6,10),9,8,3-2	5,1,(4,7,9),6,8,10,3,2	5,1,4,9,(6,7),8,2,3,10		
200746040902	ダ	右	1300	曇	良	11:20	C47		2007-4-9	1	金沢	4	(馬齢)		9.0	110.0	1.0	9.0	120	1.0	6.0	120	2.0	10.0	210.0	5.0	6-7	180.0	1.0	6-9	170.0	1.0	6-9	140	1.0	9-10	160	2.0	6-10	280	4.0	7=>6	190.0	1.0	9=>6	200.0	1.0	6-9-10	420.0	1.0	9=>6=>10	730.0	1.0	9102865111734	9102861511743	9-10,2,6,(1,8),5,7,11,4,3	9=2,10,6,1,8,5,(7,11),4,3		
200746040903	ダ	右	1300	曇	良	11:50	3歳B　5		2007-4-9	1	金沢	4	(馬齢)		9.0	3910.0	6.0	9.0	310	5.0	7.0	110	1.0	6.0	270.0	4.0	7-8	330.0	1.0	7-9	1700.0	5.0	7-9	930	13.0	6-9	790	12.0	6-7	170	1.0	8=>7	860.0	5.0	9=>7	10720.0	28.0	6-7-9	2280.0	7.0	9=>7=>6	42860.0	89.0	9,7,10,6,(1,4),3,5,2,8	9,7,10,6,1,(2,3,4),8,5	9,7,(6,10),1,4,8,2,3,5	97610418253		
200746040904	ダ	右	1400	曇	良	12:20	C24		2007-4-9	1	金沢	4	(馬齢)		4.0	3200.0	6.0	4.0	710	7.0	9.0	140	1.0	7.0	180.0	3.0	4-8	1650.0	5.0	4-9	1940.0	5.0	4-9	540	9.0	4-7	470	7.0	7-9	120	1.0	4=>8	7540.0	13.0	4=>9	7140.0	14.0	4-7-9	1390.0	3.0	4=>9=>7	21780.0	45.0	4,7,(1,3,5,8),9,6,10,2	4,7,1,(8,9),5,3,6,10,2	47915682310	(4,7),9-1,6,5,8,2,3,10		
200746040905	ダ	右	1400	曇	良	12:55	C23		2007-4-9	1	金沢	4	(馬齢)		4.0	370.0	2.0	4.0	160	4.0	2.0	110	1.0	3.0	110.0	2.0				2-4	1590.0	6.0	2-4	220	5.0	3-4	150	2.0	2-3	130	1.0				4=>2	3520.0	11.0	2-3-4	430.0	2.0	4=>2=>3	7240.0	24.0	3,4,5,(2,9),7,6,1	3,4,5,2,9,6,7-1	(2,3),4,6,(9,7),5-1	2,3,4,6,9,7,5-1		
