	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
200958050602	ダ	右	1000	晴	良	12:15	サッポロファクトリー		2009-5-6	1	札幌(地)	4	(規定)		7	210	1	7	110	2	2	100	1				2-7	290	1	7=>2	520	2	2-4-7	690	2	7=>2=>4	2290	7			(3,7),6,2,4,5,1	7,(3,6),2,4,5,1					
200958050603	ダ	右	1700	晴	良	12:50	リボンシトロン100		2009-5-6	1	札幌(地)	4	(規定)		5	800	3	5	180	3	4	110	1				4-5	370	2	5=>4	1830	5	1-4-5	4140	12	5=>4=>1	46180	61	4572136	4571236	(4,5),7,(1,2),6,3	(4,5),(7,2),1,3,6					
200958050604	ダ	右	1700	晴	良	13:25	サッポロビール北海道		2009-5-6	1	札幌(地)	4	40万円以下	(規定)	3	150	1	3	120	1	1	150	2				1-3	330	1	3=>1	430	1	1-3-5	1810	6	3=>1=>5	4020	12	3467521	3,4,6,2,(5,7),1	3,6,(4,7),2,5,1	3762415					
200958050605	ダ	右	1000	晴	良	14:00	ヱビスビール賞		2009-5-6	1	札幌(地)	4	100万円以下	(規定)	6	300	2	6	190	2	3	370	4				3-6	1390	5	6=>3	2140	8	1-3-6	1520	6	6=>3=>1	7370	27			6,7,3,(1,2),4,5	6,7,(3,1),2,(4,5)					
200958050606	ダ	右	1700	晴	良	14:35	サッポロライオン11		2009-5-6	1	札幌(地)	4	60万円以下	(規定)	6	160	1	6	100	1	4	230	5				4-6	440	2	6=>4	700	3	4-6-7	1360	6	6=>4=>7	3310	11	1452763	1425763	1,4,(7,6),2,5,3	(1,4),6,7,2,(5,3)					
200958050607	ダ	右	1700	晴	良	15:10	サッポロ道産素材特別 		2009-5-6	1	札幌(地)	4	300万円以下	(規定)	10	320	1	10	130	1	9	130	2	4.0	170	4.0	9-10	640	1	10=>9	1320	2	4-9-10	920	1	10=>9=>4	3970	4	12,(9,11),6,(3,13),10,4,14,5,7,8,2,1	12,(9,11),13,6,3,10,4,14,7,5,8,(2,1)	12,9,11,13,3,10,4,6,14,(5,8),7,(2,1)	12,9,13,(3,11,10),4,(6,14),8,5,2,1,7			6-6	760.0	2.0
200958050608	ダ	右	1700	晴	良	15:45	赤レンガ記念〔H2〕	G	2009-5-6	1	札幌(地)	4	(別定)		10	3740	11	10	1,730	12	2	960	8	7.0	1,340	11.0	2-10	18200	44	10=>2	62310	103	2-7-10	173350	217	10=>2=>7	1982860	1424	4,3,7,8,13,5,10,(1,6),12,11,2,9	3,4,7,(10,8),5,13,6,1,12,2,11,9	3,4,(10,7),8,6,(5,2,13,11),1,12,9	10,7,2,8,(3,6,13,11),12,(5,9),1,4			2-7	6810.0	24.0
200958050609	ダ	右	1000	晴	良	16:25	サッポロビールクラシ 		2009-5-6	1	札幌(地)	4	130万円以下	(規定)	8	220	1	8	110	2	6	100	1	5.0	180	4.0	6-8	370	1	8=>6	960	4	5-6-8	1200	5	8=>6=>5	5220	16			(1,8),5,(4,6),7,2,3	(1,8),5,4,6,7,2,3					
200958051306	ダ	右	1700	晴	良	15:55	D1　ー1組		2009-5-13	2	札幌(地)	1	80万円以下	(規定)	3	1060	2	3	160	2	7	100	1	6.0	490	7.0	3-7	480	3	3=>7	2490	9	3-6-7	8530	20	3=>7=>6	83520	100	(2,3),5,8,7,1,6,4	23578164	2,3,5,7,(1,8),4,6	(2,3),7,(1,5,4),8,6					
200958042910	ダ	右	1000	晴	良	16:30	カルビーポテト特別 		2009-4-29	1	札幌(地)	1	130万円以下	(規定)	2	120	1	2	110	1	7	330	7	5.0	200	5.0	2-7	1700	6	2=>7	2060	7	2-5-7	4650	15	2=>7=>5	15410	43			25678143	2,5,6,7,8-4,1,3					
200958051307	ダ	右	1700	晴	良	16:30	豊平公園特別 		2009-5-13	2	札幌(地)	1	100万円以下	(規定)	1	900	5	1	250	6	8	170	3	9.0	140	2.0	1-8	2140	11	1=>8	4020	20	1-8-9	1150	3	1=>8=>9	10150	31	5,3,8,11,(9,12),1,6,4,2,10,7	5,3,8,9,11,(1,12),6,4,2,7,10	958311614122107	(5,9,8),3,11,(1,6)-4,7,10,12,2			1-6	890.0	5.0
200958051308	ダ	右	1700	晴	良	17:05	ひばりが丘特別 		2009-5-13	2	札幌(地)	1	160万円以下	(規定)	12	250	1	12	120	1	5	580	8	8.0	860	9.0	5-12	2680	10	12=>5	3970	15	5-8-12	34370	63	12=>5=>8	105780	207	12,5,3,4,6,8,(9,11),2,7,10,1	125342689711110	12,5,(3,6),4,8,9,2,7,11,1,10	12,5,(4,6),(8,3),9,2,7,11,1,10			5-8	210.0	1.0
200958051309	ダ	右	1700	晴	良	17:45	新冠町軽種馬生産振興 		2009-5-13	2	札幌(地)	1	(別定)		5	140	1	5	120	1	2	140	2				2-5	200	1	5=>2	290	1	2-4-5	170	1	5=>2=>4	470	1	251364	251364	2,5,1,6,(3,4)	(2,5),1,(4,6),3					
