	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気
200953032104	ダ	右	1250	晴	良	12:20	C218　イ		2009-3-21	21	福山	3	(馬齢)		1.0	390.0	2.0	1.0	200.0	3.0	8.0	230	5.0	5.0	210	4.0	1-8	2500.0	8.0	1=>8	4300.0	14.0	1=>8=>5	20660.0	56.0	18542103679	18524310679	18542310679	18542310679																	
200953032105	ダ	右	1250	晴	良	12:55	C212		2009-3-21	21	福山	3	(馬齢)		1.0	590.0	2.0	1.0	200.0	3.0	4.0	550	6.0	7.0	350	5.0	1-4	2580.0	10.0	1=>4	7700.0	20.0	1=>4=>7	51830.0	102.0	45816237	45816237	45781632	47158362																	
200953032106	ダ	右	1250	晴	良	13:30	C211		2009-3-21	21	福山	3	(馬齢)		2.0	120.0	1.0	2.0	100.0	1.0	5.0	280	5.0	4.0	980	8.0	2-5	1100.0	5.0	2=>5	1890.0	8.0	2=>5=>4	26980.0	66.0	436172985	431672598	436172598	4,(3,6),2,1,7,5,9,8																	
200953032107	ダ	右	1250	晴	良	14:05	C210		2009-3-21	21	福山	3	(馬齢)		1.0	210.0	2.0	1.0	110.0	1.0	9.0	150	3.0	3.0	190	4.0	1-9	340.0	1.0	1=>9	550.0	1.0	1=>9=>3	1640.0	2.0	1,5,(4,7),6,8,9,3,2	154768932	1,7,9,(4,5,3),6,8,2	194376825																	
200953041801	ダ	右	1250	晴	良	10:50	C22		2009-4-18	1	福山	2	(馬齢)		4.0	520.0	2.0	4.0	110.0	1.0	6.0	120	2.0	3.0	400	8.0	4-6	550.0	3.0	4=>6	1880.0	8.0	4=>6=>3	30430.0	81.0	18623475	18623475	18632475	1,(8,6),3,4,7,2,5																	
200953041803	ダ	右	1250	晴	良	11:50	C6		2009-4-18	1	福山	2	(馬齢)		7.0	180.0	1.0	7.0	100.0	3.0	5.0	100	1.0	3.0	100	2.0	5-7	600.0	3.0	7=>5	550.0	4.0	7=>5=>3	1160.0	4.0	579634812	576934812	576934812	573694812																	
200953050301	ダ	右	1250	曇	良	11:00	C2		2009-5-3	2	福山	1	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	5.0	140	2.0				4-5	280.0	2.0	4=>5	320.0	2.0	4=>5=>6	1170.0	4.0	2735641	2735641	2,5,7,(3,4),6,1	2547361																	
200953050302	ダ	右	1250	曇	良	11:35	C1		2009-5-3	2	福山	1	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	3.0	140	2.0				3-4	360.0	1.0	4=>3	620.0	3.0	4=>3=>2	4970.0	20.0	6435217	6435127	4632517	4,6,(3,2),1,5,7																	
200953050303	ダ	右	1250	曇	良	12:10	C5		2009-5-3	2	福山	1	(馬齢)		5.0	140.0	1.0	5.0	100.0	1.0	2.0	100	2.0	7.0	120	3.0	2-5	160.0	1.0	5=>2	210.0	1.0	5=>2=>7	1550.0	5.0	4562873	4562873	4526873	5426783																	
200953050304	ダ	右	1250	曇	良	12:45	C4		2009-5-3	2	福山	1	(馬齢)		3.0	120.0	1.0	3.0	100.0	1.0	5.0	100	2.0	7.0	220	4.0	3-5	160.0	1.0	3=>5	190.0	1.0	3=>5=>7	900.0	3.0	15732468	15732486	57138246	5,7,3,(2,4),1,8,6																	
200953051001	ダ	右	1250	晴	良	11:00	C5　ヘ		2009-5-10	2	福山	4	(馬齢)		3.0	130.0	1.0	3.0	100.0	1.0	1.0	160	4.0	2.0	140	3.0	1-3	340.0	1.0	3=>1	460.0	1.0	3=>1=>2	1560.0	5.0	23614758	23164578	2,3,(1,6),4,7,8,5	(2,3),1,6,8,4,7,5																	
200953051002	ダ	右	1250	晴	良	11:35	C5　ホ		2009-5-10	2	福山	4	(見込)		8.0	100.0	1.0	8.0	100.0	1.0	1.0	220	5.0	2.0	180	3.0	1-8	2270.0	7.0	8=>1	3120.0	9.0	8=>1=>2	16070.0	41.0	2,8,1,7,(3,4,5,6)	2,8,7,1,4,(3,5,6)	2,8,1,7,(3,4),5,6	28174356																	
200953052301	ダ	右	1250	晴	良	10:50	高知・福山連携海援隊		2009-5-23	3	福山	2	(馬齢)		7.0	100.0	1.0	7.0	100.0	1.0	3.0	130	2.0				3-7	190.0	1.0	7=>3	160.0	1.0	7=>3=>6	930.0	3.0	7,3,1,2,(4,5),6	7314256	7341256	7341256																	
200953052302	ダ	右	1250	晴	良	11:20	C4		2009-5-23	3	福山	2	(馬齢)		1.0	230.0	2.0	1.0	130.0	2.0	3.0	100	1.0				1-3	180.0	1.0	1=>3	410.0	2.0	1=>3=>5	700.0	2.0	1263457	1264357	1,2,3,(4,6),5,7	1324567																	
200953052303	ダ	右	1250	晴	良	11:50	C3		2009-5-23	3	福山	2	(馬齢)		2.0	150.0	1.0	2.0	100.0	1.0	5.0	150	2.0				2-5	260.0	1.0	2=>5	380.0	1.0	2=>5=>4	900.0	2.0	5,(6,7),2,4,3,1	5762431	7,(5,2),6,4,3,1	7254631																	
200953060601	ダ	右	1250	晴	良	10:50	C4		2009-6-6	4	福山	1	(馬齢)		6.0	430.0	2.0	6.0	130.0	2.0	3.0	100	1.0				3-6	180.0	1.0	6=>3	520.0	2.0	6=>3=>1	1280.0	4.0	631254	631254	6,3,1,2,(4,5)	631245																	
200953060602	ダ	右	1250	晴	良	11:20	高知・福山連携いろは		2009-6-6	4	福山	1	(馬齢)		5.0	100.0	1.0	5.0	100.0	1.0	6.0	190	3.0				5-6	220.0	2.0	5=>6	220.0	1.0	5=>6=>4	320.0	1.0	562413	562413	562413	564213																	
200953060603	ダ	右	1250	晴	良	11:50	C1		2009-6-6	4	福山	1	(馬齢)		2.0	1100.0	4.0	2.0	190.0	4.0	1.0	110	1.0				1-2	400.0	3.0	2=>1	1370.0	6.0	2=>1=>6	11880.0	32.0	123456	124356	1,(2,4),3,6,5	142635																	
200953060701	ダ	右	1250	晴	良	10:50	C　12		2009-6-7	4	福山	2	(馬齢)		3.0	160.0	1.0	3.0	100.0	1.0	7.0	100	2.0				3-7	190.0	1.0	3=>7	350.0	1.0	3=>7=>4	620.0	1.0	4,5,7,2,3,(1,6)	4572316	4573216	(4,5),(7,3),2,1,6																	
200953061401	ダ	右	1250	晴	良	10:50	C4　ヘ		2009-6-14	4	福山	4	(馬齢)		7.0	310.0	2.0	7.0	110.0	2.0	4.0	100	1.0				4-7	150.0	1.0	7=>4	460.0	2.0	7=>4=>6	770.0	3.0	1457362	1,4,(5,7),3,6,2	1475362	4173562																	
200953061402	ダ	右	1250	晴	良	11:20	C4　ホ		2009-6-14	4	福山	4	(馬齢)		4.0	150.0	1.0	4.0	100.0	1.0	3.0	160	2.0				3-4	400.0	2.0	4=>3	510.0	2.0	4=>3=>7	1890.0	5.0	1,4,(2,5),6,3,7	1425367	1,4,2,5,3,(6,7)	4123576																	
200953061403	ダ	右	1250	晴	良	11:50	C4　ニ		2009-6-14	4	福山	4	(馬齢)		5.0	120.0	1.0	5.0	100.0	1.0	2.0	120	2.0				2-5	330.0	2.0	5=>2	410.0	2.0	5=>2=>3	1100.0	2.0	5613274	5621374	5623174	5623174																	
200953062101	ダ	右	1250	雨	稍重	10:50	3歳5　条件		2009-6-21	5	福山	1	(馬齢)		2.0	470.0	3.0	2.0	140.0	1.0	6.0	590	6.0				2-6	3160.0	9.0	2=>6	6370.0	19.0	2=>6=>1	23690.0	55.0	4672135	4,6,7,2,(1,3),5	4672135	6,4,2,1,(7,3),5																	
200953062102	ダ	右	1250	雨	稍重	11:20	C　12		2009-6-21	5	福山	1	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	5.0	210	3.0				4-5	220.0	1.0	4=>5	290.0	1.0	4=>5=>7	520.0	1.0	(2,7),6,4,5,3,1	7625431	7652431	7654231																	
200953062701	ダ	右	1250	曇	良	10:50	2歳3		2009-6-27	5	福山	3	(馬齢)		5.0	1440.0	5.0	5.0	230.0	3.0	4.0	110	1.0				4-5	750.0	3.0	5=>4	4370.0	15.0	5=>4=>3	21730.0	59.0	4513267	4513276	4513276	(4,5),1,3,2,7-6																	
200953062702	ダ	右	1250	曇	良	11:20	2歳2		2009-6-27	5	福山	3	(馬齢)		7.0	190.0	1.0	7.0	100.0	1.0	4.0	160	2.0				4-7	430.0	1.0	7=>4	660.0	1.0	7=>4=>3	1820.0	3.0	7,6,3,4,(1,5)	7,6,3,4,(1,5)	763451	734651																	
200953062703	ダ	右	1250	曇	良	11:50	2歳1		2009-6-27	5	福山	3	(馬齢)		6.0	210.0	1.0	6.0	130.0	1.0	4.0	400	4.0				4-6	540.0	3.0	6=>4	720.0	3.0	6=>4=>1	1980.0	4.0	1472653	1472653	1,4,7,2,6-5,3	4,1,7,2,6-5-3																	
200953062704	ダ	右	1250	曇	良	12:25	C3		2009-6-27	5	福山	3	(馬齢)		7.0	250.0	2.0	7.0	100.0	2.0	2.0	250	5.0	4.0	100	1.0	2-7	1560.0	6.0	7=>2	1620.0	7.0	7=>2=>4	5040.0	17.0	67814352	67814352	67814532	(6,7),(1,4),8,5,3,2																	
200953062705	ダ	右	1250	曇	良	13:00	高知・福山連携明光丸		2009-6-27	5	福山	3	(馬齢)		9.0	110.0	1.0	9.0	100.0	1.0	7.0	100	2.0	2.0	120	3.0	7-9	140.0	1.0	9=>7	150.0	1.0	9=>7=>2	460.0	1.0	971568234	9,7,1,(5,6,8),2,3,4	9,7,1,8,2,(5,6),3,4	972185364																	
200953062706	ダ	右	1250	曇	良	13:35	C1		2009-6-27	5	福山	3	(馬齢)		7.0	210.0	2.0	7.0	100.0	2.0	9.0	250	4.0	2.0	100	1.0	7-9	900.0	4.0	7=>9	1330.0	6.0	7=>9=>2	3090.0	11.0	267149853	261794853	276918543	279681543																	
200953062801	ダ	右	1250	晴	良	10:50	C　12　ヘ		2009-6-28	5	福山	4	(馬齢)		5.0	130.0	1.0	5.0	110.0	1.0	3.0	170	2.0				3-5	140.0	1.0	5=>3	210.0	1.0	5=>3=>6	8280.0	20.0	3564172	3564712	3564721	3564721																	
200953062802	ダ	右	1250	晴	良	11:20	C　12　ホ		2009-6-28	5	福山	4	(馬齢)		3.0	110.0	1.0	3.0	100.0	1.0	7.0	240	3.0				3-7	440.0	3.0	3=>7	390.0	2.0	3=>7=>2	2370.0	10.0	2346157	2346517	2345671	2357416																	
200953062803	ダ	右	1250	晴	良	11:50	C　12　ニ		2009-6-28	5	福山	4	(馬齢)		4.0	200.0	2.0	4.0	160.0	2.0	5.0	110	1.0				4-5	260.0	1.0	4=>5	440.0	2.0	4=>5=>6	1190.0	2.0	4573621	4537621	4537621	4573621																	
200953062804	ダ	右	1250	晴	良	12:20	C　12　ハ		2009-6-28	5	福山	4	(馬齢)		2.0	220.0	2.0	2.0	140.0	2.0	1.0	100	1.0				1-2	230.0	1.0	2=>1	600.0	2.0	2=>1=>5	1600.0	4.0	1275463	1275463	1254763	1,2,(5,4),6,3,7																	
200953062805	ダ	右	800	晴	良	12:55	JRA認定エリートス		2009-6-28	5	福山	4	(馬齢)		3.0	390.0	2.0	3.0	110.0	1.0	5.0	260	5.0	10.0	680	7.0	3-5	1190.0	7.0	3=>5	1950.0	9.0	3=>5=>10	91520.0	145.0			3510961278.0	3510961278.0																	
200953070401	ダ	右	1250	晴	稍重	10:50	3歳2　条件		2009-7-4	6	福山	1	(馬齢)		4.0	150.0	1.0	4.0	100.0	1.0	1.0	140	2.0				1-4	290.0	1.0	4=>1	710.0	3.0	4=>1=>6	1030.0	2.0	6741352	6741352	6471352	6417325																	
200953070402	ダ	右	1250	晴	稍重	11:20	C2		2009-7-4	6	福山	1	(馬齢)		7.0	140.0	1.0	7.0	140.0	1.0	2.0	670	6.0				2-7	2440.0	7.0	7=>2	2820.0	10.0	7=>2=>8	12350.0	35.0	3861725	3861725	3861725	8361725																	
200953070403	ダ	右	1250	晴	稍重	11:50	C1		2009-7-4	6	福山	1	(馬齢)		7.0	110.0	1.0	7.0	100.0	1.0	5.0	150	3.0	6.0	630	8.0	5-7	230.0	1.0	7=>5	210.0	1.0	7=>5=>6	1590.0	4.0	3,7,4,(6,8),2,5,1	37468251	37465281	7,3,(6,5),4,2,8,1																	
200953070404	ダ	右	1250	晴	稍重	12:20	B8		2009-7-4	6	福山	1	(馬齢)		7.0	110.0	1.0	7.0	100.0	1.0	2.0	100	2.0	5.0	300	7.0	2-7	150.0	1.0	7=>2	190.0	1.0	7=>2=>5	3560.0	10.0	7,(5,8),2,1,4,6,3	7,8,(5,2),1,4,6,3	72581463	72581463																	
200953070405	ダ	右	1250	晴	稍重	12:55	B7		2009-7-4	6	福山	1	(馬齢)		3.0	160.0	1.0	3.0	100.0	1.0	9.0	110	3.0	6.0	100	2.0	3-9	350.0	2.0	3=>9	380.0	2.0	3=>9=>6	760.0	1.0	9,3,5,4,8,(1,6),7,2	935416872	935461872	935641872																	
200953071201	ダ	右	1250	晴	稍重	10:50	3歳5　条件		2009-7-12	6	福山	4	(馬齢)		2.0	120.0	1.0	2.0	110.0	1.0	5.0	140	2.0				2-5	260.0	1.0	2=>5	380.0	1.0	2=>5=>6	910.0	1.0	3,6,4,2,(1,5)	3,6,(2,4),(1,5)	364251	(3,6),(2,4),5-1																	
200953071202	ダ	右	1250	晴	稍重	11:20	3歳5　条件		2009-7-12	6	福山	4	(馬齢)		1.0	250.0	1.0	1.0	120.0	1.0	6.0	250	5.0				1-6	1120.0	6.0	1=>6	1750.0	7.0	1=>6=>2	3760.0	13.0	126453	1,2,(4,6),5,3	1,(2,6),4,5,3	162453																	
200953071203	ダ	右	1250	晴	稍重	11:50	2歳2		2009-7-12	6	福山	4	(馬齢)		1.0	170.0	1.0	1.0	100.0	1.0	6.0	150	2.0				1-6	320.0	1.0	1=>6	400.0	1.0	1=>6=>2	3290.0	10.0	1,7,(2,3),6,5,4	1,(2,7),6,3,4,5	1627345	1627345																	
200953071204	ダ	右	1250	晴	稍重	12:20	2歳1		2009-7-12	6	福山	4	(馬齢)		1.0	160.0	1.0	1.0	100.0	1.0	4.0	180	2.0				1-4	290.0	1.0	1=>4	420.0	1.0	1=>4=>7	2890.0	10.0	1762453	1,7,(6,4),2,5,3	1,4,7,6,(2,5)-3	1,4,(7,6),(2,5)-3																	
200953072001	ダ	右	1250	雨	不良	10:50	C　11		2009-7-20	7	福山	2	(馬齢)		3.0	110.0	1.0	3.0	100.0	1.0	1.0	120	2.0				1-3	160.0	1.0	3=>1	200.0	1.0	3=>1=>7	3820.0	12.0	3,7,1,2,4,(5,6)	3,7,(1,2),5,6,4	3,7,(1,2),6,5,4	3712654																	
200953072002	ダ	右	1250	雨	不良	11:20	C　10		2009-7-20	7	福山	2	(馬齢)		4.0	500.0	3.0	4.0	100.0	2.0	1.0	120	3.0	7.0	100	1.0	1-4	1290.0	5.0	4=>1	2940.0	8.0	4=>1=>7	5620.0	19.0	4,7,8,3,6,(2,5),1	47386251	4,7,6,3,8,1,(2,5)	47368125																	
200953072003	ダ	右	1250	雨	不良	11:50	C9		2009-7-20	7	福山	2	(馬齢)		1.0	7030.0	5.0	1.0	350.0	5.0	2.0	540	6.0	4.0	200	3.0	1-2	3800.0	9.0	1=>2	8750.0	17.0	1=>2=>4	95450.0	106.0	4,5,(2,7),3,1,6,8	4,5,(2,7),(1,3),6,8	(4,5),2,7,1,6,3,8	42157638																	
200953072004	ダ	右	1130	雨	不良	12:20	C8		2009-7-20	7	福山	2	(馬齢)																																											
200953072005	ダ	右	1130	雨	不良	12:55	C7		2009-7-20	7	福山	2	(馬齢)		4.0	320.0	2.0	4.0	100.0	2.0	8.0	100	1.0	3.0	120	3.0	4-8	150.0	1.0	4=>8	310.0	2.0	4=>8=>3	520.0	2.0	24835167	24835617	(4,8),2,3,6,(5,7),1	48326571																	
200953072006	ダ	右	1250	雨	不良	13:30	B7		2009-7-20	7	福山	2	(馬齢)		8.0	430.0	2.0	8.0	100.0	2.0	1.0	100	1.0	6.0	120	3.0	1-8	200.0	1.0	8=>1	540.0	2.0	8=>1=>6	1530.0	4.0	16823457	16823457	16823547	18623574																	
200953072007	ダ	右	1250	雨	不良	14:05	B6		2009-7-20	7	福山	2	(馬齢)		1.0	510.0	2.0	1.0	100.0	1.0	3.0	110	3.0	2.0	100	2.0	1-3	880.0	3.0	1=>3	1870.0	5.0	1=>3=>2	2490.0	9.0	13268547	13268547	13268547	13268547																	
200953080201	ダ	右	1250	曇	不良	10:50	2歳4		2009-8-2	7	福山	4	(馬齢)		3.0	130.0	1.0	3.0	130.0	2.0	1.0	480	4.0				1-3	420.0	3.0	3=>1	600.0	3.0	3=>1=>7	1390.0	4.0	1374562	1374526	3,1,7-4-(2,5),6	(1,3),7=4,2,5,6																	
200953080202	ダ	右	1250	曇	不良	11:20	2歳3		2009-8-2	7	福山	4	(馬齢)		7.0	360.0	2.0	7.0	140.0	1.0	6.0	350	5.0				6-7	1340.0	6.0	7=>6	1720.0	7.0	7=>6=>4	6030.0	22.0	3,(4,7),(2,6),1-5	3,4,7,(2,6),1-5	7,3,4,(2,6),1=5	7,6,4,3,2,1=5																	
200953080203	ダ	右	1250	晴	不良	11:50	2歳2		2009-8-2	7	福山	4	(馬齢)		2.0	490.0	3.0	2.0	100.0	1.0	8.0	120	2.0	7.0	830	8.0	2-8	270.0	1.0	2=>8	820.0	4.0	2=>8=>7	13010.0	39.0	2,5,(3,8),6,1,7,4	2,5,(3,8),6,1,4,7	2,8,5,4,(7,1)	2,8,5-7,4,1																	
200953080204	ダ	右	1250	晴	重	12:20	2歳1		2009-8-2	7	福山	4	(馬齢)		3.0	120.0	1.0	3.0	100.0	1.0	2.0	100	2.0	4.0	140	3.0	2-3	130.0	1.0	3=>2	150.0	1.0	3=>2=>4	340.0	1.0	3,(2,5),6,4,8,7,1	3,2,5,(4,6),8,7,1	32486571	3,2,4-8,6,5,7,1																	
200953081501	ダ	右	1250	曇	稍重	10:50	2歳4		2009-8-15	8	福山	3	(馬齢)		3.0	740.0	5.0	3.0	120.0	1.0	4.0	120	2.0	2.0	790	7.0	3-4	1710.0	7.0	3=>4	4340.0	17.0	3=>4=>2	61140.0	156.0	4,7,1,3,(2,6),8,5	(1,4),7,3,(6,8),2,5	4,7,(1,3,6,8),2,5	4,7,3,8,2,6,(1,5)																	
200953081502	ダ	右	1250	雨	稍重	11:25	2歳3		2009-8-15	8	福山	3	(馬齢)		3.0	600.0	4.0	3.0	480.0	6.0	4.0	210	3.0	8.0	360	4.0	3-4	2190.0	10.0	3=>4	4750.0	20.0	3=>4=>8	29840.0	92.0	(1,4),8,(2,3),5,6,7	(1,4),8,2,3,5,7,6	(4,8),3,(1,2),5,7,6	(4,8,3),(2,5),(1,7),6																	
200953081503	ダ	右	1130	雨	稍重	12:00	B6		2009-8-15	8	福山	3	(馬齢)		4.0	170.0	1.0	4.0	100.0	1.0	6.0	110	3.0	1.0	100	2.0	4-6	240.0	1.0	4=>6	270.0	1.0	4=>6=>1	800.0	1.0	124376589	1,4,2,(3,7),6,5,8,9	1,4,6,3,7,2,5-8,9	1,4,6,3,7,(2,5)-8,9																	
200953081504	ダ	右	1130	雨	稍重	12:35	B5		2009-8-15	8	福山	3	(馬齢)		8.0	150.0	1.0	8.0	100.0	1.0	4.0	140	2.0	5.0	170	5.0	4-8	280.0	1.0	8=>4	350.0	1.0	8=>4=>5	1530.0	4.0	8,4,5,2,(1,3,6),(7,9)	8,4,2,5,(6,9),(1,3),7	8,4,2,5,9,6,(3,7),1	8,(4,2),5,9,6,(3,7,1)																	
200953090601	ダ	右	1250	晴	良	10:50	2歳3		2009-9-6	9	福山	2	(馬齢)		2.0	300.0	2.0	2.0	100.0	1.0	3.0	120	3.0	6.0	520	6.0	2-3	430.0	1.0	2=>3	700.0	1.0	2=>3=>6	9580.0	34.0	13456278	13425678	31256478	32516748																	
200953090602	ダ	右	1250	晴	良	11:20	2歳2		2009-9-6	9	福山	2	(馬齢)		8.0	1520.0	6.0	8.0	390.0	6.0	3.0	120	1.0	6.0	470	8.0	3-8	1190.0	4.0	8=>3	4280.0	19.0	8=>3=>6	35250.0	116.0	1,2,9,3,4,6,(7,8),5	1,2,9,4,3,6,(7,8),5	1,2,(4,9),3,6,8,(7,5)	1,(4,2,3),9,6,8,7,5																	
200953090603	ダ	右	1250	晴	良	11:50	2歳1		2009-9-6	9	福山	2	(馬齢)		7.0	100.0	1.0	7.0	100.0	1.0	6.0	100	2.0	1.0	140	4.0	6-7	140.0	1.0	7=>6	150.0	1.0	7=>6=>1	400.0	1.0	157486293	157468293	1,7,5,6,8,4,2,(3,9)	7,1,6,5,4,(2,8,3),9																	
200953090604	ダ	右	1130	晴	良	12:20	3歳4　条件		2009-9-6	9	福山	2	(馬齢)		4.0	240.0	2.0	4.0	140.0	4.0	3.0	120	3.0	8.0	120	2.0	3-4	810.0	4.0	4=>3	1350.0	6.0	4=>3=>8	2260.0	8.0	4,8,6,3,7,(2,5),1	48637521	4,8,(3,6),7,5,2,1	43867521																	
200953090605	ダ	右	1130	晴	良	12:55	3歳3　条件		2009-9-6	9	福山	2	(馬齢)		7.0	340.0	2.0	7.0	110.0	1.0	8.0	200	4.0	9.0	130	3.0	7-8	620.0	3.0	7=>8	1210.0	5.0	7=>8=>9	2000.0	1.0	789534261	783954261	7,8,(3,9),4,5,1,6,2	783945162																	
200953090606	ダ	右	1600	晴	良	13:30	3歳2　条件		2009-9-6	9	福山	2	(馬齢)		1.0	2010.0	6.0	1.0	200.0	5.0	5.0	100	1.0	4.0	120	2.0	1-5	1290.0	5.0	1=>5	4890.0	15.0	1=>5=>4	17310.0	54.0	4,2,7,3,6,(1,5,8)	4,2,(7,3),6,8,5,1	4,(7,2),3,6,(1,5),8	47125638																	
200953090607	ダ	右	1600	晴	良	14:05	3歳1　条件		2009-9-6	9	福山	2	(馬齢)		3.0	110.0	1.0	3.0	100.0	1.0	1.0	120	3.0	4.0	100	2.0	1-3	500.0	2.0	3=>1	460.0	2.0	3=>1=>4	810.0	4.0	8,3,1,4-5,2,6,7	8,3,1,4=5,2,6,7	8,3,4,1=5,6,2,7	3,8,1,4=6,5,2,7																	
200953090608	ダ	右	1600	晴	良	14:40	福山けいばCLUB賞 		2009-9-6	9	福山	2	(馬齢)		2.0	160.0	1.0	2.0	100.0	1.0	5.0	190	5.0	7.0	190	4.0	2-5	1470.0	5.0	2=>5	1880.0	8.0	2=>5=>7	8030.0	28.0	257346981	2,5,7,3,4,(6,8),1,9	2,(5,3),7,4,6,8,1,9	253746819																	
200953092201	ダ	右	1250	曇	良	10:50	2歳4		2009-9-22	10	福山	3	(馬齢)		5.0	770.0	4.0	5.0	650.0	5.0	3.0	770	6.0	8.0	340	3.0	3-5	2470.0	8.0	5=>3	3840.0	15.0	5=>3=>8	33160.0	91.0	68351472	6,8,(3,5),(1,4),7,2	(6,8),5,(3,4),(2,7),1	(6,8),5,3,4,2,7-1																	
200953092202	ダ	右	1250	曇	良	11:20	2歳3		2009-9-22	10	福山	3	(馬齢)		2.0	270.0	1.0	2.0	140.0	2.0	5.0	280	6.0	6.0	160	3.0	2-5	3770.0	12.0	2=>5	4610.0	21.0	2=>5=>6	22710.0	78.0	(5,6),8,(2,7),1,3-4	5,6,(2,8),(1,7),3-4	(5,6),(2,8),(1,7,3),4	5,6,2,(1,8),7,3,4																	
200953092203	ダ	右	1250	曇	良	11:50	2歳2		2009-9-22	10	福山	3	(馬齢)		2.0	3660.0	8.0	2.0	500.0	7.0	6.0	130	1.0	1.0	150	2.0	2-6	2550.0	14.0	2=>6	4960.0	21.0	2=>6=>1	27420.0	104.0	2,(1,5),6,8,(4,7),3	2,1,5,6,(4,7,8),3	21657483	21657843																	
200953092204	ダ	右	1250	曇	良	12:20	2歳1		2009-9-22	10	福山	3	(馬齢)		2.0	100.0	1.0	2.0	100.0	1.0	1.0	140	2.0	3.0	520	9.0	1-2	170.0	1.0	2=>1	170.0	1.0	2=>1=>3	2870.0	7.0	159738642	(1,5,9,7),3,(8,6),4,2	1,7,5,9-(3,6),(4,2),8	175923648																	
200953092701	ダ	右	1250	曇	良	10:50	2歳6		2009-9-27	10	福山	4	(馬齢)		3.0	550.0	3.0	3.0	220.0	5.0	6.0	170	4.0	7.0	150	3.0	3-6	3240.0	12.0	3=>6	4890.0	21.0	3=>6=>7	27580.0	88.0	57643281	5,7,(4,6),3,(2,8),1	5,7,6,3,(4,8),2-1	(7,6),3,5,8=4,2,1																	
200953092702	ダ	右	1250	曇	良	11:20	2歳5		2009-9-27	10	福山	4	(馬齢)		1.0	580.0	3.0	1.0	110.0	3.0	2.0	100	2.0	4.0	100	1.0	1-2	980.0	4.0	1=>2	2110.0	10.0	1=>2=>4	4490.0	15.0	1,3,2,6,4,(5,7),8	1,3,(2,4,6),5,7,8	1,3,2,6,4,7,5-8	1,(2,3),(4,6),5,7-8																	
200953092703	ダ	右	1130	曇	良	11:50	C9　ヘ		2009-9-27	10	福山	4	(馬齢)		6.0	590.0	3.0	6.0	110.0	2.0	4.0	100	1.0	3.0	190	5.0	4-6	340.0	1.0	6=>4	950.0	4.0	6=>4=>3	3340.0	10.0	16284375	16824375	6,4,1,(2,8),3,7,5	64123875																	
200953092704	ダ	右	1130	曇	良	12:20	C9　ホ		2009-9-27	10	福山	4	(馬齢)		1.0	150.0	1.0	1.0	100.0	1.0	3.0	110	2.0	4.0	120	3.0	1-3	490.0	2.0	1=>3	580.0	2.0	1=>3=>4	1120.0	3.0	13462758	1,3,4,6,2,7,(5,8)	13427658	13427658																	
200953092705	ダ	右	1250	曇	良	12:55	C9　ニ		2009-9-27	10	福山	4	(馬齢)		8.0	1380.0	5.0	8.0	340.0	6.0	2.0	160	2.0	3.0	240	4.0	2-8	2920.0	10.0	8=>2	7630.0	19.0	8=>2=>3	25360.0	72.0	5,(6,7),1,4,8,3,9,2	567148329	5,7,6,1,8,3,4,2-9	5,8,7,(1,3),2,6,4-9																	
200953092706	ダ	右	1250	曇	良	13:30	C9　ハ		2009-9-27	10	福山	4	(馬齢)		7.0	180.0	1.0	7.0	100.0	1.0	9.0	140	2.0	6.0	260	6.0	7-9	320.0	1.0	7=>9	540.0	2.0	7=>9=>6	1740.0	4.0	7,8,4,9,(2,5),(3,6),1	7,8,4,9,2,5,6,3-1	7,8,4,9,2,6,5,3-1	7,8,9,4,(2,6),5,3,1																	
200953092707	ダ	右	1250	曇	良	14:05	C9　ロ		2009-9-27	10	福山	4	(馬齢)		3.0	590.0	3.0	3.0	250.0	3.0	4.0	480	7.0	5.0	330	4.0	3-4	3570.0	13.0	3=>4	8120.0	27.0	3=>4=>5	75930.0	159.0	1,4,5,6,2,(3,9),8,7	1,4,5,6,(2,3,9),8,7	(1,4),5,(3,6),2,9,7,8	415329678																	
200953092708	ダ	右	1250	曇	良	14:40	C9　イ		2009-9-27	10	福山	4	(馬齢)		9.0	140.0	1.0	9.0	100.0	1.0	6.0	790	6.0	7.0	220	3.0	6-9	3070.0	8.0	9=>6	3390.0	9.0	9=>6=>7	20120.0	40.0	6,9,3,(5,7),2,8,4,1	693572481	6,9,3,(5,7),2,4,8,1	693752481																	
