	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200945010101	ダ	左	1400	晴	良	11:20	3歳8　イ		2009-1-1	11	川崎	1	16万円未満		8	490	4	8	210	5	1	200	4	2.0	130	2.0	1-8	1150	7	1-8	320	5	2-8	310	4	1-2	260	1	8=>1	2450	13	1-2-8	1100	3	8=>1=>2	9430	40	(1,3,8),6,4,7,2,5	13846275	13826457	1,2,8,4,3,6,5-7	13.0 - 12.3 - 14.0 - 12.0 - 13.4 - 14.4 - 13.8	13.0 - 25.3 - 39.3 - 51.3 - 64.7 - 79.1 - 92.9 (39.3-41.6)						
200945010102	ダ	左	1400	晴	良	11:50	C3六　七		2009-1-1	11	川崎	1			1	100	1	1	100	1	9	190	3	7.0	310	7.0	1-9	580	3	1-9	230	2	1-7	460	5	7-9	1,900	21	1=>9	640	3	1-7-9	2760	8	1=>9=>7	6520	13	1467113859102	1647385119102	1674113985210	1,6,7,(3,9),4,2,8,11,5,10	13.0 - 12.8 - 14.0 - 12.5 - 13.1 - 14.0 - 12.6	13.0 - 25.8 - 39.8 - 52.3 - 65.4 - 79.4 - 92.0 (39.8-39.7)	1-7	230.0	1.0	1=>7	320.0	1.0
200945010103	ダ	左	1500	晴	良	12:20	4歳5　ハ		2009-1-1	11	川崎	1	77万円以上141万円未満		5	250	2	5	110	1	9	150	3	8.0	170	4.0	5-9	600	2	5-9	250	2	5-8	300	3	8-9	520	6	5=>9	840	3	5-8-9	890	3	5=>9=>8	3090	9	928541637	925841367	928513647	952183467	6.3 - 11.0 - 11.9 - 13.9 - 12.3 - 12.9 - 14.3 - 13.1	6.3 - 17.3 - 29.2 - 43.1 - 55.4 - 68.3 - 82.6 - 95.7 (29.2-40.3)	5-8	290.0	2.0	5=>8	440.0	2.0
200945010104	ダ	左	1500	晴	良	12:50	4歳4　ロ		2009-1-1	11	川崎	1	77万円以上141万円未満		7	280	2	7	110	1	1	110	2	4.0	120	3.0	1-7	1280	5	1-7	280	4	4-7	150	1	1-4	320	5	7=>1	1970	8	1-4-7	840	2	7=>1=>4	5590	19	749318265	749138265	741328659	7,4,1,2,6,3,8,5-9	5.9 - 11.2 - 12.2 - 13.7 - 12.4 - 13.1 - 14.0 - 14.7	5.9 - 17.1 - 29.3 - 43.0 - 55.4 - 68.5 - 82.5 - 97.2 (29.3-41.8)	1-7	1300.0	5.0	7=>1	2390.0	8.0
200945010105	ダ	左	1500	晴	良	13:20	4歳3　イ		2009-1-1	11	川崎	1	77万円以上141万円未満		5	180	1	5	140	2	2	170	3	9.0	800	7.0	2-5	1050	2	2-5	390	3	5-9	1,510	16	2-9	3,760	30	5=>2	1210	3	2-5-9	10620	28	5=>2=>9	23090	71	54108697123	54106879123	51049687213	51094267813	5.9 - 11.0 - 12.4 - 13.6 - 12.5 - 13.4 - 14.9 - 13.5	5.9 - 16.9 - 29.3 - 42.9 - 55.4 - 68.8 - 83.7 - 97.2 (29.3-41.8)	2-5	1070.0	5.0	5=>2	1070.0	4.0
200945010106	ダ	左	1400	晴	良	13:50	3歳9　ロ		2009-1-1	11	川崎	1	16万円未満		3	4310	7	3	610	8	7	110	1	8.0	210	4.0	3-7	3360	12	3-7	820	11	3-8	1,950	24	7-8	240	2	3=>7	15090	38	3-7-8	5360	21	3=>7=>8	63910	168	38106752941	38106725941	3,8,7,10,6,2,5,9,4-1	3,8,7,6,5,10,2,9,4-1	12.6 - 12.7 - 13.6 - 12.5 - 12.8 - 14.1 - 13.8	12.6 - 25.3 - 38.9 - 51.4 - 64.2 - 78.3 - 92.1 (38.9-40.7)	3-7	2570.0	9.0	3=>7	11490.0	27.0
200945010107	ダ	左	1400	晴	良	14:20	C3六　七		2009-1-1	11	川崎	1			5	120	1	5	110	1	1	200	5	9.0	130	2.0	1-5	1270	4	1-5	400	5	5-9	160	1	1-9	900	11	5=>1	1490	5	1-5-9	1680	5	5=>1=>9	5480	14	56819273410	56189273410	58192734106	5192873410	13.1 - 12.7 - 13.5 - 12.1 - 12.8 - 13.5 - 14.0	13.1 - 25.8 - 39.3 - 51.4 - 64.2 - 77.7 - 91.7 (39.3-40.3)	1-5	1250.0	5.0	5=>1	2010.0	7.0
200945010108	ダ	左	1500	晴	良	14:55	C2二　三		2009-1-1	11	川崎	1			11	150	1	11	130	1	3	700	9	4.0	660	8.0	3-11	3470	11	3-11	1,490	16	4-11	1,170	12	3-4	4,490	35	11=>3	3660	14	3-4-11	21770	54	11=>3=>4	70240	181	1116109482537	1116410982537	1,(11,6),4,9,10,8,2,5,3,7	1114689253710	5.9 - 10.9 - 12.8 - 14.4 - 12.3 - 12.7 - 13.9 - 13.3	5.9 - 16.8 - 29.6 - 44.0 - 56.3 - 69.0 - 82.9 - 96.2 (29.6-39.9)	3-8	3540.0	10.0	8=>3	3360.0	16.0
200945010109	ダ	左	1500	晴	良	15:30	C2二　三		2009-1-1	11	川崎	1			11	240	1	11	120	1	1	980	9	2.0	270	4.0	1-11	7190	19	1-11	1,920	20	2-11	450	2	1-2	4,890	38	11=>1	8840	26	1-2-11	19010	50	11=>1=>2	96270	245	21115689413103712	2,11,1,6,5,9,4,8,10,13,3,(7,12)	(2,11,9),6,(1,5),4,13,3,8,10,7,12	21191654313108712	6.0 - 11.6 - 13.0 - 14.0 - 12.1 - 12.5 - 13.5 - 13.0	6.0 - 17.6 - 30.6 - 44.6 - 56.7 - 69.2 - 82.7 - 95.7 (30.6-39.0)	1-7	6810.0	17.0	7=>1	10580.0	29.0
200945010110	ダ	左	1600	晴	良	16:05	初日の出特別 		2009-1-1	11	川崎	1	(別定)		2	180	1	2	120	1	6	140	2	3.0	500	10.0	2-6	510	1	2-6	270	1	2-3	1,630	20	3-6	2,860	32	2=>6	720	1	2-3-6	8050	27	2=>6=>3	25600	67	27103136124111598	27103613412111598	27103613412511918	2,3,(7,10),6,4,1,5,12,(8,13,11),9	12.9 - 11.5 - 12.9 - 13.5 - 12.0 - 13.0 - 14.0 - 13.3	12.9 - 24.4 - 37.3 - 50.8 - 62.8 - 75.8 - 89.8 - 103.1 (37.3-40.3)	2-5	310.0	1.0	2=>5	460.0	1.0
