rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	12		キングキャラット	牡3	56.0		丸山元気	1:26.3		4-3	37.9	3.2	1	506	0		南田美知		田畑富子	500.0
2	3	5		ピースプレイヤー	牡3	56.0		菱田裕二	1:27.0	4.0	6-7	38.3	15.6	6	482	-8		高野友和		飯田正剛	200.0
3	7	13		タンレイ	牝3	51.0		藤田菜七	1:27.0	クビ	2-2	38.8	30.0	7	432	0		伊藤大士		佐久間拓士	130.0
4	2	4		エルズリー	牝3	51.0		西村淳也	1:27.2	1.1/4	1-1	39.1	3.5	2	518	0		山内研二		ノルマンディーサラブレッドレーシング	75.0
5	1	2		サンロアノーク	牡3	56.0		西村太一	1:27.2	クビ	8-9	38.2	7.0	4	468	-6		新開幸一		加藤ステーブル	50.0
6	7	14		タイセイガニアン	牡3	56.0		吉田隼人	1:27.7	3.0	8-7	38.7	8.3	5	496	-10		池上昌和		田中成奉	
7	8	16		シゲルスタールビー	牝3	54.0		鮫島克駿	1:28.0	1.3/4	6-6	39.3	48.3	9	526	-2		松山将樹		森中蕃	
8	4	7		ローレルリース	牝3	51.0		斎藤新	1:28.1	3/4	4-3	39.7	94.1	10	506	2		小島茂之		岡田牧雄	
9	5	10		ヴィーゲンリート	牝3	54.0		北村友一	1:28.5	2.1/2	8-9	39.5	4.6	3	466	4		武幸四郎		ノースヒルズ	
10	1	1		シゲルシンジュ	牡3	56.0		古川吉洋	1:28.5	ハナ	12-11	38.9	204.1	13	498	0		水野貴広		森中蕃	
11	4	8		ジュゼッペレオ	牡3	56.0		川須栄彦	1:28.8	1.3/4	11-11	39.4	213.9	14	454	0		牧田和弥		石川幸司	
12	3	6		ナムラダイダロス	牡3	56.0		丹内祐次	1:29.6	5.0	14-14	39.6	271.1	16	446	12		岩戸孝樹		奈村信重	
13	8	15		イスモイルテソーロ	牡3	55.0		横山武史	1:29.8	1.0	15-15	39.5	32.4	8	492	0		畠山吉宏		了徳寺健二ホールディングス	
14	6	11		エリジウム	セ3	56.0		丸田恭介	1:30.1	1.3/4	15-15	39.8	155.2	11	478	0		松永康利		山上和良	
15	5	9		リターンチョウサン	牝3	54.0		柴山雄一	1:30.4	2.0	2-3	42.2	227.9	15	482	-16		和田雄二		チョウサン	
16	2	3		ダイユウゲネシス	牡3	53.0		小林凌大	1:30.6	1.0	12-11	41.1	194.5	12	478	12		土田稔		大友靖岐	
