rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	7		ビクトリアバローズ	牝3	54.0		川田将雅	1:24.2		1-1	37.2	8.6	6	442	10		中内田充		猪熊広次	510.0
2	3	5		ゴールドフィンガー	牝3	54.0		水口優也	1:24.7	3.0	5-2	37.5	3.4	1	458	10		岡田稲男		山上和良	200.0
3	3	6		アイヴォリーアイ	牝3	53.0		亀田温心	1:24.7	ハナ	6-6	37.3	141.5	13	486	0		坂口智康		京都ホースレーシング	130.0
4	2	4		レッツゴーアスク	牝3	54.0		川須栄彦	1:24.8	1/2	7-6	37.2	7.9	5	468	0		梅田智之		廣崎利洋ＨＤ	77.0
5	1	1		アミスタ	牝3	54.0		森裕太朗	1:25.7	5.0	13-12	37.2	90.8	11	464	-12		羽月友彦		水上行雄	51.0
6	8	15		フウカ	牝3	54.0		川又賢治	1:25.8	1/2	11-11	37.7	98.5	12	446	0		松永幹夫		ニッシンホールディングス	
7	7	14		ブルアモーレ	牝3	54.0		藤井勘一	1:25.9	クビ	8-8	38.1	5.8	4	458	14		大久保龍		高田秀信	
8	1	2		カイマナリノ	牝3	54.0		吉田隼人	1:26.2	2.0	8-8	38.4	5.2	3	498	8		牧浦充徳		松岡雅昭	
9	6	11		レーニア	牝3	54.0		武豊	1:26.3	1/2	2-2	39.2	4.3	2	458	6		河内洋		ノースヒルズ	
10	6	12		バトルナユタ	牝3	53.0		富田暁	1:26.4	3/4	8-8	38.6	295.5	16	506	0		浜田多実		宮川秋信	
11	4	8		ハルキジェイソウル	牝3	54.0		鮫島克駿	1:26.5	クビ	2-2	39.4	35.3	7	438	8		浅見秀一		若草クラブ	
12	2	3		ザモウコダマシイ	牝3	54.0		団野大成	1:26.6	1/2	13-12	38.1	52.9	9	442	-14		坂口智康		廣崎智子	
13	7	13		アシタバ	牝3	52.0		泉谷楓真	1:27.6	6.0	15-14	38.5	145.7	14	484	0		奥村豊		佐久間拓士	
14	8	16		ルージュサンライズ	牝3	54.0		松山弘平	1:27.9	1.3/4	12-14	39.7	39.4	8	458	0		牧浦充徳		松岡隆雄	
15	5	9		ネロリビガラード	牝3	54.0		坂井瑠星	1:28.2	1.3/4	2-5	41.1	76.2	10	422	-8		吉田直弘		西森功	
16	5	10		シビックモエ	牝3	50.0		永島まな	1:30.9	大	16-16	41.2	281.5	15	380	-4		平田修		國枝久美子	
