rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	7		クールファイブ	牡4	56.0		黛弘人	1:47.9		11-11-12-8	38.0	29.9	9	500	22		柄崎孝		大塚亮一	770.0
2	4	5		インテンスフレイム	牡4	56.0		藤岡康太	1:48.0	1/2	5-5-3-2	38.8	2.3	1	520	4		千田輝彦		ゴドルフィン	310.0
3	7	11		キゾク	牡4	53.0		西谷凜	1:48.2	1.0	9-9-7-5	38.6	12.2	6	492	-6		池添兼雄		西村憲人	190.0
4	4	4		メイショウメイユウ	牡5	57.0		城戸義政	1:48.3	1/2	12-11-1-1	39.6	55.4	11	444	12		荒川義之		松本好雄	120.0
5	6	9		トップスターサン	牡4	55.0		鮫島克駿	1:48.3	ハナ	5-5-5-5	39.0	5.4	2	498	-6		四位洋文		吉田和美	77.0
6	1	1		ディーエスボンバー	牡4	56.0		古川吉洋	1:48.9	3.1/2	7-7-7-7	39.3	14.2	7	490	2		岡田稲男		秋谷壽之	
7	8	12		アイルビーメジャー	牡5	57.0		丹内祐次	1:49.5	3.1/2	7-7-11-11	39.8	22.0	8	472	-2		伊藤伸一		岡田壮史	
8	2	2		メルテミア	牡4	56.0		吉田隼人	1:49.6	3/4	4-3-5-8	40.2	10.5	5	446	0		鈴木孝志		武田茂男	
9	7	10		ボルケーノペスカ	牡4	53.0		角田大和	1:49.7	クビ	10-9-7-8	40.1	177.6	12	434	0		角田晃一		山田信太郎	
10	6	8		オーホンブリック	牡4	56.0		川又賢治	1:50.3	3.1/2	2-2-3-2	41.2	44.7	10	506	0		吉村圭司		ノースヒルズ	
11	8	13		メイショウカスガ	牝6	53.0		小沢大仁	1:50.3	ハナ	2-3-7-11	40.8	5.6	3	480	-2		松永昌博		松本好雄	
12	3	3		キトゥンズマーチ	牝4	54.0		富田暁	1:50.5	1.1/2	1-1-2-2	41.6	9.9	4	458	-4		吉岡辰弥		ノルマンディーサラブレッドレーシング	
除	5	6		ソジュン	牡4	56.0		横山和生					---		532	10		安田翔伍		山口功一郎	
