rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	16		キャプテンドレイク	牡5	57.0		藤岡康太	1:08.1		6-3	34.3	8.1	4	486	0		今野貞一		谷掛龍夫	770.0
2	7	14		フロスティクォーツ	牡4	56.0		斎藤新	1:08.3	1.1/4	11-7	34.0	18.9	9	468	-4		斎藤誠		ライオンレースホース	310.0
3	6	12		アーモロート	牝5	52.0		小林凌大	1:08.4	3/4	16-15	33.5	16.0	7	500	-4		西園正都		サンデーレーシング	190.0
4	6	11		カレンヒメ	牝5	55.0		横山和生	1:08.5	クビ	6-7	34.6	5.8	3	430	-10		安田翔伍		鈴木隆司	120.0
5	5	9		タツオウカケンラン	牝5	55.0		川又賢治	1:08.5	クビ	2-2	34.9	19.1	10	458	4		鮫島一歩		鈴木高幸	77.0
6	4	7		ショウナンガニアン	牡4	56.0		吉田隼人	1:08.5	ハナ	8-7	34.5	4.1	1	454	0		須貝尚介		国本哲秀	
7	3	5		ジューンアクア	牝5	52.0		角田大和	1:08.5	アタマ	11-11	34.2	148.5	16	470	-4		飯田祐史		吉川潤	
8	5	10		マイトレジャーフジ	牡4	56.0		柴山雄一	1:08.6	クビ	8-11	34.5	11.3	5	464	2		牧田和弥		嶋田賢	
9	3	6		ナリタローゼ	牝4	54.0		富田暁	1:08.7	1/2	1-1	35.2	5.6	2	476	-2		高橋亮		オースミ	
10	4	8		インワンシティング	牡4	56.0		鮫島克駿	1:08.7	ハナ	11-11	34.3	22.3	11	462	10		浅見秀一		Ｇ１レーシング	
11	1	1		アセンダント	牝6	55.0		丹内祐次	1:08.7	アタマ	3-3	35.0	14.2	6	468	10		田島俊明		サラブレッドクラブ・ラフィアン	
12	8	18		エコロキング	牡4	53.0		松本大輝	1:08.7	クビ	14-14	34.1	51.1	15	444	4		牧浦充徳		原村正紀	
13	8	17		フィルムスコア	牝4	54.0		藤懸貴志	1:08.8	1/2	3-3	35.1	18.5	8	448	6		平田修		水上行雄	
14	2	3		ジュノエスク	牝4	52.0		小沢大仁	1:08.8	アタマ	8-7	34.7	50.6	14	464	8		坂口智康		吉田照哉	
15	2	4		サジェス	牡4	56.0		西村淳也	1:08.8	ハナ	16-17	33.8	46.4	13	446	-8		中尾秀正		清宮義男	
16	1	2		ウインドラブリーナ	牝5	54.0		秋山稔樹	1:09.0	1.1/4	18-18	33.6	27.7	12	418	-6		飯田雄三		福原正博	
17	7	13		チャーチャンテン	牝4	54.0		黛弘人	1:09.1	1/2	15-15	34.4	351.5	18	408	6		鈴木慎太		田頭勇貴	
18	7	15		パラティーノヒル	牝5	52.0		原優介	1:09.2	クビ	3-3	35.5	170.1	17	404	2		南田美知		Ｍｒ．ホース	
