waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017100135	ルーガルー			05553	保園翔也	a01b0	栗田泰昌	515	0
2	2	2015101522	マインヘルツ			05443	本田正重	05607	堀千亜樹	488	15
3	3	2017105919	サブノスカイ			a0485	菅原涼太	05503	上杉昌宏	448	0
3	4	2015103328	オオイリ			00817	的場文男	05503	上杉昌宏	507	5
4	5	2014102518	サイレンスディガ			a025a	遠藤健太	05492	遠藤茂	443	-1
4	6	2017102274	サーブルルミエール			05524	笹川翼	05508	栗田裕光	465	0
5	7	2017101312	ヤマトホープシップ			05549	張田昂	a02b6	久保杉隆	457	-4
5	8	2017101141	ジェイスマイル			a02d8	瀬川将輝	a034d	大宮和也	463	1
6	9	2017105478	セレーネグランツ			a02d7	西啓太	05593	小野寺晋	454	4
6	10	2017100262	カイザークリスエス			05230	今野忠成	05667	渡辺和雄	561	2
7	11	2014100789	コハク			a0247	川島正太	a01ab	辻野豊	475	3
7	12	2017106253	メイショウケイソウ			a02ad	江里口裕	a0238	嶋田幸晴	435	-1
8	13	2016101867	ブレイヴスピリット			a0128	本村直樹	05546	高岩孝敏	453	-7
8	14	2015109152	セユウブラボー			05455	町田直希	05506	渡部則夫	426	1
