	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200104010201	ダ	左	1800	晴	良	10:00	3歳未勝利		2001-7-15	1	新潟	2	3歳未勝利	牝[指](馬齢)	8	300	1	8	120	1	1	430	8	3.0	140	2.0	1-5	2030	7	1-8	2360.0	7.0	1-8	830	7.0	3-8	260	1.0	1-3	980	11.0					12.7 - 11.1 - 12.4 - 13.1 - 13.4 - 13.1 - 13.7 - 12.7 - 13.9	12.7 - 23.8 - 36.2 - 49.3 - 62.7 - 75.8 - 89.5 - 102.2 - 116.1 (12.7-12.7)									
200104010202	ダ	左	1200	晴	良	10:25	3歳未勝利		2001-7-15	1	新潟	2	3歳未勝利	(混)[指](馬齢)	6	140	1	6	100	1	2	140	2	3.0	150	3.0	2-4	390	2	2-6	400.0	1.0	2-6	180	1.0	3-6	250	2.0	2-3	340	3.0					12.1 - 10.7 - 11.6 - 12.4 - 12.7 - 13.9	12.1 - 22.8 - 34.4 - 46.8 - 59.5 - 73.4 (12.1-12.1)									
200104010203	芝	左	1600	晴	良	10:50	3歳未勝利		2001-7-15	1	新潟	2	3歳未勝利	[指](馬齢)	8	170	1	8	120	1	9	1,190	11	3.0	450	6.0	4-5	2300	9	8-9	4330.0	12.0	8-9	1,850	16.0	3-8	650	5.0	3-9	10,650	67.0					12.7 - 11.0 - 11.4 - 11.8 - 12.0 - 11.9 - 10.5 - 12.4	12.7 - 23.7 - 35.1 - 46.9 - 58.9 - 70.8 - 81.3 - 93.7 (12.7-12.7)									
200104010204	ダ	左	1800	晴	良	11:20	3歳未勝利		2001-7-15	1	新潟	2	3歳未勝利	[指](馬齢)	1	330	2	1	110	2	11	170	3	2.0	100	1.0	1-7	1540	6	1-11	2120.0	9.0	1-11	420	4.0	1-2	140	1.0	2-11	310	2.0					12.8 - 11.3 - 12.5 - 13.5 - 13.4 - 12.9 - 13.2 - 12.7 - 13.4	12.8 - 24.1 - 36.6 - 50.1 - 63.5 - 76.4 - 89.6 - 102.3 - 115.7 (12.8-12.8)									
200104010205	障		2850	晴	良	11:50	障害3歳以上未勝利		2001-7-15	1	新潟	2	障害3歳以上未勝利	(混)(馬齢)	6	10070	11	6	1,960	11	3	140	1	11.0	190	3.0	3-5	1740	7	3-6	11580.0	33.0	3-6	3,020	33.0	6-11	5,470	44.0	3-11	490	3.0															
200104010206	芝	左	1800	晴	良	12:50	3歳未勝利		2001-7-15	1	新潟	2	3歳未勝利	[指](馬齢)	1	140	1	1	120	1	12	610	8	9.0	4,080	18.0	1-6	2390	10	1-12	2860.0	11.0	1-12	1,030	10.0	1-9	6,060	54.0	9-12	39,890	129.0					12.6 - 11.0 - 11.4 - 11.8 - 12.4 - 12.4 - 11.6 - 10.5 - 12.3	12.6 - 23.6 - 35.0 - 46.8 - 59.2 - 71.6 - 83.2 - 93.7 - 106.0 (12.6-12.6)									
200104010207	芝	左	1400	晴	良	13:20	2歳新馬		2001-7-15	1	新潟	2	2歳新馬	(混)[指](馬齢)	2	1200	3	2	270	3	3	340	4	14.0	110	1.0	1-2	3300	11	2-3	5440.0	16.0	2-3	1,340	14.0	2-14	550	2.0	3-14	750	5.0					12.7 - 10.9 - 11.4 - 12.0 - 11.8 - 12.1 - 12.4	12.7 - 23.6 - 35.0 - 47.0 - 58.8 - 70.9 - 83.3 (12.7-12.7)									
200104010208	ダ	左	1700	晴	良	13:50	3歳以上500万下		2001-7-15	1	新潟	2	3歳以上500万下	[指](別定)	13	220	1	13	130	1	9	240	3	6.0	410	8.0	6-8	660	2	9-13	1180.0	3.0	9-13	490	3.0	6-13	860	8.0	6-9	1,830	27.0					7.1 - 11.3 - 12.6 - 12.7 - 12.9 - 12.8 - 12.6 - 12.8 - 13.4	7.1 - 18.4 - 31.0 - 43.7 - 56.6 - 69.4 - 82.0 - 94.8 - 108.2 (7.1-7.1)									
200104010209	芝	左	2000	晴	良	14:25	瓢湖特別 		2001-7-15	1	新潟	2	3歳以上500万下	(混)(特指)(別定)	6	160	1	6	110	1	8	170	3	7.0	2,150	11.0	6-7	310	1	6-8	390.0	1.0	6-8	220	2.0	6-7	2,490	25.0	7-8	5,440	33.0					12.5 - 10.7 - 11.7 - 11.3 - 11.8 - 12.3 - 12.0 - 11.6 - 11.4 - 13.0	12.5 - 23.2 - 34.9 - 46.2 - 58.0 - 70.3 - 82.3 - 93.9 - 105.3 - 118.3 (12.5-12.5)									
200104010210	芝	直	1000	晴	良	15:00	疾風特別 		2001-7-15	1	新潟	2	3歳以上1000万下	(混)(特指)(別定)	7	380	1	7	150	1	3	300	7	5.0	180	2.0	2-4	1070	3	3-7	2150.0	10.0	3-7	910	15.0	5-7	450	1.0	3-5	900	14.0					12.0 - 10.0 - 10.5 - 10.0 - 11.7	12.0 - 22.0 - 32.5 - 42.5 - 54.2 (12.0-12.0)									
200104010211	芝	左	1400	晴	良	15:35	朱鷺ステークス 		2001-7-15	1	新潟	2	3歳以上オープン	(混)[指](別定)	9	240	2	9	120	1	1	190	4	6.0	210	5.0	1-8	700	3	1-9	740.0	3.0	1-9	330	3.0	6-9	470	6.0	1-6	970	12.0					12.6 - 10.7 - 10.9 - 11.3 - 11.4 - 11.1 - 11.4	12.6 - 23.3 - 34.2 - 45.5 - 56.9 - 68.0 - 79.4 (12.6-12.6)									
