	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200109010101	ダ	右	1800	曇	重	10:05	3歳未勝利		2001-2-24	1	阪神	1	3歳未勝利	(混)[指](馬齢)	11	1040	4	11	170	4	2	100	1	8.0	150.0	3.0	2-8	490	3	2-11	540.0	3.0	2-11	250	3.0	8-11	550	7.0	2-8	190	1.0					13.2 - 11.5 - 12.9 - 12.6 - 12.7 - 12.9 - 12.5 - 11.9 - 12.9	13.2 - 24.7 - 37.6 - 50.2 - 62.9 - 75.8 - 88.3 - 100.2 - 113.1 (13.2-13.2)									
200109010102	ダ	右	1200	曇	重	10:30	3歳未勝利		2001-2-24	1	阪神	1	3歳未勝利	[指](馬齢)	8	170	1	8	110	1	5	210	4	2.0	260.0	5.0	5-6	940	3	5-8	1000.0	3.0	5-8	410	3.0	2-8	490	5.0	2-5	1,080	12.0					12.5 - 10.9 - 11.7 - 12.0 - 12.6 - 13.4	12.5 - 23.4 - 35.1 - 47.1 - 59.7 - 73.1 (12.5-12.5)									
200109010103	ダ	右	1800	曇	重	10:55	3歳新馬		2001-2-24	1	阪神	1	3歳新馬	牝[指](馬齢)	5	160	1	5	100	1	2	130	2	4.0	230.0	6.0	2-4	300	1	2-5	320.0	1.0	2-5	190	1.0	4-5	440	5.0	2-4	680	11.0					12.9 - 11.7 - 13.0 - 13.2 - 13.3 - 13.1 - 12.7 - 12.3 - 12.3	12.9 - 24.6 - 37.6 - 50.8 - 64.1 - 77.2 - 89.9 - 102.2 - 114.5 (12.9-12.9)									
200109010104	ダ	右	1200	曇	重	11:25	3歳新馬		2001-2-24	1	阪神	1	3歳新馬	[指](馬齢)	6	610	3	6	180	3	13	210	4	9.0	110.0	1.0	3-7	4070	15	6-13	4860.0	16.0	6-13	1,190	15.0	6-9	250	2.0	9-13	520	4.0					12.5 - 10.8 - 11.9 - 11.9 - 12.7 - 13.2	12.5 - 23.3 - 35.2 - 47.1 - 59.8 - 73.0 (12.5-12.5)									
200109010105	障		3140	曇	稍重  ダート	12:00	障害4歳以上オープン		2001-2-24	1	阪神	1	障害4歳以上オープン	(混)(別定)	6	8850	14	6	1,640	13	2	140	1	5.0	250.0	3.0	2-4	1020	4	2-6	11460.0	40.0	2-6	3,360	47.0	5-6	7,280	67.0	2-5	510	2.0															
200109010106	ダ	右	1400	曇	重	12:55	3歳新馬		2001-2-24	1	阪神	1	3歳新馬	[指](馬齢)	16	860	4	16	180	4	15	110	1	13.0	130.0	2.0	8-8	890	2	15-16	900.0	2.0	15-16	370	2.0	13-16	530	5.0	13-15	220	1.0					12.8 - 11.2 - 11.6 - 12.3 - 12.1 - 12.9 - 13.2	12.8 - 24.0 - 35.6 - 47.9 - 60.0 - 72.9 - 86.1 (12.8-12.8)									
200109010107	芝	右	1200	曇	稍重	13:25	3歳新馬		2001-2-24	1	阪神	1	3歳新馬	(混)[指](馬齢)	5	540	2	5	120	2	14	140	3	13.0	100.0	1.0	4-8	340	1	5-14	1770.0	4.0	5-14	350	4.0	5-13	200	2.0	13-14	180	1.0					12.7 - 11.2 - 11.5 - 11.6 - 11.8 - 12.2	12.7 - 23.9 - 35.4 - 47.0 - 58.8 - 71.0 (12.7-12.7)									
200109010108	芝	右	1200	曇	稍重	14:00	3歳500万下		2001-2-24	1	阪神	1	3歳500万下	(混)(特指)(馬齢)	1	530	3	1	230	3	9	1,010	9	10.0	400.0	6.0	1-6	2700	13	1-9	13190.0	36.0	1-9	3,530	37.0	1-10	1,140	11.0	9-10	4,500	43.0					12.4 - 11.1 - 11.6 - 11.8 - 11.7 - 12.1	12.4 - 23.5 - 35.1 - 46.9 - 58.6 - 70.7 (12.4-12.4)									
200109010109	ダ	右	1200	曇	重	14:35	洲本特別 		2001-2-24	1	阪神	1	4歳以上900万下	(混)[指](ハンデ)	14	270	1	14	150	1	6	1,240	12	5.0	580.0	9.0	4-8	1280	5	6-14	6010.0	24.0	6-14	2,570	32.0	5-14	1,680	21.0	5-6	6,170	63.0					12.6 - 10.6 - 11.5 - 11.6 - 12.2 - 12.7	12.6 - 23.2 - 34.7 - 46.3 - 58.5 - 71.2 (12.6-12.6)									
200109010110	芝	右	1400	曇	稍重	15:10	うずしおステークス 		2001-2-24	1	阪神	1	4歳以上1600万下	(混)	7	290	2	7	120	2	3	100	1	10.0	140.0	3.0	3-5	280	1	3-7	300.0	1.0	3-7	150	1.0	7-10	260	3.0	3-10	230	2.0					12.3 - 10.8 - 11.0 - 11.5 - 11.6 - 11.9 - 12.5	12.3 - 23.1 - 34.1 - 45.6 - 57.2 - 69.1 - 81.6 (12.3-12.3)									
