	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200101010201	ダ	右	1700	晴	良	09:50	3歳未勝利		2001-8-5	1	札幌	2	3歳未勝利	牝[指](馬齢)	6	410	2	6	150	2	7	560	8	10.0	260	4.0	5-5	3190	12	6-7	3110.0	13.0	6-7	1,030	13.0	6-10	560	5.0	7-10	2,200	24.0					6.9 - 11.6 - 12.8 - 13.3 - 13.3 - 12.6 - 12.7 - 12.7 - 12.5	6.9 - 18.5 - 31.3 - 44.6 - 57.9 - 70.5 - 83.2 - 95.9 - 108.4 (6.9-6.9)									
200101010202	ダ	右	1000	晴	良	10:15	3歳未勝利		2001-8-5	1	札幌	2	3歳未勝利	(混)[指](馬齢)	9	580	3	9	130	3	2	100	2	8.0	100	1.0	2-7	710	3	2-9	730.0	3.0	2-9	200	3.0	8-9	180	2.0	2-8	130	1.0					12.6 - 11.0 - 11.5 - 12.2 - 12.8	12.6 - 23.6 - 35.1 - 47.3 - 60.1 (12.6-12.6)									
200101010203	ダ	右	1700	晴	良	10:45	3歳未勝利		2001-8-5	1	札幌	2	3歳未勝利	[指](馬齢)	8	750	4	8	210	2	3	240	5	9.0	1,200	11.0	3-6	1300	7	3-8	1600.0	6.0	3-8	670	7.0	8-9	2,580	29.0	3-9	1,920	23.0					7.1 - 11.0 - 12.2 - 13.0 - 12.6 - 12.6 - 12.4 - 13.0 - 13.2	7.1 - 18.1 - 30.3 - 43.3 - 55.9 - 68.5 - 80.9 - 93.9 - 107.1 (7.1-7.1)									
200101010204	芝	右	1800	晴	良	11:15	3歳未勝利		2001-8-5	1	札幌	2	3歳未勝利	(混)[指](馬齢)	13	240	1	13	120	1	9	140	2	4.0	220	5.0	6-8	460	1	9-13	650.0	1.0	9-13	260	1.0	4-13	480	2.0	4-9	620	6.0					12.8 - 11.4 - 11.8 - 12.4 - 12.9 - 12.8 - 12.4 - 12.5 - 12.3	12.8 - 24.2 - 36.0 - 48.4 - 61.3 - 74.1 - 86.5 - 99.0 - 111.3 (12.8-12.8)									
200101010205	ダ	右	1000	晴	良	11:45	2歳新馬		2001-8-5	1	札幌	2	2歳新馬	[指](馬齢)	8	2280	7	8	430	6	7	120	1	5.0	530	8.0	6-6	3010	8	7-8	2800.0	9.0	7-8	1,110	11.0	5-8	4,090	41.0	5-7	1,300	14.0					12.7 - 10.9 - 11.9 - 12.3 - 12.8	12.7 - 23.6 - 35.5 - 47.8 - 60.6 (12.7-12.7)									
200101010206	芝	右	1200	晴	良	12:45	2歳新馬		2001-8-5	1	札幌	2	2歳新馬	(混)[指](馬齢)	3	600	4	3	230	4	14	200	3	7.0	800	11.0	2-7	1490	7	3-14	1560.0	3.0	3-14	790	6.0	3-7	2,810	41.0	7-14	2,740	40.0					12.0 - 10.9 - 11.3 - 11.7 - 12.2 - 12.1	12.0 - 22.9 - 34.2 - 45.9 - 58.1 - 70.2 (12.0-12.0)									
200101010207	ダ	右	1000	晴	良	13:15	3歳以上500万下		2001-8-5	1	札幌	2	3歳以上500万下	牝[指](別定)	4	130	1	4	110	1	9	180	3	11.0	970	10.0	4-7	400	2	4-9	520.0	2.0	4-9	240	2.0	4-11	1,870	20.0	9-11	4,380	35.0					12.4 - 10.8 - 11.5 - 12.3 - 12.7	12.4 - 23.2 - 34.7 - 47.0 - 59.7 (12.4-12.4)									
200101010208	ダ	右	1700	晴	良	13:45	3歳以上500万下		2001-8-5	1	札幌	2	3歳以上500万下	(混)[指](別定)	7	140	1	7	100	1	8	210	3	10.0	250	4.0	5-6	480	2	7-8	550.0	2.0	7-8	330	3.0	7-10	460	4.0	8-10	1,100	15.0					7.0 - 11.0 - 11.6 - 12.1 - 12.4 - 12.7 - 13.0 - 13.0 - 12.8	7.0 - 18.0 - 29.6 - 41.7 - 54.1 - 66.8 - 79.8 - 92.8 - 105.6 (7.0-7.0)									
200101010209	芝	右	2000	晴	良	14:20	3歳以上500万下		2001-8-5	1	札幌	2	3歳以上500万下	(特指)(別定)	14	670	3	14	170	2	1	110	1	6.0	410	5.0	1-7	390	1	1-14	560.0	1.0	1-14	270	1.0	6-14	1,870	22.0	1-6	910	7.0					13.1 - 11.6 - 12.8 - 12.9 - 12.5 - 12.0 - 11.9 - 11.7 - 12.2 - 12.3	13.1 - 24.7 - 37.5 - 50.4 - 62.9 - 74.9 - 86.8 - 98.5 - 110.7 - 123.0 (13.1-13.1)									
200101010210	芝	右	1200	晴	良	14:55	小樽特別 		2001-8-5	1	札幌	2	3歳以上500万下	(混)(特指)(別定)	11	530	2	11	170	2	1	130	1	4.0	180	3.0	1-6	780	2	1-11	920.0	2.0	1-11	440	2.0	4-11	530	3.0	1-4	390	1.0					12.2 - 10.4 - 11.0 - 11.6 - 12.3 - 12.3	12.2 - 22.6 - 33.6 - 45.2 - 57.5 - 69.8 (12.2-12.2)									
200101010211	芝	右	1200	晴	良	15:30	札幌日刊スポーツ杯 		2001-8-5	1	札幌	2	3歳以上オープン	(混)(指)(別定)	6	170	1	6	110	1	3	130	2	2.0	180	5.0	3-6	340	1																	12.1 - 10.9 - 11.1 - 11.3 - 11.6 - 11.7	12.1 - 23.0 - 34.1 - 45.4 - 57.0 - 68.7 (12.1-12.1)									
200101010212	芝	右	1500	晴	良	16:10	摩周湖特別 		2001-8-5	1	札幌	2	3歳以上1000万下	(混)[指](別定)	6	170	1	6	100	1	4	140	3	8.0	120	2.0	4-5	460	2	4-6	490.0	2.0	4-6	220	2.0	6-8	170	1.0	4-8	280	3.0					6.8 - 10.7 - 11.5 - 11.7 - 11.9 - 11.8 - 12.0 - 11.6	6.8 - 17.5 - 29.0 - 40.7 - 52.6 - 64.4 - 76.4 - 88.0 (6.8-6.8)									
200101010301	ダ	右	1000	曇	良	09:50	2歳未勝利		2001-8-11	1	札幌	3	2歳未勝利	(混)[指](馬齢)	7	210	1	7	100	1	1	100	2	6.0	140	4.0	1-7	300	1	1-7	320.0	1.0	1-7	140	1.0	6-7	220	4.0	1-6	220	3.0					12.6 - 10.9 - 11.9 - 11.6 - 12.0	12.6 - 23.5 - 35.4 - 47.0 - 59.0 (12.6-12.6)									
200101010302	ダ	右	1000	曇	良	10:15	3歳未勝利		2001-8-11	1	札幌	3	3歳未勝利	牝[指](馬齢)	9	900	5	9	270	5	7	140	2	6.0	160	3.0	6-7	330	1	7-9	1350.0	4.0	7-9	470	4.0	6-9	570	7.0	6-7	260	1.0					12.8 - 11.0 - 11.9 - 12.1 - 13.0	12.8 - 23.8 - 35.7 - 47.8 - 60.8 (12.8-12.8)									
200101010303	ダ	右	1700	曇	良	10:45	3歳未勝利		2001-8-11	1	札幌	3	3歳未勝利	[指](馬齢)	12	290	2	12	110	2	9	100	1	6.0	1,090	10.0	6-8	380	2	9-12	240.0	1.0	9-12	150	1.0	6-12	3,630	33.0	6-9	2,930	27.0					6.9 - 11.1 - 12.1 - 12.4 - 12.7 - 12.9 - 13.4 - 12.5 - 12.8	6.9 - 18.0 - 30.1 - 42.5 - 55.2 - 68.1 - 81.5 - 94.0 - 106.8 (6.9-6.9)									
200101010304	芝	右	2000	曇	良	11:15	3歳未勝利		2001-8-11	1	札幌	3	3歳未勝利	(混)[指](馬齢)	7	230	1	7	120	1	15	160	3	13.0	180	4.0	4-8	300	1	7-15	560.0	1.0	7-15	270	1.0	7-13	410	3.0	13-15	690	11.0					12.9 - 11.5 - 12.8 - 13.2 - 13.0 - 12.9 - 12.5 - 12.0 - 11.7 - 11.8	12.9 - 24.4 - 37.2 - 50.4 - 63.4 - 76.3 - 88.8 - 100.8 - 112.5 - 124.3 (12.9-12.9)									
200101010305	芝	右	1000	晴	良	11:45	2歳500万下		2001-8-11	1	札幌	3	2歳500万下	(特指)(馬齢)	3	500	3	3	140	1	13	150	2	4.0	190	4.0	3-8	520	1	3-13	1000.0	2.0	3-13	350	1.0	3-4	420	2.0	4-13	480	5.0					12.3 - 10.6 - 11.0 - 11.3 - 12.0	12.3 - 22.9 - 33.9 - 45.2 - 57.2 (12.3-12.3)									
200101010306	芝	右	1000	晴	良	12:45	2歳新馬		2001-8-11	1	札幌	3	2歳新馬	牝[指](馬齢)	5	2160	7	5	500	8	10	240	3	1.0	110	1.0	4-6	5140	17	5-10	12090.0	27.0	5-10	2,140	23.0	1-5	890	11.0	1-10	490	3.0					12.3 - 11.1 - 11.3 - 11.6 - 12.0	12.3 - 23.4 - 34.7 - 46.3 - 58.3 (12.3-12.3)									
200101010307	ダ	右	1700	晴	良	13:15	3歳以上500万下		2001-8-11	1	札幌	3	3歳以上500万下	牝[指](別定)	7	250	1	7	120	1	5	220	4	10.0	260	6.0	4-5	390	1	5-7	1040.0	3.0	5-7	480	4.0	7-10	640	6.0	5-10	1,290	22.0					7.0 - 10.9 - 11.9 - 12.3 - 12.3 - 12.3 - 12.6 - 13.1 - 13.5	7.0 - 17.9 - 29.8 - 42.1 - 54.4 - 66.7 - 79.3 - 92.4 - 105.9 (7.0-7.0)									
200101010308	ダ	右	1000	晴	良	13:50	3歳以上500万下		2001-8-11	1	札幌	3	3歳以上500万下	(特指)(別定)	5	150	1	5	100	1	10	140	3	7.0	120	2.0	5-7	340	1	5-10	430.0	1.0	5-10	220	2.0	5-7	190	1.0	7-10	310	4.0					12.3 - 10.7 - 11.4 - 11.5 - 12.2	12.3 - 23.0 - 34.4 - 45.9 - 58.1 (12.3-12.3)									
200101010309	芝	右	1200	晴	良	14:25	3歳以上500万下		2001-8-11	1	札幌	3	3歳以上500万下	(混)(特指)(別定)	10	330	2	10	140	2	14	120	1	13.0	270	5.0	5-7	370	1	10-14	500.0	1.0	10-14	220	1.0	10-13	740	6.0	13-14	530	4.0					12.3 - 10.5 - 11.0 - 11.5 - 11.6 - 12.3	12.3 - 22.8 - 33.8 - 45.3 - 56.9 - 69.2 (12.3-12.3)									
200101010310	芝	右	1800	晴	良	14:55	大倉山特別 		2001-8-11	1	札幌	3	3歳以上1000万下	(混)	6	300	1	6	130	2	12	130	1	7.0	140	3.0	4-7	560	2	6-12	820.0	1.0	6-12	330	2.0	6-7	330	3.0	7-12	310	1.0					12.6 - 12.1 - 12.5 - 12.2 - 12.2 - 11.9 - 11.4 - 11.7 - 11.8	12.6 - 24.7 - 37.2 - 49.4 - 61.6 - 73.5 - 84.9 - 96.6 - 108.4 (12.6-12.6)									
200101010311	ダ	右	1700	晴	良	15:30	報知杯大雪ハンデ 		2001-8-11	1	札幌	3	3歳以上1600万下	(混)[指](ハンデ)	2	720	3	2	210	3	1	240	4	10.0	280	5.0	1-2	2340	10	1-2	2370.0	10.0	1-2	760	10.0	2-10	740	9.0	1-10	1,130	13.0					7.0 - 11.1 - 11.7 - 11.8 - 11.8 - 12.3 - 12.3 - 12.5 - 12.8	7.0 - 18.1 - 29.8 - 41.6 - 53.4 - 65.7 - 78.0 - 90.5 - 103.3 (7.0-7.0)									
200101010312	芝	右	1200	晴	良	16:10	羊ヶ丘特別 		2001-8-11	1	札幌	3	3歳以上1000万下	(混)[指](ハンデ)	16	660	4	16	200	3	9	260	4	5.0	450	8.0	5-8	610	2	9-16	1670.0	6.0	9-16	760	6.0	5-16	1,640	20.0	5-9	2,230	26.0					12.0 - 10.2 - 10.7 - 11.4 - 12.2 - 11.9	12.0 - 22.2 - 32.9 - 44.3 - 56.5 - 68.4 (12.0-12.0)									
200101010401	ダ	右	1000	晴	良	09:50	3歳未勝利		2001-8-12	1	札幌	4	3歳未勝利	[指](馬齢)	10	290	2	10	110	2	9	100	1	2.0	160	4.0	7-7	180	1	9-10	190.0	1.0	9-10	120	1.0	2-10	250	4.0	2-9	230	2.0					12.8 - 11.1 - 11.4 - 11.7 - 12.7	12.8 - 23.9 - 35.3 - 47.0 - 59.7 (12.8-12.8)									
200101010402	ダ	右	1700	晴	良	10:15	3歳未勝利		2001-8-12	1	札幌	4	3歳未勝利	(混)[指](馬齢)	4	140	1	4	130	1	6	190	4	1.0	2,380	11.0	4-5	470	3	4-6	610.0	3.0	4-6	270	3.0	1-4	3,230	26.0	1-6	10,650	48.0					7.0 - 11.2 - 12.1 - 12.2 - 12.5 - 12.5 - 12.7 - 13.1 - 13.3	7.0 - 18.2 - 30.3 - 42.5 - 55.0 - 67.5 - 80.2 - 93.3 - 106.6 (7.0-7.0)									
200101010403	芝	右	1200	晴	良	10:45	3歳未勝利		2001-8-12	1	札幌	4	3歳未勝利	[指](馬齢)	8	550	2	8	160	3	2	160	2	15.0	110	1.0	1-4	1380	5	2-8	1550.0	6.0	2-8	500	5.0	8-15	250	1.0	2-15	310	2.0					12.3 - 10.8 - 11.1 - 11.5 - 11.9 - 12.6	12.3 - 23.1 - 34.2 - 45.7 - 57.6 - 70.2 (12.3-12.3)									
200101010404	ダ	右	1000	晴	良	11:15	2歳新馬		2001-8-12	1	札幌	4	2歳新馬	(混)[指](馬齢)	11	140	1	11	110	1	10	210	3	9.0	380	6.0	8-8	570	2	10-11	570.0	2.0	10-11	290	2.0	9-11	680	8.0	9-10	1,460	16.0					12.6 - 11.0 - 11.3 - 12.0 - 12.5	12.6 - 23.6 - 34.9 - 46.9 - 59.4 (12.6-12.6)									
200101010405	芝	右	1200	晴	良	11:45	2歳新馬		2001-8-12	1	札幌	4	2歳新馬	[指](馬齢)	9	270	2	9	140	2	13	190	3	7.0	270	4.0	6-8	930	5	9-13	1010.0	3.0	9-13	360	2.0	7-9	430	4.0	7-13	850	9.0					12.3 - 11.1 - 11.5 - 11.6 - 12.0 - 12.4	12.3 - 23.4 - 34.9 - 46.5 - 58.5 - 70.9 (12.3-12.3)									
200101010406	ダ	右	2400	晴	良	12:45	3歳以上500万下		2001-8-12	1	札幌	4	3歳以上500万下	(混)[指](別定)	9	1340	5	9	340	6	3	120	1	1.0	210	3.0	3-7	490	1	3-9	1530.0	6.0	3-9	670	6.0	1-9	1,810	27.0	1-3	340	2.0					13.4 - 12.3 - 12.7 - 13.2 - 13.3 - 13.6 - 13.0 - 12.1 - 12.5 - 12.9 - 12.5 - 13.2	13.4 - 25.7 - 38.4 - 51.6 - 64.9 - 78.5 - 91.5 - 103.6 - 116.1 - 129.0 - 141.5 - 154.7 (13.4-13.4)									
200101010408	芝	右	1800	晴	良	13:45	3歳以上500万下		2001-8-12	1	札幌	4	3歳以上500万下	(混)(特指)(別定)	2	280	1	2	160	2	1	250	3	9.0	290	6.0	1-2	1400	5	1-2	1390.0	2.0	1-2	570	2.0	2-9	700	5.0	1-9	1,350	15.0					12.6 - 11.6 - 12.3 - 12.2 - 12.2 - 11.9 - 11.8 - 12.0 - 12.3	12.6 - 24.2 - 36.5 - 48.7 - 60.9 - 72.8 - 84.6 - 96.6 - 108.9 (12.6-12.6)									
200101010409	ダ	右	1700	晴	良	14:20	えりも特別 		2001-8-12	1	札幌	4	3歳以上500万下	(混)[指](別定)	4	430	2	4	170	2	1	1,210	9	5.0	480	6.0	1-4	7730	17	1-4	9800.0	22.0	1-4	2,170	19.0	4-5	1,030	11.0	1-5	5,880	41.0					7.0 - 11.1 - 12.4 - 12.5 - 12.2 - 12.3 - 12.4 - 12.8 - 13.1	7.0 - 18.1 - 30.5 - 43.0 - 55.2 - 67.5 - 79.9 - 92.7 - 105.8 (7.0-7.0)									
200101010410	芝	右	2600	晴	良	14:55	支笏湖特別 		2001-8-12	1	札幌	4	3歳以上1000万下	(混)(特指)(別定)	9	1320	7	9	330	7	5	120	1	8.0	1,210	9.0	5-7	1320	6	5-9	1670.0	7.0	5-9	690	7.0	8-9	3,680	34.0	5-8	1,830	23.0					13.2 - 12.0 - 12.3 - 12.9 - 12.6 - 13.1 - 12.9 - 12.6 - 12.2 - 12.0 - 11.9 - 11.8 - 12.3	13.2 - 25.2 - 37.5 - 50.4 - 63.0 - 76.1 - 89.0 - 101.6 - 113.8 - 125.8 - 137.7 - 149.5 - 161.8 (13.2-13.2)									
200101010411	芝	右	1800	晴	良	15:30	クイーンステークス	G3	2001-8-12	1	札幌	4	3歳以上オープン	(混)	3	370	1	3	140	2	7	200	4	5.0	190	3.0	3-6	1190	6	3-7	1250.0	5.0	3-7	480	2.0	3-5	490	3.0	5-7	600	7.0					12.9 - 12.1 - 11.9 - 11.6 - 11.8 - 11.6 - 11.7 - 12.0 - 11.8	12.9 - 25.0 - 36.9 - 48.5 - 60.3 - 71.9 - 83.6 - 95.6 - 107.4 (12.9-12.9)									
200101010412	ダ	右	1700	晴	良	16:10	羊蹄山特別 		2001-8-12	1	札幌	4	3歳以上1000万下	(混)[指](別定)	7	200	1	7	130	1	11	180	2	9.0	490	8.0	5-7	340	1	7-11	590.0	1.0	7-11	270	1.0	7-9	1,370	15.0	9-11	2,130	26.0					7.1 - 11.3 - 12.2 - 12.0 - 12.1 - 12.0 - 12.1 - 12.4 - 13.1	7.1 - 18.4 - 30.6 - 42.6 - 54.7 - 66.7 - 78.8 - 91.2 - 104.3 (7.1-7.1)									
200101010501	ダ	右	1700	晴	良	09:50	3歳未勝利		2001-8-18	1	札幌	5	3歳未勝利	牝[指](馬齢)	7	230	1	7	120	1	4	610	8	3.0	140	2.0	4-5	2590	11	4-7	3180.0	13.0	4-7	1,130	17.0	3-7	230	1.0	3-4	1,680	20.0					6.9 - 10.9 - 12.7 - 13.4 - 13.2 - 12.5 - 12.3 - 12.3 - 12.6	6.9 - 17.8 - 30.5 - 43.9 - 57.1 - 69.6 - 81.9 - 94.2 - 106.8 (6.9-6.9)									
200101010502	ダ	右	1000	晴	良	10:15	3歳未勝利		2001-8-18	1	札幌	5	3歳未勝利	(混)[指](馬齢)	11	230	1	11	120	1	8	120	2	10.0	240	6.0	6-8	180	1	8-11	400.0	1.0	8-11	190	1.0	10-11	530	7.0	8-10	700	10.0					12.7 - 11.2 - 11.6 - 11.8 - 12.5	12.7 - 23.9 - 35.5 - 47.3 - 59.8 (12.7-12.7)									
200101010503	ダ	右	1700	晴	良	10:45	3歳未勝利		2001-8-18	1	札幌	5	3歳未勝利	(混)[指](馬齢)	2	3710	8	2	630	9	3	220	3	9.0	110	1.0	2-3	12660	23	2-3	12390.0	23.0	2-3	2,250	22.0	2-9	880	10.0	3-9	310	2.0					7.0 - 10.8 - 11.8 - 12.5 - 13.0 - 12.7 - 12.7 - 12.7 - 13.1	7.0 - 17.8 - 29.6 - 42.1 - 55.1 - 67.8 - 80.5 - 93.2 - 106.3 (7.0-7.0)									
200101010504	芝	右	1800	晴	良	11:15	3歳未勝利		2001-8-18	1	札幌	5	3歳未勝利	[指](馬齢)	10	540	2	10	170	3	11	160	2	5.0	510	7.0	6-7	750	3	10-11	1310.0	4.0	10-11	510	4.0	5-10	2,050	21.0	5-11	2,280	22.0					12.6 - 11.8 - 12.6 - 12.7 - 12.6 - 12.3 - 11.9 - 11.7 - 12.6	12.6 - 24.4 - 37.0 - 49.7 - 62.3 - 74.6 - 86.5 - 98.2 - 110.8 (12.6-12.6)									
200101010505	ダ	右	1000	晴	良	11:45	2歳500万下		2001-8-18	1	札幌	5	2歳500万下	(混)(特指)(馬齢)	3	1220	4	3	210	4	11	110	1	5.0	430	7.0	3-8	670	3	3-11	810.0	3.0	3-11	380	3.0	3-5	2,550	26.0	5-11	850	8.0					12.5 - 11.0 - 11.7 - 11.8 - 12.0	12.5 - 23.5 - 35.2 - 47.0 - 59.0 (12.5-12.5)									
200101010506	芝	右	1200	晴	良	12:45	2歳新馬		2001-8-18	1	札幌	5	2歳新馬	[指](馬齢)	2	640	4	2	260	4	8	280	5	1.0	460	7.0	2-7	3370	15	2-8	3120.0	13.0	2-8	1,040	13.0	1-2	1,350	17.0	1-8	1,920	24.0					12.2 - 11.0 - 11.4 - 11.6 - 12.0 - 12.4	12.2 - 23.2 - 34.6 - 46.2 - 58.2 - 70.6 (12.2-12.2)									
