	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200103010101	ダ	右	1700	曇	良	09:50	3歳未出走		2001-4-21	1	福島	1	3歳未出走	牝[指](馬齢)	7	140	1	7	100	1	4	170	3	8.0	190	4.0	4-5	490	1	4-7	530.0	1.0	4-7	250	2.0	7-8	320	3.0	4-8	570	7.0					7.0 - 11.3 - 11.7 - 12.5 - 13.2 - 13.3 - 13.6 - 13.7 - 13.0	7.0 - 18.3 - 30.0 - 42.5 - 55.7 - 69.0 - 82.6 - 96.3 - 109.3 (7.0-7.0)									
200103010102	芝	右	1700	曇	良	10:15	3歳未出走		2001-4-21	1	福島	1	3歳未出走	[指](馬齢)	2	260	1	2	130	2	11	130	1	1.0	440	7.0	2-7	650	2	2-11	620.0	1.0	2-11	270	1.0	1-2	1,150	12.0	1-11	1,760	20.0					7.1 - 10.9 - 13.4 - 13.1 - 12.6 - 11.9 - 11.9 - 11.9 - 12.2	7.1 - 18.0 - 31.4 - 44.5 - 57.1 - 69.0 - 80.9 - 92.8 - 105.0 (7.1-7.1)									
200103010103	芝	右	1200	曇	良	10:45	3歳未出走		2001-4-21	1	福島	1	3歳未出走	(混)[指](馬齢)	2	1030	4	2	300	5	13	180	1	4.0	1,930	14.0	1-7	1410	5	2-13	1530.0	4.0	2-13	650	4.0	2-4	5,820	61.0	4-13	3,440	42.0					12.5 - 10.7 - 11.5 - 11.8 - 12.0 - 12.1	12.5 - 23.2 - 34.7 - 46.5 - 58.5 - 70.6 (12.5-12.5)									
200103010104	ダ	右	1000	曇	良	11:15	3歳未勝利		2001-4-21	1	福島	1	3歳未勝利	[指](馬齢)	2	600	3	2	240	3	12	150	2	5.0	290	5.0	2-8	1460	6	2-12	1320.0	5.0	2-12	410	4.0	2-5	880	9.0	5-12	550	6.0					12.7 - 11.1 - 11.8 - 12.7 - 13.3	12.7 - 23.8 - 35.6 - 48.3 - 61.6 (12.7-12.7)									
200103010105	芝	右	1700	曇	良	11:45	3歳未勝利		2001-4-21	1	福島	1	3歳未勝利	牝[指](馬齢)	9	200	1	9	110	1	11	130	2	8.0	140	3.0	6-7	650	3	9-11	670.0	2.0	9-11	270	2.0	8-9	220	1.0	8-11	360	3.0					7.0 - 10.5 - 12.1 - 12.6 - 12.4 - 12.3 - 11.9 - 12.4 - 11.9	7.0 - 17.5 - 29.6 - 42.2 - 54.6 - 66.9 - 78.8 - 91.2 - 103.1 (7.0-7.0)									
200103010106	ダ	右	1000	曇	良	12:45	4歳以上500万下		2001-4-21	1	福島	1	4歳以上500万下	(混)[指](別定)	11	420	3	11	190	3	8	120	1	3.0	470	7.0	6-8	820	2	8-11	930.0	3.0	8-11	360	2.0	3-11	1,320	16.0	3-8	1,060	13.0					12.3 - 10.8 - 11.5 - 12.4 - 12.5	12.3 - 23.1 - 34.6 - 47.0 - 59.5 (12.3-12.3)									
200103010107	芝	右	1800	曇	良	13:15	4歳以上500万下		2001-4-21	1	福島	1	4歳以上500万下	牝[指](別定)	4	620	4	4	240	4	10	160	2	12.0	360	7.0	3-6	560	1	4-10	1530.0	3.0	4-10	620	4.0	4-12	1,040	16.0	10-12	660	6.0					12.3 - 10.6 - 12.1 - 12.3 - 12.3 - 12.5 - 12.3 - 12.4 - 12.2	12.3 - 22.9 - 35.0 - 47.3 - 59.6 - 72.1 - 84.4 - 96.8 - 109.0 (12.3-12.3)									
200103010108	ダ	右	1700	曇	良	13:50	4歳以上500万下		2001-4-21	1	福島	1	4歳以上500万下	(混)[指](別定)	9	890	4	9	240	4	13	290	5	4.0	170	2.0	6-8	1200	5	9-13	3210.0	14.0	9-13	1,020	14.0	4-9	600	5.0	4-13	650	7.0					7.0 - 10.9 - 11.3 - 12.4 - 13.0 - 13.2 - 13.1 - 12.8 - 13.2	7.0 - 17.9 - 29.2 - 41.6 - 54.6 - 67.8 - 80.9 - 93.7 - 106.9 (7.0-7.0)									
200103010109	芝	右	1800	曇	良	14:25	ゆきつばき賞 		2001-4-21	1	福島	1	3歳500万下	(特指)(馬齢)	3	360	2	3	160	2	8	870	10	9.0	330	6.0	2-5	1700	9	3-8	15490.0	39.0	3-8	3,290	34.0	3-9	650	7.0	8-9	5,010	44.0					12.3 - 10.7 - 12.9 - 13.1 - 12.8 - 12.2 - 12.0 - 11.9 - 12.1	12.3 - 23.0 - 35.9 - 49.0 - 61.8 - 74.0 - 86.0 - 97.9 - 110.0 (12.3-12.3)									
200103010110	芝	右	2000	曇	良	14:55	天童特別 		2001-4-21	1	福島	1	4歳以上500万下	(混)[指](別定)	9	390	2	9	160	1	1	270	5	7.0	540	8.0	1-5	1070	5	1-9	3120.0	12.0	1-9	1,080	12.0	7-9	1,180	14.0	1-7	2,610	30.0					12.6 - 11.3 - 11.5 - 12.8 - 12.6 - 12.7 - 12.1 - 12.0 - 12.4 - 12.3	12.6 - 23.9 - 35.4 - 48.2 - 60.8 - 73.5 - 85.6 - 97.6 - 110.0 - 122.3 (12.6-12.6)									
