	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200110010112	芝	右	1800	雨	重	16:10	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	(混)[指](別定)	1	4760	10	1	1,320	11	16	1,130	10	10.0	580	7.0	1-8	2510	11	1-16	78330.0	96.0	1-16	12,500	90.0	1-10	7,380	61.0	10-16	5,550	49.0					12.7 - 11.4 - 13.3 - 13.0 - 12.5 - 12.6 - 12.4 - 12.7 - 12.7	12.7 - 24.1 - 37.4 - 50.4 - 62.9 - 75.5 - 87.9 - 100.6 - 113.3 (12.7-12.7)									
200110010201	ダ	右	1000	曇	重	09:50	3歳未勝利		2001-1-28	1	小倉	2	3歳未勝利	(馬齢)	10	120	1	10	110	1	6	280	5	1.0	620	8.0	5-7	670	4	6-10	610.0	2.0	6-10	300	3.0	1-10	950	11.0	1-6	2,600	24.0					12.6 - 11.1 - 12.0 - 12.5 - 12.8	12.6 - 23.7 - 35.7 - 48.2 - 61.0 (12.6-12.6)									
200110010202	芝	右	2000	曇	稍重	10:15	3歳未勝利		2001-1-28	1	小倉	2	3歳未勝利	牝(馬齢)	3	1240	4	3	290	4	5	250	3	10.0	2,000	12.0	2-3	2140	9	3-5	2810.0	9.0	3-5	1,090	9.0	3-10	9,620	59.0	5-10	7,660	54.0					12.5 - 11.5 - 12.1 - 13.5 - 13.4 - 13.0 - 12.9 - 12.5 - 12.5 - 12.5	12.5 - 24.0 - 36.1 - 49.6 - 63.0 - 76.0 - 88.9 - 101.4 - 113.9 - 126.4 (12.5-12.5)									
200110010203	ダ	右	1700	曇	重	10:40	3歳新馬		2001-1-28	1	小倉	2	3歳新馬	(馬齢)	9	400	2	9	170	3	8	110	1	3.0	320	6.0	8-8	400	2	8-9	380.0	1.0	8-9	190	1.0	3-9	780	11.0	3-8	510	5.0					7.2 - 11.3 - 12.7 - 13.8 - 13.3 - 13.1 - 13.1 - 13.6 - 13.0	7.2 - 18.5 - 31.2 - 45.0 - 58.3 - 71.4 - 84.5 - 98.1 - 111.1 (7.2-7.2)									
200110010204	芝	右	1200	晴	稍重	11:10	3歳新馬		2001-1-28	1	小倉	2	3歳新馬	(混)(馬齢)	10	1900	5	10	260	4	3	110	1	5.0	420	8.0	3-6	300	1	3-10	800.0	3.0	3-10	420	3.0	5-10	2,220	25.0	3-5	750	8.0					12.5 - 11.0 - 11.5 - 11.9 - 12.2 - 12.8	12.5 - 23.5 - 35.0 - 46.9 - 59.1 - 71.9 (12.5-12.5)									
200110010205	ダ	右	1000	曇	重	11:40	4歳以上500万下		2001-1-28	1	小倉	2	4歳以上500万下	(混)(別定)	6	620	2	6	180	2	11	870	11	5.0	100	1.0	4-7	1960	7	6-11	19080.0	41.0	6-11	3,870	41.0	5-6	290	1.0	5-11	1,900	21.0					12.2 - 10.9 - 11.9 - 12.2 - 12.6	12.2 - 23.1 - 35.0 - 47.2 - 59.8 (12.2-12.2)									
200110010206	芝	右	1200	曇	稍重	12:40	4歳以上500万下		2001-1-28	1	小倉	2	4歳以上500万下	牝(別定)	10	1120	5	10	380	7	6	360	6	14.0	130	1.0	3-5	4620	19	6-10	6700.0	24.0	6-10	1,990	20.0	10-14	720	4.0	6-14	870	7.0					11.9 - 10.5 - 11.3 - 11.6 - 12.3 - 12.8	11.9 - 22.4 - 33.7 - 45.3 - 57.6 - 70.4 (11.9-11.9)									
200110010207	芝	右	2600	曇	稍重	13:10	4歳以上500万下		2001-1-28	1	小倉	2	4歳以上500万下	(混)(別定)	3	250	1	3	130	1	10	150	2	16.0	1,050	9.0	2-5	590	1	3-10	690.0	1.0	3-10	310	1.0	3-16	5,320	47.0	10-16	4,680	44.0					12.8 - 11.5 - 12.2 - 13.0 - 13.1 - 13.0 - 13.9 - 13.0 - 12.3 - 12.5 - 12.5 - 12.6 - 12.9	12.8 - 24.3 - 36.5 - 49.5 - 62.6 - 75.6 - 89.5 - 102.5 - 114.8 - 127.3 - 139.8 - 152.4 - 165.3 (12.8-12.8)									
200110010208	ダ	右	1700	曇	重	13:45	4歳以上500万下		2001-1-28	1	小倉	2	4歳以上500万下	(別定)	7	180	1	7	120	1	13	170	2	14.0	840	12.0	4-7	480	1	7-13	600.0	2.0	7-13	310	2.0	7-14	1,150	12.0	13-14	1,920	21.0					7.1 - 10.9 - 11.6 - 13.0 - 13.1 - 12.7 - 12.8 - 13.6 - 13.6	7.1 - 18.0 - 29.6 - 42.6 - 55.7 - 68.4 - 81.2 - 94.8 - 108.4 (7.1-7.1)									
200110010209	芝	右	1800	小雨	稍重	14:20	太宰府特別 		2001-1-28	1	小倉	2	4歳以上900万下	(混)(別定)	6	880	3	6	230	4	10	210	3	3.0	120	1.0	5-7	2120	9	6-10	4000.0	16.0	6-10	1,150	15.0	3-6	450	3.0	3-10	480	4.0					12.7 - 11.0 - 12.3 - 12.4 - 12.3 - 12.2 - 12.0 - 12.2 - 12.6	12.7 - 23.7 - 36.0 - 48.4 - 60.7 - 72.9 - 84.9 - 97.1 - 109.7 (12.7-12.7)									
200110010210	芝	右	1200	雨	稍重	14:55	巌流島特別 		2001-1-28	1	小倉	2	4歳以上500万下	(混)(別定)	5	1190	6	5	320	5	2	380	6	14.0	1,130	11.0	1-3	2110	13	2-5	4060.0	16.0	2-5	1,330	14.0	5-14	5,200	52.0	2-14	5,090	50.0					12.2 - 10.8 - 11.6 - 12.1 - 12.8 - 12.8	12.2 - 23.0 - 34.6 - 46.7 - 59.5 - 72.3 (12.2-12.2)									
200110010211	ダ	右	1700	雨	不良	15:30	洞海湾ステークス 		2001-1-28	1	小倉	2	4歳以上1600万下	(混)(別定)	6	190	1	6	140	1	3	760	8	15.0	450	7.0	2-4	1080	4	3-6	5900.0	17.0	3-6	2,210	21.0	6-15	1,030	8.0	3-15	6,700	56.0					7.2 - 10.8 - 11.6 - 12.8 - 12.5 - 12.4 - 12.5 - 12.6 - 12.6	7.2 - 18.0 - 29.6 - 42.4 - 54.9 - 67.3 - 79.8 - 92.4 - 105.0 (7.2-7.2)									
200110010212	芝	右	1800	雨	稍重	16:10	4歳以上500万下		2001-1-28	1	小倉	2	4歳以上500万下	(別定)	10	360	2	10	180	2	6	410	6	12.0	940	12.0	4-6	2050	10	6-10	2400.0	7.0	6-10	1,000	7.0	10-12	2,820	32.0	6-12	4,940	53.0					12.7 - 11.4 - 12.8 - 12.7 - 12.4 - 12.6 - 12.4 - 12.8 - 12.6	12.7 - 24.1 - 36.9 - 49.6 - 62.0 - 74.6 - 87.0 - 99.8 - 112.4 (12.7-12.7)									
200110010301	ダ	右	1000	晴	良	09:50	3歳未勝利		2001-2-3	1	小倉	3	3歳未勝利	牝[指](馬齢)	7	550	3	7	240	3	6	180	2	2.0	1,960	8.0	6-7	650	3	6-7	900.0	4.0	6-7	340	3.0	2-7	1,900	18.0	2-6	1,800	17.0					12.4 - 11.1 - 12.0 - 12.7 - 13.4	12.4 - 23.5 - 35.5 - 48.2 - 61.6 (12.4-12.4)									
200110010302	芝	右	1200	晴	良	10:15	3歳未勝利		2001-2-3	1	小倉	3	3歳未勝利	(混)[指](馬齢)	7	640	5	7	170	3	12	120	1	3.0	180	4.0	4-6	860	4	7-12	970.0	4.0	7-12	340	2.0	3-7	470	7.0	3-12	360	3.0					12.3 - 10.3 - 11.2 - 11.8 - 12.4 - 12.6	12.3 - 22.6 - 33.8 - 45.6 - 58.0 - 70.6 (12.3-12.3)									
200110010303	芝	右	1800	晴	良	10:45	3歳未勝利		2001-2-3	1	小倉	3	3歳未勝利	[指](馬齢)	5	160	1	5	120	1	13	210	3	10.0	2,760	14.0	3-7	810	2	5-13	800.0	2.0	5-13	390	2.0	5-10	6,000	54.0	10-13	18,310	89.0					12.5 - 11.6 - 12.4 - 12.3 - 12.0 - 12.2 - 12.2 - 12.1 - 12.1	12.5 - 24.1 - 36.5 - 48.8 - 60.8 - 73.0 - 85.2 - 97.3 - 109.4 (12.5-12.5)									
200110010304	芝	右	2000	晴	良	11:15	3歳新馬		2001-2-3	1	小倉	3	3歳新馬	(混)[指](馬齢)	2	360	2	2	120	1	8	190	4	9.0	140	3.0	2-8	460	1	2-8	1240.0	6.0	2-8	480	7.0	2-9	340	3.0	8-9	550	9.0					12.9 - 11.8 - 12.4 - 13.1 - 13.0 - 12.7 - 12.2 - 12.3 - 12.2 - 12.4	12.9 - 24.7 - 37.1 - 50.2 - 63.2 - 75.9 - 88.1 - 100.4 - 112.6 - 125.0 (12.9-12.9)									
200110010305	ダ	右	1700	晴	良	11:45	4歳以上500万下		2001-2-3	1	小倉	3	4歳以上500万下	牝[指](別定)	3	340	1	3	120	1	5	160	3	2.0	280	6.0	3-5	680	4	3-5	650.0	1.0	3-5	300	1.0	2-3	770	11.0	2-5	1,050	16.0					7.0 - 11.0 - 12.1 - 13.5 - 13.0 - 12.8 - 12.9 - 13.4 - 14.4	7.0 - 18.0 - 30.1 - 43.6 - 56.6 - 69.4 - 82.3 - 95.7 - 110.1 (7.0-7.0)									
200110010306	ダ	右	1000	晴	良	12:45	4歳以上500万下		2001-2-3	1	小倉	3	4歳以上500万下	(混)[指](別定)	12	420	1	12	130	1	7	220	4	9.0	180	2.0	5-8	660	3	7-12	1930.0	5.0	7-12	750	6.0	9-12	430	1.0	7-9	1,190	19.0					12.5 - 11.1 - 12.0 - 12.6 - 13.0	12.5 - 23.6 - 35.6 - 48.2 - 61.2 (12.5-12.5)									
200110010307	ダ	右	1700	晴	良	13:15	4歳以上500万下		2001-2-3	1	小倉	3	4歳以上500万下	(父)[指](別定)	11	440	2	11	170	2	3	100	1	9.0	260	5.0	3-8	270	1	3-11	420.0	1.0	3-11	230	1.0	9-11	1,030	13.0	3-9	460	3.0					7.0 - 11.2 - 12.0 - 12.5 - 12.8 - 13.6 - 13.3 - 13.5 - 13.3	7.0 - 18.2 - 30.2 - 42.7 - 55.5 - 69.1 - 82.4 - 95.9 - 109.2 (7.0-7.0)									
200110010308	芝	右	1200	晴	良	13:50	4歳以上500万下		2001-2-3	1	小倉	3	4歳以上500万下	[指](別定)	14	490	2	14	170	2	16	120	1	4.0	180	3.0	7-8	470	1	14-16	570.0	1.0	14-16	260	1.0	4-14	500	4.0	4-16	340	2.0					12.3 - 10.9 - 11.3 - 11.6 - 11.7 - 12.4	12.3 - 23.2 - 34.5 - 46.1 - 57.8 - 70.2 (12.3-12.3)									
200110010309	芝	右	2000	晴	良	14:25	紫川特別 		2001-2-3	1	小倉	3	4歳以上500万下	(混)[指](別定)	2	490	3	2	210	4	8	1,110	9	9.0	330	5.0	2-7	1270	7	2-8	9790.0	24.0	2-8	2,180	22.0	2-9	1,120	11.0	8-9	4,050	31.0					13.1 - 11.8 - 12.7 - 13.1 - 13.0 - 12.6 - 12.3 - 11.5 - 11.8 - 12.0	13.1 - 24.9 - 37.6 - 50.7 - 63.7 - 76.3 - 88.6 - 100.1 - 111.9 - 123.9 (13.1-13.1)									
200110010310	芝	右	1200	晴	良	14:55	かささぎ賞 		2001-2-3	1	小倉	3	3歳500万下	(混)(特指)(馬齢)	8	370	1	8	140	1	1	190	3	14.0	380	7.0	1-4	550	2	1-8	730.0	1.0	1-8	300	1.0	8-14	1,100	12.0	1-14	840	9.0					12.1 - 10.3 - 11.1 - 11.4 - 12.2 - 12.8	12.1 - 22.4 - 33.5 - 44.9 - 57.1 - 69.9 (12.1-12.1)									
200110010311	ダ	右	1700	晴	良	15:30	早鞆特別 		2001-2-3	1	小倉	3	4歳以上900万下	(混)[指](別定)	12	210	1	12	130	1	11	430	8	2.0	410	7.0	7-7	2250	10	11-12	2300.0	10.0	11-12	1,010	10.0	2-12	1,180	12.0	2-11	3,300	45.0					7.1 - 11.2 - 12.5 - 12.8 - 12.7 - 12.5 - 13.0 - 13.1 - 13.0	7.1 - 18.3 - 30.8 - 43.6 - 56.3 - 68.8 - 81.8 - 94.9 - 107.9 (7.1-7.1)									
200110010312	芝	右	1200	晴	良	16:10	4歳以上500万下		2001-2-3	1	小倉	3	4歳以上500万下	(混)[指](別定)	5	140	1	5	110	1	13	160	2	1.0	210	4.0	3-7	380	1	5-13	420.0	1.0	5-13	190	1.0	1-5	420	3.0	1-13	790	9.0					11.9 - 10.3 - 11.0 - 11.5 - 11.9 - 12.6	11.9 - 22.2 - 33.2 - 44.7 - 56.6 - 69.2 (11.9-11.9)									
200110010401	ダ	右	1700	曇	良	09:50	3歳未勝利		2001-2-4	1	小倉	4	3歳未勝利	(馬齢)	12	820	5	12	340	7	3	140	1	4.0	690	8.0	3-8	510	1	3-12	1870.0	8.0	3-12	920	15.0	4-12	3,970	31.0	3-4	1,690	21.0					7.0 - 11.6 - 12.3 - 13.6 - 12.8 - 13.0 - 13.5 - 14.3 - 14.3	7.0 - 18.6 - 30.9 - 44.5 - 57.3 - 70.3 - 83.8 - 98.1 - 112.4 (7.0-7.0)									
200110010402	芝	右	2000	曇	良	10:15	3歳未勝利		2001-2-4	1	小倉	4	3歳未勝利	(混)(馬齢)	3	760	5	3	310	4	11	620	8	12.0	180	3.0	3-7	390	2	3-11	12240.0	25.0	3-11	2,770	25.0	3-12	530	5.0	11-12	1,670	20.0					12.6 - 11.1 - 12.9 - 13.3 - 13.1 - 12.9 - 12.6 - 12.4 - 12.3 - 12.2	12.6 - 23.7 - 36.6 - 49.9 - 63.0 - 75.9 - 88.5 - 100.9 - 113.2 - 125.4 (12.6-12.6)									
200110010403	芝	右	1200	曇	良	10:40	3歳新馬		2001-2-4	1	小倉	4	3歳新馬	牝(馬齢)	1	540	2	1	130	2	11	350	7	16.0	100	1.0	1-6	1660	5	1-11	2650.0	10.0	1-11	920	12.0	1-16	270	1.0	11-16	610	7.0					12.2 - 10.7 - 11.3 - 11.9 - 12.7 - 12.9	12.2 - 22.9 - 34.2 - 46.1 - 58.8 - 71.7 (12.2-12.2)									
200110010404	ダ	右	1000	曇	良	11:10	4歳以上500万下		2001-2-4	1	小倉	4	4歳以上500万下	(別定)	13	200	1	13	140	1	9	490	8	3.0	430	7.0	6-8	2740	11	9-13	2600.0	10.0	9-13	1,260	17.0	3-13	740	8.0	3-9	4,460	35.0					12.2 - 10.6 - 11.3 - 12.4 - 13.9	12.2 - 22.8 - 34.1 - 46.5 - 60.4 (12.2-12.2)									
200110010405	芝	右	2000	小雨	良	11:40	4歳以上500万下		2001-2-4	1	小倉	4	4歳以上500万下	牝(別定)	6	580	3	6	220	2	2	250	4	14.0	270	5.0	2-4	2150	10	2-6	2260.0	8.0	2-6	880	8.0	6-14	850	6.0	2-14	980	11.0					13.0 - 12.1 - 13.0 - 13.5 - 12.7 - 12.6 - 12.3 - 11.8 - 12.0 - 12.3	13.0 - 25.1 - 38.1 - 51.6 - 64.3 - 76.9 - 89.2 - 101.0 - 113.0 - 125.3 (13.0-13.0)									
200110010406	芝	右	1200	雨	良	12:40	4歳以上500万下		2001-2-4	1	小倉	4	4歳以上500万下	(別定)	7	630	2	7	220	3	2	130	1	13.0	470	6.0	2-4	460	2	2-7	760.0	3.0	2-7	360	3.0	7-13	1,280	14.0	2-13	690	6.0					12.1 - 10.4 - 11.3 - 11.6 - 12.4 - 12.6	12.1 - 22.5 - 33.8 - 45.4 - 57.8 - 70.4 (12.1-12.1)									
