	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気
200203010111	芝	右	1200	曇	良	15:40	白河特別 		2002-6-15	1	福島	1	3歳以上1000万下	(混)(定量)	8	270	2	8	130	2	2	490	7	12	110	1	1-4	1510	4	2-8	2740.0	8.0	2-8	800	10.0	8-12	170	1.0	2-12	910	11.0	2-8-12	2520	7			8(1,16)(2,6)(3,13,14)(4,9,15)(7,11,12)10 5	8-1,16(2,6,14)(4,3,13,11,12)(7,9)(10,15) 5	12.0 - 10.6 - 11.0 - 11.1 - 11.9 - 12.2	12.0 - 22.6 - 33.6 - 44.7 - 56.6 - 68.8 (33.6-35.2)	8=>2	5260.0	17.0
200203010112	芝	右	1800	曇	良	16:15	3歳以上500万下		2002-6-15	1	福島	1	3歳以上500万下	(定量)	2	2850	9	2	980	9	4	410	4	8	3,840	15	1-2	3040	14	2-4	9360.0	30.0	2-4	2,610	28.0	2-8	16,680	84.0	4-8	17,510	86.0	2-4-8	144480	249	2-(8,16)(1,10)(3,14)(6,11,15)(4,13)(9,12)5-7	2-(8,16)-(1,10,14)3,6(4,11,15)(9,12,13)-5-7	2-(8,16)-14(1,10,3,6)(15,13)(4,9,12,11)=5,7	2-8-(14,16,3,6,13)1(10,4)(9,12,15)11-5,7	12.5 - 10.9 - 11.6 - 12.0 - 12.0 - 11.9 - 11.8 - 12.5 - 13.4	12.5 - 23.4 - 35.0 - 47.0 - 59.0 - 70.9 - 82.7 - 95.2 - 108.6 (35.0-37.7)	2=>4	22490.0	64.0
200203010201	ダ	右	1000	晴	稍重	10:00	3歳未勝利		2002-6-16	1	福島	2	3歳未勝利	(混)[指](馬齢)	3	680	2	3	130	2	4	100	1	6	190	4	3-4	470	1	3-4	450.0	1.0	3-4	230	1.0	3-6	700	8.0	4-6	380	4.0	3-4-6	1410	2			3(1,6)(4,12)10(5,8)-9,11-2=7	3,1,6,4-10,12(5,8)9-11-2=7	12.6 - 10.9 - 11.5 - 12.1 - 12.8	12.6 - 23.5 - 35.0 - 47.1 - 59.9 (35.0-36.4)			
200203010202	ダ	右	1700	晴	稍重	10:25	3歳未勝利		2002-6-16	1	福島	2	3歳未勝利	牝[指](馬齢)	6	580	3	6	220	3	2	140	1	8	2,840	13	2-5	340	1	2-6	890.0	2.0	2-6	430	2.0	6-8	8,950	57.0	2-8	4,730	47.0	2-6-8	46840	102	1,10(2,11)(5,12)13-7-4,9(8,6)3	1,10-2-(5,11)12(7,13)-4(8,9)(3,6)	1(10,2)(5,7)-(12,6)(8,4)3-13,9-11	1,2-(5,7)(10,8,6)3(12,4)9,13=11	7.1 - 11.0 - 11.2 - 12.3 - 13.4 - 13.0 - 13.2 - 13.8 - 13.1	7.1 - 18.1 - 29.3 - 41.6 - 55.0 - 68.0 - 81.2 - 95.0 - 108.1 (29.3-40.1)			
200203010203	芝	右	1800	晴	稍重	10:50	3歳未勝利		2002-6-16	1	福島	2	3歳未勝利	(混)[指](馬齢)	13	440	2	13	220	2	4	810	10	5	2,070	12	2-7	1790	9	4-13	5010.0	19.0	4-13	1,870	23.0	5-13	3,620	40.0	4-5	17,500	87.0	4-5-13	126940	230	13(1,2,3,9)(14,15)(4,12,16)(6,5)-8,10,11-7	(*13,3)(1,2,9)(4,14,15)(6,12,16)5-8(10,11)-7	(*13,3)2(1,9,15)(14,5)(4,6,12)16(8,11)10-7	(*13,3)(1,2,5)9(4,14,15,6)(12,11)(8,10)16,7	12.4 - 11.0 - 11.7 - 11.9 - 12.4 - 12.5 - 12.3 - 12.5 - 12.7	12.4 - 23.4 - 35.1 - 47.0 - 59.4 - 71.9 - 84.2 - 96.7 - 109.4 (35.1-37.5)			
200203010204	芝	右	1200	晴	良	11:20	3歳未勝利		2002-6-16	1	福島	2	3歳未勝利	(混)[指](馬齢)	10	190	1	10	110	1	2	140	2	13	250	4	1-5	480	1	2-10	610.0	1.0	2-10	290	1.0	10-13	590	3.0	2-13	750	7.0	2-10-13	2130	2			(9,*10,14)(2,1,5)-(3,4)(6,7,16)(13,12)8-15-11	(*9,10)(2,1,14)5(3,4,13)(6,7)(8,12)(15,16)-11	12.1 - 10.6 - 11.2 - 11.7 - 12.3 - 12.4	12.1 - 22.7 - 33.9 - 45.6 - 57.9 - 70.3 (33.9-36.4)	10=>2	1180.0	1.0
200203010205	芝	右	2000	晴	良	11:50	3歳未勝利		2002-6-16	1	福島	2	3歳未勝利	[指](馬齢)	9	350	1	9	150	2	4	500	6	10	190	3	2-5	1650	5	4-9	3760.0	12.0	4-9	1,420	12.0	9-10	440	3.0	4-10	1,550	14.0	4-9-10	7100	17	6,12-(14,16)(1,10)13(4,8,11)(9,15)-5-(2,7)-3	(*6,12)(1,10,14,16)-13(4,8)(5,9,11)15-(2,7)-3	(*6,12)(1,14,16)(4,10,9,8)(13,5,15)-11(2,3)7	(*6,12)(1,10,16,9)(4,5)-(13,14,15)-(11,8)3,2-7	12.4 - 10.6 - 11.3 - 12.7 - 12.8 - 12.9 - 12.6 - 12.4 - 12.2 - 12.1	12.4 - 23.0 - 34.3 - 47.0 - 59.8 - 72.7 - 85.3 - 97.7 - 109.9 - 122.0 (34.3-36.7)	9=>4	6440.0	22.0
200203010206	芝	右	1000	晴	良	12:50	2歳新馬		2002-6-16	1	福島	2	2歳新馬	[指](馬齢)	14	980	5	14	340	5	11	170	2	4	550	8	7-8	570	2	11-14	2340.0	10.0	11-14	930	10.0	4-14	2,040	24.0	4-11	1,270	16.0	4-11-14	9620	32			(*11,13)-14(1,7)(12,4)2(3,8,10)-(5,9)-6	11,13=(14,12,4)-1-(7,8)(2,3)10=5-(6,9)	12.3 - 10.7 - 11.2 - 12.1 - 12.2	12.3 - 23.0 - 34.2 - 46.3 - 58.5 (34.2-35.5)	14=>11	5580.0	23.0
200203010207	ダ	右	1000	晴	良	13:20	3歳以上500万下		2002-6-16	1	福島	2	3歳以上500万下	牝[指](定量)	3	810	4	3	250	5	8	200	3	11	150	2	3-7	2940	12	3-8	2720.0	10.0	3-8	800	9.0	3-11	730	8.0	8-11	560	6.0	3-8-11	3200	11			11,7,8-(3,2,6)(4,10,9)(1,5)	11(3,7,8)-(2,6)(1,10,9)(4,5)	12.7 - 11.0 - 11.6 - 11.9 - 12.0	12.7 - 23.7 - 35.3 - 47.2 - 59.2 (35.3-35.5)	3=>8	5090.0	20.0
200203010208	ダ	右	1700	晴	良	13:50	3歳以上500万下		2002-6-16	1	福島	2	3歳以上500万下	[指](定量)	3	2950	8	3	610	8	1	360	6	11	130	1	1-3	11010	25	1-3	11840.0	34.0	1-3	3,150	35.0	3-11	1,100	12.0	1-11	740	7.0	1-3-11	14160	42	3,6(1,7,10)8(9,12)(5,11)4,2-13	3,6(1,7,10)8-(9,12)(5,11)(4,2)-13	(*3,6)(1,7,10,2)(11,8)(5,12)4,9-13	3(1,6,2)7(11,8)5-(4,10)9,12-13	6.7 - 11.0 - 11.4 - 12.7 - 13.2 - 13.1 - 12.5 - 12.7 - 12.4	6.7 - 17.7 - 29.1 - 41.8 - 55.0 - 68.1 - 80.6 - 93.3 - 105.7 (29.1-37.6)	3=>1	24720.0	69.0
