	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
200210010201	ダ	右	1000	曇	稍重	09:55	3歳未勝利		2002-1-20	1	小倉	2	3歳未勝利	(馬齢)	5	110	1	5	110	1	2	1,020	10	9.0	330	4.0	2-4	3010	9	2-5	1,330	14.0	5-9	450	3.0	2-9	4,460	36.0														12.3 - 11.2 - 12.1 - 12.8 - 13.8	12.3 - 23.5 - 35.6 - 48.4 - 62.2 (12.3-12.3)	2-5	3510.0	9.0
200210010202	芝	右	2000	曇	良	10:20	3歳未勝利		2002-1-20	1	小倉	2	3歳未勝利	牝(馬齢)	14	7810	12	14	2,280	13	13	260	4	5.0	450	6.0	7-7	44320	33	13-14	13,280	78.0	5-14	9,590	64.0	5-13	1,730	20.0														12.6 - 11.2 - 12.1 - 13.1 - 12.8 - 12.5 - 12.1 - 12.0 - 12.6 - 12.8	12.6 - 23.8 - 35.9 - 49.0 - 61.8 - 74.3 - 86.4 - 98.4 - 111.0 - 123.8 (12.6-12.6)	13-14	54010.0	73.0
200210010203	芝	右	1200	曇	良	10:45	3歳新馬		2002-1-20	1	小倉	2	3歳新馬	牝(馬齢)	17	14420	17	17	2,870	17	16	210	2	5.0	840	11.0	8-8	2400	10	16-17	8,380	89.0	5-17	21,400	133.0	5-16	2,670	26.0														12.2 - 10.7 - 11.1 - 11.8 - 12.0 - 12.6	12.2 - 22.9 - 34.0 - 45.8 - 57.8 - 70.4 (12.2-12.2)	16-17	20510.0	57.0
200210010204	芝	右	1200	曇	良	11:15	3歳新馬		2002-1-20	1	小倉	2	3歳新馬	(混)(馬齢)	4	1070	3	4	400	5	12	450	7	1.0	170	2.0	3-7	9600	26	4-12	3,520	42.0	1-4	1,000	9.0	1-12	1,240	16.0														12.6 - 10.7 - 11.3 - 11.8 - 12.5 - 12.3	12.6 - 23.3 - 34.6 - 46.4 - 58.9 - 71.2 (12.6-12.6)	4-12	12850.0	42.0
200210010205	ダ	右	1000	曇	稍重	11:45	4歳以上500万下		2002-1-20	1	小倉	2	4歳以上500万下	(別定)	3	230	1	3	120	1	6	170	3	8.0	180	4.0	3-4	860	4	3-6	300	2.0	3-8	310	3.0	6-8	620	6.0														12.3 - 10.7 - 11.8 - 12.6 - 13.1	12.3 - 23.0 - 34.8 - 47.4 - 60.5 (12.3-12.3)	3-6	850.0	3.0
200210010206	ダ	右	1700	曇	稍重	12:45	4歳以上500万下		2002-1-20	1	小倉	2	4歳以上500万下	(別定)	9	290	2	9	120	1	1	470	6	4.0	220	4.0	1-5	2760	11	1-9	1,030	10.0	4-9	400	3.0	1-4	2,240	24.0														7.2 - 11.6 - 12.1 - 13.6 - 13.1 - 12.7 - 12.8 - 12.9 - 13.5	7.2 - 18.8 - 30.9 - 44.5 - 57.6 - 70.3 - 83.1 - 96.0 - 109.5 (7.2-7.2)	1-9	2510.0	9.0
200210010207	ダ	右	1700	曇	稍重	13:15	4歳以上500万下		2002-1-20	1	小倉	2	4歳以上500万下	(混)(別定)	4	980	6	4	250	5	13	240	3	11.0	230	2.0	3-7	2660	11	4-13	920	8.0	4-11	1,070	11.0	11-13	1,200	15.0														7.2 - 11.4 - 12.2 - 12.9 - 12.7 - 12.4 - 12.7 - 12.9 - 13.9	7.2 - 18.6 - 30.8 - 43.7 - 56.4 - 68.8 - 81.5 - 94.4 - 108.3 (7.2-7.2)	4-13	2230.0	7.0
200210010208	芝	右	1800	曇	良	13:45	4歳以上500万下		2002-1-20	1	小倉	2	4歳以上500万下	(混)(別定)	3	2080	7	3	370	5	6	740	13	8.0	130	1.0	2-3	6500	23	3-6	4,510	53.0	3-8	840	6.0	6-8	1,640	18.0														12.7 - 11.5 - 12.3 - 12.1 - 11.8 - 11.8 - 11.9 - 12.4 - 12.4	12.7 - 24.2 - 36.5 - 48.6 - 60.4 - 72.2 - 84.1 - 96.5 - 108.9 (12.7-12.7)	3-6	24040.0	63.0
200210010209	芝	右	1200	小雨	良	14:20	巌流島特別 		2002-1-20	1	小倉	2	4歳以上500万下	(混)(別定)	4	860	4	4	290	4	10	370	5	9.0	230	3.0	2-5	670	3	4-10	970	8.0	4-9	1,090	9.0	9-10	1,150	10.0														12.0 - 10.5 - 11.3 - 11.7 - 11.8 - 11.9	12.0 - 22.5 - 33.8 - 45.5 - 57.3 - 69.2 (12.0-12.0)	4-10	5410.0	17.0
200210010210	芝	右	1800	小雨	良	14:55	太宰府特別 		2002-1-20	1	小倉	2	4歳以上1000万下	(混)(別定)	5	1620	8	5	330	6	14	330	7	1.0	170	1.0	3-8	1930	7	5-14	2,130	30.0	1-5	810	5.0	1-14	930	8.0														12.5 - 11.6 - 12.9 - 12.3 - 11.9 - 11.9 - 11.8 - 12.2 - 12.4	12.5 - 24.1 - 37.0 - 49.3 - 61.2 - 73.1 - 84.9 - 97.1 - 109.5 (12.5-12.5)	5-14	6750.0	29.0
200210010301	ダ	右	1000	雨	重	09:55	3歳未勝利		2002-1-26	1	小倉	3	3歳未勝利	牝[指](馬齢)	9	310	1	9	160	3	11	380	5	10.0	140	2.0	6-7	290	1	9-11	1,090	14.0	9-10	370	2.0	10-11	940	11.0														12.2 - 10.8 - 12.1 - 12.5 - 12.9	12.2 - 23.0 - 35.1 - 47.6 - 60.5 (12.2-12.2)	9-11	3160.0	14.0
200210010302	芝	右	1200	雨	稍重	10:20	3歳未勝利		2002-1-26	1	小倉	3	3歳未勝利	(混)[指](馬齢)	3	200	1	3	120	1	12	220	3	16.0	710	8.0	2-6	670	2	3-12	370	2.0	3-16	1,460	13.0	12-16	2,690	29.0														12.1 - 10.6 - 11.3 - 11.7 - 12.5 - 12.9	12.1 - 22.7 - 34.0 - 45.7 - 58.2 - 71.1 (12.1-12.1)	3-12	940.0	2.0
200210010303	芝	右	1800	雨	稍重	10:45	3歳未勝利		2002-1-26	1	小倉	3	3歳未勝利	[指](馬齢)	9	230	1	9	110	1	3	580	7	10.0	220	4.0	2-5	760	2	3-9	1,180	11.0	9-10	390	2.0	3-10	4,600	50.0														12.7 - 11.9 - 12.2 - 12.4 - 12.3 - 12.6 - 12.8 - 13.1 - 12.2	12.7 - 24.6 - 36.8 - 49.2 - 61.5 - 74.1 - 86.9 - 100.0 - 112.2 (12.7-12.7)	3-9	4650.0	15.0
200210010304	芝	右	1200	雨	稍重	11:15	3歳新馬		2002-1-26	1	小倉	3	3歳新馬	[指](馬齢)	1	430	3	1	170	2	3	270	4	10.0	1,310	11.0	1-2	1180	5	1-3	680	5.0	1-10	2,460	23.0	3-10	5,070	40.0														12.3 - 11.0 - 11.4 - 11.8 - 12.5 - 13.0	12.3 - 23.3 - 34.7 - 46.5 - 59.0 - 72.0 (12.3-12.3)	1-3	1860.0	6.0
200210010305	ダ	右	1000	雨	不良	11:45	4歳以上500万下		2002-1-26	1	小倉	3	4歳以上500万下	牝[指](別定)	10	880	4	10	240	4	1	320	6	9.0	170	2.0	1-6	1260	4	1-10	1,040	12.0	9-10	580	4.0	1-9	620	5.0														12.2 - 11.1 - 11.7 - 12.6 - 13.7	12.2 - 23.3 - 35.0 - 47.6 - 61.3 (12.2-12.2)	1-10	3050.0	13.0
200210010306	ダ	右	1700	雨	不良	12:45	4歳以上500万下		2002-1-26	1	小倉	3	4歳以上500万下	[指](別定)	10	1170	5	10	410	5	1	730	7	4.0	210	4.0	1-6	11510	28	1-10	4,040	36.0	4-10	1,240	10.0	1-4	1,900	18.0														7.1 - 11.4 - 12.0 - 12.8 - 12.3 - 12.9 - 13.1 - 13.3 - 14.0	7.1 - 18.5 - 30.5 - 43.3 - 55.6 - 68.5 - 81.6 - 94.9 - 108.9 (7.1-7.1)	1-10	12250.0	30.0
200210010307	ダ	右	2400	雨	不良	13:15	4歳以上500万下		2002-1-26	1	小倉	3	4歳以上500万下	(混)[指](別定)	7	210	1	7	120	1	6	130	2	3.0	240	4.0	5-5	560	3	6-7	230	1.0	3-7	440	3.0	3-6	750	7.0														12.9 - 11.9 - 12.8 - 13.4 - 13.2 - 13.3 - 13.5 - 12.8 - 13.0 - 13.1 - 12.9 - 13.0	12.9 - 24.8 - 37.6 - 51.0 - 64.2 - 77.5 - 91.0 - 103.8 - 116.8 - 129.9 - 142.8 - 155.8 (12.9-12.9)	6-7	620.0	1.0
