	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200206010201	ダ	右	1800	曇	良	10:00	3歳新馬		2002-2-24	1	中山	2	3歳新馬	[指](馬齢)	9	3540	6	9	570	6	2	150	2	5.0	390	4.0	2-8	2840	9	2-9	3730.0	10.0	2-9	1,050	11.0	5-9	3,690	24.0	2-5	630	6.0					13.4 - 12.6 - 13.2 - 13.4 - 13.3 - 12.5 - 12.4 - 13.1 - 13.3	13.4 - 26.0 - 39.2 - 52.6 - 65.9 - 78.4 - 90.8 - 103.9 - 117.2 (13.4-13.4)									
200206010202	ダ	右	1800	曇	良	10:25	3歳新馬		2002-2-24	1	中山	2	3歳新馬	(混)[指](馬齢)	2	150	1	2	110	1	7	620	7	1.0	180	3.0	2-7	3760	10	2-7	3560.0	9.0	2-7	1,020	12.0	1-2	270	2.0	1-7	2,760	21.0					12.9 - 11.9 - 12.7 - 12.7 - 12.8 - 13.2 - 13.6 - 13.7 - 13.9	12.9 - 24.8 - 37.5 - 50.2 - 63.0 - 76.2 - 89.8 - 103.5 - 117.4 (12.9-12.9)									
200206010203	ダ	右	1800	曇	良	10:55	3歳未勝利		2002-2-24	1	中山	2	3歳未勝利	牝[指](馬齢)	3	1060	6	3	350	6	4	230	4	1.0	450	7.0	2-2	3430	13	3-4	3130.0	15.0	3-4	1,030	14.0	1-3	1,740	24.0	1-4	1,380	20.0					12.8 - 11.6 - 12.9 - 13.8 - 13.7 - 13.3 - 13.4 - 13.0 - 12.9	12.8 - 24.4 - 37.3 - 51.1 - 64.8 - 78.1 - 91.5 - 104.5 - 117.4 (12.8-12.8)									
200206010204	ダ	右	1200	曇	良	11:30	3歳未勝利		2002-2-24	1	中山	2	3歳未勝利	[指](馬齢)	6	220	1	6	110	1	1	160	3	4.0	130	2.0	1-3	690	2	1-6	780.0	2.0	1-6	300	2.0	4-6	190	1.0	1-4	420	4.0					12.0 - 10.7 - 11.3 - 12.3 - 13.1 - 13.9	12.0 - 22.7 - 34.0 - 46.3 - 59.4 - 73.3 (12.0-12.0)									
200206010205	ダ	右	1200	晴	良	11:55	3歳新馬		2002-2-24	1	中山	2	3歳新馬	牝[指](馬齢)	2	750	4	2	170	3	7	140	2	3.0	120	1.0	1-4	670	3	2-7	1350.0	5.0	2-7	520	5.0	2-3	410	3.0	3-7	270	1.0					12.6 - 10.7 - 11.6 - 12.5 - 12.7 - 13.4	12.6 - 23.3 - 34.9 - 47.4 - 60.1 - 73.5 (12.6-12.6)									
200206010206	芝	右	1200	晴	良	12:50	3歳新馬		2002-2-24	1	中山	2	3歳新馬	(混)[指](馬齢)	10	450	2	10	190	2	1	530	6	9.0	530	7.0	1-5	770	4	1-10	4350.0	19.0	1-10	1,430	15.0	9-10	1,000	9.0	1-9	3,560	37.0					12.3 - 10.8 - 11.5 - 11.4 - 11.6 - 12.6	12.3 - 23.1 - 34.6 - 46.0 - 57.6 - 70.2 (12.3-12.3)									
200206010207	芝	右	2000	晴	良	13:20	3歳未勝利		2002-2-24	1	中山	2	3歳未勝利	(混)[指](馬齢)	6	140	1	6	110	1	7	450	6	15.0	180	3.0	3-4	960	4	6-7	1640.0	6.0	6-7	800	8.0	6-15	310	2.0	7-15	1,430	15.0					12.4 - 10.9 - 11.8 - 12.8 - 12.6 - 12.3 - 12.6 - 12.2 - 12.3 - 12.4	12.4 - 23.3 - 35.1 - 47.9 - 60.5 - 72.8 - 85.4 - 97.6 - 109.9 - 122.3 (12.4-12.4)									
200206010208	ダ	右	1200	晴	良	13:50	4歳以上500万下		2002-2-24	1	中山	2	4歳以上500万下	(混)[指](別定)	9	360	1	9	150	1	16	230	5	11.0	170	2.0	5-8	650	2	9-16	1980.0	7.0	9-16	860	10.0	9-11	400	2.0	11-16	940	12.0					12.3 - 10.6 - 11.4 - 12.2 - 12.5 - 13.3	12.3 - 22.9 - 34.3 - 46.5 - 59.0 - 72.3 (12.3-12.3)									
200206010209	芝	右	1200	晴	良	14:25	きんせんか賞 		2002-2-24	1	中山	2	3歳500万下	(混)(特指)(馬齢)	16	230	1	16	130	1	5	270	5	10.0	320	6.0	3-8	650	2	5-16	1490.0	5.0	5-16	690	6.0	10-16	610	5.0	5-10	1,500	19.0					12.0 - 10.4 - 10.9 - 11.4 - 11.6 - 12.0	12.0 - 22.4 - 33.3 - 44.7 - 56.3 - 68.3 (12.0-12.0)									
200206010210	ダ	右	1800	晴	良	15:00	鎌ケ谷特別 		2002-2-24	1	中山	2	4歳以上1000万下	(混)[指](ハンデ)	6	540	2	6	170	2	8	660	10	2.0	320	3.0	3-4	2250	10	6-8	7900.0	25.0	6-8	2,200	25.0	2-6	660	4.0	2-8	3,690	40.0					12.8 - 12.1 - 13.1 - 13.5 - 12.6 - 12.4 - 12.3 - 12.5 - 13.0	12.8 - 24.9 - 38.0 - 51.5 - 64.1 - 76.5 - 88.8 - 101.3 - 114.3 (12.8-12.8)									
