	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気
200204010203	芝	左	1200	曇	良	10:45	3歳未出走		2002-4-21	1	新潟	2	3歳未出走	(馬齢)	11	340	1	11	150	1	16	240	4	6.0	900	11.0	6-8	770	3	11-16	1050.0	4.0	11-16	550	4.0	6-11	1,900	23.0	6-16	3,880	42.0					12.4 - 10.9 - 11.6 - 11.6 - 11.5 - 11.7	12.4 - 23.3 - 34.9 - 46.5 - 58.0 - 69.7 (12.4-12.4)						
200204010204	ダ	左	1200	曇	良	11:15	3歳未勝利		2002-4-21	1	新潟	2	3歳未勝利	(混)(馬齢)	13	330	1	13	140	1	7	150	2	2.0	170	4.0	5-8	650	1	7-13	790.0	1.0	7-13	360	1.0	2-13	480	7.0	2-7	450	6.0					12.4 - 11.0 - 11.4 - 12.5 - 12.5 - 13.6	12.4 - 23.4 - 34.8 - 47.3 - 59.8 - 73.4 (12.4-12.4)						
200204010205	芝	左	1800	曇	良	11:45	3歳未勝利		2002-4-21	1	新潟	2	3歳未勝利	(馬齢)	7	260	1	7	110	1	6	180	2	14.0	200	3.0	3-4	580	2	6-7	690.0	1.0	6-7	360	1.0	7-14	610	5.0	6-14	1,220	16.0					12.6 - 11.1 - 11.8 - 12.4 - 12.3 - 12.2 - 11.6 - 11.3 - 12.0	12.6 - 23.7 - 35.5 - 47.9 - 60.2 - 72.4 - 84.0 - 95.3 - 107.3 (12.6-12.6)						
200204010206	芝	左	1200	曇	良	12:45	3歳未勝利		2002-4-21	1	新潟	2	3歳未勝利	(混)(馬齢)	9	1660	5	9	380	5	7	120	1	15.0	470	6.0	4-5	1280	4	7-9	1560.0	5.0	7-9	700	5.0	9-15	3,290	34.0	7-15	690	4.0					12.3 - 10.5 - 11.8 - 11.2 - 12.0 - 12.5	12.3 - 22.8 - 34.6 - 45.8 - 57.8 - 70.3 (12.3-12.3)						
200204010207	芝	左	1600	曇	良	13:15	4歳以上500万下		2002-4-21	1	新潟	2	4歳以上500万下	牝(別定)	2	320	1	2	150	1	12	500	9	7.0	490	8.0	1-6	570	1	2-12	2450.0	7.0	2-12	1,090	8.0	2-7	1,570	15.0	7-12	5,280	66.0					12.5 - 11.1 - 11.3 - 11.8 - 11.9 - 12.2 - 11.0 - 12.6	12.5 - 23.6 - 34.9 - 46.7 - 58.6 - 70.8 - 81.8 - 94.4 (12.5-12.5)						
200204010208	芝	直	1000	曇	良	13:45	4歳以上500万下		2002-4-21	1	新潟	2	4歳以上500万下	(混)(別定)	8	730	3	8	230	2	13	250	3	16.0	320	5.0	4-7	1100	5	8-13	2250.0	6.0	8-13	750	6.0	8-16	810	8.0	13-16	870	9.0					12.0 - 10.2 - 10.7 - 10.9 - 12.1	12.0 - 22.2 - 32.9 - 43.8 - 55.9 (12.0-12.0)						
200204010209	ダ	左	1800	曇	良	14:20	三条特別 		2002-4-21	1	新潟	2	4歳以上500万下	(混)(別定)	12	130	1	12	110	1	4	260	5	1.0	240	4.0	3-7	340	2	4-12	770.0	3.0	4-12	390	3.0	1-12	400	4.0	1-4	1,050	12.0					12.8 - 11.4 - 12.6 - 12.9 - 12.7 - 12.7 - 13.1 - 12.8 - 13.4	12.8 - 24.2 - 36.8 - 49.7 - 62.4 - 75.1 - 88.2 - 101.0 - 114.4 (12.8-12.8)						
200204010210	芝	左	1800	曇	良	14:55	中ノ岳特別 		2002-4-21	1	新潟	2	4歳以上500万下	(混)(別定)	7	270	1	7	130	1	10	350	6	5.0	220	4.0	4-5	2730	11	7-10	2930.0	10.0	7-10	970	8.0	5-7	430	3.0	5-10	2,110	27.0					12.7 - 11.2 - 11.3 - 11.9 - 12.1 - 12.2 - 11.6 - 11.4 - 12.0	12.7 - 23.9 - 35.2 - 47.1 - 59.2 - 71.4 - 83.0 - 94.4 - 106.4 (12.7-12.7)						
200204010211	芝	直	1000	曇	良	15:30	駿風ステークス 		2002-4-21	1	新潟	2	4歳以上オープン	(混)(ハンデ)	12	720	3	12	260	4	6	260	5	10.0	340	6.0	5-8	1410	7	6-12	3080.0	14.0	6-12	1,120	15.0	10-12	1,350	23.0	6-10	1,650	33.0					11.9 - 10.1 - 10.7 - 10.5 - 11.6	11.9 - 22.0 - 32.7 - 43.2 - 54.8 (11.9-11.9)						
200204010301	ダ	左	1200	晴	良	09:55	3歳未出走		2002-4-27	1	新潟	3	3歳未出走	[指](馬齢)	11	640	4	11	230	3	7	980	9	6.0	440	7.0	5-7	4800	14	7-11	11880.0	32.0	7-11	2,890	30.0	6-11	1,840	24.0	6-7	6,420	52.0					12.3 - 11.1 - 11.7 - 13.1 - 12.0 - 13.0	12.3 - 23.4 - 35.1 - 48.2 - 60.2 - 73.2 (12.3-12.3)						
