	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気
200204010501	芝	左	1600	晴	良	09:55	3歳未出走		2002-5-3	1	新潟	5	3歳未出走	(混)[指](馬齢)	10	960	3	10	180	3	2	160	2	8.0	100	1.0	1-5	2080	8	2-10	2860.0	10.0	2-10	670	6.0	8-10	320	3.0	2-8	250	1.0					12.7 - 10.8 - 11.4 - 11.8 - 12.6 - 12.1 - 11.1 - 12.8	12.7 - 23.5 - 34.9 - 46.7 - 59.3 - 71.4 - 82.5 - 95.3 (12.7-12.7)						
200204010502	ダ	左	1800	晴	良	10:20	3歳未勝利		2002-5-3	1	新潟	5	3歳未勝利	牝[指](馬齢)	10	260	2	10	120	2	3	100	1	2.0	280	7.0	3-8	220	1	3-10	270.0	1.0	3-10	140	1.0	2-10	560	11.0	2-3	480	8.0					13.0 - 11.5 - 13.4 - 13.9 - 13.3 - 13.1 - 13.2 - 12.8 - 12.8	13.0 - 24.5 - 37.9 - 51.8 - 65.1 - 78.2 - 91.4 - 104.2 - 117.0 (13.0-13.0)						
200204010503	芝	左	2400	晴	良	10:45	3歳未勝利		2002-5-3	1	新潟	5	3歳未勝利	(混)[指](馬齢)	4	2290	7	4	560	6	7	160	3	8.0	640	7.0	4-6	4140	15	4-7	4190.0	13.0	4-7	1,340	14.0	4-8	3,810	36.0	7-8	1,010	11.0					12.5 - 10.6 - 10.9 - 11.6 - 12.6 - 13.2 - 13.3 - 13.3 - 13.2 - 12.4 - 12.3 - 12.9	12.5 - 23.1 - 34.0 - 45.6 - 58.2 - 71.4 - 84.7 - 98.0 - 111.2 - 123.6 - 135.9 - 148.8 (12.5-12.5)						
200204010504	ダ	左	1200	晴	良	11:15	3歳未勝利		2002-5-3	1	新潟	5	3歳未勝利	[指](馬齢)	12	140	1	12	100	1	14	190	4	4.0	130	2.0	7-8	420	2	12-14	880.0	3.0	12-14	320	3.0	4-12	170	1.0	4-14	510	7.0					12.6 - 11.2 - 11.8 - 12.6 - 12.2 - 13.0	12.6 - 23.8 - 35.6 - 48.2 - 60.4 - 73.4 (12.6-12.6)						
200204010505	芝	直	1000	晴	良	11:45	3歳未勝利		2002-5-3	1	新潟	5	3歳未勝利	(混)[指](馬齢)	9	580	2	9	190	2	13	220	5	10.0	130	1.0	5-7	630	3	9-13	2400.0	9.0	9-13	860	9.0	9-10	340	1.0	10-13	450	4.0					12.3 - 10.5 - 11.3 - 10.2 - 12.0	12.3 - 22.8 - 34.1 - 44.3 - 56.3 (12.3-12.3)						
200204010506	ダ	左	1200	晴	良	12:45	4歳以上500万下		2002-5-3	1	新潟	5	4歳以上500万下	牝[指](別定)	9	190	1	9	120	1	2	170	3	10.0	990	12.0	2-6	550	2	2-9	580.0	2.0	2-9	280	2.0	9-10	2,240	25.0	2-10	6,210	52.0					12.3 - 10.8 - 11.7 - 12.7 - 12.4 - 12.4	12.3 - 23.1 - 34.8 - 47.5 - 59.9 - 72.3 (12.3-12.3)						
200204010507	ダ	左	1800	晴	良	13:15	4歳以上500万下		2002-5-3	1	新潟	5	4歳以上500万下	[指](別定)	2	1290	7	2	610	7	9	220	4	11.0	3,190	14.0	2-6	2900	10	2-9	3060.0	11.0	2-9	1,030	10.0	2-11	9,580	64.0	9-11	2,720	30.0					12.7 - 11.7 - 13.2 - 13.9 - 12.9 - 12.5 - 12.6 - 12.6 - 13.3	12.7 - 24.4 - 37.6 - 51.5 - 64.4 - 76.9 - 89.5 - 102.1 - 115.4 (12.7-12.7)						
200204010508	芝	左	2000	晴	良	13:50	4歳以上500万下		2002-5-3	1	新潟	5	4歳以上500万下	牝[指](別定)	3	260	1	3	120	1	12	170	2	4.0	180	3.0	2-6	400	1	3-12	990.0	2.0	3-12	370	2.0	3-4	370	1.0	4-12	640	4.0					12.7 - 11.6 - 11.7 - 12.0 - 12.6 - 12.4 - 12.2 - 11.8 - 11.1 - 12.3	12.7 - 24.3 - 36.0 - 48.0 - 60.6 - 73.0 - 85.2 - 97.0 - 108.1 - 120.4 (12.7-12.7)						
200204010509	芝	左	2000	晴	良	14:25	こけもも賞 		2002-5-3	1	新潟	5	3歳500万下	(混)(特指)(馬齢)	10	490	3	10	160	4	6	150	3	5.0	130	1.0	6-8	1150	6	6-10	1430.0	7.0	6-10	430	6.0	5-10	280	2.0	5-6	320	3.0					13.4 - 11.9 - 12.5 - 12.8 - 13.0 - 13.1 - 12.2 - 11.0 - 10.4 - 12.1	13.4 - 25.3 - 37.8 - 50.6 - 63.6 - 76.7 - 88.9 - 99.9 - 110.3 - 122.4 (13.4-13.4)						
200204010510	芝	直	1000	晴	良	14:55	飛竜特別 		2002-5-3	1	新潟	5	4歳以上500万下	(混)[指](別定)	15	6420	12	15	1,150	10	11	300	6	16.0	130	1.0	6-8	1070	4	11-15	29110.0	53.0	11-15	4,880	41.0	15-16	2,310	27.0	11-16	500	4.0					12.3 - 10.2 - 10.5 - 10.4 - 12.2	12.3 - 22.5 - 33.0 - 43.4 - 55.6 (12.3-12.3)						
200204010511	ダ	左	1800	晴	良	15:30	白馬岳特別 		2002-5-3	1	新潟	5	4歳以上1000万下	(混)[指](ハンデ)	7	470	1	7	200	2	13	330	7	1.0	250	4.0	5-8	2410	12	7-13	3590.0	17.0	7-13	1,380	18.0	1-7	780	3.0	1-13	1,550	24.0					12.8 - 11.3 - 12.7 - 13.3 - 12.6 - 12.1 - 12.6 - 12.8 - 12.8	12.8 - 24.1 - 36.8 - 50.1 - 62.7 - 74.8 - 87.4 - 100.2 - 113.0 (12.8-12.8)						
200204010512	芝	左	1200	晴	良	16:10	4歳以上500万下		2002-5-3	1	新潟	5	4歳以上500万下	[指](別定)	2	460	2	2	160	1	3	290	5	13.0	260	4.0	2-2	1790	8	2-3	1820.0	5.0	2-3	710	4.0	2-13	960	11.0	3-13	1,150	13.0					12.4 - 11.1 - 11.6 - 11.7 - 11.9 - 11.4	12.4 - 23.5 - 35.1 - 46.8 - 58.7 - 70.1 (12.4-12.4)						
200204010601	芝	左	1800	小雨	良	09:55	3歳未出走		2002-5-4	1	新潟	6	3歳未出走	牝(馬齢)	12	380	2	12	140	1	16	150	2	14.0	450	8.0	6-8	460	1	12-16	520.0	1.0	12-16	260	1.0	12-14	1,090	13.0	14-16	1,150	15.0					12.9 - 11.4 - 11.9 - 13.1 - 13.9 - 13.6 - 11.8 - 10.8 - 12.2	12.9 - 24.3 - 36.2 - 49.3 - 63.2 - 76.8 - 88.6 - 99.4 - 111.6 (12.9-12.9)						
200204010602	ダ	左	1200	小雨	良	10:20	3歳未出走		2002-5-4	1	新潟	6	3歳未出走	(馬齢)	13	220	1	13	130	1	5	270	6	10.0	170	2.0	4-8	1090	5	5-13	1570.0	5.0	5-13	660	6.0	10-13	340	2.0	5-10	990	11.0					12.4 - 10.7 - 11.8 - 12.8 - 13.1 - 13.3	12.4 - 23.1 - 34.9 - 47.7 - 60.8 - 74.1 (12.4-12.4)						
200204010603	ダ	左	1800	小雨	良	10:45	3歳未勝利		2002-5-4	1	新潟	6	3歳未勝利	(馬齢)	10	150	1	10	100	1	8	100	2	3.0	160	3.0	7-8	160	1	8-10	180.0	1.0	8-10	120	1.0	3-10	260	2.0	3-8	350	5.0					12.9 - 11.2 - 12.7 - 13.3 - 12.9 - 12.9 - 13.3 - 13.4 - 14.2	12.9 - 24.1 - 36.8 - 50.1 - 63.0 - 75.9 - 89.2 - 102.6 - 116.8 (12.9-12.9)						
200204010604	ダ	左	1200	曇	良	11:10	3歳未勝利		2002-5-4	1	新潟	6	3歳未勝利	(混)(馬齢)	13	190	1	13	110	1	8	210	4	4.0	220	5.0	5-8	460	2	8-13	880.0	4.0	8-13	380	2.0	4-13	400	4.0	4-8	920	10.0					12.6 - 10.9 - 11.8 - 12.5 - 12.8 - 13.4	12.6 - 23.5 - 35.3 - 47.8 - 60.6 - 74.0 (12.6-12.6)						
200204010605	芝	左	1800	曇	良	11:35	3歳未勝利		2002-5-4	1	新潟	6	3歳未勝利	(馬齢)	12	1510	7	12	460	8	9	130	1	4.0	180	2.0	7-8	920	4	9-12	2210.0	10.0	9-12	840	10.0	4-12	1,590	22.0	4-9	300	2.0					13.2 - 11.8 - 12.4 - 12.8 - 13.0 - 12.4 - 11.7 - 11.0 - 11.9	13.2 - 25.0 - 37.4 - 50.2 - 63.2 - 75.6 - 87.3 - 98.3 - 110.2 (13.2-13.2)						
200204010606	芝	左	1400	小雨	良	12:35	3歳未勝利		2002-5-4	1	新潟	6	3歳未勝利	(馬齢)	11	710	5	11	270	5	5	170	2	14.0	870	10.0	3-6	1270	6	5-11	1670.0	7.0	5-11	760	7.0	11-14	7,520	63.0	5-14	2,920	28.0					12.4 - 10.8 - 11.4 - 12.0 - 12.1 - 12.2 - 12.4	12.4 - 23.2 - 34.6 - 46.6 - 58.7 - 70.9 - 83.3 (12.4-12.4)						
200204010607	ダ	左	1200	小雨	良	13:05	4歳以上500万下		2002-5-4	1	新潟	6	4歳以上500万下	(混)(別定)	14	710	3	14	270	3	7	310	4	4.0	360	6.0	5-8	1350	5	7-14	2960.0	11.0	7-14	930	10.0	4-14	1,220	16.0	4-7	1,150	11.0					12.3 - 10.9 - 11.6 - 12.3 - 12.8 - 13.0	12.3 - 23.2 - 34.8 - 47.1 - 59.9 - 72.9 (12.3-12.3)						
200204010608	芝	左	1800	小雨	良	13:35	4歳以上500万下		2002-5-4	1	新潟	6	4歳以上500万下	(別定)	15	300	1	15	130	2	4	120	1	1.0	250	4.0	2-8	440	1	4-15	500.0	1.0	4-15	220	1.0	1-15	640	5.0	1-4	610	4.0					12.6 - 11.0 - 11.5 - 11.7 - 11.6 - 12.1 - 12.1 - 11.8 - 12.3	12.6 - 23.6 - 35.1 - 46.8 - 58.4 - 70.5 - 82.6 - 94.4 - 106.7 (12.6-12.6)						
200204010609	ダ	左	1800	小雨	良	14:10	清津峡特別 		2002-5-4	1	新潟	6	4歳以上500万下	(混)(別定)	2	330	1	2	170	1	12	450	8	10.0	240	4.0	2-7	4110	15	2-12	4500.0	19.0	2-12	1,530	20.0	2-10	700	7.0	10-12	2,350	32.0					12.8 - 11.1 - 12.4 - 13.1 - 12.6 - 12.5 - 12.9 - 13.1 - 13.1	12.8 - 23.9 - 36.3 - 49.4 - 62.0 - 74.5 - 87.4 - 100.5 - 113.6 (12.8-12.8)						
200204010610	芝	左	2200	小雨	良	14:45	胎内川特別 		2002-5-4	1	新潟	6	4歳以上500万下	(混)(別定)	15	1210	5	15	330	4	7	1,750	14	8.0	550	7.0	4-8	2160	8	7-15	29220.0	65.0	7-15	6,600	64.0	8-15	2,780	28.0	7-8	11,050	89.0					12.9 - 11.0 - 11.4 - 12.7 - 13.1 - 13.1 - 12.7 - 12.7 - 12.0 - 12.2 - 12.0	12.9 - 23.9 - 35.3 - 48.0 - 61.1 - 74.2 - 86.9 - 99.6 - 111.6 - 123.8 - 135.8 (12.9-12.9)						
200204010611	芝	直	1000	雨	良	15:25	邁進特別 		2002-5-4	1	新潟	6	4歳以上1000万下	(混)(別定)	11	170	1	11	120	1	13	340	6	14.0	670	14.0	6-7	860	3	11-13	1410.0	6.0	11-13	650	4.0	11-14	1,430	12.0	13-14	4,010	49.0					12.0 - 10.2 - 10.7 - 11.1 - 12.4	12.0 - 22.2 - 32.9 - 44.0 - 56.4 (12.0-12.0)						
200204010701	ダ	左	1800	曇	重	09:55	3歳未出走		2002-5-11	1	新潟	7	3歳未出走	(混)(馬齢)	2	4740	8	2	530	8	8	110	1	13.0	220	4.0	2-5	2050	9	2-8	2140.0	7.0	2-8	990	10.0	2-13	2,330	24.0	8-13	270	3.0					13.0 - 11.2 - 12.9 - 13.5 - 13.2 - 12.7 - 13.2 - 13.4 - 13.4	13.0 - 24.2 - 37.1 - 50.6 - 63.8 - 76.5 - 89.7 - 103.1 - 116.5 (13.0-13.0)						
200204010702	芝	直	1000	曇	稍重	10:20	3歳未出走		2002-5-11	1	新潟	7	3歳未出走	(馬齢)	13	3170	9	13	1,310	11	4	160	1	8.0	4,800	16.0	2-7	730	2	4-13	5890.0	21.0	4-13	2,330	27.0	8-13	22,260	101.0	4-8	5,120	46.0					12.6 - 10.7 - 10.8 - 10.8 - 12.0	12.6 - 23.3 - 34.1 - 44.9 - 56.9 (12.6-12.6)						
200204010703	ダ	左	1200	曇	重	10:45	3歳未勝利		2002-5-11	1	新潟	7	3歳未勝利	(馬齢)	2	200	1	2	100	1	7	210	4	6.0	130	2.0	2-5	550	2	2-7	1020.0	3.0	2-7	400	4.0	2-6	180	1.0	6-7	720	9.0					12.3 - 10.7 - 11.6 - 12.6 - 12.5 - 13.4	12.3 - 23.0 - 34.6 - 47.2 - 59.7 - 73.1 (12.3-12.3)						
200204010704	芝	左	1800	曇	稍重	11:15	3歳未勝利		2002-5-11	1	新潟	7	3歳未勝利	(父)(馬齢)	6	1190	7	6	330	4	7	230	3	11.0	970	13.0	4-5	610	2	6-7	2520.0	9.0	6-7	1,040	12.0	6-11	3,960	51.0	7-11	2,310	26.0					12.7 - 11.5 - 12.1 - 12.4 - 12.4 - 12.4 - 12.0 - 11.2 - 13.0	12.7 - 24.2 - 36.3 - 48.7 - 61.1 - 73.5 - 85.5 - 96.7 - 109.7 (12.7-12.7)						
200204010705	ダ	左	1800	曇	重	11:45	3歳未勝利		2002-5-11	1	新潟	7	3歳未勝利	(混)(馬齢)	9	440	1	9	140	1	13	170	3	7.0	160	2.0	6-8	880	4	9-13	970.0	1.0	9-13	440	2.0	7-9	480	4.0	7-13	510	5.0					13.1 - 11.1 - 12.5 - 13.6 - 12.9 - 12.7 - 13.4 - 12.7 - 13.3	13.1 - 24.2 - 36.7 - 50.3 - 63.2 - 75.9 - 89.3 - 102.0 - 115.3 (13.1-13.1)						
200204010706	芝	左	1200	小雨	稍重	12:45	3歳未勝利		2002-5-11	1	新潟	7	3歳未勝利	牝(馬齢)	3	570	4	3	190	3	10	140	2	5.0	130	1.0	2-5	1140	3	3-10	1950.0	5.0	3-10	590	3.0	3-5	300	1.0	5-10	360	2.0					12.4 - 10.9 - 11.9 - 11.9 - 12.1 - 12.0	12.4 - 23.3 - 35.2 - 47.1 - 59.2 - 71.2 (12.4-12.4)						
200204010707	芝	左	2400	小雨	稍重	13:15	4歳以上500万下		2002-5-11	1	新潟	7	4歳以上500万下	(混)(別定)	8	2920	8	8	690	8	2	150	2	4.0	230	4.0	1-4	810	4	2-8	4140.0	12.0	2-8	1,600	15.0	4-8	2,660	24.0	2-4	440	4.0					12.4 - 11.4 - 11.4 - 11.9 - 12.5 - 12.6 - 13.1 - 12.9 - 13.0 - 12.2 - 12.5 - 12.5	12.4 - 23.8 - 35.2 - 47.1 - 59.6 - 72.2 - 85.3 - 98.2 - 111.2 - 123.4 - 135.9 - 148.4 (12.4-12.4)						
200204010708	ダ	左	1800	小雨	重	13:50	4歳以上500万下		2002-5-11	1	新潟	7	4歳以上500万下	牝(別定)	11	340	2	11	140	1	13	280	6	6.0	240	5.0	7-8	1350	6	11-13	1760.0	9.0	11-13	630	8.0	6-11	590	5.0	6-13	1,280	16.0					12.9 - 11.5 - 12.9 - 13.3 - 12.8 - 12.4 - 13.0 - 12.3 - 12.7	12.9 - 24.4 - 37.3 - 50.6 - 63.4 - 75.8 - 88.8 - 101.1 - 113.8 (12.9-12.9)						
200204010709	芝	左	2000	小雨	稍重	14:25	糸魚川特別 		2002-5-11	1	新潟	7	4歳以上500万下	(混)(別定)	16	240	1	16	130	1	13	220	3	2.0	440	8.0	7-8	350	1	13-16	1140.0	3.0	13-16	520	3.0	2-16	1,230	12.0	2-13	2,570	32.0					12.9 - 11.6 - 11.7 - 12.1 - 12.6 - 12.7 - 12.5 - 12.2 - 10.4 - 12.4	12.9 - 24.5 - 36.2 - 48.3 - 60.9 - 73.6 - 86.1 - 98.3 - 108.7 - 121.1 (12.9-12.9)						
200204010710	芝	左	1200	曇	稍重	14:55	六日町特別 		2002-5-11	1	新潟	7	4歳以上500万下	(混)(別定)	3	460	1	3	130	1	14	290	5	1.0	460	8.0	2-7	570	1	3-14	1980.0	7.0	3-14	710	7.0	1-3	1,420	14.0	1-14	2,200	26.0					12.6 - 10.6 - 11.3 - 11.3 - 11.8 - 12.8	12.6 - 23.2 - 34.5 - 45.8 - 57.6 - 70.4 (12.6-12.6)						
200204010711	芝	左	2000	曇	稍重	15:30	赤倉特別 		2002-5-11	1	新潟	7	4歳以上1000万下	(混)(別定)	9	1280	7	9	420	8	10	150	1	14.0	300	5.0	5-6	2210	12	9-10	2730.0	10.0	9-10	1,030	10.0	9-14	2,740	33.0	10-14	650	4.0					12.5 - 10.7 - 11.5 - 12.1 - 12.5 - 12.6 - 12.3 - 12.0 - 10.6 - 12.6	12.5 - 23.2 - 34.7 - 46.8 - 59.3 - 71.9 - 84.2 - 96.2 - 106.8 - 119.4 (12.5-12.5)						
200204010712	芝	直	1000	曇	稍重	16:10	4歳以上500万下		2002-5-11	1	新潟	7	4歳以上500万下	(別定)	16	330	1	16	160	2	14	790	15	7.0	140	1.0	7-8	2130	11	14-16	8240.0	29.0	14-16	2,700	34.0	7-16	260	1.0	7-14	2,900	38.0					12.1 - 10.3 - 11.0 - 10.4 - 12.3	12.1 - 22.4 - 33.4 - 43.8 - 56.1 (12.1-12.1)						
200204010801	芝	左	2000	小雨	稍重	09:55	3歳未出走		2002-5-12	1	新潟	8	3歳未出走	(混)[指](馬齢)	9	8860	14	9	2,520	13	12	540	5	7.0	570	7.0	5-7	8970	25	9-12	80090.0	79.0	9-12	16,300	84.0	7-9	13,740	78.0	7-12	3,090	31.0					12.9 - 11.4 - 12.5 - 13.5 - 13.5 - 13.1 - 13.1 - 12.3 - 12.3 - 12.1	12.9 - 24.3 - 36.8 - 50.3 - 63.8 - 76.9 - 90.0 - 102.3 - 114.6 - 126.7 (12.9-12.9)						
200204010802	ダ	左	1800	小雨	稍重	10:20	3歳未勝利		2002-5-12	1	新潟	8	3歳未勝利	[指](馬齢)	7	1350	5	7	280	5	9	170	3	10.0	200	4.0	6-7	1500	7	7-9	1870.0	8.0	7-9	680	8.0	7-10	1,110	12.0	9-10	500	5.0					12.9 - 11.1 - 12.8 - 13.1 - 12.6 - 12.8 - 13.4 - 12.9 - 13.4	12.9 - 24.0 - 36.8 - 49.9 - 62.5 - 75.3 - 88.7 - 101.6 - 115.0 (12.9-12.9)						
200204010803	芝	左	2000	小雨	稍重	10:45	3歳未勝利		2002-5-12	1	新潟	8	3歳未勝利	(混)[指](馬齢)	10	1490	8	10	590	8	7	360	4	2.0	2,900	11.0	6-7	4700	12	7-10	9260.0	27.0	7-10	1,860	24.0	2-10	11,550	53.0	2-7	8,460	45.0					12.9 - 11.3 - 12.5 - 13.0 - 13.0 - 13.0 - 12.6 - 12.2 - 12.2 - 12.4	12.9 - 24.2 - 36.7 - 49.7 - 62.7 - 75.7 - 88.3 - 100.5 - 112.7 - 125.1 (12.9-12.9)						
200204010804	芝	左	1600	小雨	稍重	11:20	3歳未勝利		2002-5-12	1	新潟	8	3歳未勝利	(混)[指](馬齢)	12	380	1	12	180	1	13	510	10	6.0	340	6.0	6-7	770	3	12-13	3150.0	14.0	12-13	1,240	16.0	6-12	700	5.0	6-13	3,460	38.0					12.7 - 11.1 - 11.9 - 12.5 - 12.4 - 11.8 - 11.2 - 13.0	12.7 - 23.8 - 35.7 - 48.2 - 60.6 - 72.4 - 83.6 - 96.6 (12.7-12.7)						
200204010805	芝	直	1000	曇	稍重	11:45	3歳未勝利		2002-5-12	1	新潟	8	3歳未勝利	[指](馬齢)	8	4310	11	8	850	11	1	220	1	15.0	530	9.0	1-4	1840	9	1-8	7250.0	27.0	1-8	2,410	29.0	8-15	7,300	70.0	1-15	2,110	24.0					12.4 - 10.6 - 11.3 - 10.4 - 12.3	12.4 - 23.0 - 34.3 - 44.7 - 57.0 (12.4-12.4)						
200204010806	ダ	左	1800	曇	稍重	12:45	4歳以上500万下		2002-5-12	1	新潟	8	4歳以上500万下	(混)[指](別定)	10	230	1	10	120	1	13	220	4	11.0	150	2.0	6-8	690	3	10-13	900.0	3.0	10-13	380	3.0	10-11	260	1.0	11-13	760	8.0					12.9 - 11.3 - 12.8 - 13.1 - 12.5 - 12.6 - 12.8 - 12.5 - 12.8	12.9 - 24.2 - 37.0 - 50.1 - 62.6 - 75.2 - 88.0 - 100.5 - 113.3 (12.9-12.9)						
200204010807	ダ	左	1200	曇	稍重	13:15	4歳以上500万下		2002-5-12	1	新潟	8	4歳以上500万下	(混)[指](別定)	5	2310	8	5	1,060	11	12	470	6	1.0	250	4.0	4-7	9000	28	5-12	29090.0	58.0	5-12	7,650	60.0	1-5	4,170	44.0	1-12	1,660	22.0					12.4 - 10.7 - 11.3 - 12.5 - 12.1 - 12.4	12.4 - 23.1 - 34.4 - 46.9 - 59.0 - 71.4 (12.4-12.4)						
200204010808	芝	左	1400	曇	稍重	13:45	4歳以上500万下		2002-5-12	1	新潟	8	4歳以上500万下	牝[指](別定)	2	2020	8	2	390	6	10	180	1	1.0	500	9.0	1-5	960	4	2-10	3900.0	16.0	2-10	1,580	17.0	1-2	3,440	34.0	1-10	2,060	24.0					12.2 - 10.7 - 11.1 - 12.0 - 11.9 - 12.6 - 12.6	12.2 - 22.9 - 34.0 - 46.0 - 57.9 - 70.5 - 83.1 (12.2-12.2)						
200204010809	ダ	左	1800	曇	稍重	14:20	わらび賞 		2002-5-12	1	新潟	8	3歳500万下	(混)(特指)(馬齢)	8	300	1	8	130	1	11	270	6	4.0	160	2.0	5-7	720	4	8-11	1830.0	8.0	8-11	660	9.0	4-8	320	2.0	4-11	890	14.0					12.9 - 11.3 - 12.7 - 13.3 - 12.7 - 12.8 - 12.9 - 12.6 - 13.2	12.9 - 24.2 - 36.9 - 50.2 - 62.9 - 75.7 - 88.6 - 101.2 - 114.4 (12.9-12.9)						
200204010810	芝	左	1600	曇	稍重	14:55	松浜特別 		2002-5-12	1	新潟	8	4歳以上500万下	(混)[指](別定)	4	450	2	4	200	2	9	190	1	16.0	250	5.0	2-5	1780	7	4-9	1760.0	4.0	4-9	690	3.0	4-16	1,010	10.0	9-16	780	4.0					12.6 - 11.0 - 11.6 - 11.8 - 12.0 - 12.2 - 11.0 - 12.8	12.6 - 23.6 - 35.2 - 47.0 - 59.0 - 71.2 - 82.2 - 95.0 (12.6-12.6)						
200204010811	芝	左	2000	曇	稍重	15:30	新潟大賞典	G3	2002-5-12	1	新潟	8	4歳以上オープン	[指](ハンデ)	9	1430	6	9	450	10	10	360	4	4.0	200	2.0	5-5	8690	31	9-10	8720.0	40.0	9-10	2,730	46.0	4-9	1,570	15.0	4-10	950	5.0					12.3 - 11.2 - 11.7 - 12.1 - 12.3 - 12.3 - 11.9 - 11.4 - 10.9 - 12.7	12.3 - 23.5 - 35.2 - 47.3 - 59.6 - 71.9 - 83.8 - 95.2 - 106.1 - 118.8 (12.3-12.3)						
200204010812	芝	左	1800	曇	稍重	16:10	4歳以上500万下		2002-5-12	1	新潟	8	4歳以上500万下	[指](別定)	2	1340	7	2	470	8	10	270	5	12.0	160	1.0	2-6	6260	21	2-10	6780.0	28.0	2-10	2,140	28.0	2-12	1,010	12.0	10-12	530	4.0					12.9 - 11.5 - 11.8 - 12.2 - 12.1 - 12.1 - 12.1 - 11.2 - 12.0	12.9 - 24.4 - 36.2 - 48.4 - 60.5 - 72.6 - 84.7 - 95.9 - 107.9 (12.9-12.9)						
200204020101	芝	直	1000	晴	良	10:00	3歳未勝利		2002-7-13	2	新潟	1	3歳未勝利	[指](馬齢)	5	1630	7	5	500	7	3	170	1	4.0	250	4.0	2-3	710	2	3-5	3390.0	16.0	3-5	1,160	14.0	4-5	2,490	29.0	3-4	770	7.0					12.1 - 10.3 - 10.5 - 10.9 - 12.3	12.1 - 22.4 - 32.9 - 43.8 - 56.1 (32.9-33.7)	5=>3	8370.0	35.0	3-4-5	9790.0	28.0
200204020102	ダ	左	1200	晴	良	10:25	3歳未勝利		2002-7-13	2	新潟	1	3歳未勝利	(混)[指](馬齢)	2	1370	4	2	280	4	3	840	8	1.0	100	1.0	2-3	9370	19	2-3	21200.0	30.0	2-3	4,180	29.0	1-2	420	4.0	1-3	1,550	13.0			(*5,11)7(3,10)-4,1(2,6)12,9,14-(8,13)	(*5,11)(3,7)10-(4,1,6)2-(14,9,12)(8,13)	12.1 - 11.0 - 11.5 - 12.5 - 12.9 - 13.6	12.1 - 23.1 - 34.6 - 47.1 - 60.0 - 73.6 (34.6-39.0)	2=>3	40740.0	56.0	1-2-3	6200.0	18.0
200204020103	芝	左	1800	晴	良	10:50	3歳未勝利		2002-7-13	2	新潟	1	3歳未勝利	牝[指](馬齢)	16	2080	5	16	540	7	8	120	1	5.0	210	3.0	4-8	1690	6	8-16	2990.0	10.0	8-16	1,140	10.0	5-16	3,030	29.0	5-8	410	2.0			14(7,15)-12-(13,4,16)-5,17,2,8-18-3,11,1(6,9)10	14(7,15)-12-16(4,5)17(2,8)13,18-(3,11)1(10,6)9	12.4 - 10.9 - 10.9 - 11.7 - 11.9 - 12.2 - 12.0 - 11.4 - 12.1	12.4 - 23.3 - 34.2 - 45.9 - 57.8 - 70.0 - 82.0 - 93.4 - 105.5 (34.2-35.5)	16=>8	9870.0	31.0	5-8-16	7670.0	19.0
200204020104	ダ	左	1800	晴	良	11:20	3歳未勝利		2002-7-13	2	新潟	1	3歳未勝利	[指](馬齢)	1	520	3	1	210	5	3	330	6	2.0	190	2.0	1-3	850	3	1-3	2850.0	13.0	1-3	1,170	15.0	1-2	760	11.0	2-3	910	13.0	11-9-6,13(4,5,10)8(1,3)-(2,7)-(12,14)	11-9=6(4,13,10)5(1,3,8)-(2,7)-(12,14)	11-9=6(13,3)4(5,10,2)1-8,12-(7,14)	11,9=(6,3)2(4,13)(1,5)-10,12,8-(7,14)	12.7 - 11.2 - 12.0 - 12.5 - 12.8 - 13.2 - 13.8 - 14.1 - 14.0	12.7 - 23.9 - 35.9 - 48.4 - 61.2 - 74.4 - 88.2 - 102.3 - 116.3 (35.9-41.9)	1=>3	5070.0	23.0	1-2-3	3980.0	14.0
200204020105	障		2850	晴	良	11:50	障害3歳以上未勝利		2002-7-13	2	新潟	1	障害3歳以上未勝利	(馬齢)	5	1400	5	5	400	5	12	160	2	10.0	1,010	10.0	5-8	460	2	5-12	2510.0	10.0	5-12	1,030	11.0	5-10	6,130	43.0	10-12	2,600	29.0	6,10(5,12)4,11(3,8)7(2,1)-9	6-10,12(5,4)-(8,11)-3,1(2,7)-9	6=(10,12)5,4=(8,11)=3=9,2-1-7	6=(10,12)-5-4-8,11=3-9-2-1-7			5=>12	6800.0	26.0	5-10-12	37440.0	81.0
