	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200201010101	ダ	右	1700	曇	重	09:55	3歳未勝利		2002-8-10	1	札幌	1	3歳未勝利	牝[指](馬齢)	4	180	1	4	110	1	6	230	5	2	120	2	4-5	770	3	4-6	1040.0	3.0	4-6	410	4.0	2-4	130	1.0	2-6	610	7.0	4=>6	1450	3	2-4-6	990	1	13(6,10)(4,12)(9,11)(3,8)(2,7)1,5	13(6,10)(4,12)9(3,11)7,8,2,1,5	(*13,6)10(4,12)(3,9)(7,11,2)-(8,1)=5	(*13,6)4,10-2,9,12,3(7,11)1=8,5	7.0 - 11.4 - 12.4 - 13.0 - 13.0 - 12.4 - 12.5 - 12.9 - 13.0	7.0 - 18.4 - 30.8 - 43.8 - 56.8 - 69.2 - 81.7 - 94.6 - 107.6 (30.8-38.4)
200201010102	ダ	右	1000	曇	重	10:20	3歳未勝利		2002-8-10	1	札幌	1	3歳未勝利	[指](馬齢)	11	1230	5	11	440	5	2	240	4	3	770	6	2-8	950	4	2-11	4160.0	11.0	2-11	1,240	10.0	3-11	4,480	32.0	2-3	2,890	22.0	11=>2	10780	25	2-3-11	35950	70			11(5,12)-(2,10)-(6,8)(1,9)3-4,7	11(5,12)-(2,10)-1(8,9)3,6,4-7	12.5 - 10.7 - 11.5 - 12.0 - 13.2	12.5 - 23.2 - 34.7 - 46.7 - 59.9 (34.7-36.7)
200201010103	ダ	右	1700	曇	重	10:45	3歳未勝利		2002-8-10	1	札幌	1	3歳未勝利	[指](馬齢)	11	510	2	11	180	2	7	150	1	1	220	4	5-7	590	1	7-11	1040.0	1.0	7-11	430	2.0	1-11	950	10.0	1-7	590	4.0	11=>7	2190	3	1-7-11	2980	3	10(11,13)(2,7)(5,8)(1,12)3,9(4,6)	10(11,13)(2,7)(5,8)(1,12)3-9-(4,6)	(*10,11)(2,7,13)8(1,5)(9,3)12=6-4	(10,*11,7)-(2,1)(5,13,8)9=3(6,12)=4	6.7 - 11.9 - 12.1 - 12.0 - 12.5 - 12.6 - 12.9 - 13.0 - 13.0	6.7 - 18.6 - 30.7 - 42.7 - 55.2 - 67.8 - 80.7 - 93.7 - 106.7 (30.7-38.9)
200201010104	芝	右	1000	曇	稍重	11:15	2歳新馬		2002-8-10	1	札幌	1	2歳新馬	[指](馬齢)	13	750	3	13	220	4	5	210	3	1	540	7	4-8	2230	7	5-13	2140.0	7.0	5-13	600	5.0	1-13	2,100	21.0	1-5	1,890	17.0	13=>5	4650	16	1-5-13	10330	31			(1,*10)(3,13)(2,5)(7,8)-4(9,11)-6=12	(*1,10)13,3,5-2(7,8)(4,11)9-6=12	12.5 - 10.7 - 11.1 - 11.9 - 11.5	12.5 - 23.2 - 34.3 - 46.2 - 57.7 (34.3-34.5)
200201010105	芝	右	1800	曇	稍重	12:15	2歳新馬		2002-8-10	1	札幌	1	2歳新馬	(混)[指](馬齢)	1	4230	9	1	860	9	9	150	1	14	730	8	1-6	5640	19	1-9	5380.0	17.0	1-9	2,090	19.0	1-14	7,450	49.0	9-14	1,680	12.0	1=>9	17450	46	1-9-14	30130	69	(10,*4,9)11(1,6,13)(12,14)5,7,3,2,8	4,9(10,11)(6,13)(1,12,14)(5,7)3,2,8	(*4,9,13)(10,14,3)(1,6,11,12,7)(5,8)2	(*4,9)(13,3)1(10,14)11(12,7)-(8,6,2)5	12.5 - 12.2 - 13.1 - 13.1 - 13.3 - 12.4 - 12.2 - 12.5 - 12.3	12.5 - 24.7 - 37.8 - 50.9 - 64.2 - 76.6 - 88.8 - 101.3 - 113.6 (37.8-37.0)
200201010106	芝	右	2000	曇	稍重	12:45	3歳未勝利		2002-8-10	1	札幌	1	3歳未勝利	(混)[指](馬齢)	3	270	1	3	140	1	6	210	4	9	210	3	2-4	570	1	3-6	1230.0	2.0	3-6	490	2.0	3-9	550	4.0	6-9	690	7.0	3=>6	1850	2	3-6-9	2530	3	(6,*9)15(2,7,13)10(11,12)(4,8,14)3-(1,5)	(6,*9)(7,15)(12,13)(2,10)(11,8,14)(4,3)5,1	9(6,15)(12,13,3)(7,14)10(2,11)(8,5)4,1	(*9,3)(6,15)(12,14)(7,10,5)(2,13,11,1)(4,8)	13.2 - 11.2 - 11.9 - 12.4 - 12.3 - 12.5 - 12.2 - 12.4 - 12.4 - 12.4	13.2 - 24.4 - 36.3 - 48.7 - 61.0 - 73.5 - 85.7 - 98.1 - 110.5 - 122.9 (36.3-37.2)
200201010107	ダ	右	1000	曇	重	13:15	3歳以上500万下		2002-8-10	1	札幌	1	3歳以上500万下	(特指)(別定)	3	360	2	3	150	2	8	130	1	7	340	7	3-6	540	1	3-8	660.0	1.0	3-8	230	1.0	3-7	680	9.0	7-8	820	10.0	3=>8	1170	2	3-7-8	2720	6			(2,*8)7,12,3(5,9,11)-10(4,6)-1	8,2(3,7)12(4,5)(10,9,11)6,1	12.4 - 10.7 - 11.4 - 12.3 - 12.5	12.4 - 23.1 - 34.5 - 46.8 - 59.3 (34.5-36.2)
200201010108	ダ	右	1700	曇	重	13:45	3歳以上500万下		2002-8-10	1	札幌	1	3歳以上500万下	[指](別定)	10	3480	10	10	520	7	5	120	1	7	410	5	4-7	770	3	5-10	2040.0	8.0	5-10	830	7.0	7-10	4,470	42.0	5-7	680	5.0	10=>5	6700	19	5-7-10	8650	27	2,5(1,4,12)(8,11)10-7,3-(6,13) 9	2,5(1,12,8)(4,11)10-7,3,13,6 9	2(1,5,8)(4,12,11)10-(3,7,13)6 9	(*2,10)(1,5,11)(4,12)8(3,7,13)6 9	6.7 - 11.4 - 12.5 - 12.8 - 12.7 - 12.2 - 12.8 - 12.6 - 13.1	6.7 - 18.1 - 30.6 - 43.4 - 56.1 - 68.3 - 81.1 - 93.7 - 106.8 (30.6-38.5)
200201010109	芝	右	2600	曇	良	14:20	3歳以上500万下		2002-8-10	1	札幌	1	3歳以上500万下	(混)(特指)(別定)	10	1250	4	10	260	4	6	150	2	4	2,220	12	4-6	320	1	6-10	1570.0	6.0	6-10	570	5.0	4-10	15,590	65.0	4-6	6,780	48.0	10=>6	4000	14	4-6-10	48050	104	13,14(9,12)(7,11)(5,10)3,2(4,1)-6 8	13,14(9,12)(11,10)7,5(3,2,1)4,6 8	13(14,12)9(10,5)(7,11,6)1,2(3,4) 8	13(14,12,10)(9,5)(7,6,1)(3,2,4)-11 8	13.1 - 12.4 - 13.2 - 13.2 - 12.0 - 13.2 - 13.6 - 13.7 - 13.3 - 12.1 - 11.9 - 12.1 - 11.7	13.1 - 25.5 - 38.7 - 51.9 - 63.9 - 77.1 - 90.7 - 104.4 - 117.7 - 129.8 - 141.7 - 153.8 - 165.5 (38.7-35.7)
200201010110	芝	右	1500	曇	良	14:55	手稲山特別 		2002-8-10	1	札幌	1	3歳以上500万下	(混)[指](別定)	12	1090	5	12	360	7	9	280	5	6	190	3	7-8	890	5	9-12	5330.0	22.0	9-12	1,730	27.0	6-12	890	12.0	6-9	530	4.0	12=>9	10350	44	6-9-12	7430	27		11(5,8,12)(4,7,9)(1,2,6,10)-3	11,12(5,7,9)8(2,6,10)4,1-3	11,12(5,7,9)8,6(4,2,10)1-3	6.8 - 11.6 - 11.7 - 12.2 - 12.1 - 11.8 - 12.0 - 11.8	6.8 - 18.4 - 30.1 - 42.3 - 54.4 - 66.2 - 78.2 - 90.0 (30.1-35.6)
