日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/11	晴	11	16	7	13	15.8	6	7	56.0	良	1:49.1	2.9	11-11-11-10	31.7-37.4	39.0	大井	202244031111	ふたご座特別競走	movie.html?race_id=202244031111	00817	ダ	1700	504	7	0.0
2022/02/08	晴	10	16	5	10	5.4	3	4	57.0	良	1:49.3	0.3	5-5-5-5	32.1-38.4	38.4	大井	202244020810	はと座特別競走	movie.html?race_id=202244020810	05404	ダ	1700	497	0	30.0
2022/01/28	曇	10	16	4	8	4.0	1	3	57.0	良	1:50.0	0.2	5-5-5-4	32.3-38.8	38.4	大井	202244012810	おおいぬ座特別競走	movie.html?race_id=202244012810	05342	ダ	1700	497	-6	50.0
2021/12/27	晴	10	15	3	6	32.3	9	2	56.0	稍	1:49.8	1.1	5-4-4-4	32.4-39.0	39.5	大井	202144122710	SPAT4賞競走	movie.html?race_id=202144122710	05342	ダ	1700	503	11	80.0
2021/09/21	晴	10	11	3	3	4.5	3	7	56.0	良	1:49.2	1.7	5-5-5-6	31.9-38.8	39.7	大井	202144092110	こうま座特別競走	movie.html?race_id=202144092110	00817	ダ	1700	492	3	0.0
2021/09/09	曇	8	13	4	5	7.2	4	1	56.0	不	1:43.9	-0.1	5-3-5-3	37.6-40.5	40.4	大井	202144090908	2016ウマイルスク	movie.html?race_id=202144090908	00817	ダ	1600	489	-7	120.0
2021/08/18	晴	7	12	4	4	5.3	2	3	56.0	不	1:42.7	0.3	5-5-6-5	36.9-40.2	40.0	大井	202144081807	琉球新報賞	movie.html?race_id=202144081807	00817	ダ	1600	496	2	30.0
2021/08/03	晴	8	13	4	4	8.7	4	4	56.0	稍	1:42.9	1.3	11-12-12-12	37.7-38.8	39.2	大井	202144080308	C1七　八	movie.html?race_id=202144080308	05342	ダ	1600	494	5	18.0
2021/07/13	曇	7	7	7	7	2.6	1	2	56.0	重	1:42.8	0.5	2-2-2-2	38.0-38.8	39.2	大井	202144071307	C1八　九十	movie.html?race_id=202144071307	05342	ダ	1600	489	-14	48.0
2021/06/30	曇	7	11	7	8	9.4	5	6	56.0	重	1:43.3	1.2	5-6-5-5	37.8-40.0	40.4	大井	202144063007	C1四　五六	movie.html?race_id=202144063007	05342	ダ	1600	503	9	0.0
2021/06/10	晴	7	14	1	1	8.4	4	8	56.0	良	1:42.9	0.4	12-11-10-9	36.6-40.7	39.9	大井	202144061007	C1四　五	movie.html?race_id=202144061007	05342	ダ	1600	494	-3	0.0
2021/02/18	晴	8	13	8	14	13.9	4	6	56.0	稍	1:42.6	0.8	9-10-8-7	36.3-39.3	39.6	大井	202144021808	C1四　五	movie.html?race_id=202144021808	05299	ダ	1600	497	-4	0.0
