rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	11		ルージュルミナス	牝3	54.0		和田竜二	1:26.5		5-4	39.2	5.5	4	440	2		平田修		東京ホースレーシング	520.0
2	7	10		アルマイメル	牡3	56.0		富田暁	1:26.5	ハナ	1-1	39.7	3.6	1	470	0		武英智		ケーエスＨＤ	210.0
3	4	4		ハルキファイト	牝3	54.0		岩田康誠	1:26.7	1.1/2	2-2	39.8	120.5	11	462	0		浅見秀一		若草クラブ	130.0
4	5	6		トランキリテ	牡3	56.0		岩田望来	1:26.7	アタマ	8-9	39.0	22.7	7	452	0		松永幹夫		キャロットファーム	78.0
5	6	9		クロニクルノヴァ	牡3	56.0		鮫島克駿	1:26.9	3/4	2-2	39.9	4.6	3	480	6		武幸四郎		ＤＭＭドリームクラブ	52.0
6	4	5		ワンリオン	牡3	56.0		福永祐一	1:27.2	1.1/2	7-7	39.6	4.2	2	492	-2		牧浦充徳		河村祥史	
7	2	2		ロードアライアンス	牡3	56.0		藤岡康太	1:27.2	クビ	6-6	39.9	16.3	6	422	2		野中賢二		ロードホースクラブ	
7	3	3		パワータイショウ	牡3	56.0		藤井勘一	1:27.2	同着	8-9	39.6	39.5	9	496	14		村山明		西村新一郎	
9	6	8		コスモルージュ	牡3	56.0		国分優作	1:27.2	アタマ	8-9	39.6	131.7	12	466	4		五十嵐忠		ビッグレッドファーム	
10	8	12		クロガネ	牡3	52.0		古川奈穂	1:27.3	クビ	11-7	39.5	46.4	10	478	2		寺島良		石川達絵	
11	1	1		ノアヴァンクール	牝3	54.0		酒井学	1:27.3	クビ	2-4	40.2	25.1	8	460	-8		清水久詞		槙和美	
12	5	7		ハニーズスマイル	牝3	54.0		団野大成	1:27.4	アタマ	12-12	39.0	202.6	13	426	-10		中川公成		高橋明裕	
13	8	13		エイブルマン	牡3	56.0		幸英明	1:28.1	4.0	13-13	39.2	7.4	5	468	4		森田直行		田畑利彦	
