rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	7		ビヘーヴ	牡7	56.0		村松翔太	1:30.3		2-2-3-3	38.6	14.7	5	467	-5		柳井宏之		瀬戸年美	34.0
2	5	5		ドンゲイボルグ	牡6	56.0		真島正徳	1:30.4	1/2	6-6-5-5	38.2	6.4	2	474	-3		真島元徳		（株）ドン	10.2
3	8	8		タッチスプリント	牝5	54.0		小松丈二	1:30.4	ハナ	4-4-2-1	38.6	11.2	4	429	1		東眞市		酒井孝敏	3.4
4	4	4		イノセントワールド	牝6	54.0		川島拓	1:30.8	2.0	5-5-6-6	38.7	7.0	3	453	3		土井道隆		（同）ＪＰＮ技研	2.0
5	1	1		レッドゼルク	牡6	56.0		山口勲	1:30.9	3/4	3-3-4-4	39.1	1.4	1	490	0		山田徹		瀬戸竜男	1.4
6	6	6		リュウドカズマ	牡4	56.0		山下裕貴	1:31.3	2.0	1-1-1-2	39.9	18.6	6	483	2		九日俊光		（同）ＪＰＮ技研	
7	2	2		ドナペリドット	牝5	54.0		倉富隆一	1:31.3	クビ	7-7-7-7	38.9	23.1	7	482	9		山田義人		成富直行	
8	3	3		ガラハッド	セ8	56.0		田中直人	1:32.0	4.0	8-8-8-8	38.5	49.5	8	454	-5		井樋明正		組）成駿	
