rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	3	3		キョウエイダブリン	牝4	54.0		佐原秀泰	1:27.3		1-1-1-1	41.9	13.4	6	447	-3		宮川浩一		坂田行夫	30.0
2	2	2		リュウノビーナス	牝5	53.0		塚本雄大	1:27.5	1.0	4-3-4-2	41.8	7.0	4	427	-1		国澤輝幸		東北建設企画（株）	10.5
3	5	5		カミノヤタガラス	牝4	51.0		妹尾将充	1:27.5	クビ	12-12-12-4	40.9	13.3	5	435	0		西山裕貴		上岡和男	6.0
4	8	12		ファンアンビシャス	牡4	56.0		上田将司	1:27.5	ハナ	9-9-5-3	41.7	14.8	8	463	4		国澤輝幸		角山喜信	4.5
5	8	11		ルビーエメラルド	牝12	54.0		林謙佑	1:28.0	2.1/2	11-11-9-8	41.6	5.0	3	515	-1		田中譲二		西田數子	3.0
6	4	4		ダブルディライト	セ5	56.0		石本純也	1:28.2	3/4	6-6-7-7	42.1	28.2	11	480	0		田中伸一		木村益生	
7	7	10		サヴォアフェール	牝4	54.0		東川公則	1:28.5	1.1/2	3-4-3-6	42.9	14.3	7	418	-2		別府真司		小池保則	
8	7	9		ノーブルブラック	牝6	50.0		濱尚美	1:28.5	クビ	5-5-8-9	42.3	18.3	10	462	-5		那俄性哲		岩元俊徳	
9	5	6		ミコノホマレ	牝3	54.0		山崎雅由	1:29.3	4.0	2-2-2-5	43.8	4.3	1	512	-5		田中守		片山敦	
10	6	8		マタタビニャンニャ	牝7	54.0		郷間勇太	1:29.5	3/4	10-10-11-12	43.0	17.9	9	435	-3		平和人		酒井孝敏	
11	1	1		ダラットパレス	牝11	54.0		大澤誠志	1:29.6	1/2	7-7-10-11	43.2	31.8	12	418	-2		胡本友晴		柴原栄	
12	6	7		サンオーガスタ	牝4	54.0		岡村卓弥	1:30.2	3.0	8-8-6-10	44.3	4.6	2	437	3		川野勇馬		神岡賢太郎	
