	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201804010201	ダ	左	1800	晴	良	09:50	3歳未勝利		2018-4-29	1	新潟	2	3歳未勝利	[指](馬齢)	7	1910	6	7	910	3	3	1,270	7	9.0	640	2.0	2-4	980.0	5.0	3-7	11840	25	3-7	1,920	20	7-9	1,140	10	3-9	1,480	16	7=>3	24400	47	3-7-9	26200	59	7=>3=>9	199450	373	7-(9,3)(1,2,10)13,8-14,12,6(4,15)5-11	7(9,3)(1,10)2(8,13)-14(12,6)-4(5,15)-11	7,3-(9,2)13(1,10)14(8,6)12,4(5,11,15)	7,3,2,9-1,13(8,10)14(12,6)4,11(5,15)	12.7 - 11.5 - 13.1 - 13.7 - 12.4 - 12.1 - 13.0 - 12.9 - 13.2	12.7 - 24.2 - 37.3 - 51.0 - 63.4 - 75.5 - 88.5 - 101.4 - 114.6 (37.3-39.1)
201804010202	ダ	左	1200	晴	良	10:15	3歳未勝利		2018-4-29	1	新潟	2	3歳未勝利	牝[指](馬齢)	6	250	1	6	130	1	3	1,890	12	10.0	200	4.0	2-4	480.0	1.0	3-6	10500	27	3-6	3,200	29	6-10	450	3	3-10	3,220	30	6=>3	21730	55	3-6-10	21430	55	6=>3=>10	104360	280			1,7(3,9)(13,15)(4,11)6,2(8,12,10)-14-5	1(3,7)9,13,4,11(6,15)(2,10)8(14,12)-5	12.1 - 10.8 - 11.5 - 12.5 - 12.6 - 13.2	12.1 - 22.9 - 34.4 - 46.9 - 59.5 - 72.7 (34.4-38.3)
201804010203	ダ	左	1800	晴	良	10:45	3歳未勝利		2018-4-29	1	新潟	2	3歳未勝利	見習騎手(馬齢)	13	7410	9	13	1,620	9	7	290	4	15.0	510	7.0	4-7	14420.0	28.0	7-13	29280	45	7-13	7,060	41	13-15	9,600	51	7-15	2,930	26	13=>7	74480	99	7-13-15	131930	183	13=>7=>15	789050	962	7(8,13)(6,2,12,15)10,5(1,14)3,9(4,11)	7,13(8,15)(2,10)(6,12)(5,14)1(3,9)4,11	7-(15,13,9)-(2,10)14,4(8,1,11)5(6,12,3)	7(15,13,9)-(2,10)-14,1,4(5,11)8,3,6,12	12.8 - 12.3 - 14.1 - 14.4 - 13.2 - 11.7 - 12.9 - 12.4 - 12.8	12.8 - 25.1 - 39.2 - 53.6 - 66.8 - 78.5 - 91.4 - 103.8 - 116.6 (39.2-38.1)
201804010204	障		2890	晴	良	11:15	障害4歳以上未勝利		2018-4-29	1	新潟	2	障害4歳以上未勝利	(定量)	7	280	1	7	130	1	1	150	3	5.0	130	2.0	1-7	970.0	3.0	1-7	970	4	1-7	340	3	5-7	230	1	1-5	270	2	7=>1	1640	4	1-5-7	960	1	7=>1=>5	4880	7	7,6-5,10-1,9-2,8-(3,4)	7-6,5,10(1,9)2-(4,8)-3	7-1-5=9(6,10)4,2(3,8)	7-1-5=9-10=(6,4)(3,8)2		
201804010205	芝	左	1800	晴	良	12:05	3歳未勝利		2018-4-29	1	新潟	2	3歳未勝利	[指](馬齢)	14	190	1	14	110	1	9	140	2	12.0	180	4.0	5-8	340.0	1.0	9-14	450	1	9-14	200	1	12-14	390	4	9-12	560	6	14=>9	700	1	9-12-14	1120	2	14=>9=>12	3270	2			13(14,15)(3,4)(6,12)(2,11,10)(5,9)1,7,8	13(14,15)(3,4,12)(2,6,10,9)(11,1)(5,7)8	12.7 - 11.4 - 12.0 - 12.8 - 12.7 - 12.5 - 11.5 - 10.6 - 11.7	12.7 - 24.1 - 36.1 - 48.9 - 61.6 - 74.1 - 85.6 - 96.2 - 107.9 (36.1-33.8)
201804010206	ダ	左	1200	晴	良	12:35	3歳未勝利		2018-4-29	1	新潟	2	3歳未勝利	(混)[指](馬齢)	8	180	1	8	110	1	7	200	5	6.0	200	4.0	4-5	340.0	1.0	7-8	750	3	7-8	320	3	6-8	280	2	6-7	600	6	8=>7	1070	2	6-7-8	1210	1	8=>7=>6	4030	1			7,8,15,2,1,5-(9,13)6,11,4(3,10)=14=12	7,8,15,2,5,1-6(9,13)4,11,3-10-14=12	12.1 - 11.3 - 11.4 - 12.3 - 12.1 - 12.9	12.1 - 23.4 - 34.8 - 47.1 - 59.2 - 72.1 (34.8-37.3)
201804010301	障		2890	曇	稍重	09:50	障害4歳以上未勝利		2018-5-5	1	新潟	3	障害4歳以上未勝利	(混)(定量)	8	430	2	8	160	2	5	180	3	4.0	770	8.0	4-5	300.0	1.0	5-8	1060	4	5-8	430	4	4-8	2,620	27	4-5	2,530	26	8=>5	1960	7	4-5-8	12830	35	8=>5=>4	45300	122	8-(4,14)12(1,9)(6,7,3)5-11,13(10,2)	8-(4,14)12(1,9)3,6(5,7)-11-13(10,2)	8(12,9)-4-(1,6)5(14,3)=11,7-(10,13)=2	8(12,9)-(4,6)1(5,3)-14-11-(7,10,13)=2		
201804010302	ダ	左	1800	晴	重	10:25	3歳未勝利		2018-5-5	1	新潟	3	3歳未勝利	牝[指](馬齢)	15	810	3	15	170	3	1	110	1	7.0	230	6.0	1-8	540.0	2.0	1-15	570	2	1-15	270	2	7-15	950	13	1-7	370	4	15=>1	1730	7	1-7-15	1540	7	15=>1=>7	12090	35	14,7(4,2,15)(1,10)5(3,8)13,9(6,12)-11	14,7,4(2,15)(1,10)(3,5)8(6,12)13-9,11	(*14,7)-15(4,10)2,1(6,12)5(3,8)13-(11,9)	7,14,15(4,10)2,1,12(5,6)8,3(11,13)-9	13.0 - 11.6 - 12.8 - 12.9 - 12.6 - 12.7 - 13.4 - 13.6 - 13.8	13.0 - 24.6 - 37.4 - 50.3 - 62.9 - 75.6 - 89.0 - 102.6 - 116.4 (37.4-40.8)
201804010303	ダ	左	1200	晴	重	10:55	3歳未勝利		2018-5-5	1	新潟	3	3歳未勝利	[指](馬齢)	10	3840	9	10	900	9	14	470	7	6.0	220	3.0	6-8	10550.0	23.0	10-14	20720	43	10-14	4,480	40	6-10	1,690	20	6-14	1,010	11	10=>14	53470	89	6-10-14	24860	68	10=>14=>6	241490	513			(*14,6)10(1,7,11)9(8,13)(2,12)5,3=(4,15)	14(6,10)(1,7,11)9,8,13(2,12)5-3=(4,15)	11.8 - 10.9 - 11.4 - 12.4 - 12.1 - 13.2	11.8 - 22.7 - 34.1 - 46.5 - 58.6 - 71.8 (34.1-37.7)
201804010304	障		3290	晴	稍重	11:25	障害4歳以上オープン		2018-5-5	1	新潟	3	障害4歳以上オープン	(混)(別定)	8	650	4	8	210	2	9	340	7	13.0	420	8.0	6-6	3210.0	16.0	8-9	2930	13	8-9	940	13	8-13	1,520	25	9-13	1,280	19	8=>9	5570	25	8-9-13	13490	55	8=>9=>13	73340	299	8=11-5,7(2,9,6)13(4,12)-(10,3)1	8-11,5(7,6)9(13,12)2,4,3-10-1	8=11,5,6,12,4-(7,9)13,3,2=1,10	8=(11,5)12(6,4)-9,13(7,3)2=1=10		
