	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201801010101	芝	右	1800	晴	良	09:55	2歳未勝利		2018-7-28	1	札幌	1	2歳未勝利	(混)[指](馬齢)	1	110	1	1	100	1	6	130	2	1-6	180	1	1-6	110	1	1-3	110	2	3-6	150	3	1=>6	210	1	1-3-6	160	1	1=>6=>3	330	1	1-6-3-4-5,2	1-6-3-4-(5,2)	1,6-3-(4,2)-5	1,6,3,4-2,5	13.1 - 12.3 - 12.4 - 12.5 - 12.3 - 12.3 - 12.3 - 11.4 - 11.5	13.1 - 25.4 - 37.8 - 50.3 - 62.6 - 74.9 - 87.2 - 98.6 - 110.1 (37.8-35.2)						
201801010102	ダ	右	1000	晴	良	10:20	3歳未勝利		2018-7-28	1	札幌	1	3歳未勝利	牝[指](馬齢)	3	210	1	3	110	1	7	110	2	3-7	420	1	3-7	190	1	3-5	1,960	24	5-7	2,320	27	3=>7	700	1	3-5-7	5950	23	3=>7=>5	17950	56			(*5,7,12)2(4,8)(1,3)11,6,9,10	(*5,7)12-2(4,8)3-(1,9)11(6,10)	12.7 - 11.1 - 11.5 - 11.9 - 12.7	12.7 - 23.8 - 35.3 - 47.2 - 59.9 (35.3-36.1)	5.0	770.0	10.0	3-6	310.0	1.0
201801010103	ダ	右	2400	晴	良	10:45	3歳未勝利		2018-7-28	1	札幌	1	3歳未勝利	(混)[指](馬齢)	3	330	1	3	190	3	1	610	7	1-3	3050	13	1-3	1,000	12	3-7	690	8	1-7	2,950	32	3=>1	4720	19	1-3-7	9860	40	3=>1=>7	37840	137	1,2(3,6)5-(7,10)4,8-9	(*1,2)(3,6)5-(7,10)-4,8,9	(1,*5,7)3(2,6,10)-(9,4)-8	(1,*5)(3,7)-2,10-(6,4)9=8	13.2 - 12.5 - 13.0 - 13.0 - 13.2 - 13.5 - 13.5 - 13.3 - 12.5 - 12.7 - 12.8 - 13.3	13.2 - 25.7 - 38.7 - 51.7 - 64.9 - 78.4 - 91.9 - 105.2 - 117.7 - 130.4 - 143.2 - 156.5 (38.7-38.8)	7.0	310.0	5.0	1-3	3620.0	14.0
201801010104	ダ	右	1700	晴	良	11:15	3歳未勝利		2018-7-28	1	札幌	1	3歳未勝利	[指](馬齢)	14	430	2	14	170	3	7	130	1	7-14	510	1	7-14	250	1	8-14	1,260	15	7-8	530	5	14=>7	1270	4	7-8-14	2480	6	14=>7=>8	12600	26	(*1,2,10)14(5,13)-4,11(9,7,12)8-3-6	1,2,10(5,14)-13-4,11,7,12-8(9,3)=6	1(2,10)3(5,7,14)13(11,12)(8,4)=6-9	10(1,7)3(2,14)-(5,12)(13,8,11)4,6-9	6.8 - 10.7 - 11.7 - 12.9 - 13.2 - 13.0 - 12.9 - 13.2 - 12.9	6.8 - 17.5 - 29.2 - 42.1 - 55.3 - 68.3 - 81.2 - 94.4 - 107.3 (29.2-39.0)	8.0	360.0	7.0	5-8	410.0	1.0
201801010105	芝	右	1500	晴	良	12:05	2歳新馬		2018-7-28	1	札幌	1	2歳新馬	(混)[指](馬齢)	13	520	2	13	120	2	10	110	1	10-13	380	1	10-13	170	2	5-13	280	3	5-10	170	1	13=>10	980	3	5-10-13	470	1	13=>10=>5	3200	4		(*1,6)(8,9)(2,5)(4,11,10)13,12=3=7	1(6,8)2(5,11,9,10)4(12,13)3=7	1(6,8)10(2,5,13)11(4,12)(3,9)=7	7.1 - 12.0 - 12.4 - 12.4 - 12.4 - 12.0 - 11.5 - 12.0	7.1 - 19.1 - 31.5 - 43.9 - 56.3 - 68.3 - 79.8 - 91.8 (31.5-35.5)	5.0	120.0	3.0	7-8	320.0	1.0
201801010106	芝	右	2000	晴	良	12:35	3歳未勝利		2018-7-28	1	札幌	1	3歳未勝利	(混)[指](馬齢)	9	1260	7	9	450	8	5	290	5	5-9	6200	32	5-9	2,200	36	2-9	1,620	29	2-5	1,520	24	9=>5	14620	69	2-5-9	15370	71	9=>5=>2	68950	334	1,3,5(4,8)11,6(2,12)(9,10)7	(*1,3)-5(4,8)11(6,12)(2,9,10)7	(1,*3)5(4,11)(6,8,10)(2,12)9,7	3-5,4,6(1,11,10,9)(2,12)(8,7)	12.5 - 10.9 - 11.9 - 12.6 - 12.8 - 12.8 - 12.4 - 12.0 - 12.0 - 12.1	12.5 - 23.4 - 35.3 - 47.9 - 60.7 - 73.5 - 85.9 - 97.9 - 109.9 - 122.0 (35.3-36.1)	2.0	410.0	7.0	5-7	1900.0	10.0
201801010107	ダ	右	1000	晴	良	13:05	3歳以上500万下		2018-7-28	1	札幌	1	3歳以上500万下	[指](定量)	6	2020	8	6	460	8	1	300	6	1-6	10810	37	1-6	2,860	36	4-6	1,230	16	1-4	580	4	6=>1	19980	68	1-4-6	6910	26	6=>1=>4	67600	268			6(8,11)(1,4,12)(2,9)10(3,5)=7	(*6,11)8(1,4)9,12(2,10)3,5-7	12.6 - 10.9 - 11.4 - 11.7 - 12.6	12.6 - 23.5 - 34.9 - 46.6 - 59.2 (34.9-35.7)	4.0	160.0	1.0	1-5	3340.0	13.0
201801010108	芝	右	1200	晴	良	13:40	3歳以上500万下		2018-7-28	1	札幌	1	3歳以上500万下	牝[指](定量)	6	160	1	6	110	1	8	110	2	6-8	180	1	6-8	130	1	4-6	330	4	4-8	430	8	6=>8	310	1	4-6-8	580	2	6=>8=>4	1440	3			(*1,10)-6(5,8)(2,3,4)9,7	(*1,10)(6,8)5(2,3,4)9,7	12.3 - 10.6 - 11.0 - 11.6 - 11.4 - 11.8	12.3 - 22.9 - 33.9 - 45.5 - 56.9 - 68.7 (33.9-34.8)	4.0	170.0	4.0	6-7	180.0	1.0
201801010109	ダ	右	1700	晴	良	14:15	3歳以上500万下		2018-7-28	1	札幌	1	3歳以上500万下	(混)[指](定量)	3	470	2	3	250	2	8	850	8	3-8	6770	17	3-8	1,390	15	3-9	690	8	8-9	1,540	17	3=>8	9360	23	3-8-9	9930	31	3=>8=>9	60250	168	6,13(5,8)10,3,9,1-(7,11)2,12 4	6,13(5,8)10,3,9,1,11,7,2,12 4	6(13,8)(5,10)(3,9)(1,11,12)(2,7) 4	(*13,8)(5,3,10,12)(6,9)(1,11)2,7 4	6.8 - 11.1 - 12.3 - 12.9 - 13.0 - 12.7 - 12.7 - 12.4 - 12.3	6.8 - 17.9 - 30.2 - 43.1 - 56.1 - 68.8 - 81.5 - 93.9 - 106.2 (30.2-37.4)	9.0	350.0	4.0	3-6	1720.0	7.0
201801010110	芝	右	1500	晴	良	14:50	羊ヶ丘特別 		2018-7-28	1	札幌	1	3歳以上500万下	(混)(特指)(定量)	2	750	3	2	200	3	4	130	1	2-4	840	2	2-4	310	2	2-12	3,240	28	4-12	1,870	20	2=>4	2240	7	2-4-12	11260	28	2=>4=>12	56600	151		(*7,8,9)(2,13)(4,10)(1,14)(6,11)5(3,12)	(7,*8,9)2(4,13)(1,6,14,12)(3,5,10,11)	8(7,2,9)4,13(14,12)11(6,5)(1,3)10	6.8 - 11.5 - 11.8 - 11.7 - 11.7 - 11.6 - 11.7 - 12.0	6.8 - 18.3 - 30.1 - 41.8 - 53.5 - 65.1 - 76.8 - 88.8 (30.1-35.3)	12.0	690.0	9.0	2-3	800.0	2.0
