waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017100016	ブラックリスト			05552	鈴木祐	a03ff	永田幸宏	452	2
2	2	2017105972	ヴァルナ			05542	高松亮	05739	斉藤雄一	484	-4
3	3	2018101272	シャイニーマジック			05119	阿部英俊	05217	佐々木由	438	0
4	4	2013100892	ブルーウィザード			05560	小林凌	a02eb	飯田弘道	477	13
5	5	2018101777	キタノイブラン			a01d1	木村暁	05585	畠山信一	465	0
6	6	2017100154	ピエナボヘミアン			05591	塚本涼人	a02a4	関本浩司	544	10
7	7	2016110064	マノラム			05087	関本淳	a01e0	晴山厚司	432	-1
7	8	2017103326	ワッチーマシェリ			a03fd	関本玲花	a02a4	関本浩司	398	0
8	9	2015105619	マルケイサスケ			05445	山本聡哉	05137	石川栄	470	6
8	10	2017104764	デルマトルマリン			05294	村上忍	05365	村上実	499	12
