rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	12		ナイスプリンセス	牝4	55.0		丸田恭介	1:11.5		9-9	36.6	4.2	1	438	-2		石栗龍彦		田畑利彦	760.0
2	8	14		タガノジェロディ	牡4	57.0		鮫島克駿	1:11.5	ハナ	3-3	37.3	8.0	5	480	-2		浅見秀一		八木良司	300.0
3	5	9		マルモマリア	牝5	52.0		亀田温心	1:11.5	クビ	5-5	37.1	13.0	8	488	26		木原一良		まるも組合	190.0
4	4	6		ペイシャリルキス	セ4	55.0		菅原明良	1:11.6	クビ	7-6	36.9	10.7	6	476	-6		本間忍		北所直人	110.0
5	2	2		アースビヨンド	牡5	57.0		横山和生	1:11.6	クビ	15-15	35.6	27.8	11	514	-4		伊藤大士		前原敏行	76.0
6	6	10		メイショウモルサ	牡4	56.0		団野大成	1:11.6	アタマ	2-1	37.6	18.1	10	492	-4		飯田祐史		松本和子	
7	6	11		ゴールドクロス	牡5	57.0		丸山元気	1:11.7	クビ	14-13	36.4	6.4	2	494	-4		小西一男		河内孝夫	
8	8	15		シアトルトウショウ	牝5	55.0		三浦皇成	1:11.7	ハナ	7-6	37.0	11.3	7	484	6		萱野浩二		トウショウ産業	
9	4	7		マイネルサンタアナ	牡4	57.0		柴田大知	1:12.3	3.1/2	11-11	37.1	135.4	14	468	23		粕谷昌央		サラブレッドクラブ・ラフィアン	
10	3	5		ルクスムンディー	牡5	57.0		吉田隼人	1:12.5	1.0	11-13	37.3	6.9	3	518	-2		寺島良		前田幸治	
11	2	3		グッドワード	牝5	55.0		荻野極	1:12.8	1.3/4	3-3	38.5	18.0	9	492	2		高橋義忠		下河辺俊行	
12	1	1		ヤマニンスプレモ	牡4	57.0		川又賢治	1:13.5	4.0	10-10	38.5	56.2	13	464	2		奥村豊		土井肇	
13	7	13		クリノモリゾ	牝5	55.0		西田雄一	1:13.8	2.0	11-11	38.6	432.5	15	454	12		天間昭一		栗本博晴	
14	5	8		ヒロノトウリョウ	牡4	56.0		岩田望来	1:13.9	3/4	1-2	39.9	7.1	4	488	-4		蛯名利弘		小野博郷	
15	3	4		マゼ	牡4	56.0		斎藤新	1:13.9	アタマ	5-6	39.4	53.3	12	488	4		安田翔伍		吉井理人	
