waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2014105506	バレッティ	セ8	56.0	01158	野中	01067	久保田	504	-8
1	2	2017104819	ダノンファスト	牡5	56.0	00684	田中勝	01115	菊沢	472	-2
2	3	2014106120	エクレアスパークル	牡8	56.0	01092	津村	01128	今野	478	-2
2	4	2016104231	ダノンスプレンダー	牡6	56.5	01178	斎藤	00438	安田隆	510	0
3	5	2017106279	アイオライト	牡5	56.0	01144	菱田	01064	武藤	492	-2
3	6	2016102633	ブルベアイリーデ	牡6	57.0	05386	戸崎圭	01157	杉山晴	496	-2
4	7	2016106260	ワイドファラオ	牡6	57.5	01096	大野	01183	辻野	520	3
4	8	2016103957	デルマルーヴル	牡6	55.0	01091	丹内	01054	戸田	508	1
5	9	2014104259	アナザートゥルース	セ8	57.5	01179	菅原明	01088	高木	482	-3
5	10	2017103641	ケンシンコウ	牡5	57.0	01127	丸山	00405	小西	500	-4
6	11	2014102787	ヒストリーメイカー	牡8	56.0	00422	内田博	01172	新谷	524	-4
6	12	2017106404	メイショウハリオ	牡5	57.0	01115	浜中	01066	岡田	492	-16
7	13	2014104449	カデナ	牡8	57.5	01122	三浦	01039	中竹	474	-10
7	14	2016105537	オメガレインボー	牡6	56.5	01140	横山和	01164	安田翔	462	-6
8	15	2015101960	マイネルユキツバキ	牡7	57.0	01009	柴田大	01088	高木	536	0
8	16	2016110013	デュープロセス	牡6	57.0	01015	古川吉	00438	安田隆	474	-6
