日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/03/14	晴	5	12	5	6	48.3	9	10	54.0	良	1:32.6	3.1	7-7-11-9	37.6-38.6	40.1	浦和	202242031405	3歳二	202242031405	05365	山崎誠士	ダ	1400	457	-2	0.0
2022/03/04	晴	1	12	6	8	1.9	1	1	54.0	良	0:56.2	-0.3	1-3	29.9-38.5	38.5	川崎	202245030401	シュトゥルムヴィント	202245030401	05365	山崎誠士	ダ	900	459	8	160.0
2022/01/31	晴	1	12	6	8	5.1	2	3	54.0	良	0:56.6	0.6	6-6	29.8-38.4	38.5	川崎	202245013101	ストーム賞	202245013101	05524	笹川翼	ダ	900	451	13	40.0
2022/01/04	晴	3	12	8	12	2.6	2	6	54.0	良	0:57.4	1.0	6-7	30.0-38.5	38.7	川崎	202245010403	やまびこ賞	202245010403	05365	山崎誠士	ダ	900	438	-1	0.0
2021/12/14	曇	2	11	8	10	15.7	5	7	54.0	重	1:33.2	1.2	6-6-6-7	39.9-39.0	40.0	川崎	202145121402	ウスバカゲロウ特別	202145121402	05230	今野忠成	ダ	1400	439	-7	0.0
2021/10/12	晴	5	11	7	9	1.9	1	1	54.0	不	1:01.4	-0.2	1-1	0.0-37.4	37.4	門別	202130101205	ドーレくん賞(未勝利)	202130101205	05578	落合玄太	ダ	1000	446	2	50.0
2021/09/21	曇	2	12	8	12	2.3	1	2	54.0	重	1:02.3	0.3	1-1	0.0-38.2	38.5	門別	202130092102	地酒とししゃもで晩酌(未勝利)	202130092102	05578	落合玄太	ダ	1000	444	0	14.0
2021/08/25	曇	2	12	6	8	2.4	1	5	54.0	不	1:07.8	1.8	2-3	0.0-37.8	39.6	門別	202130082502	2歳牝馬未勝利(未勝利)	202130082502	05578	落合玄太	ダ	1100	444	-6	3.5
2021/08/03	晴	2	8	6	6	3.4	2	2	54.0	良	1:17.0	0.2	1-1	0.0-39.9	40.1	門別	202130080302	安平町有機農業研修生(未勝利)	202130080302	05578	落合玄太	ダ	1200	450	-2	14.0
2021/07/14	曇	8	9	8	9	8.4	3	2	54.0	稍	1:02.8	1.0	2-2	0.0-37.7	38.4	門別	202130071408	JRA認定フレッシュ(新馬)	202130071408	05578	落合玄太	ダ	1000	452	0	56.0
