rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	11		ヨッシャー	牡4	55.0		大山龍太	1:22.8		2-2-2-2	39.4	5.6	2	429	2		田村彰啓		重野心平	50.0
2	5	5		グリントスター	牡4	56.0		下原理	1:23.0	1.1/4	5-5-6-5	39.1	2.0	1	464	-2		盛本信春		田島政光	20.0
3	5	6		ユウキャン	牝7	54.0		廣瀬航	1:23.0	クビ	3-3-3-3	39.4	36.0	8	460	2		溝橋利喜		組）オールザベスト組	12.5
4	7	10		ディキシー	牝4	54.0		板野央	1:23.3	1.1/2	1-1-1-1	39.9	9.8	6	437	-1		雑賀伸一		（有）キヨタケ牧場	7.5
5	7	9		ブラックトリガー	牡8	56.0		長谷部駿	1:23.4	1/2	7-6-5-6	39.4	7.7	4	454	2		小牧毅		増本光夫	5.0
6	1	1		エンプレスアロー	牝6	54.0		永井孝典	1:23.5	3/4	6-7-7-7	39.3	6.7	3	435	5		田村彰啓		小橋亮太	
7	6	8		トキノケリー	牝7	54.0		田中学	1:23.5	クビ	4-4-4-4	39.8	7.8	5	437	-6		北野真弘		村田裕子	
8	6	7		レーザー	牡10	56.0		中田貴士	1:23.9	2.1/2	11-11-10-8	39.3	31.4	7	500	7		山口浩幸		冨田藤男	
9	3	3		ヴェリタスキング	牡10	56.0		大柿一真	1:24.4	3.0	9-8-8-8	40.1	177.8	10	470	0		野田忍		野田秀人	
10	4	4		テンナイスポイント	牝4	51.0		青海大樹	1:25.4	6.0	9-8-9-11	41.0	160.2	9	457	-4		長南和宏		天白泰司	
11	2	2		ハドロサウルス	牡8	56.0		渡瀬和幸	1:25.7	2.0	8-8-11-10	41.1	186.8	11	435	9		稻田彰宏		角山喜信	
12	8	12		フミエイター	牡4	56.0		松本幸祐	1:25.8	1/2	12-12-12-12	40.9	382.4	12	424	-4		西村守幸		林文彦	
