rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	9		クナップフラウ	牝4	54.0		小松丈二	1:31.6		10-10-9-2	38.0	13.4	4	434	-4		武藤敏明		酒井孝敏	40.0
2	1	1		シンティエンディー	牝4	54.0		鮫島克也	1:31.7	1/2	1-1-1-1	39.1	1.3	1	520	2		東眞市		陣内豊	12.0
3	8	11		ケイティーズソレル	牝4	54.0		石川慎将	1:32.3	3.0	8-8-8-3	38.6	8.1	2	460	-11		山田徹		（株）本城	4.0
4	6	6		グラスノーブル	牝5	54.0		村松翔太	1:32.7	2.0	9-5-5-4	39.3	8.7	3	432	-4		柳井宏之		谷脇智恵子	2.4
5	8	10		ホウオウユーミン	牝4	54.0		兒島真二	1:33.2	2.1/2	6-9-10-10	39.4	45.1	9	426	-3		中川竜馬		三岡有香	1.6
6	6	7		カシマツインテール	牝5	52.0		岩永千明	1:33.2	クビ	4-4-4-6	40.0	31.8	6	444	-2		手島勝利		樋口雅彦	
7	7	8		ミーアンドチー	牝6	54.0		南谷圭哉	1:33.9	4.0	5-7-7-7	40.5	41.4	8	439	-4		武藤敏明		（同）ＪＰＮ技研	
8	2	2		ペンテコステ	牝4	54.0		長田進仁	1:34.8	5.0	2-2-2-5	41.8	15.3	5	444	-4		大島静夫		（同）ＪＰＮ技研	
9	3	3		ナムラルビー	牝4	53.0		出水拓人	1:35.6	4.0	3-3-3-8	42.5	34.7	7	433	4		中川竜馬		酒井孝敏	
10	5	5		パッシングポイント	牝5	54.0		川島拓	1:36.0	2.0	7-6-6-9	42.6	69.6	10	410	-4		頼本盛行		高橋伸一	
11	4	4		エイシンアシュラ	牡7	56.0		田中直人	1:36.1	クビ	11-11-11-11	41.7	138.6	11	512	-2		井樋明正		成富直行	
