rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	3	5		キュールエサクラ	牝3	54.0		川田将雅	1:22.7		2-2	34.7	1.5	1	458	-6		中内田充		岡本良三	500.0
2	2	3		ブールバール	牝3	54.0		福永祐一	1:22.9	1.1/4	3-2	34.8	5.3	2	430	-2		大久保龍		寺田寿男	200.0
3	4	8		ウォーターエデン	牝3	52.0		森裕太朗	1:23.0	3/4	1-1	35.2	23.6	7	480	4		岡田稲男		山岡良一	130.0
4	1	1		マーニ	牡3	56.0		丸山元気	1:23.2	1.1/2	8-8	34.8	166.6	13	440	-6		鮫島一歩		岡浩二	75.0
5	5	9		ヴェル	牝3	54.0		松田大作	1:23.5	1.1/2	6-5	35.2	26.7	8	416	4		中尾秀正		桑田牧場	50.0
6	3	6		ショウナンカンザシ	牝3	54.0		ミナリク	1:23.5	クビ	5-5	35.3	88.0	11	454	-2		大竹正博		国本哲秀	
7	4	7		ナムラピアス	牝3	53.0		川又賢治	1:23.5	アタマ	3-2	35.4	48.8	9	442	-10		谷原義明		奈村睦弘	
8	6	11		ファビュラスギフト	牝3	54.0		武豊	1:23.6	1/2	10-10	35.1	9.0	3	450	2		武英智		グリーンファーム	
9	7	13		シードラゴン	牝3	54.0		吉田隼人	1:23.7	1/2	12-12	35.0	23.5	6	424	-8		吉村圭司		吉田千津	
10	5	10		ストーリーズ	牝3	54.0		丸田恭介	1:23.8	1/2	12-12	35.0	215.1	14	408	0		池上昌和		林正道	
11	8	18		キョウエイミーレス	牡3	56.0		鮫島克駿	1:23.9	1/2	10-10	35.4	367.5	16	486	6		小崎憲		田中晴夫	
12	2	4		ウイッチクイーン	牝3	51.0		西村淳也	1:24.0	1/2	16-16	34.8	312.4	15	464	-16		石坂正		杉山忠国	
13	7	14		ジュンユウコー	牝3	54.0		小崎綾也	1:24.0	ハナ	6-5	35.7	706.9	18	404	-2		西村真幸		河合純二	
14	1	2		トーセンマイスター	牡3	56.0		藤岡康太	1:24.0	クビ	15-12	35.2	19.0	5	474	2		佐々木晶		島川隆哉	
15	6	12		メイショウユウバエ	牝3	54.0		古川吉洋	1:24.2	1.1/2	12-15	35.3	125.3	12	494	12		南井克巳		松本好雄	
16	8	16		ロナ	牝3	54.0		藤岡佑介	1:24.3	クビ	8-8	35.9	13.1	4	462	2		橋口慎介		桑畑隆信	
17	7	15		ナンヨーシンゲツ	牡3	56.0		横山典弘	1:24.3	ハナ	18-18	34.7	53.8	10	468	14		杉浦宏昭		中村徳也	
18	8	17		ヒノキブタイ	牡3	53.0		木幡育也	1:24.5	1.1/4	17-17	35.0	701.5	17	532	22		石栗龍彦		江川伸夫	
