rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	7		サンライズタキオン	牡7	56.0		倉富隆一	1:31.3		4-5-3-2	39.4	6.7	3	477	-6		川田孝好		松岡隆雄	70.0
2	5	5		テイエムサツマドン	牡4	55.0		石川慎将	1:31.3	ハナ	6-6-6-4	39.0	3.1	2	524	0		平山宏秀		竹園正繼	21.0
3	4	4		アルティマソウル	牡4	55.0		出水拓人	1:31.8	2.1/2	5-4-4-3	39.7	129.4	9	451	-1		真島元徳		長山幸路	11.2
4	3	3		シゲルニンジン	牡7	55.0		田中直人	1:32.0	1.0	8-8-8-7	39.3	32.7	6	471	3		九日俊光		森中蕃	5.6
5	2	2		ナムラシングン	セ9	56.0		竹吉徹	1:32.2	1.0	3-2-5-6	40.1	1.7	1	505	1		山田徹		組）リノレーシング	4.2
6	7	8		ペガッソ	牡7	55.0		山下裕貴	1:32.5	1.1/2	1-1-1-1	40.9	9.6	4	497	1		池田忠好		湯浅健司	
7	6	6		ワタシヲマッテル	牝7	54.0		長田進仁	1:32.8	1.1/2	2-3-2-5	41.0	109.5	8	470	3		中野博		下川正義	
8	8	9		アルゴセイコウ	牡7	56.0		吉本隆記	1:33.4	3.0	9-9-9-8	40.4	170.8	10	483	-2		山下定文		末次純男	
9	1	1		キタサンシャドー	牡9	55.0		飛田愛斗	1:34.5	6.0	7-7-7-9	42.0	66.0	7	476	-1		渡辺博文		原大栄	
中	8	10		クリスタルバブルス	牡8	56.0		山口勲					19.0	5	477	-4		東眞市		ＨｉｍＲｏｃｋＲ	
