rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		ボチボチ	牡7	56.0		川原正一	1:30.8		6-6-4-1	39.1	4.6	3	466	-5		溝橋利喜		組）オールザベスト組	35.0
2	4	4		タイセイゴーディー	セ5	56.0		下原理	1:31.0	1.1/4	7-7-8-8	39.3	1.8	1	470	-7		高馬元紘		和田博美	9.8
3	8	9		ノースピーディング	セ8	56.0		中田貴士	1:31.3	2.0	1-1-1-2	40.3	30.8	6	470	4		野田忍		岡本敞司	4.9
4	6	6		ザストリート	牡6	56.0		廣瀬航	1:31.5	1.0	8-8-6-3	39.5	3.5	2	462	1		高本友芳		岡田義雄	3.5
5	8	10		グランドフサイチ	牡5	56.0		永井孝典	1:31.6	1/2	2-2-2-3	40.5	75.5	9	485	-2		田村彰啓		田畑利彦	2.8
6	2	2		インターロード	牡4	56.0		鴨宮祥行	1:31.6	ハナ	4-4-4-6	40.1	19.5	5	487	1		栗林徹治		組）Ｇ．Ｇ．Ｇ．Ｍホ	
7	7	8		フェットチーネ	牝4	54.0		笹田知宏	1:31.6	アタマ	3-3-3-5	40.3	62.8	8	428	2		西川精治		（株）アネモネ	
8	7	7		ウインブルーローズ	牡8	56.0		小谷周平	1:31.9	1.1/2	10-9-9-9	39.6	14.3	4	483	-5		溝橋利喜		小林聖子	
9	1	1		ララペイフォワード	牡5	56.0		杉浦健太	1:32.1	1.1/4	5-5-7-7	40.5	44.9	7	474	-4		碇清次郎		松尾勝裕	
10	3	3		グランシェフ	牡8	56.0		松本幸祐	1:32.9	5.0	9-9-10-10	40.6	160.2	10	471	1		尾原強		（株）さくらコーポ	
